wind_speed,fetch_lk,c_relax_C,par_id
0.98408,55660,0.055912,p00001
0.8681,74259,0.062942,p00002
0.92802,55590,0.051067,p00003
1.0306,64099,0.077877,p00004
0.81835,57497,0.033289,p00005
1.1742,61942,0.071957,p00006
0.8417,70191,0.016516,p00007
0.98614,59583,0.09516,p00008
1.0788,68144,0.007697,p00009
0.93861,59957,0.0103,p00010
1.1518,60674,0.053586,p00011
0.98098,55820,0.059448,p00012
1.1121,71945,0.049683,p00013
1.1865,58171,0.04438,p00014
1.1494,63487,0.061417,p00015
0.81299,65710,0.056054,p00016
0.86774,55276,0.070928,p00017
0.94145,64674,0.062259,p00018
0.87828,73138,0.047226,p00019
0.98738,53812,0.065484,p00020
0.92616,68154,0.036583,p00021
1.1606,53437,0.00554,p00022
1.1194,59992,0.04413,p00023
0.99926,60847,0.041106,p00024
1.051,61385,0.014141,p00025
1.1618,56848,0.052376,p00026
1.1513,63285,0.010487,p00027
0.99626,61233,0.082362,p00028
0.97634,55948,0.001097,p00029
1.0606,64339,0.042458,p00030
1.1801,66299,0.077071,p00031
1.1303,74967,0.011161,p00032
1.0355,58487,0.058509,p00033
0.82467,66080,0.058639,p00034
0.87493,72366,0.069847,p00035
1.1559,65828,0.071295,p00036
1.1187,56266,0.024594,p00037
0.97694,52172,0.014872,p00038
0.85038,54286,0.031552,p00039
0.88201,65024,0.066144,p00040
0.93911,52657,0.075962,p00041
0.90747,54335,0.037412,p00042
0.98094,55013,0.013725,p00043
0.84866,52247,0.0054667,p00044
0.96226,62196,0.020389,p00045
1.1185,70774,0.065728,p00046
1.1707,65916,0.094869,p00047
1.0141,63256,0.045125,p00048
0.84775,59164,0.001358,p00049
0.91773,50870,0.063908,p00050
1.0539,71732,0.008066,p00051
0.86871,53229,0.036655,p00052
1.1622,55473,0.013524,p00053
0.87106,63684,0.024313,p00054
1.0701,57036,0.012602,p00055
1.0519,64276,0.051264,p00056
1.0603,73386,0.039294,p00057
1.0758,70081,0.036767,p00058
0.96846,61685,0.075823,p00059
0.88903,53932,0.092318,p00060
1.1785,51187,0.089362,p00061
1.0857,67967,0.0061989,p00062
1.1104,70676,0.046027,p00063
1.1117,64870,0.014935,p00064
1.1573,66447,0.084177,p00065
0.89751,56768,0.083185,p00066
0.80606,57673,0.039277,p00067
0.95349,60067,0.072577,p00068
0.84605,53860,0.0090163,p00069
1.0971,68793,0.066561,p00070
0.89363,60748,0.077141,p00071
0.81307,58216,0.068755,p00072
0.85897,62472,0.063573,p00073
1.1204,63277,0.013455,p00074
1.1777,61946,0.098589,p00075
1.0898,74559,0.038764,p00076
0.98752,56511,0.054415,p00077
0.85664,62022,0.052465,p00078
1.0428,68431,0.050847,p00079
1.0167,61495,0.069657,p00080
0.91354,66184,0.025118,p00081
0.83678,55145,0.081398,p00082
1.0256,70103,0.060066,p00083
0.91294,62114,0.0028964,p00084
1.0761,65080,0.037943,p00085
0.85649,53519,0.0694,p00086
1.1455,54562,0.086226,p00087
0.83557,52077,0.070543,p00088
0.88289,57419,0.025151,p00089
0.83836,66546,0.043374,p00090
0.80074,68675,0.060823,p00091
1.148,51723,0.026214,p00092
0.88773,63679,0.014313,p00093
1.1139,71312,0.080677,p00094
0.80903,61741,0.03411,p00095
1.1948,54182,0.0030544,p00096
1.0227,65600,0.091791,p00097
0.88395,69333,0.05984,p00098
0.96517,72497,0.0058383,p00099
1.0994,60810,0.063479,p00100
0.8435,74845,0.074523,p00101
0.94847,59676,0.0969,p00102
1.1868,70496,0.040103,p00103
0.90754,58381,0.022083,p00104
1.1087,56574,0.0083665,p00105
0.86512,64033,0.025303,p00106
1.1839,50629,0.063495,p00107
0.84786,72282,0.052593,p00108
0.94256,70604,0.057333,p00109
0.98053,72463,0.045391,p00110
0.83961,54262,0.050571,p00111
1.1926,60175,0.030529,p00112
1.1915,71688,0.069763,p00113
0.99245,58656,0.0040913,p00114
0.89936,66090,0.05026,p00115
1.1863,58037,0.084267,p00116
1.0772,58593,0.02292,p00117
0.91805,58822,0.070646,p00118
1.1832,68728,0.052048,p00119
1.1126,71707,0.062614,p00120
0.80911,61097,0.093199,p00121
1.1212,67861,0.068788,p00122
1.1469,60523,0.087248,p00123
0.80313,74788,0.074476,p00124
1.1591,50120,0.031577,p00125
0.834,72929,0.093618,p00126
0.95934,55911,0.069503,p00127
1.1932,56610,0.098121,p00128
1.0736,55887,0.027425,p00129
1.1242,70163,0.030672,p00130
0.81139,61167,0.049184,p00131
0.81167,52127,0.022882,p00132
1.0664,52765,0.089847,p00133
1.1074,54543,0.049204,p00134
0.89071,51306,0.071104,p00135
1.065,63690,0.019114,p00136
1.0391,56165,0.046496,p00137
1.0499,54798,0.074549,p00138
0.90675,61958,0.069456,p00139
0.88139,71862,0.031604,p00140
1.195,58678,0.056812,p00141
0.9997,60134,0.026836,p00142
1.0243,54093,0.019352,p00143
0.80694,72106,0.05914,p00144
0.89896,72960,0.056512,p00145
0.86034,60210,0.066606,p00146
0.97894,64122,0.08016,p00147
0.98789,66837,0.015409,p00148
1.0497,50151,0.026236,p00149
0.89198,55571,0.010328,p00150
0.85446,64452,0.0077656,p00151
1.0535,69089,0.057965,p00152
0.91338,58380,0.0097223,p00153
1.0921,62280,0.018248,p00154
1.146,51650,0.0088784,p00155
0.85114,60032,0.0043757,p00156
1.1307,61560,0.076366,p00157
0.87271,72389,0.042139,p00158
0.99984,71994,0.043409,p00159
1.1963,55024,0.047748,p00160
1.1755,62595,0.08544,p00161
1.1815,55166,0.0074363,p00162
1.0006,65680,0.08138,p00163
1.0548,73851,0.087678,p00164
0.88915,64334,0.079191,p00165
0.99208,59826,0.095554,p00166
1.1876,58240,0.021803,p00167
0.82901,72222,0.035833,p00168
0.98949,68807,0.079378,p00169
0.88631,58108,0.026822,p00170
0.80171,66145,0.034918,p00171
0.98973,64069,0.057707,p00172
0.81692,55617,0.0029511,p00173
1.0731,68785,0.021656,p00174
0.93308,69078,0.036669,p00175
0.93717,74634,0.051476,p00176
0.86332,63298,0.073609,p00177
0.81156,53947,0.034809,p00178
0.99526,52743,0.082036,p00179
1.1945,56297,0.066436,p00180
1.1732,70481,0.093519,p00181
1.0877,73483,0.091408,p00182
1.0458,69401,0.03291,p00183
0.90786,61674,0.062466,p00184
0.90402,63453,0.049111,p00185
0.87749,64477,0.094122,p00186
1.1786,65363,0.010936,p00187
1.177,63862,0.077317,p00188
1.0267,70125,0.091807,p00189
0.84119,50748,0.055867,p00190
1.0311,69779,0.096419,p00191
0.99023,72946,0.054216,p00192
1.0885,54419,0.015765,p00193
0.95111,57731,0.060319,p00194
0.88069,73378,0.04367,p00195
0.86764,58847,0.075265,p00196
1.173,57710,0.014329,p00197
0.93255,61220,0.083138,p00198
