!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
1979-01-01 00:00:00	1.4889009	3.204452	63431.849	-2.6206992	87.752005	0.67230881	95.996506	4.7400283e-09
1979-01-02 00:00:00	2.1907887	3.9383316	63326.934	0.39529427	85.119149	0.50827733	95.996506	4.7400283e-09
1979-01-03 00:00:00	1.8678475	4.1923005	63289.646	1.1445402	81.910838	0.39445966	98.754106	3.4085291e-09
1979-01-04 00:00:00	2.1637165	3.7338736	62836.685	0.12386213	80.010008	0.49177193	100.71779	9.6204266e-08
1979-01-05 00:00:00	1.8160025	2.3188274	63409.244	-6.6879189	75.397149	0.6521624	104.16181	1.3444333e-08
1979-01-06 00:00:00	2.8516868	2.4187134	63108.022	-6.6980251	78.235817	0.60230464	90.906344	2.6020888e-08
1979-01-07 00:00:00	2.9262535	1.2354922	63205.715	-10.07047	74.460343	0.50703849	91.482967	1.2410871e-08
1979-01-08 00:00:00	-0.18443338	-0.22743752	63598.081	-12.340802	83.494124	0.86607526	111.17496	4.8577079e-09
1979-01-09 00:00:00	-1.3171579	-0.87519256	63754.291	-11.568022	87.495701	0.90227679	109.57024	1.2182897e-09
1979-01-10 00:00:00	-0.87693786	-0.4324092	63704.114	-9.3617557	89.904487	0.86754945	58.694709	1.5821635e-08
1979-01-11 00:00:00	1.0371488	1.6149827	63643.342	-7.4595218	80.470887	0.10230258	119.22399	1.9435107e-12
1979-01-12 00:00:00	2.0246519	2.5728085	63630.216	-7.7992022	78.833349	0.50361721	117.90556	6.3261274e-11
1979-01-13 00:00:00	1.7839011	2.7311235	63628.615	-6.7981124	81.452842	0.17350574	121.49198	9.7175536e-13
1979-01-14 00:00:00	1.9284751	2.8702081	63609.564	-6.0854739	77.781505	0.0051850722	123.58167	0
1979-01-15 00:00:00	1.6501132	2.7690951	63749.994	-5.6544053	76.410775	0.18599344	125.03244	0
1979-01-16 00:00:00	0.010647921	0.42440309	63871.938	-4.2106438	82.824381	0.77571768	112.26107	1.0306923e-08
1979-01-17 00:00:00	-0.51052133	0.058934621	64209.347	-3.5997812	94.552633	0.85779259	64.697858	7.7811367e-09
1979-01-18 00:00:00	0.056644642	0.77320296	64312.711	-1.9632015	90.806756	0.5678976	98.641044	1.2796075e-09
1979-01-19 00:00:00	0.55672713	1.494332	63908.917	-1.37998	91.150693	0.86113416	89.412281	1.1472447e-08
1979-01-20 00:00:00	1.0123269	2.4099157	63591.303	-2.0010589	90.215493	0.8195443	112.80227	2.5168464e-09
1979-01-21 00:00:00	0.85532057	0.79933662	63391.811	-2.3756819	87.363771	0.83342919	108.60187	8.5863818e-08
1979-01-22 00:00:00	-1.4079407	-1.4640809	63518.082	-6.0244562	90.643701	0.89369178	83.047811	3.3902795e-08
1979-01-23 00:00:00	-0.84791003	-0.88136651	63617.173	-9.6934556	92.003801	0.89657831	103.18485	9.8037483e-09
1979-01-24 00:00:00	1.7524252	1.8226039	63317.769	-8.8801811	87.367494	0.66499222	128.81474	2.377691e-08
1979-01-25 00:00:00	1.077518	1.4261917	63915.983	-7.8381193	81.835346	0.14100517	141.59293	5.7738788e-09
1979-01-26 00:00:00	0.82420158	1.7994391	64220.969	-8.4967066	79.090434	0.12569932	138.67458	2.0406863e-11
1979-01-27 00:00:00	1.4422968	2.6154673	63974.449	-9.0041551	73.513118	0.77675456	138.07274	0
1979-01-28 00:00:00	1.1526661	1.6225298	63821.559	-4.814216	78.59752	0.71194724	114.43386	2.2231819e-09
1979-01-29 00:00:00	1.4811423	2.2961295	63834.164	-5.8125325	82.078273	0.0631667	145.0581	0
1979-01-30 00:00:00	1.8218218	2.5279587	63638.629	-4.2829752	78.380787	0.66675568	145.19387	7.5301323e-10
1979-01-31 00:00:00	1.8482698	2.6496142	63590.631	-1.2372794	81.929784	0.4028318	126.30406	1.3031239e-10
1979-02-01 00:00:00	1.5147195	3.1954117	63620.006	-1.8140768	87.34184	0.91580097	113.50309	2.3061698e-09
1979-02-02 00:00:00	0.57309	1.4979406	63218.36	-1.7461649	90.6856	0.91884633	65.754224	1.4202914e-07
1979-02-03 00:00:00	0.77172735	0.91388546	63508.814	-6.2563691	86.995926	0.63799882	136.41171	2.1950982e-09
1979-02-04 00:00:00	1.5104867	1.5631999	63680.961	-6.3452481	82.424022	0.46321746	148.73542	6.113313e-10
1979-02-05 00:00:00	1.7517657	2.7282661	63700.319	-5.5486847	79.020306	0.32226153	159.5136	1.3604575e-11
1979-02-06 00:00:00	1.6276808	2.9188889	63453.384	-2.9286602	77.966555	0.63061796	124.22328	4.0988641e-10
1979-02-07 00:00:00	1.7398191	2.9494477	63341.327	-2.5691997	83.226925	0.44591727	152.56036	1.5396492e-09
1979-02-08 00:00:00	1.3817885	2.1728731	63130.862	-1.6902915	84.379152	0.85580084	140.78461	6.2775396e-10
1979-02-09 00:00:00	0.93081891	1.5489528	63323.729	-1.5277086	89.267422	0.670594	117.08412	6.4282589e-09
1979-02-10 00:00:00	1.2889854	2.0090616	63257.693	-0.43113178	81.897108	0.7332374	147.62598	5.0838353e-09
1979-02-11 00:00:00	1.939614	2.4335333	63214.401	-0.26334014	83.319022	0.71119594	140.58042	3.3195163e-09
1979-02-12 00:00:00	1.7271867	2.1511559	63663.332	0.042411898	81.683926	0.40909445	125.4036	2.4643716e-09
1979-02-13 00:00:00	1.6426267	2.8773941	63888.135	0.24690378	79.027692	0.51877456	159.7528	0
1979-02-14 00:00:00	1.5851029	2.9295309	63642.924	2.3572016	73.432739	0.63617353	165.07695	0
1979-02-15 00:00:00	1.389676	2.6877145	63431.83	2.2070282	83.430806	0.85934544	125.90786	7.4656758e-08
1979-02-16 00:00:00	1.2966577	0.86720066	63720.219	-0.50669878	89.991568	0.61326909	131.39047	3.711882e-08
1979-02-17 00:00:00	1.944929	0.7251831	64098.873	-2.5097935	79.724098	0.31442637	162.02371	1.7026903e-08
1979-02-18 00:00:00	0.1649797	-0.036720406	64091.093	-7.3228663	73.822631	0.18849956	186.87352	1.7132047e-10
1979-02-19 00:00:00	-0.58377467	0.0085934514	63496.991	-7.1882296	81.965877	0.83165571	154.90504	1.1922758e-08
1979-02-20 00:00:00	-0.77417693	-0.96506138	63282.646	-7.0219866	92.405161	0.98970305	84.945499	6.3949374e-08
1979-02-21 00:00:00	-0.70362742	-1.0763636	63590.57	-8.0838646	93.038472	0.88677753	119.85151	1.4479835e-08
1979-02-22 00:00:00	-0.55560604	-0.69193773	63606.203	-8.3410006	92.467236	0.9321759	130.71559	1.6192262e-08
1979-02-23 00:00:00	-0.38646698	0.042940462	63694.464	-8.0908012	90.142508	0.79358176	137.02851	5.5847752e-09
1979-02-24 00:00:00	0.42737574	1.1890081	63611.473	-4.4381482	85.38018	0.6688313	175.38924	1.8854678e-08
1979-02-25 00:00:00	-0.24110722	-1.0496904	63495.326	-5.8390762	92.499082	0.90604751	113.21574	7.6142183e-08
1979-02-26 00:00:00	0.59557354	-0.19513254	63648.619	-8.5524542	83.205752	0.54384702	176.17456	1.9174094e-08
1979-02-27 00:00:00	-0.046385741	0.17589002	63769.381	-9.9280963	75.695429	0.78113108	208.22899	7.5505391e-10
1979-02-28 00:00:00	-0.97641583	-1.2325172	63916.243	-9.5143377	91.092494	0.90022348	122.44722	3.3942054e-08
1979-03-01 00:00:00	0.6547399	0.50689297	64196.707	-8.5049198	79.402716	0.17853804	210.62064	4.3243114e-11
1979-03-02 00:00:00	0.15609605	0.2699954	64198.071	-8.0318824	74.273873	0.050539881	221.61292	0
1979-03-03 00:00:00	-0.4897306	-0.4400543	64246.614	-9.3696199	87.73903	0.39985773	202.81507	1.5550029e-09
1979-03-04 00:00:00	-0.2461431	0.1506271	64267.027	-8.6145662	82.425964	0.24244134	209.68619	1.1019706e-10
1979-03-05 00:00:00	0.22819549	0.67919218	64183.492	-7.6658846	70.041418	0.026474906	221.98336	0
1979-03-06 00:00:00	0.5375438	1.370489	64131.071	-6.8087956	67.895731	0.11983685	230.98558	0
1979-03-07 00:00:00	0.2334975	1.238212	63671.246	-5.1211787	78.15601	0.75347909	170.55645	1.1323185e-08
1979-03-08 00:00:00	-0.51849661	-0.49498275	63411.065	-4.0426965	92.609428	0.7890857	176.08995	3.4610428e-08
1979-03-09 00:00:00	-0.83361474	-0.84992179	63536.111	-4.1696545	93.983693	0.91485552	169.51686	1.1136025e-08
1979-03-10 00:00:00	-0.38220623	0.38424852	63611.322	-3.6421996	90.755127	0.96370457	157.24726	1.4167999e-08
1979-03-11 00:00:00	1.1033425	1.7129522	63706.814	-2.6590629	81.019027	0.52000649	207.37576	1.1361083e-08
1979-03-12 00:00:00	1.3283318	2.1786499	63866.141	-2.7904813	76.172332	0.36230782	229.90667	3.5527376e-10
1979-03-13 00:00:00	0.83872945	1.8763682	63734.57	-0.42493253	74.939974	0.75903695	201.92764	1.3730612e-08
1979-03-14 00:00:00	0.33707277	0.16962111	63692.169	-0.20100491	88.74227	0.89514362	179.79614	2.9986621e-08
1979-03-15 00:00:00	1.6359228	1.604777	63870.106	0.53926997	71.57059	0.30485849	234.22344	2.5654341e-11
1979-03-16 00:00:00	1.7807517	2.2529306	63976.475	1.2958094	65.991861	0.0034441681	242.97803	0
1979-03-17 00:00:00	1.4340282	2.1597733	63868.27	1.76577	64.971151	0.057115703	247.69936	0
1979-03-18 00:00:00	1.5022603	2.0008673	63701.189	2.6973506	71.507413	0.85424163	223.8455	5.6343348e-09
1979-03-19 00:00:00	0.77730114	0.88761573	63789.954	1.9156321	84.864091	0.57693233	182.45883	2.3028464e-08
1979-03-20 00:00:00	0.69236364	1.3861994	63955.475	1.899388	76.212249	0.33675621	229.44546	1.2057541e-09
1979-03-21 00:00:00	1.0530897	1.1019108	63946.336	2.8350516	78.812228	0.64813338	189.29543	1.723311e-08
1979-03-22 00:00:00	0.85422847	0.64947581	63889.625	2.9016554	70.635763	0.632667	243.35706	1.3035126e-09
1979-03-23 00:00:00	-0.25002841	0.068234046	63769.222	0.90295975	90.24042	0.9481695	159.10782	5.3912793e-08
1979-03-24 00:00:00	-0.033546356	0.78892644	63517.222	2.131738	80.083523	0.96576008	236.63321	1.5523112e-08
1979-03-25 00:00:00	-0.19847284	-0.82785911	63266.947	-0.40711932	96.066933	0.98040936	75.035259	1.0627923e-07
1979-03-26 00:00:00	-0.61740247	-0.29814553	63344.342	-0.30193805	90.648578	0.94494438	173.19074	5.2495877e-08
1979-03-27 00:00:00	-0.17199901	-1.4434258	63254.281	-2.1530938	96.459008	0.97020499	93.16424	8.3339294e-08
1979-03-28 00:00:00	1.9752619	1.2571578	63499.369	-2.2162576	82.691305	0.53586214	236.36753	5.5224857e-10
1979-03-29 00:00:00	1.7749088	1.46885	63677.029	0.90975487	79.348095	0.5329567	268.88042	2.3735513e-08
1979-03-30 00:00:00	0.55327541	0.07722242	63650.18	2.3347347	86.599968	0.62041529	215.66114	1.5121874e-08
1979-03-31 00:00:00	1.0419196	0.83381821	63614.338	2.5193899	80.10765	0.19019324	257.90475	4.8587768e-12
1979-04-01 00:00:00	0.32407457	0.36606541	63797.369	3.5786109	79.195985	0.33054059	239.9534	1.477418e-08
1979-04-02 00:00:00	1.5154269	2.1416586	63821.512	4.6736092	76.63182	0.80090186	226.38663	1.0980836e-10
1979-04-03 00:00:00	2.1265998	3.3869076	63704.681	7.0772574	74.377051	0.85227972	250.74261	0
1979-04-04 00:00:00	2.3069731	3.4873918	63735.576	8.0125484	70.908876	0.66821497	245.43813	3.6439854e-09
1979-04-05 00:00:00	1.0023725	1.9663727	63900.614	3.6090018	84.113076	0.82348585	120.94663	2.5029989e-08
1979-04-06 00:00:00	0.99172627	1.5799892	64115.741	3.6828944	71.074054	0.026994466	285.39868	7.7740429e-12
1979-04-07 00:00:00	0.60508613	1.476918	64014.051	5.3599366	67.566581	0.88350238	260.63486	0
1979-04-08 00:00:00	0.25463178	1.356369	63859.206	5.4942636	78.671422	0.65967022	239.76821	5.5389084e-09
1979-04-09 00:00:00	0.94150865	2.1829172	63642.909	5.6860787	82.167481	0.72631832	230.2923	3.005892e-08
1979-04-10 00:00:00	1.1437127	2.4334506	63504.662	4.6052712	79.566396	0.53345828	237.41569	4.6595572e-08
1979-04-11 00:00:00	1.5334812	1.8972782	63593.825	2.1461898	63.201997	0.41651323	267.92057	6.135469e-09
1979-04-12 00:00:00	0.84106448	1.9261855	63429.222	2.7184482	68.598895	0.24184327	279.11641	1.7588675e-08
1979-04-13 00:00:00	0.14891718	1.913598	63285.01	3.8327219	86.907002	0.84367817	223.63113	1.0811595e-07
1979-04-14 00:00:00	0.39805985	0.97295888	63278.781	3.0635497	90.217363	0.82438911	205.51722	2.5309893e-07
1979-04-15 00:00:00	1.023728	1.0044275	63528.865	1.1560787	89.421414	0.70033116	234.55683	1.2662235e-07
1979-04-16 00:00:00	-0.62860453	-0.94090018	63894.405	-0.5308213	89.789419	0.86288572	183.33621	8.2001576e-08
1979-04-17 00:00:00	1.1892729	0.99866228	64099.092	1.3086702	73.850871	0.58784963	295.05033	5.0059006e-09
1979-04-18 00:00:00	1.1035513	2.2128714	63684.726	3.8950933	70.67937	0.7238932	265.3536	3.4201902e-09
1979-04-19 00:00:00	1.9630361	1.9425147	63351.083	5.6867249	65.101523	0.40988237	287.48145	3.5159664e-08
1979-04-20 00:00:00	0.83723832	0.85325414	63437.531	2.7951393	73.776492	0.63612689	261.50373	4.7740883e-08
1979-04-21 00:00:00	-0.17072816	-0.16740735	63430.656	-0.097043685	89.525223	0.60174286	253.63305	9.6131093e-08
1979-04-22 00:00:00	0.25873837	0.17068176	63209.238	0.50686345	92.923479	0.72077951	202.50188	3.0202876e-07
1979-04-23 00:00:00	0.78396902	0.86332073	63681.052	1.4487499	85.532295	0.59069125	272.36755	7.7923216e-08
1979-04-24 00:00:00	0.4829897	0.98364578	64044.852	1.9787283	84.318276	0.67014606	271.96449	6.6250102e-08
1979-04-25 00:00:00	-0.11190966	-1.0440145	64098.587	0.86193277	96.788005	0.97106384	158.94497	1.3149308e-07
1979-04-26 00:00:00	-0.060301609	-1.1947502	64477.714	1.2858715	80.464445	0.57062767	249.79951	3.7565827e-08
1979-04-27 00:00:00	-0.80141327	-1.2588673	64755.078	-0.51013879	89.319558	0.5688031	261.56436	3.8290174e-08
1979-04-28 00:00:00	-0.23689931	0.20124044	64591.491	2.7476301	71.06753	0.12540359	322.4125	2.2253198e-11
1979-04-29 00:00:00	-0.17476497	-0.079611641	64271.873	6.1240007	69.024119	0.064849084	327.02188	0
1979-04-30 00:00:00	-0.5288159	-0.35647013	64117.494	5.6040876	80.817295	0.41422362	311.14531	5.1541904e-10
