!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
2006-01-01 00:00:00	1.1840443	0	78914.815	-2.8290276	80.772435	0.84419628	137.48992	0
2006-01-02 00:00:00	1.3282326	0	78219.9	-2.0572293	86.436655	0.70984545	96.390721	1.5769849e-08
2006-01-03 00:00:00	1.6076536	0	78015.336	-4.4100405	84.87146	0.60488149	98.900206	2.4834397e-08
2006-01-04 00:00:00	1.533168	0	78572.718	-5.4668024	81.861402	0.48746795	126.37586	0
2006-01-05 00:00:00	2.127797	0	78646.392	-2.1961809	85.671144	0.56750802	119.59321	0
2006-01-06 00:00:00	2.4681921	0	78489.32	1.3833092	88.958709	0.78389617	101.21857	0
2006-01-07 00:00:00	2.1282057	0	78571.241	0.43611674	89.832339	0.64745795	44.260504	3.9469614e-08
2006-01-08 00:00:00	1.4157082	0	78870.658	-3.1913288	87.078491	0.606143	123.20354	1.1563455e-08
2006-01-09 00:00:00	1.1609256	0	78655.63	0.80355502	93.38671	0.99207676	94.026463	2.0330225e-08
2006-01-10 00:00:00	-0.76491043	0	78397.941	-2.0270744	92.767776	0.99739014	83.828087	1.4934239e-07
2006-01-11 00:00:00	-0.75988509	0	78384.272	-3.6973819	92.68425	0.92530147	108.97045	3.3361862e-08
2006-01-12 00:00:00	0.69215792	0	78463.604	-2.7608158	94.744542	0.9499732	94.94304	1.0990684e-07
2006-01-13 00:00:00	0.72754452	0	78546.035	-7.1757004	89.377939	0.49826968	134.15573	0
2006-01-14 00:00:00	0.49619915	0	78387.734	-8.9738373	89.566697	0.38960953	143.34263	0
2006-01-15 00:00:00	1.0752654	0	77980.196	-2.6228894	91.948899	0.87255571	97.395233	1.385663e-08
2006-01-16 00:00:00	1.433118	0	77641.317	-3.5734677	85.197118	0.63983501	148.27218	3.4617058e-08
2006-01-17 00:00:00	1.6391903	0	77835.431	-7.5458734	80.629318	0.6615793	91.400118	2.4391602e-08
2006-01-18 00:00:00	-0.11920775	0	78107.261	-9.8670117	82.9256	0.94930841	141.66689	8.3384394e-08
2006-01-19 00:00:00	1.4454738	0	78443.4	-10.621332	81.757157	0.36829866	153.35886	0
2006-01-20 00:00:00	1.5161302	0	78898.371	-5.2713369	86.886702	0.41041374	161.93316	0
2006-01-21 00:00:00	1.0676249	0	79077.157	-7.1231168	84.036147	0.12460468	156.35578	0
2006-01-22 00:00:00	1.0874298	0	78808.901	-6.7910242	89.027064	0.51254151	154.65872	0
2006-01-23 00:00:00	1.1608688	0	78695.702	-3.5541945	91.656264	0.91579456	110.93613	5.5617088e-08
2006-01-24 00:00:00	1.5943618	0	78423.692	-5.150932	85.501727	0.42728702	163.9243	0
2006-01-25 00:00:00	2.0420403	0	78601.864	-2.7776895	86.420455	0.44919505	151.55811	0
2006-01-26 00:00:00	1.3035514	0	79336.979	-2.7212286	90.353671	0.33624103	151.19691	0
2006-01-27 00:00:00	-0.39893841	0	79477.941	-8.1412233	92.188066	0.0089776927	166.66933	0
2006-01-28 00:00:00	-0.25129611	0	79179.819	-10.417937	90.385809	0.1132146	171.10447	0
2006-01-29 00:00:00	0.04487693	0	78927.325	-9.8909001	88.206124	0.86773966	195.19379	0
2006-01-30 00:00:00	-0.69529125	0	78939.895	-6.7734865	90.448168	0.92515089	155.61816	6.4291531e-08
2006-01-31 00:00:00	-0.68076939	0	78911.986	-6.0016933	91.121657	0.69656556	127.80182	1.7026756e-08
2006-02-01 00:00:00	0.97100837	0	78775.155	-6.2275929	88.753966	0.68085113	165.36857	1.2656423e-08
2006-02-02 00:00:00	1.3835949	0	78689.028	-3.7986271	87.70437	0.66810723	186.61166	0
2006-02-03 00:00:00	1.5932342	0	78382.686	-3.3012022	87.75591	0.90007175	154.74759	1.8845049e-08
2006-02-04 00:00:00	1.4153148	0	78114.073	-5.1396542	87.753667	0.95917552	165.02452	4.2088926e-08
2006-02-05 00:00:00	1.3110725	0	78476.402	-6.771779	85.232874	0.72979071	129.56981	5.2193494e-08
