Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       4.00000       4.00000       4.00000      0.150398      0.532399E-02  0.136176E-02  -172.934      -49.4905      -44.8454       73.1275       0.00000      -331.190       28.6400      0.500000       5.00000       4.00000      -0.00000       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       3.92831       3.92831       3.92831      0.201584      0.713693E-02   0.00000      -159.652      -34.3297      -42.9626       73.1275       0.00000      -330.848       28.6400      0.500000       5.00000       4.00000     -0.156573E-01   0.00000       0.00000       0.00000       0.00000    
        2   2.00000       3.86617       3.86617       3.86617      0.205776      0.728619E-02   0.00000      -156.090      -26.8790      -41.7377       75.2281       0.00000      -330.551       28.6400      0.500000       5.00000       4.00000     -0.292286E-01   0.00000       0.00000       0.00000       0.00000    
        3   3.00000       3.80811       3.80811       3.80811      0.191024      0.676462E-02   0.00000      -166.089      -34.2250      -46.3587       76.7240       0.00000      -330.274       28.6400      0.500000       5.00000       4.00000     -0.419094E-01   0.00000       0.00000       0.00000       0.00000    
        4   4.00000       3.74395       3.74395       3.74395      0.121813      0.431422E-02   0.00000      -211.325      -63.5157      -51.1334       79.3476       0.00000      -329.968       28.6400      0.500000       5.00000       4.00000     -0.559223E-01   0.00000       0.00000       0.00000       0.00000    
        5   5.00000       3.64671       3.64919       3.74395      0.162588      0.575942E-02   0.00000      -251.012      -83.8389      -65.9910       69.2499       0.00000      -329.505       27.1818      0.500000       5.00000       4.00000     -0.559223E-01   0.00000       0.00000       0.00000       0.00000    
        6   6.00000       3.50469       3.51867       3.74395      0.134256      0.475708E-02   0.00000      -276.507      -91.7715      -62.6994       69.6892       0.00000      -328.829       25.2940      0.500000       5.00000       4.00000     -0.559223E-01   0.00000       0.00000       0.00000       0.00000    
        7   7.00000       3.32642       3.37015       3.74395      0.165974E-01  0.588294E-03   0.00000      -195.333      -73.4587      -43.9064       84.6900       0.00000      -327.982       22.6403      0.500000       5.00000       4.00000     -0.559223E-01   0.00000       0.00000       0.00000       0.00000    
        8   8.00000       3.03138       3.29072       3.74395      0.640015E-01  0.226982E-02   0.00000      -175.830      -66.9593      -40.0583       83.4676       0.00000      -326.585       7.79260      0.500000       5.00000       4.00000     -0.559223E-01   0.00000       0.00000       0.00000       0.00000    
        9   9.00000       2.91291       3.22442       3.74395      0.423267E-01  0.150146E-02   0.00000      -156.913      -53.2112      -33.9302       44.7120       0.00000      -326.025       7.16912      0.500000       5.00000       4.00000     -0.559223E-01   0.00000       0.00000       0.00000       0.00000    
       10   10.0000       2.73471       3.14386       3.74395      0.749721E-01  0.266039E-02   0.00000      -202.532      -41.6645      -30.6678       90.8215       0.00000      -325.184       5.41832      0.500000       5.00000       4.00000     -0.559223E-01   0.00000       0.00000       0.00000       0.00000    
       11   11.0000       2.64170       3.06366       3.69056      0.138353      0.491034E-02   0.00000      -235.414      -72.6614      -52.9599       89.8172       0.00000      -324.745       5.60138      0.500120       5.00000       4.00000     -0.675812E-01   0.00000       0.00000       0.00000       0.00000    
       12   12.0000       2.56348       2.95913       3.64317      0.137411      0.487765E-02   0.00000      -238.192      -64.6241      -48.5895       92.5492       0.00000      -324.377       7.67117      0.500508       5.00000       4.00000     -0.779316E-01   0.00000       0.00000       0.00000       0.00000    
       13   13.0000       2.46640       2.85457       3.59958      0.147210      0.522643E-02   0.00000      -239.146      -63.1526      -51.0585       94.1411       0.00000      -323.921       9.05501      0.500927       5.00000       4.00000     -0.874527E-01   0.00000       0.00000       0.00000       0.00000    
