wind_speed,mixing/coef_mix_hyp,mixing/coef_mix_KH,meteorology/cd,par_id
0.96843,0.00030577,0.64595,0.0012558,p0001
1.0989,0.00089221,0.16657,0.00095796,p0002
0.8266,0.0066302,0.71394,0.0019853,p0003
1.0563,0.0048877,0.7661,0.00097267,p0004
0.89379,0.0096718,0.2388,0.001428,p0005
0.91721,0.0048122,0.85918,0.00077147,p0006
0.99341,0.0020053,0.74566,0.00060168,p0007
0.89801,0.0056236,0.46718,0.0015712,p0008
0.94141,0.0095745,0.27531,0.0016283,p0009
0.96958,0.0005432,0.74266,0.0011082,p0010
0.96765,0.0013747,0.69988,0.001891,p0011
1.124,0.0024922,0.21959,0.00083937,p0012
1.0521,0.0099976,0.76398,0.0012993,p0013
1.1354,0.00228,0.30758,0.00081856,p0014
0.85192,0.0029597,0.79484,0.0006891,p0015
1.0451,0.0066639,0.18002,0.00084168,p0016
0.85002,0.00067593,0.27362,0.00091113,p0017
0.84943,0.0060193,0.13538,0.0008154,p0018
1.1907,0.009846,0.40149,0.0015863,p0019
0.97288,0.009686,0.7193,0.0010915,p0020
0.81336,0.0068711,0.28623,0.0014171,p0021
0.9229,0.00053222,0.55274,0.00060377,p0022
0.84919,0.0077694,0.86753,0.00058203,p0023
1.1214,0.0026822,0.87257,0.0014073,p0024
1.1414,0.0047504,0.69065,0.0009988,p0025
0.82045,0.0077253,0.11109,0.0017136,p0026
1.1526,0.00020193,0.85605,0.00036096,p0027
1.0317,0.0089225,0.23446,0.0018514,p0028
0.89647,0.0008115,0.64719,0.00064204,p0029
0.9591,0.0028317,0.42887,0.00066744,p0030
0.90868,0.0063591,0.5135,0.00084525,p0031
0.95187,0.0022434,0.52557,0.0012073,p0032
0.98622,0.0028448,0.42394,0.0015581,p0033
1.1585,0.0060208,0.27215,0.0015332,p0034
1.0035,0.0026473,0.68734,0.00085535,p0035
0.98207,0.0062356,0.77459,0.0014481,p0036
0.98964,0.0090323,0.77234,0.0011453,p0037
1.1718,0.0085379,0.26738,0.00091309,p0038
1.1729,0.00098375,0.35881,0.0018424,p0039
1.023,0.0083081,0.67463,0.00049026,p0040
0.88233,0.0080824,0.53201,0.00060873,p0041
0.98955,0.0053689,0.62959,0.0012309,p0042
0.97504,0.0067257,0.15448,0.00042697,p0043
0.83714,0.0088869,0.61375,0.0017504,p0044
0.94167,0.0013697,0.59088,0.0019308,p0045
0.94242,0.0082483,0.33968,0.0013828,p0046
1.191,0.0070166,0.40585,0.0011507,p0047
1.1936,0.00049095,0.53458,0.0014684,p0048
0.88669,0.0092245,0.49416,0.0016837,p0049
0.82544,0.0035712,0.80006,0.00010934,p0050
0.93054,0.0085891,0.21319,0.00037631,p0051
1.0966,0.0044735,0.22251,0.0012864,p0052
1.0752,0.0058014,0.797,0.0019824,p0053
0.92603,0.00094736,0.53184,0.0012623,p0054
0.88399,0.0083546,0.45417,0.0014901,p0055
0.80975,0.001892,0.26059,0.0017491,p0056
1.0915,0.0062847,0.76928,0.00059587,p0057
0.88577,0.008933,0.86845,0.0011245,p0058
1.193,0.0088487,0.81813,0.00078584,p0059
1.0348,0.0030612,0.828,0.0010007,p0060
0.95542,0.0075314,0.35436,0.001793,p0061
