wind_speed,mixing/coef_mix_hyp,mixing/coef_mix_KH,mixing/coef_wind_stir,mixing/coef_mix_shear,meteorology/cd,par_id
1.1362,0.0071782,0.43003,0.46737,0.84826,0.00021562,p0001
0.95095,0.0013422,0.77086,0.14538,0.87089,0.0019779,p0002
0.96395,0.0046139,0.42893,0.46054,0.20294,0.0002661,p0003
1.0597,0.0077508,0.20883,0.76798,0.27049,0.0017671,p0004
0.9884,0.0059264,0.34898,0.44261,0.12043,0.00024592,p0005
1.0837,0.0081717,0.20656,0.39723,0.45644,0.00031169,p0006
0.82377,0.0094256,0.21724,0.47757,0.38541,0.0017219,p0007
1.0249,0.0061755,0.35787,0.27977,0.11459,0.00059613,p0008
0.83755,0.0098391,0.48538,0.41093,0.71324,0.0014077,p0009
1.0687,0.00090776,0.1477,0.26408,0.82688,0.00064827,p0010
0.85765,0.00020238,0.43095,0.13109,0.44505,0.0014419,p0011
0.84844,0.0071674,0.85695,0.17938,0.18354,0.0019581,p0012
1.1642,0.0078273,0.25842,0.48847,0.66982,0.0016717,p0013
0.84287,0.00058584,0.70476,0.84008,0.29864,0.00089683,p0014
1.0903,0.0086119,0.74995,0.8133,0.82259,0.0016329,p0015
0.9126,0.0063083,0.49675,0.56428,0.31945,0.00060465,p0016
1.1788,0.0092082,0.72075,0.81471,0.2805,0.00071814,p0017
1.1887,0.00060016,0.15181,0.54569,0.35843,0.00044375,p0018
1.068,0.0020806,0.78475,0.32583,0.51179,0.00067931,p0019
0.82481,0.0021392,0.85507,0.64642,0.19327,0.00015036,p0020
0.85492,0.0049375,0.4643,0.62818,0.80443,0.0010526,p0021
0.98418,0.0067864,0.11765,0.64422,0.26919,0.00010009,p0022
0.89941,0.0073762,0.33007,0.78887,0.32222,0.0012672,p0023
0.8038,0.0098964,0.29892,0.46105,0.23711,0.0013609,p0024
1.1113,0.0041512,0.12905,0.83436,0.44902,0.00089495,p0025
0.96058,0.0076945,0.41701,0.29681,0.88203,0.0010492,p0026
0.80425,0.0043344,0.24379,0.22828,0.13626,0.00063934,p0027
1.1936,0.0098591,0.23781,0.5296,0.73545,0.00026012,p0028
1.17,0.0089762,0.50191,0.36755,0.48643,0.0019973,p0029
1.1667,0.00042496,0.8848,0.42376,0.10565,0.00074751,p0030
0.90137,0.0015966,0.38505,0.41569,0.87174,0.00095028,p0031
0.91968,0.003526,0.41548,0.26982,0.17419,0.0012018,p0032
1.1273,0.0046622,0.15864,0.82329,0.16966,0.0015548,p0033
1.1879,0.0011612,0.38673,0.70042,0.75239,0.0010763,p0034
1.1996,0.0058961,0.54215,0.88361,0.57805,0.00066931,p0035
0.83099,0.0023453,0.55596,0.37479,0.16518,0.00016693,p0036
1.026,0.0073349,0.69571,0.78448,0.49888,0.00040519,p0037
0.98513,0.00054907,0.56437,0.55328,0.43932,0.00055747,p0038
0.90531,0.0074587,0.86207,0.18129,0.39903,0.0011062,p0039
0.83303,0.0078331,0.80795,0.51339,0.86835,0.001578,p0040
0.99843,0.0072785,0.35907,0.44167,0.18192,0.0012409,p0041
1.0789,0.0088392,0.60565,0.22545,0.7306,0.0019278,p0042
0.95482,0.0051599,0.5593,0.22263,0.73282,0.0014757,p0043
1.1466,0.0049135,0.42626,0.11738,0.47864,0.00066805,p0044
0.96666,0.0024621,0.5825,0.71341,0.18425,0.0010587,p0045
0.85478,0.00082299,0.83784,0.13647,0.68646,0.0018685,p0046
0.98243,0.0068212,0.56872,0.65703,0.8467,0.0014785,p0047
1.0489,0.0093052,0.62274,0.77832,0.2125,0.0010314,p0048
0.89032,0.001093,0.7925,0.74904,0.58835,0.00011422,p0049
1.1537,0.0033214,0.15671,0.71908,0.22383,0.001582,p0050
1.0079,0.00064046,0.13908,0.85594,0.5014,0.0005218,p0051
