wind_speed,turb_param/k_min,g2/constant_value,g1/constant_value,A/constant_value,par_id
1.0715,0.00017154,2.2173,0.48181,1.0709,p00001
0.91387,4.3545e-09,1.0945,0.7197,0.91631,p00002
0.91743,2.9085e-13,0.53579,0.63939,0.73826,p00003
0.83917,1.4768e-13,1.3796,0.56449,0.93402,p00004
0.83999,8.2473e-10,1.4659,0.41177,0.99723,p00005
0.8949,3.3733e-05,2.8983,0.60472,1.0819,p00006
1.0159,1.2132e-08,0.70834,0.56022,0.89602,p00007
1.1587,8.1212e-06,1.0975,0.75748,1.0716,p00008
0.98785,8.1363e-07,0.72284,0.69679,0.89078,p00009
0.82615,5.8126e-15,1.2085,0.41542,0.8536,p00010
1.0077,1.1485e-08,1.6381,0.54613,0.83573,p00011
0.955,2.2818e-13,2.549,0.78731,0.78675,p00012
1.1952,2.1983e-06,3.25,0.77688,1.0897,p00013
0.99945,2.5644e-14,0.72846,0.598,1.0487,p00014
1.1411,3.0319e-10,3.2594,0.48937,1.0528,p00015
0.80762,2.4945e-09,1.5959,0.63311,1.0435,p00016
1.0391,8.5907e-08,2.2278,0.59133,0.84597,p00017
1.1713,1.5331e-12,2.5741,0.63983,0.94014,p00018
0.90534,0.0002242,1.7843,0.46229,1.0794,p00019
0.86193,2.3273e-12,0.86163,0.71264,0.9632,p00020
1.0618,1.1033e-05,2.3834,0.51101,1.0206,p00021
0.96749,8.9721e-13,2.138,0.42447,0.90534,p00022
1.1853,2.5664e-06,1.8162,0.46348,0.87909,p00023
0.98935,2.7127e-05,1.3199,0.76076,0.85709,p00024
1.0216,1.308e-09,0.92798,0.55147,0.99992,p00025
0.84823,3.8048e-07,1.6826,0.67633,1.0528,p00026
0.85372,2.0439e-12,1.5752,0.71651,0.86524,p00027
0.87126,2.5013e-13,1.7382,0.633,0.96103,p00028
1.0714,8.3284e-12,1.0946,0.73329,1.0343,p00029
0.96255,1.7299e-14,1.5387,0.74255,0.81623,p00030
0.88046,2.421e-14,1.7933,0.40292,0.8277,p00031
1.1843,1.0983e-05,3.3009,0.64911,0.74985,p00032
1.193,9.0431e-12,3.0994,0.56581,1.0075,p00033
1.1162,1.7462e-10,0.96462,0.4523,0.85439,p00034
0.8865,2.8197e-11,3.3954,0.69957,1.0463,p00035
1.0497,4.7482e-05,2.9587,0.54167,0.96826,p00036
0.87727,0.00021728,2.1262,0.51313,1.072,p00037
1.188,1.5621e-07,2.6389,0.7211,1.0738,p00038
1.1748,6.0546e-14,2.0261,0.65452,0.98664,p00039
1.1304,7.9088e-12,2.1753,0.49682,1.0674,p00040
1.0441,1.3785e-14,1.9209,0.70498,0.74538,p00041
0.8402,1.029e-10,0.50329,0.44226,0.71236,p00042
0.81289,0.00042552,1.5945,0.7347,1.0526,p00043
0.856,0.00018525,0.87088,0.52424,0.78043,p00044
0.94225,2.3474e-14,3.0191,0.72309,1.0954,p00045
0.94918,8.8405e-15,1.853,0.70154,0.81791,p00046
0.81614,3.7561e-10,1.0021,0.70959,0.8239,p00047
1.1096,4.5854e-09,0.87784,0.56752,0.92505,p00048
0.95138,1.312e-12,0.855,0.43077,1.0877,p00049
0.97788,4.0193e-13,0.94055,0.49929,1.0448,p00050
0.85655,9.12e-11,3.0601,0.5793,0.98181,p00051
1.041,2.0645e-07,1.4708,0.65215,1.06,p00052
0.81951,1.3531e-11,1.7216,0.56009,1.0163,p00053
1.0537,6.4314e-10,3.2745,0.71817,0.76522,p00054
0.9541,1.2916e-12,2.0068,0.50198,0.88213,p00055
1.129,6.1335e-15,3.4258,0.48059,0.92468,p00056
0.84287,3.3086e-05,2.8835,0.49752,0.88535,p00057
1.0975,0.00013247,3.3691,0.53974,0.81193,p00058
1.0556,3.361e-08,3.2268,0.46002,0.89508,p00059
0.95115,4.8734e-12,3.3706,0.69322,0.9822,p00060
0.81145,5.7184e-07,1.0426,0.65877,0.97724,p00061
0.88308,9.2568e-11,2.9813,0.57973,1.0026,p00062
0.8185,4.6725e-12,0.60121,0.72595,1.0666,p00063
1.1838,7.0335e-10,2.3721,0.55982,0.99434,p00064
1.0505,5.3196e-08,2.3223,0.7483,0.85481,p00065
0.84764,3.0236e-14,1.5146,0.46596,1.039,p00066
1.0855,1.8779e-14,0.68254,0.65902,1.0019,p00067
1.1984,1.1289e-09,2.1243,0.62886,0.76586,p00068
1.1659,1.3213e-06,2.7064,0.58499,1.0862,p00069
1.1173,7.322e-10,3.1449,0.74247,0.9636,p00070
0.82559,5.5291e-12,3.316,0.7855,0.98857,p00071
0.8296,3.1345e-08,1.0667,0.79218,1.0783,p00072
1.0815,1.5706e-12,3.3736,0.65308,0.91412,p00073
1.0509,5.6239e-10,3.3669,0.75254,0.74186,p00074
0.97247,7.5565e-10,3.1876,0.62769,0.80725,p00075
0.92554,0.00016752,2.7354,0.53708,0.97493,p00076
0.83508,9.5568e-05,2.7149,0.63338,1.076,p00077
1.1457,3.4111e-05,0.78979,0.67512,0.90586,p00078
1.0263,2.4698e-13,1.5668,0.49862,1.0914,p00079
1.0158,5.029e-12,2.8978,0.7072,0.80858,p00080
1.0301,0.00038198,2.1336,0.76754,0.8968,p00081
1.1835,6.5899e-13,2.5854,0.41226,0.89349,p00082
1.0954,9.6473e-11,1.0915,0.65439,0.79536,p00083
1.157,4.7622e-10,2.2997,0.66395,0.70741,p00084
0.97765,8.5338e-07,0.70596,0.5643,1.0724,p00085
0.82229,5.8717e-10,2.5833,0.51286,0.83501,p00086
1.0192,1.6623e-05,1.8595,0.55797,0.72168,p00087
1.1051,7.6936e-14,1.4465,0.53364,0.83277,p00088
0.95271,1.1961e-05,1.1001,0.55161,0.89514,p00089
0.98823,2.9733e-10,2.0946,0.75608,0.75955,p00090
1.084,3.2999e-06,2.9136,0.40702,0.75527,p00091
0.95132,1.6021e-14,1.3013,0.403,1.0917,p00092
1.0087,1.8713e-07,0.92015,0.64011,0.93787,p00093
0.80773,1.7577e-09,1.0037,0.40341,0.87413,p00094
1.0988,3.138e-14,1.7708,0.53119,0.96756,p00095
1.0358,5.3777e-05,2.0029,0.40481,1.0667,p00096
0.87739,7.9093e-10,0.87344,0.51373,1.0811,p00097
0.91713,2.2346e-06,3.37,0.51728,1.0245,p00098
0.83743,1.8039e-10,2.5059,0.66386,0.89851,p00099
1.0479,3.5874e-07,1.6899,0.5726,1.0186,p00100
1.0743,1.574e-10,2.4198,0.51793,0.79356,p00101
0.93281,1.2088e-08,2.5716,0.67933,0.91875,p00102
0.82944,1.1837e-09,1.6747,0.59486,0.95231,p00103
0.99937,4.7971e-12,2.2205,0.51866,1.0782,p00104
0.89229,6.9199e-05,2.8334,0.42356,0.81726,p00105
0.9381,8.3254e-08,2.9493,0.67394,0.88099,p00106
1.0645,4.3426e-11,3.3035,0.76403,0.93131,p00107
1.0291,3.6517e-08,1.6331,0.64836,1.0069,p00108
0.9525,9.9719e-15,2.6696,0.48544,0.98412,p00109
0.80192,2.0261e-08,0.90018,0.75614,0.93237,p00110
1.0264,2.5138e-07,1.3818,0.58189,1.0518,p00111
1.1396,2.9129e-09,2.2474,0.48214,0.9547,p00112
1.0812,7.0965e-13,0.75413,0.58738,1.022,p00113
0.82508,5.0332e-11,3.4519,0.50692,0.98016,p00114
1.1584,0.00013559,2.3734,0.67362,0.83576,p00115
0.90041,1.0221e-09,2.7042,0.61469,0.96772,p00116
0.99103,0.00036721,2.0966,0.55791,1.0024,p00117
1.0856,3.2431e-05,1.2093,0.44188,0.81607,p00118
0.93902,3.9915e-07,1.714,0.52191,0.78915,p00119
1.1864,2.7411e-11,2.0643,0.54021,1.0952,p00120
1.1516,1.195e-11,2.3837,0.75792,0.97334,p00121
1.1136,1.8079e-09,2.3519,0.59259,1.0156,p00122
1.1168,2.9722e-05,0.86583,0.76198,1.0517,p00123
0.92757,0.00018933,1.8944,0.65618,0.94499,p00124
0.876,1.0885e-14,2.4208,0.45863,0.86483,p00125
0.84723,8.4322e-08,1.2718,0.45182,0.83788,p00126
