!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
1970-01-01 00:00:00	0.10132763	-1.0342125	78105.658	-3.8725036	89.943164	0.8337108	83.673422	8.5461231e-08
1970-01-02 00:00:00	0.4600831	-0.96708141	78305.384	-10.761652	85.922748	0.22258909	126.09953	0
1970-01-03 00:00:00	1.3407355	1.6536641	78483.597	-8.0214574	84.000521	0.65212281	133.82484	0
1970-01-04 00:00:00	1.7622443	1.5596075	78282.766	-5.7651145	86.934291	0.8466447	132.45955	3.5415987e-08
1970-01-05 00:00:00	0.4850795	0.17391311	78246.944	-9.8697436	85.273789	0.71198676	132.5985	1.417819e-08
1970-01-06 00:00:00	2.1773165	2.4537592	77825.973	-8.3015588	82.558685	0.69533254	133.83019	0
1970-01-07 00:00:00	2.4487707	2.322027	77800.421	-4.898442	87.264415	0.96793755	111.83028	9.4758242e-08
1970-01-08 00:00:00	3.3994479	1.6308585	78208.129	-1.8239041	85.567295	0.66451011	114.69746	0
1970-01-09 00:00:00	2.8873443	2.5693007	78752.342	-2.6671841	84.365204	0.43422706	143.68879	0
1970-01-10 00:00:00	2.461176	-0.026115231	78685.618	-4.5909039	83.354559	0.50952314	111.4127	0
1970-01-11 00:00:00	0.098959046	2.1481044	79041.086	-10.657374	87.042836	0.24397454	135.8069	0
1970-01-12 00:00:00	1.6507522	1.2945319	78894.524	-4.6988532	89.953652	0.84279464	119.57604	0
1970-01-13 00:00:00	1.816901	2.9872644	78628.473	-1.9584292	87.13979	0.8853007	157.19086	0
1970-01-14 00:00:00	2.2834439	3.5398097	78019.072	-0.74079941	85.237974	0.92068214	128.98251	5.6386836e-08
1970-01-15 00:00:00	-0.094221639	-1.6933974	78379.816	-6.6532849	85.800746	0.64108695	155.65686	1.8852656e-08
1970-01-16 00:00:00	0.74886745	-0.67031898	78619.048	-11.599015	81.070518	0.28028435	149.96097	0
1970-01-17 00:00:00	1.0788157	-0.42991719	78649.271	-7.5855318	87.40886	0.66447553	111.63689	3.0212553e-08
