Depth [m]	Area [m^2]
5.2	1313556459
4.95	1310973560.25
4.7	1308390661.5
4.45	1305807762.75
4.2	1303224864
3.95	1300662280.75
3.7	1298099697.5
3.45	1295537114.25
3.2	1292974531
2.95	1290432103.25
2.7	1287889675.5
2.45	1285347247.75
2.2	1282804820
1.95	1280556258.88889
1.7	1278307697.77777
1.45	1276059136.66667
1.2	1273722643.67816
0.950000000000003	1271254252.87356
0.700000000000003	1268785862.06896
0.450000000000003	1266307895.66755
0.200000000000003	1263751196.5812
-0.0499999999999972	1261176410.25641
-0.299999999999997	1258601623.93162
-0.549999999999997	1256026837.60684
-0.799999999999997	1251704009.08279
-1.05	1241845713.59442
-1.3	1231987418.10605
-1.55	1222129122.61767
-1.8	1212270827.1293
-2.05	1211069127.1871
-2.3	1209867427.2449
-2.55	1208665727.3027
-2.8	1207464027.3605
-3.05	1205873181.26723
-3.3	1204282335.17395
-3.55	1202691489.08067
-3.8	1201100642.9874
-4.05	1199303466.65988
-4.3	1197506290.33235
-4.55	1195709114.00482
-4.8	1193911937.6773
-5.05	1191949894.11283
-5.3	1189987850.54835
-5.55	1188025806.98387
-5.8	1186063763.4194
-6.05	1183919684.62565
-6.3	1181775605.8319
-6.55	1179631527.03815
-6.8	1177487448.2444
-7.05	1175151241.7099
-7.3	1172815035.1754
-7.55	1170478828.6409
-7.8	1168142622.1064
-8.05	1165646131.07368
-8.3	1163149640.04095
-8.55	1160653149.00822
-8.8	1158156657.9755
-9.05	1155485772.04785
-9.3	1152814886.1202
-9.55	1150144000.19255
-9.8	1147473114.2649
-10.05	1144641747.26313
-10.3	1141810380.26135
-10.55	1138979013.25957
-10.8	1136147646.2578
-11.05	1133198078.09405
-11.3	1130248509.9303
-11.55	1127298941.76655
-11.8	1124349373.6028
-12.05	1121256457.8102
-12.3	1118163542.0176
-12.55	1115070626.225
-12.8	1111977710.4324
-13.05	1108470855.3666
-13.3	1104964000.3008
-13.55	1101457145.235
-13.8	1097950290.1692
-14.05	1094167594.9671
-14.3	1090384899.765
-14.55	1086602204.5629
-14.8	1082819509.3608
-15.05	1078869424.6755
-15.3	1074919339.9902
-15.55	1070969255.3049
-15.8	1067019170.6196
-16.05	1063108126.42853
-16.3	1059197082.23745
-16.55	1055286038.04637
-16.8	1051374993.8553
-17.05	1047469490.86808
-17.3	1043563987.88085
-17.55	1039658484.89362
-17.8	1035752981.9064
-18.05	1031547386.26013
-18.3	1027341790.61385
-18.55	1023136194.96757
-18.8	1018930599.3213
-19.05	1014291535.97645
-19.3	1009652472.6316
-19.55	1005013409.28675
-19.8	1000374345.9419
-20.05	995333490.101194
-20.3	990292634.260485
-20.55	985251778.419776
-20.8	980210922.57907
-21.05	974474501.812469
-21.3	968738081.045865
-21.55	963001660.279261
-21.8	957265239.51266
-22.05	951568705.150034
-22.3	945872170.787405
-22.55	940175636.424776
-22.8	934479102.06215
-23.05	928190763.505841
-23.3	921902424.94953
-23.55	915614086.393219
-23.8	909325747.83691
-24.05	901860235.346867
-24.3	894394722.85682
-24.55	886929210.366773
-24.8	879463697.87673
-25.05	869519852.6381
-25.3	859576007.399465
-25.55	849632162.16083
-25.8	839688316.9222
-26.05	826056716.196856
-26.3	812425115.471505
-26.55	798793514.746154
-26.8	785161914.02081
-27.05	772830601.218988
-27.3	760499288.41716
-27.55	748167975.615332
-27.8	735836662.81351
-28.05	718328834.552144
-28.3	700821006.29077
-28.55	683313178.029396
-28.8	665805349.76803
-29.05	632691557.907445
-29.3	599577766.046845
-29.55	566463974.186244
-29.8	533350182.32566
-30.05	509012744.657161
-30.3	484675306.98865
-30.55	460337869.320139
-30.8	436000431.65164
-31.05	410120164.480863
-31.3	384239897.310075
-31.55	358359630.139287
-31.8	332479362.96851
-32.05	318229503.146293
-32.3	303979643.32407
-32.55	289729783.501847
-32.8	275479923.67963
-33.05	265878086.912595
-33.3	256276250.145555
-33.55	246674413.378515
-33.8	237072576.61148
-34.05	233937222.475803
-34.3	230801868.340125
-34.55	227666514.204447
-34.8	224531160.06877
-35.05	223406220.677543
-35.3	222281281.286315
-35.55	221156341.895087
-35.8	220031402.50386
-36.05	218902919.423305
-36.3	217774436.34275
-36.55	216645953.262195
-36.8	215517470.18164
-37.05	214195510.907618
-37.3	212873551.633595
-37.55	211551592.359572
-37.8	210229633.08555
-38.05	208802641.88405
-38.3	207375650.68255
-38.55	205948659.48105
-38.8	204521668.27955
-39.05	203096972.164293
-39.3	201672276.049035
-39.55	200247579.933777
-39.8	198822883.81852
-40.05	197444574.746383
-40.3	196066265.674245
-40.55	194687956.602107
-40.8	193309647.52997
-41.05	191912822.770793
-41.3	190515998.011615
-41.55	189119173.252437
-41.8	187722348.49326
-42.05	186290644.592038
-42.3	184858940.690815
-42.55	183427236.789592
-42.8	181995532.88837
-43.05	180566963.31051
-43.3	179138393.73265
-43.55	177709824.15479
-43.8	176281254.57693
-44.05	174674820.157228
-44.3	173068385.737525
-44.55	171461951.317822
-44.8	169855516.89812
-45.05	167680077.053845
-45.3	165504637.20957
-45.55	163329197.365295
-45.8	161153757.52102
-46.05	158560245.560188
-46.3	155966733.599355
-46.55	153373221.638522
-46.8	150779709.67769
-47.05	147460255.252818
-47.3	144140800.827945
-47.55	140821346.403072
-47.8	137501891.9782
-48.05	135138885.244636
-48.3	132775878.51107
-48.55	130412871.777504
-48.8	128049865.04394
-49.05	126134296.298073
-49.3	124218727.552205
-49.55	122303158.806337
-49.8	120387590.06047
-50.05	118400356.81818
-50.3	116413123.57589
-50.55	114425890.3336
-50.8	112438657.09131
-51.05	110215789.357893
-51.3	107992921.624475
-51.55	105770053.891057
-51.8	103547186.15764
-52.05	101167621.609731
-52.3	98788057.061821
-52.55	96408492.513911
-52.8	94028927.966002
-53.05	91874711.050951
-53.3	89720494.1358989
-53.55	87566277.220847
-53.8	85412060.305796
-54.05	83056872.305672
-54.3	80701684.3055469
-54.55	78346496.305422
-54.8	75991308.305298
-55.05	73710577.334603
-55.3	71429846.363907
-55.55	69149115.393211
-55.8	66868384.422516
-56.05	64232374.2079206
-56.3	61596363.993324
-56.55	58960353.7787274
-56.8	56324343.564132
-57.05	53983905.4132125
-57.3	51643467.262292
-57.55	49303029.1113715
-57.8	46962590.960452
-58.05	44533566.974478
-58.3	42104542.9885029
-58.55	39675519.0025279
-58.8	37246495.016554
-59.05	34242201.3858764
-59.3	31237907.7551974
-59.55	28233614.1245185
-59.8	25229320.493841
-60.05	22634278.6516293
-60.3	20039236.8094164
-60.55	17444194.9672036
-60.8	14849153.124992
-61.05	13377933.0731803
-61.3	11906713.021368
-61.55	10435492.9695558
-61.8	8964272.9177442
-62.05	7985407.12267576
-62.3	7006541.32760688
-62.55	6027675.53253803
-62.8	5048809.7374696
-63.05	4516386.63881739
-63.3	3983963.54016494
-63.55	3451540.44151251
-63.8	2919117.3428603
-64.05	2794542.71831195
-64.3	2669968.09376355
-64.55	2545393.46921515
-64.8	2420818.8446668
-65.05	2339756.19897382
-65.3	2258693.5532808
-65.55	2177630.90758778
-65.8	2096568.2618948
-66.05	2028116.68358949
-66.3	1959665.10528415
-66.55	1891213.52697881
