datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
0	0.12212927	-1.2465269	-3.8725036	59.329892	4.1265	260.24396	0.00030766043
1	0.55453396	-1.1656144	-10.761652	89.412757	2.3112715	184.95506	0
2	1.6159763	1.9931463	-8.0214574	94.890505	2.804927	200.55903	0
3	2.124017	1.8797807	-5.7651145	93.922429	3.4552469	222.61817	0.00012749755
4	0.58466189	0.20961589	-9.8697436	94.020947	2.4624606	192.4067	5.1041482e-05
5	2.6242997	2.9574935	-8.3015588	94.894298	2.6971642	188.06256	0
6	2.951481	2.798718	-4.898442	79.294935	3.7050289	254.39313	0.00034112967
7	4.0973236	1.9656588	-1.8239041	81.327951	4.5735659	237.84614	0
8	3.4800898	3.0967547	-2.6671841	101.88468	4.2358975	201.32247	0
9	2.966433	-0.03147645	-4.5909039	78.998846	3.6224694	208.53708	0
10	0.11927444	2.5890906	-10.657374	96.295915	2.3609709	176.3445	0
11	1.9896366	1.5602875	-4.6988532	84.787181	3.8774361	249.07957	0
12	2.1898942	3.6005225	-1.9584292	111.45853	4.6115101	231.45436	0
13	2.7522141	4.2665003	-0.74079941	91.456981	4.9338597	251.99324	0.00020299261
14	-0.11356448	-2.0410365	-6.6532849	110.37083	3.1855028	205.77347	6.786956e-05
15	0.9026031	-0.80792935	-11.599015	106.33207	2.039189	178.31203	0
16	1.3002867	-0.51817527	-7.5855318	79.157804	3.0194382	220.18764	0.00010876519
17	1.8166338	-1.3298165	-5.9973202	92.638026	3.3507196	239.8195	5.3383645e-05
18	0.97925853	-1.3810332	-7.0231775	99.084305	3.3024338	203.48731	0
19	0.20296928	-0.15478418	-11.361936	108.32521	2.2325523	185.48712	0
20	-0.020046019	-1.1425016	-12.077877	111.08228	2.0076298	180.00141	0
21	-0.8538654	0.37809884	-12.153773	121.14394	2.1592944	188.21901	0
22	-0.82704691	1.6143334	-11.928462	111.57296	2.1675951	177.42898	0
23	-0.57938675	2.0491244	-12.889462	115.90611	1.90867	170.99032	0
24	0.18771424	-0.060084481	-14.675786	119.93029	1.5922028	163.84983	0
25	-1.049706	0.9613546	-14.358153	119.74016	1.6563136	165.63815	0
26	-1.047477	3.3847177	-9.5908987	117.69878	2.5498107	177.79246	0
27	0.52755898	2.6885177	-9.3255779	135.96908	2.4306278	189.52967	0
28	0.082310913	3.4588933	-4.5212101	124.2058	3.9566859	238.14924	0.00021246843
29	1.9264732	2.2780021	-6.0763926	121.16113	3.3540717	193.39931	0
30	1.9723687	1.4806509	-4.7523708	105.40612	3.81289	249.14928	6.8331093e-05
31	2.0240945	-0.78043342	-5.8683403	117.85572	3.4201802	208.51101	9.6885366e-05
32	0.67691409	0.86271499	-9.5499362	124.56383	2.52984	192.70237	0
33	-0.056249158	2.9703545	-8.5721756	145.88475	2.5772061	191.74674	0
34	0.45831709	1.5488318	-6.0634366	132.5846	3.2553012	245.1428	0
35	1.1803637	1.2880052	-1.6181132	71.318415	5.0728239	293.62502	0.00032628542
36	0.13925262	-1.4600931	-2.7365104	83.042967	4.7065078	289.70951	0.00064197041
37	-0.96223598	-1.7997271	-7.1355628	129.23959	3.175457	222.94809	0.00020938927
38	-1.3787123	0.38817457	-9.9342934	136.0197	2.5198127	198.3577	6.0141711e-05
39	-0.94460268	0.39213758	-13.080135	140.36505	1.9610896	176.64018	0
40	0.26721574	0.19575969	-14.645675	150.91197	1.7071203	165.36766	0
41	0.30821324	0.0010255375	-13.404153	145.2623	1.896709	179.76179	0
42	-1.3698678	0.98661134	-12.150957	146.45512	2.1486432	180.52374	0
43	-1.9678227	0.32074055	-8.9915801	148.76528	2.6828808	202.45159	5.7794127e-05
44	-1.3176125	-0.90169597	-10.328336	152.35799	2.4455131	193.27151	0
45	-1.1117306	-0.75777205	-11.775295	153.69125	2.1729734	186.18357	0
46	0.72636309	-1.7233123	-11.756626	153.63954	2.1696607	176.34145	0
47	1.5908571	-1.5957592	-7.0945516	134.73292	3.1999606	232.72834	0.00013701041
48	2.0070424	-0.12893567	-5.9769181	156.04708	3.4177977	214.86614	0
49	2.1734586	2.3961908	-6.0322606	158.55	3.4058841	224.23855	0.00013588471
50	1.6104854	0.30215947	-5.0298156	152.10213	3.6589141	244.1666	0.00026558673
51	2.337402	4.0334525	-3.5241678	143.36979	3.935191	224.16035	8.8765541e-05
52	-0.050071122	-0.69921778	-8.642671	167.731	2.867736	208.80592	0.00011498664
53	0.41266265	-1.4696891	-8.8763266	159.90283	2.7392244	191.75564	0
54	2.0802213	2.6430455	-6.2952178	145.35729	3.2316379	229.62929	4.3784126e-05
55	1.6094035	2.2462248	-2.6103502	117.81739	4.5507889	280.37831	0.00028986793
56	1.226682	2.3818765	-2.535844	151.41946	4.5522806	247.74153	8.0123883e-05
57	0.48224096	4.035995	-3.3849035	165.69199	4.0422861	232.91266	0.00012715534
58	2.1805639	-1.5888503	-5.8594883	170.15065	3.3498306	221.86902	0.00013168427
59	2.1943865	1.7955128	-6.7981083	175.31726	3.0957195	207.31042	7.3674268e-05
60	2.2277454	3.4097291	-1.3286187	131.10674	4.8516874	266.94774	0.00022953422
61	2.007074	1.6420053	-5.1206524	179.00093	3.4721561	190.52511	0
62	2.0659	4.4190261	-0.84632831	182.41298	4.9498236	246.71327	0.00011371667
63	3.069544	3.8321261	-1.9481467	168.97951	4.2822997	227.34415	4.2499523e-05
64	1.4037916	-0.71012104	-3.2782703	103.89317	4.0307212	245.43469	0.00032287295
65	1.9807296	-1.6042955	-5.8008128	176.3032	3.3383804	215.42765	5.7936274e-05
66	1.3347758	0.088727223	-7.3362445	186.64799	3.0157495	191.02782	0
67	0.99180954	0.29358361	-3.9220553	175.5864	4.1005622	266.02809	0.00029746832
68	0.41194149	-0.23020459	-3.8676012	187.5884	4.1905598	208.31324	0
69	0.34193982	2.0065192	-6.3114882	194.07688	3.1520693	208.7745	0
70	2.122391	2.2138859	-1.4686722	205.5654	4.2969711	215.87653	0
71	2.1895944	0.49685638	-0.55234721	143.55358	4.9833452	252.56394	6.2391393e-05
72	0.54810153	-0.8189818	-4.6441576	196.45082	3.801835	224.87217	0
73	-1.2297849	-0.89768436	-5.0561212	180.66103	3.7982166	239.48367	0.00022099131
74	-1.4491443	-1.161864	-5.4943455	176.55435	3.6295971	234.91445	6.0280333e-05
75	-1.265579	-0.3295703	-8.3474943	204.13076	2.7556011	197.03299	0
76	-1.7981966	3.700035	-4.3584504	187.10315	3.6824288	210.55282	0
77	0.24461258	2.323233	-6.5466262	207.5306	3.0074286	180.77633	0
78	0.051864415	0.0067853702	-9.5435257	212.22777	2.4287003	185.45357	0
79	-0.31505795	-1.9838148	-8.1050678	206.40541	2.8918817	193.42072	0
80	-1.1874394	-0.40815684	-8.3596628	205.57215	2.8585569	200.92474	0
81	-0.73720906	-1.5180932	-8.0594557	211.50573	2.7868434	197.40606	0
82	-0.14934413	-1.4591782	-6.4570813	209.46715	3.3366987	217.24129	0
83	0.42269978	-0.93578847	-6.0642502	212.65922	3.329447	209.90949	0
84	0.35484571	-0.78558288	-6.3133122	219.96172	3.2389393	215.16526	0
85	0.3791948	0.2100276	-5.4450841	214.40406	3.4209407	211.7568	0
86	0.74070594	2.9881349	-2.2645056	233.10259	3.9772921	214.87572	0
87	1.3877229	3.914629	0.87410267	223.54635	5.020456	216.16721	0
88	1.541048	1.1872362	-4.7665703	226.63602	3.3070128	184.77974	0
89	1.0683128	1.3622922	-6.0695903	224.71914	2.9783572	200.9666	0
90	2.037502	2.7319486	-0.60290649	162.92479	4.9327786	258.44154	5.1390765e-05
91	1.9016192	-0.22422236	-0.42915702	160.28171	5.1185765	255.29502	0.00030600468
92	1.0835992	-1.3386751	-6.0338415	230.13264	2.9948223	185.46483	0
93	2.0432819	2.6291297	-2.0693056	226.13451	4.1797602	229.8245	0
94	2.6224551	2.9819381	3.3054946	203.58444	6.8635254	287.98021	0.0001102357
95	3.1079152	3.2847489	4.9062092	221.47813	7.2288859	234.77596	0
96	1.0279916	2.0439413	2.5900458	243.52209	5.6362137	229.88927	0
97	-0.13470309	-2.2233301	-1.9156386	178.8282	4.3417371	241.86356	0.0001418188
98	-1.0979499	-1.7160347	-5.3917827	221.55969	3.2744843	223.12643	0.00020018791
99	-1.5049077	-1.0357334	-2.8632701	187.70878	4.2614747	256.45813	0.00015006065
100	0.98257697	2.7256101	-1.1216485	238.44977	4.7810979	244.14764	7.0701814e-05
101	2.3842412	1.0173002	3.8006978	147.19698	7.0888145	302.68623	0
102	2.8616946	3.2277103	4.8055768	205.72824	6.9542963	260.78725	0
103	2.3044776	3.9450264	5.8979901	243.09736	6.6308511	246.58553	0
104	2.2452688	4.0603034	6.4352984	209.64886	7.4280427	251.92831	0
105	1.3864232	2.158026	4.0326496	235.86911	6.5451094	232.79509	0
106	-1.2818541	1.2189497	1.0800311	116.09594	6.2548391	288.2311	0.00060591339
107	-0.17136328	2.5358757	1.8965919	180.52307	6.1883042	262.08872	6.9085597e-05
108	2.1307943	2.3058887	2.3767587	243.33883	5.9230868	236.88753	0
109	0.24253617	1.0504532	0.9053857	207.03562	5.5834655	235.98835	4.3010189e-05
110	-1.5547244	0.67060483	1.643602	111.49118	6.4413692	298.47226	0.00064357751
111	0.29111599	1.5900584	1.7214167	161.35562	6.0456742	253.27476	0
112	0.065871046	-0.30599346	-0.38015865	233.35428	5.1220963	233.78842	0
113	-0.96214603	2.0160499	2.9092979	137.65884	6.9677123	300.90822	0.00042972025
114	-1.6572832	-0.26369131	4.6352694	166.24924	8.2504148	326.56007	0.00089979593
115	0.0013730051	2.9146773	4.4293228	147.5514	7.5111528	292.12392	0.00029359638
116	1.6735877	-1.8419526	4.2438174	143.13789	7.6259533	317.08442	0.00033933301
117	-0.98837627	-2.0925917	3.9593024	226.03918	7.0981784	247.25012	0
118	-0.832946	0.20825783	2.2264252	249.13143	6.0360195	226.87445	0
119	-0.64951627	-0.27291708	1.9507457	254.5559	5.6033157	218.63831	0
120	-0.51795089	-1.3148198	3.2025231	254.32195	5.9441224	230.17684	0
121	-0.77199249	-1.4073259	4.6051475	254.51494	7.280585	247.58472	0
122	-0.60707386	-1.1726964	5.9120458	250.29963	8.0283889	271.85183	0
123	-0.73531329	-0.55189737	5.287489	173.66647	7.7199882	283.42583	6.1230437e-05
124	-0.66072889	0.10538584	4.1463451	108.32852	7.6795971	331.25602	0.00023372607
125	0.19908109	-1.3958096	5.141454	190.83408	8.0314847	282.60379	0.00021787548
126	-0.78322596	-1.2625221	2.9085716	138.36434	7.1422998	310.378	0.00098853057
127	0.45046116	-2.5782984	1.2922102	124.4877	6.3333383	316.77027	0.0013748903
128	-0.75672795	-3.0603824	0.89031869	193.30391	5.815031	278.47657	0.00067862459
129	0.49396679	-2.6665174	0.63859358	234.29262	5.1878203	248.05519	4.1805519e-05
130	0.13409952	-2.0515265	0.49921215	247.68261	5.1711322	232.91145	0
131	-0.64290031	-0.89558698	0.48659741	273.322	5.1955885	219.1521	0
132	-0.72175126	-0.094732792	1.7266304	265.71425	5.8224023	225.69479	0
133	-0.55828085	-1.0800701	3.5596722	285.94492	6.3572501	230.64661	0
134	-0.74478753	-0.61824083	4.3599217	259.34425	6.9038489	241.96013	0
135	-0.72305015	0.83364789	5.0430144	196.43093	7.5539903	276.63724	6.4121401e-05
136	-0.61090654	0.22983731	4.943815	171.24562	7.8654066	291.87213	0.00015512951
137	-0.073039271	-0.66024121	4.9279897	193.84365	7.8195463	272.01574	7.7431447e-05
138	0.802169	-1.0196811	5.499597	207.90997	7.6141904	270.29099	5.4845301e-05
139	-0.70475619	0.72471095	5.4950674	174.56255	8.25465	313.51247	0.0002539122
140	-0.95854196	3.092347	6.8235498	158.31836	8.5919292	275.11365	0.00013041159
141	1.4997417	0.25379163	7.0944088	254.57295	7.9527703	256.61749	5.7517327e-05
142	-0.16504257	-2.0708379	4.9063187	182.23652	7.4872578	263.14568	0.00015693355
143	-0.46618608	-1.4266776	4.5621143	243.75873	6.7353947	262.08099	0
144	-0.77186425	-1.2770038	5.5841405	241.43501	7.3961174	255.43654	0
145	-0.8722455	1.2294581	7.0768878	244.18636	7.9479756	255.14445	0
146	-1.2944509	2.0662905	8.2173232	240.63057	8.3211802	252.98534	0
147	-1.4380459	1.5358259	8.130548	278.23552	8.1217204	239.27988	0
148	-1.2964754	0.91436394	7.7557037	206.62647	8.5598895	285.20645	0.00014314917
149	-0.69145094	2.0300332	6.8737773	108.01844	8.8065096	302.48219	0.00022286003
150	0.70702886	0.97260052	5.9536128	111.93663	8.3390591	297.86505	0.00021995529
151	-0.69593741	0.081741037	5.1015572	111.82556	8.0103696	314.98227	0.00048265871
152	1.4636802	-2.9713983	7.075669	132.97063	9.0067436	332.94161	0.00069019394
153	1.4739505	-3.1526651	8.0764187	125.86811	9.5500611	342.85979	0.00053143239
154	-0.40322766	-1.5889553	6.6829734	138.56263	9.0426932	321.75669	0.00045934764
155	0.58476047	0.042783089	7.5838859	176.287	9.1898584	306.9344	0.00040624812
156	0.35191258	-0.9882518	8.1261176	193.50851	9.3035536	286.08126	0
157	-0.43169607	2.0960645	7.8550621	135.02499	9.2527247	318.5773	0.0003593044
158	1.1402274	-0.19113854	9.01864	185.49894	9.9044649	299.67291	0.00037724734
159	1.5341464	-1.8577326	8.4390443	220.81762	9.3733318	283.4484	0
160	1.1602274	1.282095	8.5242577	161.67308	9.1603892	281.67871	0.00016353808
161	1.0741785	1.6432389	10.979474	289.13405	9.6428658	262.58462	0
162	-0.44849044	2.5413521	11.540126	189.94038	10.004554	327.88923	0
163	-0.99789931	0.35502	11.387607	190.09115	10.92318	327.2869	5.5719591e-05
164	-0.76336104	-0.71348158	10.092268	109.2464	10.60228	356.70442	6.8246648e-05
165	-1.2149439	-0.99296285	12.079066	146.15219	10.884831	352.67152	0.00014316398
166	-1.4483387	0.82247698	11.665614	143.14399	11.860213	336.92803	0.00048333117
167	-1.2262261	-0.52585416	10.81342	131.627	11.558095	340.62223	0.0004636813
168	-0.4570998	-0.97980545	11.086472	143.25517	11.517215	342.29961	0.00042807339
169	0.16197671	-2.1125879	10.79604	205.73269	10.537246	327.63589	0.00039015505
170	-1.0973459	-1.9834054	8.6420177	87.545819	10.917839	358.5659	0.0010962214
171	-1.3320075	-1.0910252	9.634686	126.83525	11.553021	337.50336	0.00037006413
172	-1.0950495	-0.065917081	11.627232	254.56219	11.726357	300.46427	0
173	-1.0364003	-0.22003635	12.272553	244.60659	12.400978	317.61039	0.00012986609
174	-1.1965042	-0.41602666	12.77486	248.6403	11.959826	307.44072	0.00010365695
175	-1.0177323	2.8985969	12.412221	185.96327	12.235809	308.84865	0.00021952521
176	-0.25083437	-0.62035957	10.475166	198.19174	11.036908	321.59666	0.00023234376
177	1.1619763	0.27603423	11.628365	246.13207	10.536676	281.78938	0
178	-0.64428901	0.25491814	11.869903	284.696	10.336805	273.52888	0
179	-0.68205642	0.12371903	12.236458	258.07964	11.411729	288.76695	0
180	-0.15908117	-0.61355018	12.293664	278.90326	11.000437	275.76143	0
181	-0.70612822	-1.658736	11.721888	244.29914	11.181406	288.89458	6.2548843e-05
182	-0.65018734	-1.7861638	11.953422	268.0382	11.083923	288.58795	0
183	-1.1497946	-1.5517273	12.001714	248.6376	10.628698	293.64651	0
184	-1.7453664	-0.99485641	12.437942	179.01432	11.620599	351.02437	0.00040781249
