"",77.800
0.0000,0.0000E+000
1.0000,0.0000E+000
2.0000,0.0000E+000
3.0000,0.0000E+000
4.0000,0.0000E+000
5.0000,0.0000E+000
6.0000,0.0000E+000
7.0000,0.0000E+000
8.0000,0.0000E+000
9.0000,0.0000E+000
10.0000,0.0000E+000
11.0000,0.0000E+000
12.0000,0.0000E+000
13.0000,0.0000E+000
14.0000,0.0000E+000
15.0000,0.0000E+000
16.0000,0.0000E+000
17.0000,0.0000E+000
18.0000,0.0000E+000
19.0000,0.0000E+000
20.0000,0.0000E+000
21.0000,0.0000E+000
22.0000,3.7112E-002
23.0000,8.4958E-002
24.0000,1.2686E-001
25.0000,1.6384E-001
26.0000,1.9066E-001
27.0000,2.1036E-001
28.0000,2.2383E-001
29.0000,2.3186E-001
30.0000,2.3900E-001
31.0000,2.4511E-001
32.0000,2.5278E-001
33.0000,2.6137E-001
34.0000,2.6820E-001
35.0000,2.7150E-001
36.0000,2.7278E-001
37.0000,2.7500E-001
38.0000,2.7856E-001
39.0000,2.8325E-001
40.0000,2.8883E-001
41.0000,2.9444E-001
42.0000,2.9953E-001
43.0000,3.0368E-001
44.0000,3.0740E-001
45.0000,3.1163E-001
46.0000,3.1610E-001
47.0000,3.1959E-001
48.0000,3.2192E-001
49.0000,3.2404E-001
50.0000,3.2593E-001
51.0000,3.2732E-001
52.0000,3.2929E-001
53.0000,3.3204E-001
54.0000,3.3438E-001
55.0000,3.3571E-001
56.0000,3.3647E-001
57.0000,3.3732E-001
58.0000,3.3864E-001
59.0000,3.4039E-001
60.0000,3.4146E-001
61.0000,3.4233E-001
62.0000,3.4308E-001
63.0000,3.4345E-001
64.0000,3.4412E-001
65.0000,3.4524E-001
66.0000,3.4683E-001
67.0000,3.4816E-001
68.0000,3.4907E-001
69.0000,3.5026E-001
70.0000,3.5113E-001
71.0000,3.5136E-001
72.0000,3.5197E-001
73.0000,3.5308E-001
74.0000,3.5425E-001
75.0000,3.5578E-001
76.0000,3.5716E-001
77.0000,3.5836E-001
78.0000,3.6014E-001
79.0000,3.6207E-001
80.0000,3.6387E-001
81.0000,3.6566E-001
82.0000,3.6724E-001
83.0000,3.6861E-001
84.0000,3.6996E-001
85.0000,3.7124E-001
86.0000,3.7206E-001
87.0000,3.7219E-001
88.0000,3.7264E-001
89.0000,3.7383E-001
90.0000,3.7453E-001
91.0000,3.7464E-001
92.0000,3.7533E-001
93.0000,3.7614E-001
94.0000,3.7613E-001
95.0000,3.7579E-001
96.0000,3.7388E-001
97.0000,3.7205E-001
98.0000,3.7648E-001
99.0000,3.8015E-001
100.0000,3.8158E-001
101.0000,3.7986E-001
102.0000,3.7014E-001
103.0000,3.5724E-001
104.0000,3.4362E-001
105.0000,3.2950E-001
106.0000,3.1797E-001
107.0000,3.0766E-001
108.0000,2.9284E-001
109.0000,2.7680E-001
110.0000,2.6505E-001
111.0000,2.5450E-001
112.0000,2.4305E-001
113.0000,2.2988E-001
114.0000,2.1764E-001
115.0000,2.0477E-001
116.0000,1.9256E-001
117.0000,1.7709E-001
118.0000,1.5781E-001
119.0000,1.3734E-001
120.0000,1.1655E-001
121.0000,9.6096E-002
122.0000,7.6147E-002
123.0000,5.9644E-002
124.0000,4.8445E-002
125.0000,3.6528E-002
126.0000,2.3834E-002
127.0000,1.3389E-002
128.0000,3.1609E-003
129.0000,0.0000E+000
130.0000,0.0000E+000
131.0000,0.0000E+000
132.0000,0.0000E+000
133.0000,0.0000E+000
134.0000,0.0000E+000
135.0000,0.0000E+000
136.0000,0.0000E+000
137.0000,0.0000E+000
138.0000,0.0000E+000
