"",77.800
0.0000,0.0000E+000
1.0000,1.8496E+002
2.0000,2.0056E+002
3.0000,2.2262E+002
4.0000,1.9241E+002
5.0000,1.8806E+002
6.0000,2.5439E+002
7.0000,2.3785E+002
8.0000,2.0132E+002
9.0000,2.0854E+002
10.0000,1.7634E+002
11.0000,2.4908E+002
12.0000,2.3145E+002
13.0000,2.5199E+002
14.0000,2.0577E+002
15.0000,1.7831E+002
16.0000,2.2019E+002
17.0000,2.3982E+002
18.0000,2.0349E+002
19.0000,1.8549E+002
20.0000,1.8000E+002
21.0000,1.8822E+002
22.0000,0.0000E+000
23.0000,0.0000E+000
24.0000,0.0000E+000
25.0000,0.0000E+000
26.0000,0.0000E+000
27.0000,0.0000E+000
28.0000,0.0000E+000
29.0000,0.0000E+000
30.0000,0.0000E+000
31.0000,0.0000E+000
32.0000,0.0000E+000
33.0000,0.0000E+000
34.0000,0.0000E+000
35.0000,0.0000E+000
36.0000,0.0000E+000
37.0000,0.0000E+000
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,0.0000E+000
41.0000,0.0000E+000
42.0000,0.0000E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,0.0000E+000
65.0000,0.0000E+000
66.0000,0.0000E+000
67.0000,0.0000E+000
68.0000,0.0000E+000
69.0000,0.0000E+000
70.0000,0.0000E+000
71.0000,0.0000E+000
72.0000,0.0000E+000
73.0000,0.0000E+000
74.0000,0.0000E+000
75.0000,0.0000E+000
76.0000,0.0000E+000
77.0000,0.0000E+000
78.0000,0.0000E+000
79.0000,0.0000E+000
80.0000,0.0000E+000
81.0000,0.0000E+000
82.0000,0.0000E+000
83.0000,0.0000E+000
84.0000,0.0000E+000
85.0000,0.0000E+000
86.0000,0.0000E+000
87.0000,2.1617E+002
88.0000,0.0000E+000
89.0000,0.0000E+000
90.0000,0.0000E+000
91.0000,0.0000E+000
92.0000,0.0000E+000
93.0000,0.0000E+000
94.0000,2.8798E+002
95.0000,2.3478E+002
96.0000,2.2989E+002
97.0000,0.0000E+000
98.0000,0.0000E+000
99.0000,0.0000E+000
100.0000,0.0000E+000
101.0000,3.0269E+002
102.0000,2.6079E+002
103.0000,2.4659E+002
104.0000,2.5193E+002
105.0000,2.3280E+002
106.0000,2.8823E+002
107.0000,2.6209E+002
108.0000,2.3689E+002
109.0000,2.3599E+002
110.0000,2.9847E+002
111.0000,2.5327E+002
112.0000,0.0000E+000
113.0000,3.0091E+002
114.0000,3.2656E+002
115.0000,2.9212E+002
116.0000,3.1708E+002
117.0000,2.4725E+002
118.0000,2.2687E+002
119.0000,2.1864E+002
120.0000,2.3018E+002
121.0000,2.4758E+002
122.0000,2.7185E+002
123.0000,2.8343E+002
124.0000,3.3126E+002
125.0000,2.8260E+002
126.0000,3.1038E+002
127.0000,3.1677E+002
128.0000,2.7848E+002
129.0000,2.4806E+002
130.0000,2.3291E+002
131.0000,2.1915E+002
