"",77.800
0.0000,0.0000E+000
1.0000,-6.0538E+001
2.0000,-5.3044E+001
3.0000,-4.3774E+001
4.0000,-5.2262E+001
5.0000,-6.7560E+001
6.0000,-4.6756E+001
7.0000,-3.0307E+001
8.0000,-3.6012E+001
9.0000,-3.6289E+001
10.0000,-6.6841E+001
11.0000,-3.2866E+001
12.0000,-2.7106E+001
13.0000,-2.3243E+001
14.0000,-3.9843E+001
15.0000,-5.9803E+001
16.0000,-3.8613E+001
17.0000,-3.5125E+001
18.0000,-3.6658E+001
19.0000,-5.1045E+001
20.0000,-5.3862E+001
21.0000,-4.9389E+001
22.0000,0.0000E+000
23.0000,0.0000E+000
24.0000,0.0000E+000
25.0000,0.0000E+000
26.0000,0.0000E+000
27.0000,0.0000E+000
28.0000,0.0000E+000
29.0000,0.0000E+000
30.0000,0.0000E+000
31.0000,0.0000E+000
32.0000,0.0000E+000
33.0000,0.0000E+000
34.0000,0.0000E+000
35.0000,0.0000E+000
36.0000,0.0000E+000
37.0000,0.0000E+000
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,0.0000E+000
41.0000,0.0000E+000
42.0000,0.0000E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,0.0000E+000
65.0000,0.0000E+000
66.0000,0.0000E+000
67.0000,0.0000E+000
68.0000,0.0000E+000
69.0000,0.0000E+000
70.0000,0.0000E+000
71.0000,0.0000E+000
72.0000,0.0000E+000
73.0000,0.0000E+000
74.0000,0.0000E+000
75.0000,0.0000E+000
76.0000,0.0000E+000
77.0000,0.0000E+000
78.0000,0.0000E+000
79.0000,0.0000E+000
80.0000,0.0000E+000
81.0000,0.0000E+000
82.0000,0.0000E+000
83.0000,0.0000E+000
84.0000,0.0000E+000
85.0000,0.0000E+000
86.0000,0.0000E+000
87.0000,6.5674E+000
88.0000,0.0000E+000
89.0000,0.0000E+000
90.0000,0.0000E+000
91.0000,0.0000E+000
92.0000,0.0000E+000
93.0000,0.0000E+000
94.0000,2.3745E+001
95.0000,4.0134E+001
96.0000,1.0720E+001
97.0000,0.0000E+000
98.0000,0.0000E+000
99.0000,0.0000E+000
100.0000,0.0000E+000
101.0000,1.7823E+001
102.0000,3.7500E+001
103.0000,4.8747E+001
104.0000,5.4013E+001
105.0000,1.8712E+001
106.0000,3.4560E+000
107.0000,8.7203E+000
108.0000,1.3499E+001
109.0000,1.7657E+000
110.0000,5.0343E+000
111.0000,5.0338E+000
112.0000,0.0000E+000
113.0000,1.1757E+001
114.0000,1.4071E+001
115.0000,2.3354E+001
116.0000,1.9106E+001
117.0000,1.6576E+001
118.0000,3.4580E+000
119.0000,2.4862E+000
120.0000,8.1870E+000
121.0000,1.3372E+001
122.0000,1.4123E+001
123.0000,8.7940E+000
124.0000,5.0186E+000
125.0000,1.3114E+001
126.0000,7.8173E+000
127.0000,6.1183E+000
128.0000,5.0775E+000
129.0000,3.1328E+000
130.0000,1.8566E+000
131.0000,2.7562E-001
132.0000,-4.0825E+000
133.0000,-2.7982E-001
134.0000,5.2191E-001
135.0000,1.3444E+000
136.0000,6.4319E-001
137.0000,5.6255E-001
138.0000,1.7668E+000
139.0000,1.0816E+000
140.0000,8.4007E+000
141.0000,4.3124E+000
142.0000,4.4411E-001
143.0000,-5.4702E-001
144.0000,9.7575E-001
145.0000,3.1882E+000
146.0000,7.9365E+000
147.0000,6.3111E+000
148.0000,3.7442E+000
149.0000,2.8153E+000
150.0000,3.4237E-001
151.0000,-1.2809E+000
152.0000,4.0516E+000
153.0000,8.1651E+000
154.0000,1.1406E+000
155.0000,8.3484E-001
156.0000,1.8171E+000
157.0000,2.3781E+000
158.0000,2.5065E+000
159.0000,2.8906E+000
160.0000,1.9183E+000
161.0000,7.1871E+000
162.0000,9.8623E+000
163.0000,3.3182E+000
164.0000,1.1283E+000
165.0000,4.5454E+000
166.0000,3.2957E+000
167.0000,8.3586E-001
168.0000,5.4260E-001
169.0000,-6.6408E-001
170.0000,-8.3789E+000
171.0000,-3.7360E+000
172.0000,3.3900E-001
173.0000,2.3875E-001
174.0000,6.0056E-002
175.0000,-1.8914E+000
176.0000,-6.1568E+000
177.0000,-4.0076E+000
178.0000,-3.5471E+000
179.0000,-3.8514E+000
180.0000,-4.4010E+000
181.0000,-9.0104E+000
182.0000,-8.9038E+000
183.0000,-9.3437E+000
184.0000,-8.4016E+000
185.0000,-7.3588E+000
186.0000,-7.3585E+000
187.0000,-7.2758E+000
188.0000,-1.0365E+001
189.0000,-9.4801E+000
190.0000,-8.8808E+000
191.0000,-6.0285E+000
192.0000,-7.8464E+000
193.0000,-1.2507E+001
194.0000,-1.4365E+001
195.0000,-9.6789E+000
196.0000,-1.1258E+001
197.0000,-7.2314E+000
198.0000,-7.1121E+000
199.0000,-6.1694E+000
200.0000,-2.5743E+000
201.0000,-3.5748E+000
202.0000,-7.2272E+000
203.0000,-8.3027E+000
204.0000,-1.2036E+001
205.0000,-1.1092E+001
206.0000,-1.0731E+001
207.0000,-1.1681E+001
208.0000,-1.1140E+001
209.0000,-1.1425E+001
210.0000,-1.1512E+001
211.0000,-1.3201E+001
212.0000,-1.4839E+001
213.0000,-9.9477E+000
214.0000,-1.3658E+001
215.0000,-1.0055E+001
216.0000,-8.4547E+000
217.0000,-1.2369E+001
218.0000,-1.7785E+001
219.0000,-1.6277E+001
220.0000,-1.1539E+001
221.0000,-1.2216E+001
222.0000,-1.4920E+001
223.0000,-1.5906E+001
224.0000,-1.4749E+001
225.0000,-1.3026E+001
226.0000,-1.2331E+001
227.0000,-1.1161E+001
228.0000,-1.0840E+001
229.0000,-1.0025E+001
230.0000,-7.0751E+000
231.0000,-1.1244E+001
232.0000,-1.3269E+001
233.0000,-1.3734E+001
234.0000,-1.1108E+001
235.0000,-8.8375E+000
236.0000,-8.9250E+000
237.0000,-7.3339E+000
238.0000,-5.1776E+000
239.0000,-2.2751E+000
240.0000,-3.8217E+000
241.0000,-1.2031E+001
242.0000,-1.9785E+001
243.0000,-1.8885E+001
244.0000,-1.6672E+001
245.0000,-1.4630E+001
246.0000,-6.5804E+000
247.0000,-3.5016E+000
248.0000,-8.1320E+000
249.0000,-1.4216E+001
250.0000,-1.5907E+001
251.0000,-1.8236E+001
252.0000,-1.8625E+001
253.0000,-1.3184E+001
254.0000,-1.3822E+001
255.0000,-1.6043E+001
256.0000,-2.1231E+001
257.0000,-2.5424E+001
258.0000,-2.8779E+001
259.0000,-3.3999E+001
260.0000,-9.1844E+000
261.0000,-6.2127E+000
262.0000,-9.9616E+000
263.0000,-1.5121E+001
264.0000,-6.6642E+000
265.0000,-8.4387E+000
266.0000,-1.1103E+001
267.0000,-5.9459E+000
268.0000,-5.0416E+000
269.0000,-5.9009E+000
270.0000,-4.6377E+000
271.0000,-9.3135E+000
272.0000,-7.9825E+000
273.0000,-1.0460E+001
274.0000,-1.9361E+001
275.0000,-2.8382E+001
276.0000,-3.4932E+001
277.0000,-2.5509E+001
278.0000,-2.1095E+001
279.0000,-1.7294E+001
280.0000,-1.7190E+001
281.0000,-2.0247E+001
282.0000,-1.7589E+001
283.0000,-2.1132E+001
284.0000,-2.3340E+001
285.0000,-1.7124E+001
286.0000,-2.4636E+001
287.0000,-1.7974E+001
288.0000,-2.4754E+001
289.0000,-1.7460E+001
290.0000,-1.0928E+001
291.0000,-1.3715E+001
292.0000,-6.9799E+000
293.0000,-7.7198E+000
294.0000,-1.2584E+001
295.0000,-2.5254E+001
296.0000,-3.1883E+001
297.0000,-3.1328E+001
298.0000,-1.5978E+001
299.0000,-3.3081E+001
300.0000,-2.9725E+001
301.0000,-2.5611E+001
302.0000,-2.0272E+001
303.0000,-2.2746E+001
304.0000,-1.1208E+001
305.0000,-1.9853E+001
306.0000,-4.2100E+001
307.0000,-3.3477E+001
308.0000,-3.2873E+001
309.0000,-8.5082E+000
310.0000,-1.9509E+001
311.0000,-1.9779E+001
312.0000,-2.6680E+001
313.0000,-3.0583E+001
314.0000,-1.5714E+001
315.0000,-1.8358E+001
316.0000,-1.7661E+001
317.0000,-2.2010E+001
318.0000,-3.2089E+001
319.0000,-2.7938E+001
320.0000,-2.2897E+001
321.0000,-2.5867E+001
322.0000,-2.0215E+001
323.0000,-1.3162E+001
324.0000,-1.1783E+001
325.0000,-2.1156E+001
326.0000,-2.5032E+001
327.0000,-4.0418E+001
328.0000,-4.9516E+001
329.0000,-3.1701E+001
