"",77.800
0.0000,0.0000E+000
1.0000,-3.8674E+001
2.0000,-3.8020E+001
3.0000,-3.4203E+001
4.0000,-3.4529E+001
5.0000,-4.8279E+001
6.0000,-3.7933E+001
7.0000,-3.0953E+001
8.0000,-3.4944E+001
9.0000,-3.1195E+001
10.0000,-4.1931E+001
11.0000,-2.6009E+001
12.0000,-2.6856E+001
13.0000,-2.7324E+001
14.0000,-2.9785E+001
15.0000,-3.6907E+001
16.0000,-2.7004E+001
17.0000,-2.6946E+001
18.0000,-2.5285E+001
19.0000,-3.0131E+001
20.0000,-3.0985E+001
21.0000,-2.6693E+001
22.0000,0.0000E+000
23.0000,0.0000E+000
24.0000,0.0000E+000
25.0000,0.0000E+000
26.0000,0.0000E+000
27.0000,0.0000E+000
28.0000,0.0000E+000
29.0000,0.0000E+000
30.0000,0.0000E+000
31.0000,0.0000E+000
32.0000,0.0000E+000
33.0000,0.0000E+000
34.0000,0.0000E+000
35.0000,0.0000E+000
36.0000,0.0000E+000
37.0000,0.0000E+000
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,0.0000E+000
41.0000,0.0000E+000
42.0000,0.0000E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,0.0000E+000
65.0000,0.0000E+000
66.0000,0.0000E+000
67.0000,0.0000E+000
68.0000,0.0000E+000
69.0000,0.0000E+000
70.0000,0.0000E+000
71.0000,0.0000E+000
72.0000,0.0000E+000
73.0000,0.0000E+000
74.0000,0.0000E+000
75.0000,0.0000E+000
76.0000,0.0000E+000
77.0000,0.0000E+000
78.0000,0.0000E+000
79.0000,0.0000E+000
80.0000,0.0000E+000
81.0000,0.0000E+000
82.0000,0.0000E+000
83.0000,0.0000E+000
84.0000,0.0000E+000
85.0000,0.0000E+000
86.0000,0.0000E+000
87.0000,-2.1475E+000
88.0000,0.0000E+000
89.0000,0.0000E+000
90.0000,0.0000E+000
91.0000,0.0000E+000
92.0000,0.0000E+000
93.0000,0.0000E+000
94.0000,1.4200E+000
95.0000,2.4011E+000
96.0000,-5.1440E-001
97.0000,0.0000E+000
98.0000,0.0000E+000
99.0000,0.0000E+000
100.0000,0.0000E+000
101.0000,1.2041E+000
102.0000,1.7283E+000
103.0000,1.1293E+000
104.0000,2.9021E+000
105.0000,5.2963E-001
106.0000,1.2158E-001
107.0000,9.4446E-002
108.0000,-2.7849E-001
109.0000,-2.6938E-001
110.0000,2.6626E-001
111.0000,-4.9345E-002
112.0000,0.0000E+000
113.0000,9.0925E-001
114.0000,1.7045E+000
115.0000,1.9380E+000
116.0000,1.7904E+000
117.0000,1.0853E+000
118.0000,-3.0143E-002
119.0000,-1.6940E-001
120.0000,-1.1124E-001
121.0000,8.9167E-001
122.0000,1.2022E+000
123.0000,7.0243E-001
124.0000,4.9837E-001
125.0000,1.2856E+000
126.0000,7.2783E-001
127.0000,2.7740E-001
128.0000,-4.4129E-001
129.0000,-1.1868E+000
130.0000,-9.1599E-001
131.0000,-2.1888E+000
132.0000,-7.5549E+000
133.0000,-4.4933E+000
134.0000,-2.1688E+000
135.0000,-1.2307E+000
136.0000,-4.1848E-001
137.0000,-5.5901E-001
138.0000,-1.7684E+000
139.0000,-4.3898E-001
140.0000,6.4774E-001
141.0000,-1.6305E+000
142.0000,-4.2689E+000
143.0000,-6.3480E+000
144.0000,-3.8225E+000
145.0000,-2.6799E+000
146.0000,-3.0429E+000
147.0000,-3.7523E+000
148.0000,-1.8653E+000
149.0000,-1.6034E+000
150.0000,-1.9213E+000
151.0000,-3.5509E+000
152.0000,-2.3509E+000
153.0000,9.9253E-001
154.0000,-1.1862E+000
155.0000,-4.5524E-001
156.0000,-9.5092E-001
157.0000,-2.8821E+000
158.0000,-5.0357E-001
159.0000,-4.2953E+000
160.0000,-4.1541E+000
161.0000,-3.5515E+000
162.0000,-4.4073E+000
163.0000,-6.4763E-001
164.0000,-2.0187E+000
165.0000,-3.1446E+000
166.0000,-1.2635E+000
167.0000,-2.4491E+000
168.0000,-2.7257E+000
169.0000,-1.1556E+001
170.0000,-1.3024E+001
171.0000,-7.1838E+000
172.0000,-3.6138E+000
173.0000,-3.4509E+000
174.0000,-6.6652E+000
175.0000,-1.6631E+001
176.0000,-1.5779E+001
177.0000,-1.8738E+001
178.0000,-1.8112E+001
179.0000,-1.6385E+001
180.0000,-1.9245E+001
181.0000,-2.8114E+001
182.0000,-2.9968E+001
183.0000,-3.3636E+001
184.0000,-2.9241E+001
185.0000,-2.1075E+001
186.0000,-2.4278E+001
187.0000,-3.0151E+001
188.0000,-3.3873E+001
189.0000,-3.4522E+001
190.0000,-3.8382E+001
191.0000,-3.1963E+001
192.0000,-3.3508E+001
193.0000,-3.2560E+001
194.0000,-4.3725E+001
195.0000,-3.6237E+001
196.0000,-3.2395E+001
197.0000,-2.9706E+001
198.0000,-3.5590E+001
199.0000,-3.9618E+001
200.0000,-3.3601E+001
201.0000,-3.4351E+001
202.0000,-3.9231E+001
203.0000,-4.8562E+001
204.0000,-6.9100E+001
205.0000,-4.0859E+001
206.0000,-4.4881E+001
207.0000,-5.7095E+001
208.0000,-4.0319E+001
209.0000,-4.0908E+001
210.0000,-5.3561E+001
211.0000,-4.7445E+001
212.0000,-5.0116E+001
213.0000,-4.0578E+001
214.0000,-6.0111E+001
215.0000,-4.3270E+001
216.0000,-3.6974E+001
217.0000,-4.7518E+001
218.0000,-6.8114E+001
219.0000,-5.8687E+001
220.0000,-4.5857E+001
221.0000,-5.2967E+001
222.0000,-6.7683E+001
223.0000,-7.2446E+001
224.0000,-7.0921E+001
225.0000,-7.8676E+001
226.0000,-8.1901E+001
227.0000,-6.4840E+001
228.0000,-6.0521E+001
229.0000,-5.4175E+001
230.0000,-4.2595E+001
231.0000,-5.2811E+001
232.0000,-5.0771E+001
233.0000,-4.3401E+001
234.0000,-4.5048E+001
235.0000,-3.7121E+001
236.0000,-3.4773E+001
237.0000,-3.2832E+001
238.0000,-4.1341E+001
239.0000,-3.2580E+001
240.0000,-3.8201E+001
241.0000,-5.0936E+001
242.0000,-6.2499E+001
243.0000,-4.8827E+001
244.0000,-5.5619E+001
245.0000,-5.2873E+001
246.0000,-4.1026E+001
247.0000,-3.4280E+001
248.0000,-2.9988E+001
249.0000,-3.5686E+001
250.0000,-4.2011E+001
251.0000,-3.8875E+001
252.0000,-4.1388E+001
253.0000,-3.5483E+001
254.0000,-3.3298E+001
255.0000,-3.4794E+001
256.0000,-4.2325E+001
257.0000,-4.4513E+001
258.0000,-5.3756E+001
259.0000,-6.2425E+001
260.0000,-2.6722E+001
261.0000,-2.6171E+001
262.0000,-3.1368E+001
263.0000,-4.3594E+001
264.0000,-2.4182E+001
265.0000,-2.6114E+001
266.0000,-2.9661E+001
267.0000,-2.3677E+001
268.0000,-2.6210E+001
269.0000,-2.3713E+001
270.0000,-2.2691E+001
271.0000,-2.4186E+001
272.0000,-1.8740E+001
273.0000,-2.2138E+001
274.0000,-3.3313E+001
275.0000,-4.2074E+001
276.0000,-4.9117E+001
277.0000,-4.0785E+001
278.0000,-3.9471E+001
279.0000,-2.6944E+001
280.0000,-2.6188E+001
281.0000,-3.3207E+001
