"",77.800
0.0000,0.0000E+000
1.0000,-3.2200E+002
2.0000,-3.2084E+002
3.0000,-3.2196E+002
4.0000,-3.2142E+002
5.0000,-3.2082E+002
6.0000,-3.2107E+002
7.0000,-3.2114E+002
8.0000,-3.2085E+002
9.0000,-3.2037E+002
10.0000,-3.1942E+002
11.0000,-3.1922E+002
12.0000,-3.1935E+002
13.0000,-3.1945E+002
14.0000,-3.1905E+002
15.0000,-3.1787E+002
16.0000,-3.1683E+002
17.0000,-3.1672E+002
18.0000,-3.1625E+002
19.0000,-3.1409E+002
20.0000,-3.1095E+002
21.0000,-3.0754E+002
22.0000,0.0000E+000
23.0000,0.0000E+000
24.0000,0.0000E+000
25.0000,0.0000E+000
26.0000,0.0000E+000
27.0000,0.0000E+000
28.0000,0.0000E+000
29.0000,0.0000E+000
30.0000,0.0000E+000
31.0000,0.0000E+000
32.0000,0.0000E+000
33.0000,0.0000E+000
34.0000,0.0000E+000
35.0000,0.0000E+000
36.0000,0.0000E+000
37.0000,0.0000E+000
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,0.0000E+000
41.0000,0.0000E+000
42.0000,0.0000E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,0.0000E+000
65.0000,0.0000E+000
66.0000,0.0000E+000
67.0000,0.0000E+000
68.0000,0.0000E+000
69.0000,0.0000E+000
70.0000,0.0000E+000
71.0000,0.0000E+000
72.0000,0.0000E+000
73.0000,0.0000E+000
74.0000,0.0000E+000
75.0000,0.0000E+000
76.0000,0.0000E+000
77.0000,0.0000E+000
78.0000,0.0000E+000
79.0000,0.0000E+000
80.0000,0.0000E+000
81.0000,0.0000E+000
82.0000,0.0000E+000
83.0000,0.0000E+000
84.0000,0.0000E+000
85.0000,0.0000E+000
86.0000,0.0000E+000
87.0000,-2.5256E+002
88.0000,0.0000E+000
89.0000,0.0000E+000
90.0000,0.0000E+000
91.0000,0.0000E+000
92.0000,0.0000E+000
93.0000,0.0000E+000
94.0000,-2.5256E+002
95.0000,-2.5256E+002
96.0000,-2.5256E+002
97.0000,0.0000E+000
98.0000,0.0000E+000
99.0000,0.0000E+000
100.0000,0.0000E+000
101.0000,-2.5252E+002
102.0000,-3.0932E+002
103.0000,-3.0932E+002
104.0000,-3.0932E+002
105.0000,-3.0932E+002
106.0000,-3.0932E+002
107.0000,-3.0932E+002
108.0000,-3.0932E+002
109.0000,-3.0932E+002
110.0000,-3.0932E+002
111.0000,-3.0932E+002
112.0000,0.0000E+000
113.0000,-3.0932E+002
114.0000,-3.0932E+002
115.0000,-3.0932E+002
116.0000,-3.0932E+002
117.0000,-3.0932E+002
118.0000,-3.0932E+002
119.0000,-3.0932E+002
120.0000,-3.0932E+002
121.0000,-3.0932E+002
122.0000,-3.0932E+002
123.0000,-3.0932E+002
124.0000,-3.0932E+002
125.0000,-3.0932E+002
126.0000,-3.0932E+002
127.0000,-3.0932E+002
128.0000,-2.5251E+002
129.0000,-2.5252E+002
130.0000,-2.5252E+002
131.0000,-3.0738E+002
132.0000,-3.2258E+002
133.0000,-3.2323E+002
134.0000,-3.2399E+002
135.0000,-3.2442E+002
136.0000,-3.2490E+002
137.0000,-3.2539E+002
138.0000,-3.2597E+002
139.0000,-3.2715E+002
140.0000,-3.2715E+002
141.0000,-3.2744E+002
142.0000,-3.2789E+002
143.0000,-3.2841E+002
144.0000,-3.2928E+002
145.0000,-3.3032E+002
146.0000,-3.3102E+002
147.0000,-3.3167E+002
148.0000,-3.3254E+002
149.0000,-3.3268E+002
150.0000,-3.3256E+002
151.0000,-3.3327E+002
152.0000,-3.3402E+002
153.0000,-3.3413E+002
154.0000,-3.3434E+002
155.0000,-3.3562E+002
156.0000,-3.3693E+002
157.0000,-3.3823E+002
158.0000,-3.3941E+002
159.0000,-3.4069E+002
160.0000,-3.4149E+002
161.0000,-3.4262E+002
162.0000,-3.4468E+002
163.0000,-3.4688E+002
164.0000,-3.4931E+002
165.0000,-3.5131E+002
166.0000,-3.5324E+002
167.0000,-3.5487E+002
168.0000,-3.5678E+002
169.0000,-3.5878E+002
170.0000,-3.5900E+002
171.0000,-3.5864E+002
172.0000,-3.6036E+002
173.0000,-3.6401E+002
174.0000,-3.6738E+002
175.0000,-3.6831E+002
176.0000,-3.6902E+002
177.0000,-3.7032E+002
178.0000,-3.7158E+002
179.0000,-3.7405E+002
180.0000,-3.7546E+002
181.0000,-3.7707E+002
182.0000,-3.7784E+002
183.0000,-3.7861E+002
184.0000,-3.7935E+002
185.0000,-3.8075E+002
186.0000,-3.8117E+002
187.0000,-3.8239E+002
188.0000,-3.8272E+002
189.0000,-3.8293E+002
190.0000,-3.8555E+002
191.0000,-3.8729E+002
192.0000,-3.8923E+002
193.0000,-3.9000E+002
194.0000,-3.8990E+002
195.0000,-3.9018E+002
196.0000,-3.9047E+002
197.0000,-3.9155E+002
198.0000,-3.9374E+002
199.0000,-3.9558E+002
200.0000,-3.9813E+002
201.0000,-4.0080E+002
202.0000,-4.0255E+002
203.0000,-4.0346E+002
204.0000,-4.0321E+002
205.0000,-4.0283E+002
206.0000,-4.0269E+002
207.0000,-4.0320E+002
208.0000,-4.0194E+002
209.0000,-4.0294E+002
210.0000,-4.0173E+002
211.0000,-4.0207E+002
212.0000,-4.0265E+002
213.0000,-3.9766E+002
214.0000,-4.0293E+002
215.0000,-4.0084E+002
216.0000,-4.0320E+002
217.0000,-4.0231E+002
218.0000,-4.0599E+002
219.0000,-3.9852E+002
220.0000,-3.9531E+002
221.0000,-4.0199E+002
222.0000,-4.0549E+002
223.0000,-4.0453E+002
224.0000,-4.0326E+002
225.0000,-4.0096E+002
226.0000,-3.9854E+002
227.0000,-3.9790E+002
228.0000,-3.9812E+002
229.0000,-3.9712E+002
230.0000,-3.9473E+002
231.0000,-3.9525E+002
232.0000,-3.9505E+002
233.0000,-3.9267E+002
234.0000,-3.9134E+002
235.0000,-3.9243E+002
236.0000,-3.9404E+002
237.0000,-3.9359E+002
238.0000,-3.9512E+002
239.0000,-3.9507E+002
240.0000,-3.9061E+002
241.0000,-3.9526E+002
242.0000,-3.9503E+002
243.0000,-3.9435E+002
244.0000,-3.8827E+002
245.0000,-3.8835E+002
246.0000,-3.8447E+002
247.0000,-3.8741E+002
248.0000,-3.8988E+002
249.0000,-3.9048E+002
250.0000,-3.8903E+002
251.0000,-3.8549E+002
252.0000,-3.8674E+002
253.0000,-3.8625E+002
254.0000,-3.8586E+002
255.0000,-3.8759E+002
256.0000,-3.8688E+002
257.0000,-3.8465E+002
258.0000,-3.7505E+002
259.0000,-3.8076E+002
260.0000,-3.6250E+002
261.0000,-3.6852E+002
262.0000,-3.7838E+002
263.0000,-3.7859E+002
264.0000,-3.6722E+002
265.0000,-3.7143E+002
266.0000,-3.7667E+002
267.0000,-3.7393E+002
268.0000,-3.7393E+002
269.0000,-3.7837E+002
270.0000,-3.8025E+002
271.0000,-3.8090E+002
272.0000,-3.8122E+002
273.0000,-3.8054E+002
274.0000,-3.8128E+002
275.0000,-3.7597E+002
276.0000,-3.7189E+002
277.0000,-3.6858E+002
278.0000,-3.7492E+002
279.0000,-3.7383E+002
280.0000,-3.6880E+002
281.0000,-3.7336E+002
282.0000,-3.7076E+002
283.0000,-3.6714E+002
284.0000,-3.6158E+002
285.0000,-3.5650E+002
286.0000,-3.6718E+002
287.0000,-3.6050E+002
288.0000,-3.6616E+002
289.0000,-3.6231E+002
290.0000,-3.5368E+002
291.0000,-3.6167E+002
292.0000,-3.5350E+002
293.0000,-3.5505E+002
294.0000,-3.5607E+002
295.0000,-3.5438E+002
296.0000,-3.5407E+002
297.0000,-3.5677E+002
298.0000,-3.4130E+002
299.0000,-3.5454E+002
300.0000,-3.5077E+002
301.0000,-3.4796E+002
302.0000,-3.4766E+002
303.0000,-3.5271E+002
304.0000,-3.4447E+002
305.0000,-3.4962E+002
306.0000,-3.4288E+002
307.0000,-3.3090E+002
308.0000,-3.3615E+002
309.0000,-3.2126E+002
310.0000,-3.4112E+002
311.0000,-3.4255E+002
312.0000,-3.4532E+002
313.0000,-3.4362E+002
314.0000,-3.2615E+002
315.0000,-3.2943E+002
316.0000,-3.3044E+002
317.0000,-3.3908E+002
318.0000,-3.4152E+002
319.0000,-3.4179E+002
320.0000,-3.3863E+002
321.0000,-3.3907E+002
322.0000,-3.3489E+002
323.0000,-3.3260E+002
324.0000,-3.3222E+002
325.0000,-3.3678E+002
326.0000,-3.3002E+002
327.0000,-3.3129E+002
328.0000,-3.3533E+002
329.0000,-3.3723E+002
330.0000,-3.3722E+002
331.0000,-3.3665E+002
332.0000,-3.3299E+002
333.0000,-3.3730E+002
334.0000,-3.3185E+002
335.0000,-3.3292E+002
336.0000,-3.3011E+002
337.0000,-3.2750E+002
338.0000,-3.2623E+002
339.0000,-3.2781E+002
340.0000,-3.2529E+002
341.0000,-3.3142E+002
342.0000,-3.2999E+002
343.0000,-3.3404E+002
344.0000,-3.2096E+002
345.0000,-3.2597E+002
346.0000,-3.2627E+002
347.0000,-3.3050E+002
348.0000,-3.3167E+002
349.0000,-3.3058E+002
350.0000,-3.2620E+002
351.0000,-3.2979E+002
352.0000,-3.2882E+002
353.0000,-3.2387E+002
354.0000,-3.2739E+002
355.0000,-3.2609E+002
356.0000,-3.2332E+002
357.0000,-3.2714E+002
358.0000,-3.2669E+002
359.0000,-3.2658E+002
360.0000,-3.2591E+002
361.0000,-3.2510E+002
362.0000,-3.2389E+002
363.0000,-3.2298E+002
364.0000,-3.2247E+002
365.0000,-3.2087E+002
366.0000,-3.1701E+002
367.0000,-3.1352E+002
368.0000,-3.0922E+002
369.0000,0.0000E+000
370.0000,0.0000E+000
371.0000,0.0000E+000
372.0000,0.0000E+000
373.0000,0.0000E+000
374.0000,0.0000E+000
375.0000,0.0000E+000
376.0000,0.0000E+000
377.0000,0.0000E+000
378.0000,0.0000E+000
379.0000,0.0000E+000
380.0000,0.0000E+000
381.0000,0.0000E+000
382.0000,0.0000E+000
383.0000,0.0000E+000
384.0000,0.0000E+000
385.0000,0.0000E+000
386.0000,0.0000E+000
387.0000,-2.5253E+002
388.0000,0.0000E+000
389.0000,0.0000E+000
390.0000,0.0000E+000
391.0000,0.0000E+000
392.0000,0.0000E+000
393.0000,0.0000E+000
394.0000,0.0000E+000
395.0000,0.0000E+000
396.0000,0.0000E+000
397.0000,0.0000E+000
398.0000,0.0000E+000
399.0000,0.0000E+000
400.0000,0.0000E+000
401.0000,0.0000E+000
402.0000,0.0000E+000
403.0000,0.0000E+000
404.0000,0.0000E+000
405.0000,0.0000E+000
406.0000,0.0000E+000
407.0000,0.0000E+000
408.0000,0.0000E+000
409.0000,0.0000E+000
410.0000,0.0000E+000
411.0000,0.0000E+000
412.0000,0.0000E+000
413.0000,0.0000E+000
414.0000,0.0000E+000
415.0000,0.0000E+000
416.0000,0.0000E+000
417.0000,0.0000E+000
418.0000,0.0000E+000
419.0000,0.0000E+000
420.0000,0.0000E+000
421.0000,0.0000E+000
422.0000,0.0000E+000
423.0000,0.0000E+000
424.0000,0.0000E+000
425.0000,0.0000E+000
426.0000,-2.5256E+002
427.0000,-2.5256E+002
428.0000,-2.5256E+002
429.0000,0.0000E+000
430.0000,0.0000E+000
431.0000,0.0000E+000
432.0000,-2.5257E+002
433.0000,-2.5257E+002
434.0000,-2.5257E+002
435.0000,-2.5257E+002
436.0000,-2.5257E+002
437.0000,0.0000E+000
438.0000,0.0000E+000
439.0000,0.0000E+000
440.0000,0.0000E+000
441.0000,0.0000E+000
442.0000,0.0000E+000
443.0000,-2.5255E+002
