"",77.800
0.0000,0.0000E+000
1.0000,5.0864E+001
2.0000,5.4024E+001
3.0000,5.3517E+001
4.0000,5.3617E+001
5.0000,5.4159E+001
6.0000,4.5293E+001
7.0000,4.6492E+001
8.0000,5.8292E+001
9.0000,4.5235E+001
10.0000,5.5184E+001
11.0000,4.8628E+001
12.0000,6.3977E+001
13.0000,5.2539E+001
14.0000,6.3456E+001
15.0000,6.1183E+001
16.0000,4.5584E+001
17.0000,5.3507E+001
18.0000,5.7339E+001
19.0000,6.2806E+001
20.0000,6.4526E+001
21.0000,7.0503E+001
22.0000,5.6568E+001
23.0000,5.5996E+001
24.0000,5.5556E+001
25.0000,5.3439E+001
26.0000,5.1110E+001
27.0000,5.7887E+001
28.0000,1.6498E+001
29.0000,1.2372E+001
30.0000,9.9097E+000
31.0000,9.1169E+000
32.0000,8.5139E+000
33.0000,9.8855E+000
34.0000,8.9222E+000
35.0000,3.3364E+000
36.0000,1.3708E+000
37.0000,1.4069E+000
38.0000,1.2793E+000
39.0000,1.2539E+000
40.0000,1.3406E+000
41.0000,1.2832E+000
42.0000,1.2871E+000
43.0000,1.2215E+000
44.0000,1.1630E+000
45.0000,1.1682E+000
46.0000,1.1626E+000
47.0000,8.7342E-001
48.0000,9.2471E-001
49.0000,8.6795E-001
50.0000,6.7798E-001
51.0000,5.3640E-001
52.0000,5.6301E-001
53.0000,5.0108E-001
54.0000,4.3971E-001
55.0000,3.0011E-001
56.0000,3.2269E-001
57.0000,3.1804E-001
58.0000,2.8640E-001
59.0000,2.6508E-001
60.0000,1.6989E-001
61.0000,2.0760E-001
62.0000,1.9908E-001
63.0000,1.7097E-001
64.0000,8.7527E-002
65.0000,1.2351E-001
66.0000,1.2622E-001
67.0000,1.0167E-001
68.0000,9.4147E-002
69.0000,9.7318E-002
70.0000,1.0298E-001
71.0000,6.8953E-002
72.0000,9.1384E-002
73.0000,7.4867E-002
74.0000,6.3679E-002
75.0000,7.1015E-002
76.0000,6.5000E-002
77.0000,7.2011E-002
78.0000,7.3512E-002
79.0000,7.1357E-002
80.0000,7.0941E-002
81.0000,7.2858E-002
82.0000,7.2040E-002
83.0000,7.3038E-002
84.0000,7.5444E-002
85.0000,7.3444E-002
86.0000,7.9780E-002
87.0000,7.6566E-002
88.0000,7.7639E-002
89.0000,7.6892E-002
90.0000,5.2638E-002
91.0000,4.0979E-002
92.0000,5.0886E-002
93.0000,4.9972E-002
94.0000,1.2127E-001
95.0000,1.8048E+000
96.0000,1.0332E+001
97.0000,1.1642E+001
98.0000,9.7125E+000
99.0000,5.4630E+000
100.0000,5.3534E+000
101.0000,9.9842E+000
102.0000,3.3973E+001
103.0000,4.3138E+001
104.0000,3.9882E+001
105.0000,4.7868E+001
106.0000,2.4761E+001
107.0000,4.0052E+001
108.0000,5.6980E+001
109.0000,5.1201E+001
110.0000,2.8595E+001
111.0000,4.2666E+001
112.0000,6.3843E+001
113.0000,3.8790E+001
114.0000,4.9003E+001
115.0000,4.5459E+001
116.0000,4.5617E+001
117.0000,7.4586E+001
118.0000,8.5274E+001
119.0000,9.0380E+001
120.0000,9.3526E+001
121.0000,9.6738E+001
122.0000,9.8116E+001
123.0000,6.9789E+001
124.0000,4.4548E+001
125.0000,8.0275E+001
126.0000,5.9267E+001
127.0000,5.4581E+001
128.0000,2.5484E+001
129.0000,1.3272E+001
130.0000,1.3491E+001
131.0000,1.7759E+002
132.0000,1.7268E+002
133.0000,1.8587E+002
134.0000,1.6862E+002
135.0000,1.2774E+002
136.0000,1.1137E+002
137.0000,1.2607E+002
138.0000,1.3522E+002
139.0000,1.1353E+002
140.0000,1.0297E+002
141.0000,1.6558E+002
142.0000,1.1854E+002
143.0000,1.5856E+002
144.0000,1.5706E+002
145.0000,1.5885E+002
146.0000,1.5654E+002
147.0000,1.8101E+002
148.0000,1.3443E+002
149.0000,7.0280E+001
150.0000,7.2832E+001
151.0000,7.2759E+001
152.0000,8.6520E+001
153.0000,8.1902E+001
154.0000,9.0165E+001
155.0000,1.1472E+002
156.0000,1.2593E+002
157.0000,8.7873E+001
158.0000,1.2073E+002
159.0000,1.4372E+002
160.0000,1.0523E+002
161.0000,1.8819E+002
162.0000,1.2363E+002
163.0000,1.2374E+002
164.0000,7.1114E+001
165.0000,9.5142E+001
166.0000,9.3187E+001
167.0000,8.5689E+001
168.0000,9.3259E+001
169.0000,1.3393E+002
170.0000,5.6992E+001
171.0000,8.2570E+001
172.0000,1.6572E+002
173.0000,1.5924E+002
174.0000,1.6186E+002
175.0000,1.2106E+002
176.0000,1.2902E+002
177.0000,1.6023E+002
178.0000,1.8534E+002
179.0000,1.6801E+002
180.0000,1.8157E+002
181.0000,1.5904E+002
182.0000,1.7449E+002
183.0000,1.6186E+002
184.0000,1.1654E+002
185.0000,1.4857E+002
186.0000,1.6791E+002
187.0000,1.8419E+002
188.0000,1.7905E+002
189.0000,1.7812E+002
190.0000,1.7361E+002
191.0000,1.3506E+002
192.0000,1.2828E+002
193.0000,1.0311E+002
194.0000,1.4723E+002
195.0000,1.6839E+002
196.0000,1.1199E+002
197.0000,1.7222E+002
198.0000,1.7208E+002
199.0000,1.6024E+002
200.0000,1.5597E+002
201.0000,1.4989E+002
202.0000,1.4418E+002
203.0000,1.4795E+002
204.0000,1.4595E+002
205.0000,1.4296E+002
206.0000,1.4263E+002
207.0000,1.6227E+002
208.0000,1.4933E+002
209.0000,8.9634E+001
210.0000,9.5939E+001
211.0000,1.3522E+002
212.0000,1.3491E+002
213.0000,1.5978E+002
214.0000,1.6509E+002
215.0000,1.6498E+002
216.0000,1.5977E+002
217.0000,1.4190E+002
218.0000,1.5468E+002
219.0000,1.6205E+002
220.0000,1.5697E+002
221.0000,1.5206E+002
222.0000,1.4865E+002
223.0000,1.1182E+002
224.0000,1.1719E+002
225.0000,8.9748E+001
226.0000,1.6020E+002
227.0000,1.5274E+002
228.0000,1.4852E+002
229.0000,9.8184E+001
230.0000,1.4146E+002
231.0000,1.3851E+002
232.0000,1.3721E+002
233.0000,1.1306E+002
234.0000,1.2127E+002
235.0000,1.1475E+002
236.0000,1.0219E+002
237.0000,9.1889E+001
238.0000,1.3440E+002
239.0000,1.4518E+002
240.0000,1.4816E+002
241.0000,1.2911E+002
242.0000,1.4563E+002
243.0000,1.1605E+002
244.0000,1.4530E+002
245.0000,1.0998E+002
246.0000,1.0167E+002
247.0000,1.3928E+002
248.0000,6.0279E+001
249.0000,7.8785E+001
250.0000,9.0811E+001
251.0000,5.7495E+001
252.0000,1.0152E+002
253.0000,1.1759E+002
254.0000,9.3151E+001
255.0000,7.4223E+001
256.0000,7.0998E+001
257.0000,7.1422E+001
258.0000,1.3011E+002
259.0000,1.3332E+002
260.0000,1.3095E+002
261.0000,1.2972E+002
262.0000,1.2168E+002
263.0000,1.2629E+002
264.0000,1.1279E+002
265.0000,9.7431E+001
266.0000,7.9723E+001
267.0000,1.0750E+002
268.0000,9.4729E+001
269.0000,7.7928E+001
270.0000,8.7088E+001
271.0000,4.9482E+001
272.0000,7.6141E+001
273.0000,5.4984E+001
274.0000,3.6057E+001
275.0000,2.5556E+001
276.0000,3.1083E+001
277.0000,5.6916E+001
278.0000,8.4570E+001
279.0000,2.0702E+001
280.0000,3.3366E+001
281.0000,7.2340E+001
282.0000,4.2388E+001
283.0000,4.4053E+001
284.0000,9.9399E+001
285.0000,8.5625E+001
286.0000,8.1864E+001
287.0000,9.9008E+001
288.0000,8.7120E+001
289.0000,9.7771E+001
290.0000,5.9471E+001
291.0000,9.4007E+001
292.0000,3.5075E+001
293.0000,9.3013E+001
294.0000,2.2110E+001
295.0000,8.2985E+001
296.0000,3.0927E+001
297.0000,7.3446E+001
298.0000,8.3377E+001
299.0000,3.8184E+001
300.0000,5.5807E+001
301.0000,6.6387E+001
302.0000,4.2765E+001
303.0000,4.6920E+001
304.0000,5.3947E+001
305.0000,2.1225E+001
306.0000,6.3771E+001
307.0000,8.3133E+001
308.0000,8.1407E+001
309.0000,7.4736E+001
310.0000,4.9630E+001
311.0000,6.5471E+001
312.0000,7.3859E+001
313.0000,7.1345E+001
314.0000,7.1313E+001
315.0000,7.0403E+001
316.0000,7.0544E+001
317.0000,4.0930E+001
318.0000,7.2857E+001
319.0000,6.8867E+001
320.0000,3.9102E+001
321.0000,6.5470E+001
322.0000,6.6925E+001
323.0000,5.9190E+001
324.0000,5.6079E+001
325.0000,5.3765E+001
326.0000,4.7817E+001
327.0000,4.3063E+001
328.0000,5.6711E+001
329.0000,6.0056E+001
330.0000,5.5440E+001
331.0000,6.1900E+001
332.0000,4.4237E+001
333.0000,6.3023E+001
334.0000,5.9824E+001
335.0000,3.9893E+001
336.0000,6.0530E+001
337.0000,4.3837E+001
338.0000,4.6502E+001
339.0000,5.1120E+001
340.0000,5.1961E+001
341.0000,4.5461E+001
342.0000,5.4917E+001
343.0000,4.7897E+001
344.0000,4.7911E+001
345.0000,3.9145E+001
346.0000,3.4392E+001
347.0000,3.8032E+001
348.0000,3.8972E+001
349.0000,5.8595E+001
350.0000,5.4989E+001
351.0000,5.4839E+001
352.0000,4.8094E+001
353.0000,4.8795E+001
354.0000,5.4376E+001
355.0000,4.4854E+001
356.0000,4.7671E+001
357.0000,4.8995E+001
358.0000,5.1332E+001
359.0000,5.1614E+001
360.0000,5.1116E+001
361.0000,5.0932E+001
362.0000,5.1946E+001
363.0000,4.5414E+001
364.0000,5.2993E+001
365.0000,5.0899E+001
366.0000,5.2176E+001
367.0000,6.0459E+001
368.0000,5.1498E+001
369.0000,4.2852E+001
370.0000,4.7479E+001
371.0000,4.6321E+001
372.0000,4.2833E+001
373.0000,4.1882E+001
374.0000,1.4893E+001
375.0000,9.1250E+000
376.0000,5.4358E+000
377.0000,1.9920E+000
378.0000,1.9194E+000
379.0000,2.3107E+000
380.0000,2.3142E+000
381.0000,2.2307E+000
382.0000,1.7001E+000
383.0000,1.2949E+000
384.0000,9.1724E-001
385.0000,1.3229E+000
386.0000,1.2007E+000
387.0000,7.2474E-001
388.0000,7.7906E-001
389.0000,7.6375E-001
390.0000,9.0620E-001
391.0000,5.7018E-001
392.0000,5.3840E-001
393.0000,4.6426E-001
394.0000,4.5038E-001
395.0000,4.5138E-001
396.0000,4.4994E-001
397.0000,5.0970E-001
398.0000,4.9167E-001
399.0000,4.6178E-001
400.0000,4.7444E-001
401.0000,5.1157E-001
402.0000,2.1680E-001
403.0000,3.6187E-001
404.0000,3.3150E-001
405.0000,1.8406E-001
406.0000,1.3436E-001
407.0000,1.6634E-001
408.0000,1.5193E-001
409.0000,8.7777E-002
410.0000,9.7100E-002
411.0000,1.0354E-001
412.0000,1.1268E-001
413.0000,9.9268E-002
414.0000,9.4419E-002
415.0000,8.8830E-002
416.0000,3.4936E-002
417.0000,5.1714E-002
418.0000,4.8543E-002
419.0000,5.0358E-002
420.0000,5.1356E-002
421.0000,4.0842E-002
422.0000,4.0494E-002
423.0000,4.7731E-002
424.0000,4.1966E-002
425.0000,3.6581E-002
426.0000,2.5776E-002
427.0000,2.9429E-002
428.0000,2.9100E-002
429.0000,1.5293E-002
430.0000,1.3623E-002
431.0000,1.2099E-002
432.0000,5.0490E-003
433.0000,3.6635E-002
434.0000,1.5946E-001
435.0000,1.0668E+000
436.0000,4.2744E+000
437.0000,4.5812E+000
438.0000,3.4927E+000
439.0000,3.3541E+000
440.0000,3.3610E+000
441.0000,3.3495E+000
442.0000,2.8648E+000
443.0000,1.9609E+000
444.0000,9.5782E-001
445.0000,1.1131E+000
446.0000,1.9652E+000
447.0000,8.3137E+000
448.0000,2.5013E+001
449.0000,5.8920E+000
450.0000,1.9238E+001
451.0000,1.4166E+001
452.0000,8.9404E+000
453.0000,1.6225E+001
454.0000,3.2705E+001
455.0000,3.7980E+001
456.0000,3.7305E+001
457.0000,3.6674E+001
458.0000,1.5966E+001
459.0000,1.6073E+001
460.0000,3.2036E+001
461.0000,1.9344E+001
462.0000,1.5907E+001
463.0000,4.9394E+001
464.0000,5.3792E+001
465.0000,5.4545E+001
466.0000,2.4212E+001
467.0000,5.3389E+001
468.0000,5.7404E+001
469.0000,6.8407E+001
470.0000,5.5450E+001
471.0000,7.0778E+001
472.0000,2.6905E+001
473.0000,2.7497E+001
474.0000,5.2985E+000
475.0000,7.2490E+000
476.0000,8.8962E+000
477.0000,4.2128E+001
478.0000,2.4675E+001
479.0000,2.4634E+001
480.0000,2.7761E+001
481.0000,2.4343E+001
482.0000,2.8174E+001
483.0000,2.8324E+001
484.0000,2.8555E+001
485.0000,8.1745E+001
486.0000,8.7614E+001
487.0000,7.3178E+001
488.0000,7.0290E+001
489.0000,7.8158E+001
490.0000,9.6682E+001
491.0000,9.4477E+001
492.0000,8.3116E+001
493.0000,4.8205E+001
494.0000,1.7229E+002
495.0000,1.7317E+002
496.0000,1.5303E+002
497.0000,1.7482E+002
498.0000,1.4589E+002
499.0000,7.4816E+001
500.0000,1.7150E+002
501.0000,1.0466E+002
502.0000,1.5474E+002
503.0000,1.5896E+002
504.0000,1.8019E+002
505.0000,1.5749E+002
506.0000,1.2857E+002
507.0000,1.3087E+002
508.0000,1.1703E+002
509.0000,1.1824E+002
510.0000,7.5716E+001
511.0000,1.0722E+002
512.0000,1.6254E+002
513.0000,1.6570E+002
514.0000,1.4015E+002
515.0000,1.4479E+002
516.0000,1.2548E+002
517.0000,1.0258E+002
518.0000,1.1426E+002
519.0000,7.6184E+001
520.0000,9.5684E+001
521.0000,1.5875E+002
522.0000,1.5468E+002
523.0000,1.4384E+002
524.0000,1.8130E+002
525.0000,1.6475E+002
526.0000,1.5883E+002
527.0000,1.8375E+002
528.0000,1.6545E+002
529.0000,1.8388E+002
530.0000,1.6146E+002
531.0000,1.7378E+002
532.0000,1.6796E+002
533.0000,1.7845E+002
534.0000,1.8488E+002
535.0000,1.8288E+002
536.0000,1.6926E+002
537.0000,1.8180E+002
538.0000,1.8840E+002
539.0000,1.1781E+002
540.0000,1.7270E+002
541.0000,1.6138E+002
542.0000,1.0441E+002
543.0000,8.8827E+001
544.0000,5.8486E+001
545.0000,1.7151E+002
546.0000,1.3913E+002
547.0000,8.5217E+001
548.0000,1.1036E+002
549.0000,1.4733E+002
550.0000,1.0340E+002
551.0000,1.2185E+002
552.0000,1.5758E+002
553.0000,1.4616E+002
554.0000,1.3235E+002
555.0000,1.1956E+002
556.0000,1.2745E+002
557.0000,1.3727E+002
558.0000,1.7682E+002
559.0000,1.7621E+002
560.0000,1.6708E+002
561.0000,1.6572E+002
562.0000,1.7451E+002
563.0000,1.4624E+002
564.0000,1.6658E+002
565.0000,1.7221E+002
566.0000,1.7078E+002
567.0000,1.6695E+002
568.0000,1.5669E+002
569.0000,1.6901E+002
570.0000,1.0768E+002
571.0000,1.6195E+002
572.0000,1.6892E+002
573.0000,1.6691E+002
574.0000,1.6448E+002
575.0000,1.6699E+002
576.0000,1.2718E+002
577.0000,1.6261E+002
