"",77.800
0.0000,0.0000E+000
1.0000,0.0000E+000
2.0000,0.0000E+000
3.0000,0.0000E+000
4.0000,0.0000E+000
5.0000,0.0000E+000
6.0000,0.0000E+000
7.0000,0.0000E+000
8.0000,0.0000E+000
9.0000,0.0000E+000
10.0000,0.0000E+000
11.0000,0.0000E+000
12.0000,0.0000E+000
13.0000,0.0000E+000
14.0000,0.0000E+000
15.0000,0.0000E+000
16.0000,0.0000E+000
17.0000,0.0000E+000
18.0000,0.0000E+000
19.0000,0.0000E+000
20.0000,0.0000E+000
21.0000,0.0000E+000
22.0000,0.0000E+000
23.0000,0.0000E+000
24.0000,0.0000E+000
25.0000,0.0000E+000
26.0000,0.0000E+000
27.0000,0.0000E+000
28.0000,1.0623E-002
29.0000,2.0395E-002
30.0000,2.3811E-002
31.0000,3.1797E-002
32.0000,3.6253E-002
33.0000,3.6253E-002
34.0000,3.6253E-002
35.0000,5.2562E-002
36.0000,9.5360E-002
37.0000,1.0830E-001
38.0000,1.1303E-001
39.0000,1.1473E-001
40.0000,1.1473E-001
41.0000,1.1473E-001
42.0000,1.1473E-001
43.0000,1.1762E-001
44.0000,1.2027E-001
45.0000,1.2027E-001
46.0000,1.2027E-001
47.0000,1.2712E-001
48.0000,1.2976E-001
49.0000,1.3275E-001
50.0000,1.3990E-001
51.0000,1.4543E-001
52.0000,1.4918E-001
53.0000,1.5132E-001
54.0000,1.5268E-001
55.0000,1.5892E-001
56.0000,1.6447E-001
57.0000,1.6809E-001
58.0000,1.7252E-001
59.0000,1.7604E-001
60.0000,1.8151E-001
61.0000,1.8479E-001
62.0000,1.8707E-001
63.0000,1.8946E-001
64.0000,1.9613E-001
65.0000,2.0179E-001
66.0000,2.0292E-001
67.0000,2.0872E-001
68.0000,2.1292E-001
69.0000,2.1292E-001
70.0000,2.1292E-001
71.0000,2.1459E-001
72.0000,2.1556E-001
73.0000,2.1988E-001
74.0000,2.2423E-001
75.0000,2.2536E-001
76.0000,2.2536E-001
77.0000,2.2536E-001
78.0000,2.2536E-001
79.0000,2.2536E-001
80.0000,2.2536E-001
81.0000,2.2536E-001
82.0000,2.2536E-001
83.0000,2.2536E-001
84.0000,2.2536E-001
85.0000,2.2536E-001
86.0000,2.2536E-001
87.0000,2.2532E-001
88.0000,2.2530E-001
89.0000,2.2530E-001
90.0000,2.2787E-001
91.0000,2.3685E-001
92.0000,2.4112E-001
93.0000,2.4112E-001
94.0000,1.9454E-001
95.0000,8.7016E-002
96.0000,1.9887E-002
97.0000,4.9399E-003
98.0000,2.1471E-002
99.0000,3.8179E-002
100.0000,4.8614E-002
101.0000,0.0000E+000
102.0000,0.0000E+000
103.0000,0.0000E+000
104.0000,0.0000E+000
105.0000,0.0000E+000
106.0000,0.0000E+000
107.0000,0.0000E+000
108.0000,0.0000E+000
109.0000,0.0000E+000
110.0000,0.0000E+000
111.0000,0.0000E+000
112.0000,0.0000E+000
113.0000,0.0000E+000
114.0000,0.0000E+000
115.0000,0.0000E+000
116.0000,0.0000E+000
117.0000,0.0000E+000
118.0000,0.0000E+000
119.0000,0.0000E+000
120.0000,0.0000E+000
121.0000,0.0000E+000
122.0000,0.0000E+000
123.0000,0.0000E+000
124.0000,0.0000E+000
125.0000,0.0000E+000
126.0000,0.0000E+000
127.0000,0.0000E+000
128.0000,2.1126E-002
129.0000,5.4024E-002
130.0000,5.5946E-002
131.0000,0.0000E+000
132.0000,0.0000E+000
133.0000,0.0000E+000
134.0000,0.0000E+000
135.0000,0.0000E+000
136.0000,0.0000E+000
137.0000,0.0000E+000
138.0000,0.0000E+000
