"",77.800
0.0000,0.0000E+000
1.0000,0.0000E+000
2.0000,0.0000E+000
3.0000,0.0000E+000
4.0000,0.0000E+000
5.0000,0.0000E+000
6.0000,0.0000E+000
7.0000,0.0000E+000
8.0000,0.0000E+000
9.0000,0.0000E+000
10.0000,0.0000E+000
11.0000,0.0000E+000
12.0000,0.0000E+000
13.0000,0.0000E+000
14.0000,0.0000E+000
15.0000,0.0000E+000
16.0000,0.0000E+000
17.0000,0.0000E+000
18.0000,0.0000E+000
19.0000,0.0000E+000
20.0000,0.0000E+000
21.0000,0.0000E+000
22.0000,3.7112E-002
23.0000,8.4958E-002
24.0000,1.2686E-001
25.0000,1.6384E-001
26.0000,1.9066E-001
27.0000,2.1036E-001
28.0000,2.2383E-001
29.0000,2.3186E-001
30.0000,2.3900E-001
31.0000,2.4511E-001
32.0000,2.5278E-001
33.0000,2.6137E-001
34.0000,2.6820E-001
35.0000,2.7150E-001
36.0000,2.7706E-001
37.0000,3.0631E-001
38.0000,3.1777E-001
39.0000,3.2353E-001
40.0000,3.2911E-001
41.0000,3.3471E-001
42.0000,3.3980E-001
43.0000,3.4396E-001
44.0000,3.4768E-001
45.0000,3.5190E-001
46.0000,3.5637E-001
47.0000,3.5987E-001
48.0000,3.6585E-001
49.0000,3.7177E-001
50.0000,3.8602E-001
51.0000,3.9851E-001
52.0000,4.0656E-001
53.0000,4.1244E-001
54.0000,4.1561E-001
55.0000,4.2720E-001
56.0000,4.3972E-001
57.0000,4.4699E-001
58.0000,4.5629E-001
59.0000,4.6424E-001
60.0000,4.7469E-001
61.0000,4.8282E-001
62.0000,4.8698E-001
63.0000,4.9230E-001
64.0000,5.0437E-001
65.0000,5.1755E-001
66.0000,5.2068E-001
67.0000,5.3107E-001
68.0000,5.4143E-001
69.0000,5.4261E-001
70.0000,5.4349E-001
71.0000,5.4516E-001
72.0000,5.4767E-001
73.0000,5.5549E-001
74.0000,5.6547E-001
75.0000,5.6864E-001
76.0000,5.7001E-001
77.0000,5.7122E-001
78.0000,5.7299E-001
79.0000,5.7492E-001
80.0000,5.7672E-001
81.0000,5.7851E-001
82.0000,5.8009E-001
83.0000,5.8146E-001
84.0000,5.8281E-001
85.0000,5.8409E-001
86.0000,5.8492E-001
87.0000,5.8505E-001
88.0000,5.8549E-001
89.0000,5.8668E-001
90.0000,5.8738E-001
91.0000,5.9614E-001
92.0000,6.0661E-001
93.0000,6.0743E-001
94.0000,6.0768E-001
95.0000,6.0734E-001
96.0000,6.0543E-001
97.0000,6.0348E-001
98.0000,6.0791E-001
99.0000,6.1158E-001
100.0000,6.1301E-001
101.0000,6.1081E-001
102.0000,5.8367E-001
103.0000,5.5097E-001
104.0000,5.1890E-001
105.0000,4.8786E-001
106.0000,4.6409E-001
107.0000,4.4385E-001
108.0000,4.1582E-001
109.0000,3.8713E-001
110.0000,3.6742E-001
111.0000,3.5009E-001
112.0000,3.3160E-001
113.0000,3.1252E-001
114.0000,2.8896E-001
115.0000,2.6601E-001
116.0000,2.4637E-001
117.0000,2.2460E-001
118.0000,1.9958E-001
119.0000,1.7374E-001
120.0000,1.4820E-001
121.0000,1.2359E-001
122.0000,1.0004E-001
123.0000,8.0891E-002
124.0000,6.5506E-002
125.0000,5.0249E-002
126.0000,3.5706E-002
127.0000,2.0950E-002
128.0000,9.6834E-003
129.0000,5.7525E-003
130.0000,2.1123E-003
131.0000,0.0000E+000
132.0000,0.0000E+000
133.0000,0.0000E+000
134.0000,0.0000E+000
135.0000,0.0000E+000
136.0000,0.0000E+000
137.0000,0.0000E+000
138.0000,0.0000E+000
