wind_speed,fetch_lk,c_relax_C,par_id
1.1527,65512,0.089898,p0001
1.0979,37671,0.052116,p0002
0.81941,51506,0.058013,p0003
1.126,17989,0.045772,p0004
0.95247,44028,0.035265,p0005
1.0743,74458,0.090334,p0006
1.1287,23818,0.099771,p0007
1.0839,44341,0.038432,p0008
0.84341,54391,0.0041137,p0009
0.83941,33040,0.0078514,p0010
1.0616,22084,0.057543,p0011
1.0115,11486,0.095236,p0012
0.87051,43130,0.076676,p0013
0.82849,54824,0.084758,p0014
0.8973,63259,0.019565,p0015
0.96307,67435,0.085324,p0016
0.91227,7861.4,0.028853,p0017
0.88368,60269,0.0058949,p0018
0.90539,62328,0.083707,p0019
1.0891,69113,0.027016,p0020
0.81744,13927,0.029859,p0021
0.81261,35067,0.0044929,p0022
1.0522,15133,0.0025611,p0023
0.9371,59894,0.016682,p0024
1.099,53565,0.021361,p0025
0.85358,19310,0.058234,p0026
0.99126,56096,0.026468,p0027
0.91958,30855,0.088108,p0028
0.84224,1340.9,0.006343,p0029
1.1429,44233,0.017157,p0030
1.0907,31421,0.027766,p0031
1.1099,38634,0.039202,p0032
1.0685,1401.9,0.064938,p0033
1.1192,61469,0.0018061,p0034
0.87584,43538,0.013663,p0035
0.97901,32017,0.053093,p0036
0.9822,68255,0.062774,p0037
0.90253,21639,0.039541,p0038
1.0475,67059,0.044686,p0039
0.94232,32691,0.096085,p0040
1.1909,29514,0.079203,p0041
1.041,71865,0.0046562,p0042
1.1729,32903,0.016472,p0043
1.183,35144,0.065113,p0044
1.0919,7479.1,0.091505,p0045
1.1253,69363,0.05976,p0046
1.088,55862,0.070464,p0047
0.90689,43652,0.040039,p0048
0.85861,14941,0.039871,p0049
1.1693,2757,0.089677,p0050
1.1792,52328,0.069968,p0051
1.1836,5876.8,0.060808,p0052
1.1951,52070,0.030375,p0053
1.1348,60805,0.0080309,p0054
0.96614,21078,0.048892,p0055
0.94053,4920.6,0.07796,p0056
1.1477,39778,0.071891,p0057
0.81544,70271,0.086912,p0058
0.82661,57540,0.01791,p0059
0.89406,25520,0.015547,p0060
1.1594,19678,0.091964,p0061
1.1093,53180,0.093517,p0062
1.0373,13835,0.0030189,p0063
0.99748,5807.8,0.015625,p0064
0.90336,50693,0.063153,p0065
1.0599,20368,0.019732,p0066
1.0665,9080.1,0.098699,p0067
0.89087,74804,0.068038,p0068
