wind_speed,swr,fetch_lk,c_relax_C,par_id
0.81949,1.0829,43644,0.0011071,p001
1.1996,0.81597,62373,0.085478,p002
0.83327,1.0008,55739,0.07397,p003
1.0347,1.3454,51464,0.06381,p004
1.1892,1.4073,47201,0.093024,p005
0.88055,1.9042,37346,0.018855,p006
1.0543,1.0998,35209,0.06454,p007
1.1437,1.7734,11939,0.043355,p008
0.91612,1.9614,54533,0.049313,p009
0.88674,1.8127,2337,0.083584,p010
1.1211,1.9365,36082,0.00062839,p011
0.9378,1.328,70369,0.04246,p012
0.80205,1.9773,36980,0.019749,p013
1.1137,1.2599,23524,0.062482,p014
1.1941,1.7128,687.72,0.080068,p015
1.0045,1.0424,40430,0.084935,p016
1.0444,1.3868,34426,0.07521,p017
0.87989,1.4397,16616,0.010975,p018
1.187,0.73683,12987,0.024236,p019
0.80474,0.70467,4375.3,0.03725,p020
0.85079,0.92107,19552,0.041856,p021
0.98223,1.0287,60095,0.022948,p022
0.87141,0.94474,30307,0.0028716,p023
1.0677,0.72162,8694.3,0.071221,p024
0.92583,0.8905,13430,0.086266,p025
1.1616,1.217,64722,0.088727,p026
0.98483,1.3576,60813,0.082237,p027
1.1555,1.5878,63362,0.039351,p028
1.079,1.7362,5727.2,0.060605,p029
0.92253,1.8321,22639,0.065064,p030
0.83925,0.78697,72727,0.070693,p031
1.0918,0.52192,47602,0.056423,p032
0.95693,0.78294,28027,0.046782,p033
1.1057,1.287,39469,0.096591,p034
1.0156,1.6432,3693.2,0.074308,p035
1.1083,0.99113,21765,0.02099,p036
1.1668,1.514,25541,0.054948,p037
1.0574,1.2754,17465,0.079563,p038
1.1021,1.5003,59199,0.0049467,p039
0.94334,0.85901,28636,0.02399,p040
1.184,1.0591,28947,0.012742,p041
0.82279,1.3834,68832,0.035116,p042
1.1751,1.7994,7390.1,0.03144,p043
1.131,0.59433,44648,0.090747,p044
0.87292,0.62816,53371,0.0087445,p045
0.89414,1.4619,26413,0.095406,p046
1.0953,1.8741,33469,0.081514,p047
1.0288,1.021,74113,0.011898,p048
0.95124,1.2394,20989,0.03341,p049
0.86768,1.2037,18487,0.029774,p050
0.81509,0.55494,67943,0.076886,p051
0.84083,1.4847,45227,0.014325,p052
0.85862,1.2995,64001,0.038503,p053
1.0718,1.6087,11634,0.059604,p054
1.158,0.61931,58270,0.077854,p055
0.99234,0.76941,10193,0.050478,p056
1.1388,0.96462,5041.8,0.015399,p057
1.0008,1.4223,65486,0.027273,p058
1.0628,0.8876,50315,0.0067092,p059
1.1441,1.1343,32893,0.055037,p060
0.86047,0.74016,30285,0.025737,p061
1.0378,1.235,52587,0.089862,p062
1.0856,0.51265,1750.1,0.057815,p063
0.93122,1.5583,66353,0.066937,p064
1.0188,1.1299,67347,0.091187,p065
0.9042,0.97363,57664,0.053129,p066
0.89007,1.5382,62139,0.044857,p067
0.96202,0.87365,23926,0.0093226,p068
0.99721,0.91918,46460,0.040655,p069
0.93365,0.81343,57014,0.068487,p070
1.0404,1.6773,38183,0.016064,p071
0.94759,1.8643,2990.2,0.005051,p072
0.96635,0.65083,20463,0.078542,p073
1.011,1.6961,69357,0.0031787,p074
0.85598,1.5311,55032,0.026238,p075
0.80917,1.1562,9192.7,0.028036,p076
0.9796,1.5658,61411,0.036446,p077
1.1492,1.9127,15787,0.09879,p078
1.0812,1.6258,74535,0.051573,p079
1.0258,1.9547,41757,0.032832,p080
1.1794,1.7176,31481,0.047439,p081
1.0997,0.68391,26741,0.017498,p082
0.90105,0.57249,49657,0.087236,p083
0.91102,1.4562,24691,0.099347,p084
0.83071,0.67361,14013,0.034829,p085
0.89777,1.7792,48734,0.061662,p086
0.82472,1.9856,6861.7,0.09273,p087
1.075,1.6661,53584,0.094839,p088
1.117,0.54146,44330,0.052113,p089
0.95311,1.1803,73480,0.072706,p090
0.91599,1.8811,17716,0.0139,p091
0.98832,0.57883,39236,0.0077457,p092
1.1682,1.7544,42875,0.067799,p093
1.1327,1.6122,31967,0.045409,p094
0.96887,1.1691,71019,0.09777,p095
1.0518,1.1017,14921,0.021257,p096
1.1244,1.8404,41451,0.03006,p097
0.97505,1.3212,71949,0.058571,p098
1.0202,0.83966,9883.9,0.048902,p099
0.84703,0.64623,51135,0.069524,p100
