wind_speed,mixing/coef_mix_hyp,mixing/coef_mix_KH,meteorology/ch,meteorology/ce,par_id
1.0818,0.00077561,0.23789,0.0016018,0.0010526,p0001
0.89804,0.0016082,0.29165,0.0026397,0.0019658,p0002
0.832,0.0075353,0.57044,0.0019307,0.0020368,p0003
0.8635,0.0012743,0.16285,0.0020579,0.0021244,p0004
1.1495,0.0014821,0.34647,0.0027002,0.0012074,p0005
0.9504,0.0064472,0.46138,0.0027154,0.0012793,p0006
0.95113,0.0030549,0.34554,0.0020584,0.0011666,p0007
1.1813,0.0048524,0.73715,0.0028223,0.0017046,p0008
1.1835,0.0051363,0.21792,0.0026867,0.0021018,p0009
1.1477,0.0083196,0.40557,0.0019972,0.0021358,p0010
0.85513,0.00062416,0.40752,0.001707,0.0021027,p0011
1.0321,0.0051016,0.71592,0.0013826,0.0011815,p0012
1.0927,0.0039595,0.79661,0.0019569,0.0018384,p0013
0.92063,0.0012299,0.33168,0.0028328,0.0022983,p0014
0.84488,0.0022381,0.43476,0.0029999,0.0011621,p0015
1.0028,0.0017457,0.78141,0.0017477,0.0012413,p0016
1.0283,0.0020455,0.38494,0.0023171,0.0015445,p0017
0.93522,0.0058381,0.40456,0.0026101,0.0020203,p0018
0.85732,0.0033435,0.38305,0.0011448,0.0019584,p0019
0.81874,0.00026268,0.11267,0.0015312,0.0019797,p0020
1.0905,0.0063352,0.47916,0.0029912,0.0023931,p0021
0.87939,0.00017034,0.45056,0.0020873,0.0016954,p0022
0.84305,0.0074474,0.11593,0.0015277,0.0018793,p0023
1.1088,0.0092801,0.81325,0.0017093,0.0018494,p0024
1.1769,0.00012546,0.54961,0.0014132,0.0020704,p0025
0.88752,0.0057434,0.82133,0.0013738,0.0019046,p0026
1.0051,0.0024929,0.11096,0.0012488,0.0026105,p0027
0.96915,0.0015893,0.77127,0.0021286,0.0022691,p0028
0.9234,0.0059529,0.7913,0.0024761,0.002977,p0029
0.97126,0.0048324,0.77228,0.0026707,0.0011175,p0030
1.1855,0.0078628,0.44848,0.0011053,0.0018913,p0031
1.0116,0.0010062,0.47744,0.0012087,0.0029023,p0032
1.0044,0.0017384,0.8671,0.002858,0.002179,p0033
1.1708,0.0084317,0.80964,0.0024423,0.0021186,p0034
0.91935,0.0048885,0.20262,0.0024917,0.0014783,p0035
1.0488,0.0045321,0.84843,0.0012031,0.0020251,p0036
0.83981,0.0042143,0.23902,0.0014805,0.0024697,p0037
1.0734,0.004706,0.63401,0.0011395,0.0019354,p0038
0.98337,0.0023377,0.2779,0.0011033,0.00132,p0039
0.99382,0.0029261,0.63862,0.0018669,0.0013978,p0040
1.0698,0.0013473,0.78629,0.0018311,0.0012641,p0041
0.93186,0.0023914,0.12804,0.0014359,0.0013653,p0042
0.98655,0.0093028,0.22349,0.0027777,0.0029361,p0043
0.83564,0.00036516,0.6212,0.0028793,0.0027661,p0044
1.0715,0.005179,0.26618,0.0026228,0.0011486,p0045
1.112,0.0064384,0.77801,0.0010903,0.0024885,p0046
1.1473,0.0070874,0.34436,0.0028516,0.0018334,p0047
1.0795,0.0052376,0.79778,0.0013952,0.0013636,p0048
1.0537,0.00726,0.61083,0.0027129,0.0029971,p0049
1.1225,0.0050188,0.17754,0.0020038,0.0014404,p0050
0.98235,0.0058727,0.52573,0.0012807,0.0016216,p0051
0.86856,0.0037668,0.56746,0.0014674,0.0029597,p0052
0.92319,0.0012344,0.37647,0.0024336,0.0028321,p0053
1.1468,0.0010614,0.64382,0.001494,0.0020592,p0054
0.95193,0.0060472,0.31522,0.0020241,0.0016484,p0055
0.84259,0.0027688,0.75329,0.0025526,0.0020519,p0056
1.1591,0.00080672,0.84642,0.0029619,0.0013338,p0057
0.92735,0.0068333,0.18087,0.0022986,0.0027604,p0058
1.1967,0.0060154,0.37935,0.0025662,0.0022895,p0059
0.89939,0.001641,0.32398,0.0019425,0.0025359,p0060
0.83164,0.0044938,0.35147,0.0011328,0.0022676,p0061
0.80262,0.0015226,0.47979,0.0027871,0.0010886,p0062
1.1695,0.0061207,0.34161,0.0013149,0.0010343,p0063
0.9433,0.0047595,0.51663,0.0025693,0.0020543,p0064
0.99517,0.0039417,0.20611,0.0011414,0.0019748,p0065
0.92656,0.0047198,0.80295,0.0014312,0.0028897,p0066
0.95782,0.009329,0.69744,0.0025239,0.0024408,p0067
1.1725,0.0095449,0.72523,0.0010967,0.0027866,p0068
0.85778,0.0082369,0.30696,0.0013126,0.0010572,p0069
0.9567,0.0062704,0.70672,0.0019157,0.0023904,p0070
1.0172,0.00071418,0.35029,0.0016353,0.0010111,p0071
1.0388,0.0022095,0.51686,0.001452,0.0028732,p0072
1.1171,0.0043286,0.12148,0.0020451,0.0029068,p0073
