wind_speed,mixing/coef_mix_hyp,meteorology/ch,meteorology/ce,par_id
1.0966,7.1852e-05,0.0014148,0.001997,p0001
1.0522,6.9994e-05,0.0023721,0.0024206,p0002
1.0185,6.0421e-05,0.0029057,0.00156,p0003
0.86775,1.0291e-05,0.0015245,0.0025533,p0004
1.1488,4.2012e-05,0.0017499,0.0019027,p0005
1.0545,9.6659e-05,0.0017322,0.0028717,p0006
0.82112,2.3544e-05,0.0026404,0.0013303,p0007
1.0018,4.1044e-05,0.0010137,0.0011836,p0008
0.80192,6.8409e-05,0.0015803,0.0014974,p0009
0.95091,6.3609e-05,0.0029704,0.002251,p0010
0.98655,3.0191e-05,0.0017601,0.0028468,p0011
1.1146,8.7436e-05,0.0022403,0.001464,p0012
1.0404,2.9988e-05,0.002516,0.0019226,p0013
1.1067,3.9517e-05,0.0016515,0.002359,p0014
1.0092,5.8112e-05,0.0023512,0.0015857,p0015
1.1645,9.6598e-05,0.0022397,0.0012102,p0016
0.81661,7.4173e-05,0.0028738,0.0028012,p0017
0.86299,5.7269e-05,0.0011408,0.002984,p0018
0.86162,4.6303e-05,0.0027731,0.0018295,p0019
1.0293,3.2421e-05,0.0025456,0.0017019,p0020
1.1573,8.6528e-05,0.0014239,0.0023792,p0021
1.0739,7.4022e-05,0.0019236,0.0010965,p0022
1.1742,2.595e-05,0.0023325,0.0017349,p0023
0.91693,3.8306e-05,0.0018438,0.0026297,p0024
0.99912,3.61e-06,0.0017123,0.0015258,p0025
1.0168,5.3449e-05,0.0014904,0.001671,p0026
0.90616,5.6531e-05,0.0026869,0.0020116,p0027
0.82941,7.6458e-05,0.0011703,0.0020566,p0028
1.1804,3.5666e-05,0.0018137,0.0029756,p0029
1.1105,2.253e-05,0.002564,0.0026909,p0030
0.90389,8.611e-05,0.0014788,0.0027671,p0031
0.91583,4.0772e-05,0.0010768,0.0022338,p0032
0.94033,8.8627e-05,0.0014313,0.0014361,p0033
1.0166,9.6999e-05,0.0021646,0.0019004,p0034
0.82594,6.8297e-05,0.0025624,0.0029788,p0035
1.1246,5.3193e-05,0.0015022,0.0029143,p0036
1.1615,2.5068e-06,0.0018029,0.0017574,p0037
0.85787,3.1598e-05,0.0029218,0.0012372,p0038
0.93025,5.8218e-05,0.0011096,0.0027853,p0039
1.0475,3.5664e-05,0.0013469,0.0015268,p0040
0.95724,8.9361e-05,0.001312,0.002292,p0041
0.89982,7.1955e-05,0.0022444,0.0016732,p0042
0.90943,6.9167e-05,0.0019219,0.0029468,p0043
1.1929,9.5225e-05,0.0021397,0.0023956,p0044
1.0057,3.4714e-05,0.0028924,0.0016789,p0045
0.99257,8.0088e-05,0.0021401,0.0020031,p0046
1.0909,5.2293e-06,0.001026,0.0021782,p0047
0.92117,6.744e-05,0.0017652,0.0026761,p0048
0.84563,3.4466e-05,0.0010884,0.0010443,p0049
0.93167,7.7604e-05,0.0015502,0.0021368,p0050
0.90209,9.2012e-05,0.0013262,0.0015033,p0051
0.8261,3.3929e-05,0.0025795,0.0024692,p0052
0.83223,9.5645e-05,0.0023811,0.0024741,p0053
0.97929,6.2425e-05,0.0011926,0.0010691,p0054
1.0041,1.0888e-05,0.0010417,0.0016096,p0055
1.1765,8.2854e-05,0.0024551,0.0029109,p0056
0.88148,7.4084e-05,0.0020992,0.001969,p0057
1.1812,7.3345e-05,0.0015144,0.0024083,p0058
1.1389,6.1867e-05,0.0025965,0.0013976,p0059
1.0376,8.5626e-06,0.0010299,0.0010574,p0060
1.1139,2.9771e-05,0.0013721,0.0020846,p0061
1.018,7.0053e-05,0.0025921,0.0020598,p0062
0.95183,2.3687e-05,0.0028356,0.0029434,p0063
0.90917,4.6525e-05,0.0011209,0.0023047,p0064
1.1234,2.7667e-05,0.0021255,0.0023532,p0065
1.1136,6.5285e-06,0.0014522,0.0014736,p0066
1.0076,9.4368e-06,0.0013034,0.0021833,p0067
1.0253,4.9237e-05,0.0027226,0.0021966,p0068
0.98158,3.1516e-05,0.0016,0.001746,p0069
1.1951,3.3013e-05,0.0025484,0.0023066,p0070
0.88745,9.0831e-05,0.0023471,0.0014486,p0071
0.96118,4.5664e-05,0.0026784,0.0021301,p0072
1.0195,1.432e-06,0.0012249,0.0015772,p0073
0.82408,6.3103e-05,0.0018354,0.0019987,p0074
1.1313,3.4194e-05,0.0020123,0.0013943,p0075
1.198,3.5374e-05,0.0012975,0.0022644,p0076
1.1534,7.6197e-05,0.0017145,0.0016773,p0077
0.96233,4.2155e-05,0.0019138,0.0027367,p0078
0.88571,8.173e-05,0.0018571,0.0024125,p0079
1.1833,6.4759e-05,0.0014657,0.0026418,p0080
0.89246,6.7863e-05,0.0010568,0.0018348,p0081
1.0229,7.6352e-05,0.0024371,0.0024022,p0082
1.102,4.607e-05,0.001458,0.0017151,p0083
1.1941,8.6779e-05,0.0020198,0.0019084,p0084
0.92874,7.5036e-05,0.001861,0.0026782,p0085
0.84847,4.2978e-05,0.0014774,0.0026497,p0086
0.89169,9.8698e-05,0.0024771,0.0011335,p0087
1.0722,6.9609e-07,0.0019032,0.0025578,p0088
0.90733,5.379e-05,0.0020765,0.0012291,p0089
1.0885,4.9149e-05,0.0016594,0.0018219,p0090
1.1938,5.1794e-05,0.0014683,0.0015823,p0091
1.1819,4.8005e-05,0.0025479,0.0028381,p0092
1.1753,9.141e-05,0.0015166,0.0014159,p0093
1.125,7.1071e-05,0.0024732,0.0017502,p0094
0.94367,6.4092e-05,0.0025197,0.0023635,p0095
0.95823,7.316e-05,0.0010543,0.0013222,p0096
1.0908,1.429e-05,0.0020535,0.0022622,p0097
0.82153,6.3888e-05,0.0013152,0.0021725,p0098
0.97885,7.369e-05,0.0024166,0.0011005,p0099
1.0244,1.8364e-05,0.0012095,0.0019534,p0100
0.86525,6.3309e-05,0.0020067,0.0027348,p0101
0.8945,5.0124e-05,0.0017719,0.0027927,p0102
0.85755,9.8471e-05,0.0025301,0.0011589,p0103
1.0341,1.8961e-05,0.0014845,0.0022371,p0104
1.0748,6.6561e-05,0.0016924,0.0023902,p0105
1.0501,3.7012e-05,0.0020607,0.0017608,p0106
1.0675,7.5194e-05,0.0019993,0.0019272,p0107
1.1971,7.3256e-05,0.0029917,0.0026455,p0108
0.95768,7.4257e-05,0.0025724,0.0020602,p0109
0.90294,5.031e-05,0.002027,0.0020382,p0110
0.80757,2.2602e-05,0.002221,0.0016541,p0111
0.8178,7.6742e-05,0.002808,0.0027329,p0112
1.1057,3.8831e-05,0.0011651,0.0010611,p0113
0.94199,2.4047e-05,0.0022666,0.0022956,p0114
0.87972,7.7404e-05,0.0021867,0.0029121,p0115
1.0438,3.0806e-06,0.0017249,0.0022541,p0116
0.93961,2.6511e-06,0.0014867,0.0013261,p0117
0.94415,4.9367e-05,0.0019877,0.0021697,p0118
1.1726,9.9326e-05,0.0022111,0.002529,p0119
1.1877,1.8688e-05,0.0013767,0.0026754,p0120
1.0201,6.6351e-06,0.0024806,0.0029399,p0121
0.90143,4.5058e-05,0.0015356,0.0021069,p0122
1.1846,8.7216e-05,0.0015779,0.0013118,p0123
1.055,8.3304e-05,0.0029661,0.0029494,p0124
1.0235,1.6826e-05,0.0026471,0.0026335,p0125
0.96895,8.9896e-05,0.001243,0.0018003,p0126
1.0078,4.7054e-05,0.00104,0.0015633,p0127
0.99423,6.6888e-05,0.0026514,0.0015527,p0128
1.1293,1.0731e-05,0.0021698,0.0016381,p0129
0.85937,8.8462e-05,0.0019487,0.0016611,p0130
0.88808,2.1345e-05,0.0022188,0.0012712,p0131
0.93768,1.3977e-05,0.0021591,0.0015316,p0132
1.1242,7.7936e-05,0.0012871,0.002181,p0133
0.9047,4.8221e-05,0.0011883,0.0018874,p0134
0.81178,1.7532e-05,0.0010475,0.0014479,p0135
1.043,4.8798e-05,0.0022888,0.0029443,p0136
1.196,5.1849e-05,0.0020802,0.001897,p0137
1.0706,5.0899e-05,0.0015737,0.002384,p0138
1.099,2.1411e-05,0.0028631,0.002925,p0139
1.0118,8.274e-05,0.0018634,0.0011557,p0140
0.9568,4.9278e-05,0.0026958,0.0025038,p0141
1.1801,4.9497e-05,0.0025393,0.0029356,p0142
1.1287,5.9171e-05,0.0029636,0.0010803,p0143
