wind_speed,mixing/coef_mix_hyp,par_id
1.1717,2.7352e-05,p001
0.82568,9.525e-05,p002
0.84057,3.7566e-05,p003
0.98826,6.4419e-05,p004
0.87444,1.5933e-06,p005
0.85003,4.5424e-05,p006
1.1756,4.8654e-05,p007
0.8302,7.1548e-05,p008
1.0361,6.0815e-05,p009
0.88818,5.2398e-05,p010
1.118,8.1999e-05,p011
0.93594,9.2468e-05,p012
1.1998,9.0291e-06,p013
0.91228,7.5338e-05,p014
1.0507,7.4687e-05,p015
0.96446,7.0817e-05,p016
1.1118,9.1115e-05,p017
1.0677,9.8535e-05,p018
1.0347,1.0882e-05,p019
0.91922,6.5098e-05,p020
0.96379,5.392e-05,p021
1.128,5.8714e-06,p022
1.1769,7.9586e-05,p023
0.93039,9.6034e-05,p024
1.0099,3.0166e-05,p025
1.0781,3.1413e-05,p026
1.0043,8.2088e-05,p027
1.0808,4.4184e-05,p028
0.85926,9.4972e-05,p029
1.0273,5.7786e-05,p030
0.83591,2.9262e-05,p031
0.87112,5.4583e-05,p032
0.8851,7.795e-05,p033
1.0925,2.6423e-07,p034
0.97153,7.6854e-05,p035
1.0179,7.201e-06,p036
1.1587,2.372e-05,p037
1.1311,3.4318e-05,p038
1.1014,1.8888e-05,p039
1.0532,7.8287e-05,p040
0.86769,8.8182e-05,p041
0.95981,8.742e-05,p042
0.89631,5.0266e-05,p043
1.166,5.6802e-05,p044
1.0419,6.6702e-05,p045
1.1363,8.3666e-05,p046
1.0618,3.9763e-05,p047
0.97406,1.1695e-05,p048
0.89342,4.2165e-05,p049
1.0751,4.3761e-05,p050
0.9969,4.8001e-05,p051
1.085,1.3592e-05,p052
0.81786,3.8375e-05,p053
1.1418,8.9239e-05,p054
0.94887,9.9578e-05,p055
1.1857,2.8439e-05,p056
0.92037,1.2689e-05,p057
1.1498,3.2533e-06,p058
1.1236,9.3689e-05,p059
1.1839,2.0664e-05,p060
1.0999,3.6022e-05,p061
0.81563,7.2824e-05,p062
0.97613,8.4532e-05,p063
0.98482,5.9223e-05,p064
0.91169,8.6796e-05,p065
0.9556,1.4088e-05,p066
0.85454,2.2911e-05,p067
0.90428,5.1916e-05,p068
0.84582,2.5961e-05,p069
1.1043,5.8057e-05,p070
0.94422,9.7011e-05,p071
1.0024,1.591e-05,p072
0.80011,2.1096e-05,p073
0.99516,4.1359e-05,p074
0.98048,5.5244e-05,p075
1.1942,3.0508e-06,p076
1.1912,1.9534e-05,p077
1.1143,7.3629e-05,p078
1.0704,6.6396e-06,p079
0.88275,8.5627e-05,p080
1.0474,4.8588e-06,p081
0.90062,6.3418e-05,p082
0.92586,1.6418e-05,p083
0.80911,3.4062e-05,p084
0.83666,8.0837e-05,p085
1.163,4.6231e-05,p086
0.82045,9.0503e-05,p087
0.80457,9.5369e-06,p088
1.0894,6.7081e-05,p089
1.1529,6.133e-05,p090
1.0123,1.7329e-05,p091
0.87969,4.9531e-05,p092
1.0311,6.8341e-05,p093
1.1471,3.6221e-05,p094
1.134,2.4149e-05,p095
0.94227,2.6525e-05,p096
1.0234,3.2991e-05,p097
1.0591,6.9465e-05,p098
0.93865,4.081e-05,p099
0.8629,6.2869e-05,p100
