wind_speed,mixing/coef_mix_hyp,light/Kw,par_id
0.84816,5.4723e-05,0.30662,p001
0.9575,9.4769e-05,0.37188,p002
1.1985,5.9994e-05,0.26316,p003
0.93284,2.3533e-05,0.54988,p004
1.0818,2.4496e-05,0.49717,p005
0.89614,1.2596e-06,0.57186,p006
1.11,6.1688e-06,0.79205,p007
0.80405,1.6296e-05,0.22105,p008
1.0858,2.5786e-05,0.5459,p009
0.93823,1.3412e-05,0.43878,p010
1.0331,8.1469e-05,0.7995,p011
0.92864,8.7675e-05,0.75645,p012
0.80879,8.4367e-05,0.39258,p013
1.1585,1.5929e-05,0.61227,p014
0.97826,9.5597e-05,0.70945,p015
1.1049,3.0208e-05,0.62241,p016
0.92699,7.0508e-05,0.67734,p017
0.92106,4.1366e-05,0.687,p018
1.0473,8.7203e-05,0.2053,p019
1.0422,7.1622e-05,0.68418,p020
1.1277,5.5974e-05,0.57585,p021
1.0136,6.3205e-05,0.55305,p022
0.95095,4.2821e-05,0.20292,p023
1.1826,5.3527e-06,0.25008,p024
0.83267,8.9253e-06,0.34407,p025
0.86906,2.0759e-05,0.31877,p026
0.98559,9.0933e-05,0.26854,p027
0.81779,1.4646e-05,0.31127,p028
0.99272,5.5496e-05,0.71034,p029
0.96649,5.6139e-05,0.27841,p030
0.8373,4.0327e-05,0.21724,p031
1.1513,1.8787e-05,0.32678,p032
1.0865,4.0564e-05,0.42326,p033
0.99103,4.8129e-05,0.45647,p034
1.0972,8.1858e-05,0.40515,p035
1.1242,5.2079e-05,0.55809,p036
1.1491,1.9477e-05,0.30071,p037
0.90322,8.9241e-05,0.39694,p038
1.0451,5.321e-05,0.47407,p039
1.1536,4.2252e-05,0.22955,p040
0.95433,1.0113e-05,0.2761,p041
0.94142,5.6879e-05,0.3161,p042
1.037,6.0179e-05,0.22055,p043
0.87789,4.6167e-06,0.23201,p044
1.0921,3.8385e-05,0.47068,p045
0.95246,2.3998e-05,0.2095,p046
0.99718,2.0524e-05,0.66514,p047
1.0293,5.4518e-05,0.40386,p048
1.1889,7.3309e-05,0.63949,p049
0.92391,3.2473e-05,0.4433,p050
1.0599,7.75e-06,0.6363,p051
1.0411,7.954e-05,0.44088,p052
1.1204,8.3057e-05,0.60189,p053
0.89482,7.8577e-05,0.24244,p054
0.98274,1.9902e-05,0.45827,p055
1.1863,4.0792e-06,0.73238,p056
1.1444,5.7813e-05,0.41017,p057
0.85996,4.1041e-06,0.44999,p058
0.98013,9.8199e-05,0.34086,p059
1.1017,9.9564e-05,0.37688,p060
1.1464,1.664e-05,0.78855,p061
1.1775,7.6235e-05,0.54062,p062
1.1789,8.2469e-05,0.2891,p063
0.81084,9.9175e-05,0.68144,p064
0.96325,3.8659e-05,0.37003,p065
0.83847,6.0805e-05,0.67565,p066
1.0998,3.4289e-05,0.38607,p067
1.1173,1.7323e-05,0.73879,p068
0.80773,6.5728e-05,0.50031,p069
0.88284,9.153e-05,0.74464,p070
0.91243,1.0928e-05,0.51338,p071
0.91117,5.278e-05,0.25276,p072
1.0674,7.6713e-05,0.60694,p073
1.1978,9.0363e-05,0.52999,p074
0.89079,4.6072e-05,0.22429,p075
0.89334,6.6702e-05,0.70037,p076
1.073,1.2503e-05,0.5204,p077
1.0071,6.8197e-05,0.77868,p078
0.85792,4.4149e-05,0.36474,p079
1.0547,5.3943e-05,0.24086,p080
0.93051,3.9822e-05,0.70646,p081
1.0644,2.5241e-05,0.65361,p082
1.0952,2.6512e-05,0.49233,p083
0.95924,4.8973e-05,0.67307,p084
0.96567,5.1028e-05,0.33244,p085
1.1037,2.7357e-06,0.29337,p086
0.82272,6.9679e-06,0.58036,p087
1.1337,8.2967e-05,0.48275,p088
0.84541,2.8483e-05,0.36721,p089
0.94832,5.0221e-05,0.65741,p090
1.1223,8.4651e-05,0.78529,p091
0.84007,6.1267e-05,0.52544,p092
1.1915,4.5615e-05,0.79422,p093
1.0698,7.7055e-05,0.60949,p094
0.91865,9.7011e-05,0.65048,p095
1.1193,8.054e-05,0.73659,p096
1.1378,8.9595e-05,0.50967,p097
1.1848,6.298e-05,0.38438,p098
0.83533,8.6256e-05,0.56625,p099
0.90498,2.2397e-05,0.56514,p100
1.1651,8.5721e-05,0.50565,p101
1.1805,7.8325e-05,0.66042,p102
1.019,8.865e-05,0.3817,p103
0.97593,3.7378e-05,0.64428,p104
1.0798,4.5235e-05,0.29029,p105
0.94476,5.884e-05,0.45391,p106
0.87943,7.1446e-05,0.43336,p107
1.0348,4.9844e-05,0.2557,p108
1.0053,6.9693e-05,0.38972,p109
0.84337,6.2102e-05,0.7718,p110
1.1394,4.69e-05,0.26033,p111
1.1076,4.1936e-05,0.29814,p112
1.0144,6.1658e-05,0.58678,p113
1.0826,1.3681e-05,0.64185,p114
1.0906,4.9234e-05,0.33592,p115
1.0178,3.6275e-05,0.62785,p116
1.0002,5.1736e-05,0.53224,p117
1.1121,7.3068e-06,0.62338,p118
1.1943,9.3323e-06,0.58176,p119
1.0213,3.0845e-05,0.46494,p120
0.87345,1.2834e-05,0.34179,p121
0.8001,5.929e-05,0.32065,p122
1.1431,9.2686e-05,0.59233,p123
0.8246,4.3295e-05,0.7523,p124
0.81583,1.4418e-05,0.46148,p125
1.1304,3.2963e-05,0.52275,p126
1.0751,2.2728e-05,0.28423,p127
