wind_speed,swr,mixing/coef_mix_hyp,light/Kw,par_id
0.94762,1.1704,1.8082e-05,0.56367,p0001
0.97499,1.024,5.672e-07,0.46596,p0002
1.1877,1.0529,4.4145e-05,0.53595,p0003
1.1544,0.9953,6.3212e-05,0.37183,p0004
1.1157,1.164,8.8955e-07,0.69427,p0005
0.81531,1.0525,7.9771e-06,0.39336,p0006
1.0525,1.0903,4.5899e-05,0.22026,p0007
0.86521,0.95647,7.9233e-05,0.31705,p0008
1.0037,0.80449,3.4896e-05,0.53217,p0009
0.92224,0.95825,7.6627e-06,0.2666,p0010
0.84475,0.97998,8.1095e-05,0.20574,p0011
1.1996,0.98464,3.978e-07,0.30546,p0012
0.86952,1.1971,2.1688e-05,0.45067,p0013
0.84283,0.83818,9.9923e-05,0.79005,p0014
0.88466,1.0811,8.5637e-05,0.59047,p0015
0.89112,1.0642,7.6038e-05,0.72815,p0016
0.86807,0.94644,3.5115e-05,0.36202,p0017
0.95297,0.82763,2.6338e-05,0.33606,p0018
0.91401,1.1879,4.3302e-05,0.47103,p0019
0.89986,1.1044,8.6523e-05,0.39857,p0020
0.98618,0.97524,9.2022e-05,0.3552,p0021
1.039,1.166,4.2571e-05,0.43402,p0022
0.91065,1.0001,4.4743e-05,0.7071,p0023
0.81253,1.0297,2.5845e-05,0.45835,p0024
1.1091,1.0397,9.9331e-05,0.61021,p0025
1.0502,0.98829,5.9365e-06,0.52913,p0026
1.1708,0.8542,2.7159e-05,0.6028,p0027
1.1953,1.1223,8.7046e-05,0.75865,p0028
0.90303,1.066,1.1376e-05,0.42842,p0029
1.1073,0.8944,6.1306e-05,0.75035,p0030
0.98418,1.1179,4.2822e-05,0.68995,p0031
1.1868,0.93106,9.8927e-05,0.42076,p0032
0.99804,0.88879,4.306e-05,0.72196,p0033
0.83132,1.1934,8.2484e-05,0.58216,p0034
1.0667,0.93803,6.5255e-05,0.25831,p0035
1.1559,0.91716,8.7829e-05,0.39961,p0036
1.0105,1.012,4.4917e-05,0.3158,p0037
0.91674,0.8493,8.1554e-05,0.77807,p0038
1.0149,1.0254,4.1586e-05,0.26745,p0039
1.0714,1.1326,2.4605e-05,0.67172,p0040
0.90107,0.85491,8.8379e-05,0.50574,p0041
0.8804,1.0556,2.1896e-05,0.73013,p0042
1.1205,0.89039,2.9172e-05,0.37907,p0043
1.1588,0.88899,4.4527e-05,0.3854,p0044
0.84183,1.0768,4.6775e-05,0.63553,p0045
0.83959,1.1176,4.1384e-05,0.6644,p0046
0.83282,1.0792,1.0892e-06,0.65664,p0047
0.82276,0.86141,1.0612e-05,0.53671,p0048
0.94154,0.94591,7.0627e-05,0.51364,p0049
1.0646,0.83941,8.3812e-05,0.59887,p0050
1.085,1.0363,7.2256e-05,0.3083,p0051
0.80144,0.87069,9.1446e-05,0.75588,p0052
1.042,0.88103,6.7824e-05,0.50102,p0053
1.1755,1.1242,5.4816e-05,0.71478,p0054
1.1852,0.98691,8.0688e-05,0.26271,p0055
1.1122,1.1382,7.8257e-05,0.47259,p0056
1.1177,1.0016,4.0095e-05,0.31316,p0057
1.1236,1.1747,6.5098e-05,0.67511,p0058
0.9333,0.85806,7.077e-05,0.60161,p0059
0.86962,0.99747,5.1194e-05,0.46898,p0060
1.025,0.8729,4.0779e-05,0.23386,p0061
1.1571,1.0847,5.2628e-05,0.52134,p0062
0.98809,0.91527,2.8237e-05,0.27854,p0063
