wind_speed,turb_param/k_min,g2/constant_value,g1/constant_value,A/constant_value,par_id
0.82609,3.1963e-09,2.4653,0.49001,0.80134,p0001
1.0323,5.4476e-11,0.64659,0.60621,0.79881,p0002
1.0546,5.6893e-07,1.6442,0.56883,1.0659,p0003
0.85566,2.055e-05,2.8274,0.58409,0.98073,p0004
0.97172,1.5248e-13,2.9537,0.6671,0.95277,p0005
1.015,1.649e-10,2.0705,0.56204,1.0757,p0006
1.0638,9.9825e-13,1.363,0.79012,1.0101,p0007
1.0823,1.0097e-11,1.4615,0.66964,0.75033,p0008
0.86294,4.6296e-06,0.57429,0.4146,1.0916,p0009
1.1137,1.8263e-06,1.1611,0.62608,0.9744,p0010
1.0645,2.9279e-07,1.9687,0.5443,1.0746,p0011
0.83265,9.9928e-06,2.3554,0.57871,1.0269,p0012
0.92032,1.5188e-11,1.8255,0.50213,0.93978,p0013
0.89507,2.7888e-10,2.5501,0.49821,0.76578,p0014
1.1474,5.2694e-08,0.65513,0.60897,1.0095,p0015
1.1614,6.2268e-05,2.1476,0.60168,0.74787,p0016
0.91168,6.784e-12,1.09,0.55696,0.91837,p0017
1.0102,6.4531e-07,1.0771,0.72509,1.0966,p0018
0.99129,3.8859e-07,1.5441,0.55025,0.91249,p0019
0.95205,7.0822e-09,2.9418,0.5526,0.84599,p0020
0.90451,1.6853e-06,2.9076,0.69517,0.88273,p0021
0.82292,6.0149e-14,0.61871,0.71804,0.76059,p0022
1.1052,1.0844e-12,0.78948,0.59684,1.0552,p0023
0.834,2.6037e-10,0.87345,0.4244,0.87374,p0024
0.81052,1.2683e-07,1.7353,0.7735,0.83213,p0025
0.93518,7.0096e-10,0.85577,0.48309,0.97558,p0026
0.86092,2.3073e-13,3.1662,0.51384,0.95063,p0027
0.86434,0.00017626,1.6595,0.58687,0.90994,p0028
1.0901,1.7153e-12,2.3806,0.44957,1.0464,p0029
0.98652,2.392e-13,3.3209,0.42204,1.0467,p0030
0.91751,7.7698e-15,2.4505,0.47878,0.8644,p0031
1.0058,8.5454e-07,3.18,0.78786,1.0037,p0032
1.1226,0.00018511,3.279,0.69975,1.0435,p0033
1.1825,1.193e-05,2.2998,0.53751,0.8477,p0034
