wind_speed,turb_param/k_min,par_id
0.82381,6.1733e-08,p001
1.0643,3.0226e-09,p002
1.1223,3.5896e-11,p003
1.1417,0.00023565,p004
1.1709,1.2592e-06,p005
1.1783,1.652e-14,p006
0.97277,2.0473e-10,p007
0.99578,1.223e-07,p008
0.92132,1.0028e-11,p009
1.0501,1.8055e-12,p010
1.018,2.7675e-06,p011
0.99051,1.95e-11,p012
0.83601,1.1969e-10,p013
0.9377,7.5488e-06,p014
1.1138,1.9086e-13,p015
0.82619,2.9962e-07,p016
0.92687,9.0445e-05,p017
0.8792,5.8719e-14,p018
1.1587,4.8657e-10,p019
1.1388,2.2606e-06,p020
1.0112,1.3995e-12,p021
0.96044,9.6968e-07,p022
0.91802,6.6967e-14,p023
0.84503,1.1016e-08,p024
1.0909,3.8891e-05,p025
1.1479,0.00014836,p026
1.1068,5.8444e-15,p027
0.94438,1.612e-09,p028
1.0878,6.008e-05,p029
0.9106,1.0446e-05,p030
0.91509,7.2665e-05,p031
0.90576,7.0405e-12,p032
0.81921,6.083e-09,p033
0.9835,5.2911e-13,p034
1.0535,1.5445e-05,p035
0.99998,3.6466e-08,p036
0.90196,8.2468e-15,p037
1.1834,4.4796e-06,p038
0.94397,1.8137e-06,p039
1.0078,9.5994e-13,p040
1.025,2.2933e-13,p041
0.95366,6.6752e-07,p042
0.92995,2.0779e-14,p043
0.86629,2.7296e-11,p044
1.0936,1.2044e-05,p045
1.0291,1.1241e-09,p046
0.81427,2.414e-10,p047
1.198,1.5023e-09,p048
0.84811,5.3256e-11,p049
1.1741,2.9722e-13,p050
0.8542,1.0424e-07,p051
1.1164,2.1043e-09,p052
1.193,4.2658e-05,p053
1.1006,9.2503e-14,p054
0.97861,0.00035312,p055
1.0329,0.00044323,p056
0.94906,5.854e-12,p057
0.80622,3.4627e-06,p058
1.057,6.3706e-10,p059
1.1273,7.3828e-08,p060
0.8987,1.0679e-12,p061
1.0447,2.4507e-08,p062
1.0751,5.0791e-09,p063
0.88469,2.4945e-05,p064
1.1671,7.6375e-13,p065
1.1912,6.8118e-11,p066
1.1307,2.0861e-07,p067
1.0981,0.00013687,p068
1.0154,2.7181e-12,p069
1.1328,1.7372e-08,p070
1.1508,4.177e-10,p071
0.89268,6.2607e-06,p072
1.0371,2.118e-05,p073
1.0822,3.1352e-08,p074
0.96501,8.2456e-10,p075
1.0022,1.3652e-08,p076
1.1085,3.1179e-14,p077
0.89132,8.4212e-11,p078
0.87141,1.822e-07,p079
1.1879,0.00021905,p080
0.96968,8.3513e-15,p081
1.0416,4.5953e-12,p082
1.1559,5.2856e-07,p083
0.84089,4.0278e-07,p084
1.1626,4.6959e-13,p085
1.06,9.2853e-12,p086
0.87495,1.3974e-13,p087
0.86207,3.3741e-11,p088
1.0236,8.5734e-09,p089
0.80915,8.8538e-07,p090
0.83022,1.2069e-14,p091
1.0699,2.3619e-14,p092
0.83426,1.2617e-13,p093
0.80352,4.4162e-08,p094
0.88173,2.7642e-10,p095
0.85957,3.9477e-09,p096
0.98539,1.5931e-11,p097
1.0769,1.2874e-10,p098
0.93406,3.8715e-14,p099
0.95946,3.0198e-12,p100
