wind_speed,swr,turb_param/k_min,par_id
0.82531,0.71548,2.0156e-11,p001
1.087,1.1785,1.3152e-08,p002
0.95167,1.4479,8.3331e-15,p003
0.80674,1.1292,9.7094e-05,p004
1.011,0.51508,3.4416e-06,p005
0.99643,1.8659,2.7422e-06,p006
0.94691,0.61335,2.2254e-10,p007
0.95487,0.60177,1.3107e-07,p008
1.1907,1.279,1.8012e-08,p009
0.82399,1.4781,7.3431e-07,p010
0.82879,1.6143,0.00030271,p011
0.84269,1.7786,4.4967e-08,p012
0.85847,1.2586,1.2902e-06,p013
0.92398,1.9284,9.2697e-07,p014
1.0175,0.90944,6.9777e-15,p015
0.91988,1.5004,6.2218e-09,p016
0.89975,1.4313,5.7154e-14,p017
0.93803,0.79846,4.3347e-09,p018
0.90353,1.3911,0.00044452,p019
1.0946,1.0352,2.9233e-05,p020
0.88315,1.8077,2.7277e-12,p021
0.85252,1.8969,2.1902e-13,p022
0.88925,0.77138,5.0642e-12,p023
1.1072,1.6304,0.00018547,p024
0.81509,1.5337,9.176e-11,p025
1.167,1.9789,5.999e-11,p026
1.0517,1.7443,1.9014e-05,p027
1.1204,0.57867,9.9944e-10,p028
1.0913,0.65339,1.243e-10,p029
1.1259,0.50971,3.1344e-05,p030
1.1639,0.80544,1.4736e-12,p031
0.84864,1.6999,7.4779e-14,p032
1.055,0.88597,2.8794e-07,p033
1.0354,0.94902,2.2096e-09,p034
1.1177,1.0568,0.00011403,p035
1.1424,1.5802,5.4982e-05,p036
1.129,0.86301,7.946e-12,p037
1.0239,1.2819,2.9332e-12,p038
0.88492,0.82447,2.1641e-08,p039
0.90409,1.5998,3.242e-13,p040
1.0811,1.683,2.8949e-09,p041
1.1575,1.1645,1.984e-10,p042
1.039,0.62311,7.0714e-10,p043
0.86991,1.7461,2.8399e-11,p044
1.096,1.5621,1.4475e-11,p045
1.1341,1.0402,1.0179e-05,p046
1.0031,0.68037,1.1755e-11,p047
0.92464,1.8291,1.1443e-07,p048
1.0623,1.4274,1.5383e-07,p049
0.94244,0.97631,3.5944e-08,p050
1.1375,1.0748,7.0744e-13,p051
0.86515,1.6642,4.8517e-14,p052
1.0133,0.95714,2.6644e-14,p053
0.87729,1.1942,1.1807e-12,p054
1.1828,0.84465,3.0479e-10,p055
1.027,1.9539,4.9698e-09,p056
0.93572,0.53432,4.8711e-13,p057
0.83571,1.999,4.6892e-13,p058
0.8728,1.2108,4.411e-05,p059
1.1465,1.2234,4.3173e-11,p060
0.84591,1.7661,4.2145e-07,p061
0.81959,1.5465,6.0014e-08,p062
1.0064,1.7937,8.3607e-13,p063
1.1499,1.1537,1.2107e-13,p064
0.80161,1.9211,6.5167e-12,p065
1.0696,0.56512,2.0969e-06,p066
0.95776,0.92394,2.6261e-13,p067
1.1723,1.1009,4.6161e-10,p068
0.92877,1.1338,4.7326e-06,p069
0.96394,1.3687,1.583e-05,p070
0.9814,0.85891,5.8406e-06,p071
1.1521,1.5731,8.6344e-08,p072
1.0669,0.63618,2.2598e-11,p073
1.0742,1.3128,1.6971e-06,p074
1.043,1.9696,1.5471e-14,p075
0.81026,1.009,2.9619e-08,p076
1.0769,0.75581,1.0796e-14,p077
0.97594,0.99431,1.1627e-08,p078
1.1099,1.8475,8.6166e-14,p079
0.86144,1.7183,0.00017895,p080
0.91591,1.705,0.00027614,p081
1.1126,1.8889,8.3334e-10,p082
1.1001,1.3723,6.3257e-07,p083
0.9932,0.54532,1.721e-09,p084
1.1877,0.74372,3.7592e-10,p085
0.89483,1.5108,8.436e-05,p086
0.83952,1.6427,1.269e-10,p087
1.1681,0.72848,3.6863e-14,p088
1.1939,1.3401,3.6946e-12,p089
1.0286,1.0975,2.214e-14,p090
1.1999,1.0216,1.3576e-05,p091
1.0589,1.3353,2.0005e-12,p092
1.0442,1.8504,1.4803e-09,p093
0.96957,0.89278,3.8348e-07,p094
0.96679,1.4119,8.6131e-09,p095
0.98868,1.2973,2.0697e-07,p096
0.91086,0.67196,6.8672e-06,p097
0.97727,1.239,5.8653e-11,p098
0.98412,1.4728,6.3077e-15,p099
1.1789,0.70063,1.441e-13,p100
