wind_speed,swr,turb_param/k_min,g2/constant_value,g1/constant_value,A/constant_value,par_id
0.92003,1.1698,5.0899e-10,1.5042,0.58166,0.98408,p001
0.8248,1.0981,1.7811e-06,1.3858,0.44011,1.0616,p002
0.91854,0.99419,4.0969e-05,1.0496,0.71161,0.7296,p003
1.1844,0.86902,5.1641e-14,2.382,0.46272,0.75485,p004
1.0131,0.88805,5.7948e-05,1.1048,0.53099,0.95026,p005
0.86498,1.0026,5.6409e-15,2.2813,0.41169,0.8204,p006
1.0537,0.95911,8.1509e-09,1.0924,0.64898,0.96128,p007
0.81319,0.93671,8.9482e-10,3.4363,0.47368,0.9794,p008
1.1781,1.081,3.2242e-06,0.70002,0.69353,0.87863,p009
0.90972,0.96279,2.3091e-07,2.0401,0.58961,0.92117,p010
0.84569,0.86284,7.8854e-08,3.2006,0.42162,0.88704,p011
1.0703,0.99033,2.625e-08,2.3074,0.67546,0.77371,p012
0.82974,1.1119,1.5218e-08,2.9742,0.76797,0.70845,p013
1.0374,0.83479,1.7051e-05,3.3759,0.48572,1.0052,p014
0.98149,1.167,1.1603e-11,3.3831,0.5748,1.0915,p015
0.99004,0.85658,1.2872e-13,1.7652,0.69858,0.95534,p016
0.80663,1.1315,5.1288e-07,1.7036,0.61918,0.98225,p017
0.99874,1.1987,1.3977e-07,1.4698,0.71947,0.91765,p018
0.88617,1.1523,1.5023e-13,0.84247,0.62738,0.85576,p019
0.85619,1.0744,2.4103e-13,2.3964,0.43333,1.0665,p020
0.88157,1.0609,1.2991e-09,2.0075,0.50074,0.93444,p021
0.81773,0.9837,8.6999e-05,2.243,0.72986,0.92569,p022
1.1449,1.1908,7.8619e-14,0.51603,0.48168,1.0028,p023
1.119,1.136,4.3912e-12,2.2269,0.43833,0.70075,p024
1.0883,0.86732,4.0929e-07,2.6771,0.60295,0.73402,p025
0.84149,1.1767,3.2458e-05,3.0983,0.54761,0.96472,p026
1.0966,0.84647,4.6697e-08,2.3438,0.68178,0.80529,p027
0.90153,1.0358,1.3122e-12,0.80102,0.70075,0.79202,p028
1.1503,1.0958,6.6805e-13,2.9071,0.6377,0.76948,p029
1.0581,1.1265,2.5577e-12,1.266,0.79452,1.0189,p030
0.80104,0.83013,6.4922e-09,2.1904,0.74946,1.0449,p031
1.109,0.9008,8.8413e-11,0.65127,0.67935,0.88387,p032
0.89379,0.98567,1.8416e-13,1.1501,0.7433,1.0534,p033
1.041,1.1053,5.4874e-09,1.796,0.64149,0.88915,p034
1.1128,1.076,1.1907e-06,0.7919,0.54858,1.0974,p035
1.1276,0.83939,2.9297e-09,2.1186,0.41755,0.99446,p036
0.86227,0.88574,0.00012137,2.815,0.52613,0.71895,p037
1.0169,1.1753,6.8538e-08,2.1446,0.64495,0.77709,p038
1.1328,1.1419,2.5422e-07,0.87338,0.56575,1.0337,p039
1.1372,1.1365,1.9923e-10,2.7234,0.73278,1.0104,p040
0.94391,0.82429,1.4949e-10,3.156,0.74434,0.78026,p041
0.86846,0.91942,1.1371e-07,1.587,0.53657,0.84378,p042
0.95953,0.80738,4.3113e-11,1.8825,0.65342,0.89503,p043
0.91308,1.0319,4.1339e-06,1.1951,0.75307,0.89988,p044
0.96122,0.87329,6.9268e-07,2.5268,0.61019,1.0251,p045
0.93793,1.1817,1.1606e-05,3.3466,0.6154,0.75788,p046
0.90631,1.1628,1.5568e-08,2.7641,0.72554,1.0703,p047
1.027,0.99769,1.0001e-09,0.94579,0.76306,0.90583,p048
1.1678,0.91023,1.4409e-11,0.64622,0.59602,0.7392,p049
1.0019,1.0098,3.5008e-09,2.1542,0.7845,0.83506,p050
1.1538,0.85543,1.1143e-05,2.5622,0.5924,1.0404,p051
0.8389,1.013,2.3279e-08,1.993,0.47955,0.90239,p052
1.1582,1.0371,6.9947e-05,3.1134,0.66565,0.83634,p053
0.8104,0.94567,0.00049217,3.0749,0.57861,0.9736,p054
0.93344,1.1134,0.00037784,2.4806,0.6206,0.80981,p055
1.1004,1.0689,7.0897e-12,2.5875,0.52046,1.086,p056
0.93133,1.1576,1.5978e-09,0.71035,0.49453,0.95609,p057
1.0606,0.82347,3.6783e-08,1.3185,0.71567,0.70733,p058
1.0317,0.97367,6.0144e-11,1.2287,0.56365,0.97048,p059
0.83526,0.81014,3.533e-12,1.3583,0.77271,0.71203,p060
0.97713,1.0674,5.3061e-11,2.8591,0.78393,0.92995,p061
0.94579,1.0185,5.2877e-13,2.9568,0.50945,0.86117,p062
1.084,1.0444,9.543e-13,1.9193,0.62833,0.87454,p063
1.1719,0.89743,2.1861e-05,2.6237,0.60447,0.84916,p064
0.92516,0.92969,7.4758e-15,3.1938,0.75954,0.93973,p065
1.1729,0.81336,2.2628e-14,2.8072,0.66054,0.74673,p066
0.82289,0.93516,2.5198e-09,3.3087,0.66909,0.72759,p067
1.1287,1.0225,0.00026273,1.679,0.51705,0.72313,p068
1.0465,0.81618,1.3535e-14,1.638,0.45719,1.0952,p069
1.0646,1.1474,2.4707e-05,1.7418,0.50789,0.86977,p070
0.95316,1.0866,4.2738e-13,1.9578,0.40349,0.80272,p071
1.0815,1.0247,9.7794e-07,0.95867,0.55468,0.82996,p072
0.87294,0.96473,2.9947e-13,3.0348,0.41243,0.84628,p073
0.87612,0.84261,2.3758e-10,2.6422,0.65747,1.0596,p074
1.0047,1.1862,2.5014e-06,2.8853,0.68697,0.82604,p075
0.99389,0.80214,2.4801e-11,2.9956,0.70744,0.85827,p076
1.1816,0.92182,6.6625e-10,1.0016,0.4556,0.9096,p077
1.0513,0.87647,5.5691e-07,1.6498,0.54123,0.74278,p078
1.0793,0.97071,9.3673e-12,3.4467,0.49661,0.78445,p079
1.011,1.1955,1.9792e-06,0.58139,0.69015,0.8153,p080
1.1233,1.0426,0.00017412,1.0307,0.53349,0.76728,p081
0.89981,1.1506,1.0405e-13,0.53578,0.40431,0.91364,p082
1.1423,0.90554,1.0102e-10,1.5797,0.4491,0.94695,p083
1.1983,1.0554,3.4444e-10,1.5379,0.47021,0.98965,p084
0.98447,0.89481,3.519e-14,1.309,0.42983,1.048,p085
1.1079,1.1181,1.3841e-12,3.2654,0.44739,1.0738,p086
1.0237,0.8487,6.0638e-06,2.4455,0.5575,0.81767,p087
0.85463,0.88179,2.0439e-11,1.4289,0.77976,0.99938,p088
0.89053,0.97616,4.3077e-14,2.7039,0.51312,1.0392,p089
0.9722,1.0887,3.3136e-11,3.476,0.46641,0.7994,p090
0.9668,1.0599,1.8118e-07,1.4404,0.56918,0.76154,p091
1.073,1.1029,1.1565e-08,1.1833,0.72027,0.94174,p092
1.1604,1.1203,3.6068e-10,3.2539,0.42595,1.0789,p093
0.85077,0.94343,0.00021229,2.0884,0.78928,0.79139,p094
1.0925,1.0518,2.3841e-14,0.91242,0.77007,0.86513,p095
1.0328,0.95395,4.6711e-12,0.59967,0.48826,1.0295,p096
0.97051,0.9517,9.487e-15,1.832,0.79886,1.0234,p097
1.1934,0.91425,1.401e-14,1.873,0.63577,0.74866,p098
0.95086,1.004,8.1565e-06,2.4799,0.73869,1.0839,p099
1.1892,0.92594,1.9942e-12,0.74879,0.58539,1.0145,p100
