wind_speed,swr,turb_param/k_min,g2/constant_value,g1/constant_value,par_id
1.0786,0.81513,4.2856e-06,3.4969,0.74973,p001
1.1054,1.1611,3.7605e-12,1.4941,0.54912,p002
1.108,0.88947,2.9087e-07,2.7047,0.72872,p003
1.0524,1.1847,5.5677e-07,1.5316,0.50108,p004
1.1234,0.8638,1.0893e-10,1.4897,0.41596,p005
0.85779,1.1119,9.6882e-13,2.4624,0.79785,p006
0.86419,0.8354,5.0705e-07,3.1386,0.76058,p007
1.0409,0.9139,3.1466e-05,3.0318,0.69471,p008
1.1684,0.90246,1.308e-12,2.9503,0.68244,p009
1.0151,1.0209,4.7796e-09,1.658,0.75929,p010
0.9385,1.1676,5.6286e-12,0.51264,0.63493,p011
0.90184,1.0946,6.6946e-09,2.7597,0.45082,p012
0.98457,0.92892,3.2044e-10,1.3345,0.63988,p013
0.85161,1.0383,2.5157e-09,1.7094,0.52477,p014
0.97791,1.1445,1.7099e-07,1.862,0.40803,p015
1.1034,0.88662,1.3485e-06,0.62691,0.51733,p016
0.89596,0.89871,4.5692e-14,3.4502,0.55598,p017
0.9411,0.9084,2.4355e-10,2.6777,0.645,p018
1.1926,1.136,3.4157e-08,0.65697,0.51284,p019
0.87731,0.97353,1.9113e-08,2.1703,0.57762,p020
1.13,1.1746,1.9028e-14,1.0367,0.69027,p021
0.92398,0.91681,2.7278e-11,2.039,0.65696,p022
1.0272,0.88271,1.1029e-11,1.8054,0.58496,p023
1.1835,1.158,3.0804e-11,0.73877,0.61786,p024
1.0933,0.96542,1.5313e-05,3.3096,0.59526,p025
0.92788,0.82399,0.00016296,3.4024,0.71444,p026
0.87089,0.90737,1.8884e-10,2.0614,0.63147,p027
1.1999,1.0611,0.00028131,2.0175,0.44518,p028
1.1737,0.85533,9.5725e-15,1.9187,0.6138,p029
0.88794,1.1706,7.3215e-08,3.1065,0.50959,p030
0.94412,1.1821,0.00036419,1.7722,0.7361,p031
0.83774,1.19,4.0947e-11,1.594,0.43408,p032
0.88981,1.1048,7.8677e-05,2.3823,0.4807,p033
0.93221,0.98393,5.5812e-05,1.7551,0.6748,p034
0.82849,1.0801,2.6603e-12,3.4384,0.77433,p035
1.0204,0.99433,2.0966e-06,0.57597,0.7403,p036
1.0316,1.0351,1.5693e-12,3.1954,0.56681,p037
1.1421,0.82687,3.6421e-10,2.6123,0.53269,p038
1.0709,0.9638,1.7204e-14,2.8695,0.74565,p039
0.97288,0.80563,3.1603e-09,2.3344,0.45824,p040
0.92897,1.152,4.2571e-13,1.1448,0.53126,p041
1.0104,1.1202,7.8631e-13,1.1634,0.62712,p042
0.86174,1.1387,1.5542e-11,3.226,0.44397,p043
0.83426,1.1436,8.6193e-09,0.98861,0.42261,p044
0.95904,1.078,1.1877e-08,2.1861,0.72486,p045
1.1531,1.0138,3.0976e-14,3.0715,0.45594,p046
0.81415,1.0419,2.9317e-12,1.9532,0.78835,p047
1.0021,0.93523,6.2009e-11,1.8283,0.40504,p048
1.177,1.0519,6.5399e-15,0.90353,0.7531,p049
1.1572,1.0717,4.0136e-06,1.5703,0.77982,p050
1.059,0.9518,4.7844e-11,2.3121,0.53959,p051
0.99056,0.85828,7.7249e-11,2.4095,0.70073,p052
1.1395,0.83742,2.0861e-08,2.9706,0.57462,p053
0.97064,1.1038,1.9622e-05,1.4075,0.66509,p054
0.80535,1.1135,1.9399e-13,0.54559,0.42679,p055
1.1336,1.1301,6.1557e-10,1.3872,0.47547,p056
0.81672,1.0267,1.5051e-09,1.4435,0.41934,p057
0.84439,1.1786,5.4672e-10,1.1187,0.66046,p058
1.0347,1.0751,0.00044174,2.2152,0.49913,p059
0.95184,0.99962,6.2784e-14,0.88772,0.5835,p060
0.89809,1.0459,3.4992e-13,1.6915,0.55673,p061
1.1843,0.99005,3.2928e-07,1.2068,0.72344,p062
0.90593,0.84037,5.7969e-15,2.7397,0.65368,p063
1.1645,1.0968,0.00010114,1.3604,0.47983,p064
0.87367,0.92108,9.1694e-07,0.70416,0.64259,p065
0.80257,1.0585,1.2743e-08,0.95554,0.69983,p066
1.1919,1.0872,5.2507e-13,0.8583,0.52319,p067
0.91817,0.86476,1.5859e-10,2.4484,0.76744,p068
0.99753,0.97959,7.4514e-12,2.7911,0.67059,p069
1.0902,1.1943,3.5904e-09,3.3524,0.42951,p070
1.0519,0.95573,1.124e-05,2.6595,0.40007,p071
1.1165,0.93961,1.1079e-07,3.3224,0.56282,p072
1.0734,0.94375,9.2452e-12,3.2485,0.50658,p073
1.0641,1.0063,1.0672e-13,2.5418,0.58999,p074
1.0473,1.197,9.4401e-14,2.575,0.78291,p075
0.96309,0.80961,1.7323e-11,2.8896,0.6772,p076
0.81124,0.89493,2.6179e-08,3.1515,0.60337,p077
1.1631,1.1275,0.00011555,3.0146,0.5406,p078
1.1503,1.011,2.8587e-13,1.0403,0.60628,p079
1.0044,0.87275,2.6239e-14,0.82287,0.71948,p080
1.1147,0.80127,4.4274e-08,1.0704,0.73255,p081
1.0831,1.1486,2.6587e-06,2.2452,0.59937,p082
0.88334,0.92581,1.6064e-09,2.4981,0.68645,p083
0.95459,0.83126,1.442e-07,1.904,0.43719,p084
0.96717,0.84533,7.5691e-14,1.2424,0.70919,p085
1.0874,0.81687,8.662e-07,1.3042,0.46553,p086
0.82654,1.088,6.0095e-06,2.2985,0.54465,p087
0.82327,0.85067,1.3909e-13,0.9213,0.64801,p088
0.85216,0.94467,1.1045e-09,2.1436,0.47035,p089
0.91509,1.0645,9.55e-06,2.9081,0.56962,p090
1.0367,0.87091,9.3508e-10,3.2853,0.49179,p091
0.99361,0.98553,3.0809e-05,0.78186,0.77027,p092
1.1251,1.1181,1.6317e-06,2.0933,0.7854,p093
1.0997,0.97003,2.1792e-12,0.74382,0.48714,p094
0.90918,1.0542,4.6204e-05,1.2733,0.61067,p095
1.0169,1.0169,1.1072e-14,2.8336,0.46037,p096
1.1475,0.87985,2.0835e-07,1.6126,0.79395,p097
0.98017,1.0291,5.9407e-08,2.5244,0.70485,p098
1.0636,0.95944,8.0765e-06,1.9896,0.62287,p099
0.84325,1.0033,0.00019566,0.59319,0.4941,p100
