wind_speed,Phys.par/C_shelter,Phys.par/Kz_ak,Phys.par/Kz_ak_ice,par_id
0.94929,0.14135,0.065941,0.0042124,p0001
0.96701,0.12063,0.089174,0.0012229,p0002
0.99754,0.19794,0.0081479,0.002703,p0003
1.106,0.12793,0.040222,0.00074405,p0004
1.0831,0.12377,0.012333,0.0085292,p0005
1.0033,0.16327,0.17979,0.0048413,p0006
1.1497,0.11317,0.20367,0.0073748,p0007
0.89851,0.13955,0.011677,0.0086389,p0008
1.066,0.10437,0.30434,0.0042447,p0009
0.95013,0.10468,0.25472,0.002662,p0010
1.0627,0.14895,0.25867,0.0070036,p0011
0.98597,0.17013,0.25354,0.0068767,p0012
1.0987,0.19335,0.025659,0.0020428,p0013
1.1504,0.14686,0.015387,0.0012967,p0014
1.1858,0.18179,0.15195,0.0030971,p0015
0.83073,0.17618,0.12484,0.0063838,p0016
0.80332,0.16452,0.1787,0.0044391,p0017
0.90933,0.11855,0.1986,0.0055306,p0018
0.80847,0.18044,0.078538,0.0016798,p0019
1.0594,0.13531,0.30568,0.0071992,p0020
0.86894,0.11531,0.15413,0.0027439,p0021
1.1882,0.15485,0.13788,0.0065843,p0022
0.99711,0.14936,0.21158,0.0013391,p0023
0.89238,0.10624,0.092878,0.0084001,p0024
1.0263,0.10891,0.12336,0.0015009,p0025
1.097,0.12955,0.091652,0.004189,p0026
1.1613,0.13468,0.24045,0.0067442,p0027
1.0082,0.16276,0.20384,0.0046765,p0028
1.0979,0.19625,0.2113,0.0046191,p0029
1.1184,0.10402,0.099396,0.001708,p0030
1.12,0.1461,0.063364,0.0030725,p0031
1.0587,0.15527,0.21269,0.0050547,p0032
1.1485,0.15844,0.09069,0.0052803,p0033
1.1562,0.17834,0.16591,0.0089026,p0034
1.0339,0.15617,0.24345,0.008114,p0035
0.92994,0.15146,0.28802,0.0039794,p0036
1.1131,0.11157,0.12833,0.0078955,p0037
1.0062,0.1551,0.11501,0.0050884,p0038
1.0283,0.17764,0.2787,0.0034021,p0039
0.88669,0.11865,0.29041,0.0050722,p0040
1.0329,0.18709,0.006961,0.0059742,p0041
1.1434,0.12915,0.27681,0.0054252,p0042
1.1094,0.13636,0.15051,0.0046506,p0043
0.99074,0.11746,0.26722,0.0070165,p0044
1.0582,0.17495,0.27013,0.0051918,p0045
1.0897,0.16943,0.13587,0.0067096,p0046
1.1222,0.10961,0.10433,0.0034718,p0047
1.1521,0.10393,0.24111,0.0049515,p0048
0.80818,0.13171,0.048793,0.00035526,p0049
1.1552,0.1016,0.27438,0.007239,p0050
1.0524,0.17663,0.28519,0.00066807,p0051
0.99997,0.15175,0.15135,0.0072267,p0052
1.0999,0.1081,0.26977,0.0070502,p0053
1.0295,0.11806,0.26379,0.0077691,p0054
0.95156,0.13117,0.06273,0.0016841,p0055
1.1776,0.18393,0.098014,0.005716,p0056
1.0735,0.13245,0.20485,0.0033757,p0057
0.96248,0.12432,0.12185,0.0072951,p0058
1.1078,0.13251,0.2583,0.0012997,p0059
1.0849,0.10728,0.080501,0.0074447,p0060
0.89088,0.13236,0.19844,0.0012688,p0061
1.1994,0.1379,0.097593,0.0018137,p0062
0.8109,0.1424,0.12284,0.0017918,p0063
1.0523,0.11529,0.18109,0.00093088,p0064
1.1315,0.12935,0.098548,0.0021801,p0065
0.87376,0.11612,0.30622,0.0051794,p0066
0.94387,0.17998,0.010134,0.0046839,p0067
1.0254,0.17118,0.16414,0.0006922,p0068
1.1141,0.19475,0.19526,0.0033699,p0069
0.83929,0.18909,0.28767,0.001672,p0070
1.1158,0.13608,0.15918,0.007645,p0071
1.0859,0.17809,0.066623,0.0044362,p0072
1.0345,0.15224,0.030104,0.00040536,p0073
0.8971,0.18358,0.2681,0.0041552,p0074
1.1987,0.13483,0.23438,0.0050373,p0075
0.87779,0.17071,0.053368,0.003754,p0076
0.9422,0.11113,0.083424,0.0064843,p0077
1.0706,0.10108,0.23404,0.0036074,p0078
0.92338,0.12222,0.19798,0.0068321,p0079
1.1959,0.17338,0.063772,0.0068084,p0080
1.0638,0.18517,0.1032,0.0013719,p0081
0.96418,0.18506,0.13851,0.0018016,p0082
0.90461,0.18812,0.23251,0.0047972,p0083
0.95081,0.12549,0.25523,0.0082289,p0084
0.88744,0.11345,0.21761,0.0028343,p0085
1.0183,0.14519,0.21533,0.0021001,p0086
1.0356,0.12676,0.19551,0.0043119,p0087
0.93165,0.14002,0.18143,0.0043587,p0088
0.88496,0.17793,0.27083,0.0066258,p0089
0.93338,0.15064,0.097381,0.0068179,p0090
1.1192,0.10738,0.051266,0.0077853,p0091
