wind_speed,swr,Phys.par/C_shelter,Phys.par/Kz_ak,Phys.par/Kz_ak_ice,par_id
1.1681,1.0104,0.11351,0.022153,0.0022855,p0001
1.1966,0.80218,0.16181,0.1553,0.0089103,p0002
1.048,0.94536,0.12697,0.23967,0.00075612,p0003
0.81221,1.1219,0.17092,0.1012,0.0074613,p0004
1.093,1.0474,0.191,0.13663,0.0027686,p0005
1.1141,0.97508,0.15686,0.28909,0.002722,p0006
1.1907,1.1785,0.1317,0.25477,0.0085435,p0007
1.1522,0.98543,0.19949,0.29117,0.0048617,p0008
0.85775,1.1881,0.14787,0.093716,0.0019246,p0009
0.88799,1.1961,0.11942,0.27943,0.0015232,p0010
0.89203,0.89888,0.16338,0.085275,0.0016029,p0011
0.92084,0.90882,0.1852,0.10523,0.003614,p0012
0.83189,0.80078,0.14062,0.07072,0.0060821,p0013
0.9762,1.1105,0.11273,0.12961,0.0038872,p0014
1.1346,0.9475,0.10105,0.16844,0.0075402,p0015
1.0916,1.0462,0.1516,0.17348,0.0013284,p0016
1.119,1.1788,0.18116,0.022048,0.0061072,p0017
1.0469,1.0726,0.14048,0.30359,0.0015467,p0018
0.98216,0.94445,0.14153,0.080398,0.0069717,p0019
0.94232,0.80725,0.19713,0.23053,0.0052322,p0020
0.90948,1.1619,0.18186,0.18309,0.0071135,p0021
1.0528,0.93153,0.17007,0.14125,0.0042477,p0022
0.85019,1.1075,0.19289,0.013481,0.0022661,p0023
0.91018,1.0232,0.14592,0.15927,0.006111,p0024
0.85835,1.0409,0.10519,0.27173,0.0028764,p0025
1.1266,1.1861,0.12911,0.10849,0.0029331,p0026
0.93443,0.86435,0.1944,0.15137,0.0019601,p0027
1.0771,1.0519,0.1883,0.2456,0.0026448,p0028
0.80771,0.92201,0.18082,0.27812,0.0082164,p0029
1.1789,0.91356,0.14233,0.30532,0.00082622,p0030
0.82643,0.87696,0.17473,0.22949,0.0025878,p0031
0.80877,0.83907,0.17453,0.099787,0.0013436,p0032
1.1214,1.175,0.19481,0.069432,0.006702,p0033
1.0273,0.93576,0.12216,0.1506,0.001111,p0034
1.1603,1.0096,0.12549,0.21519,0.0024015,p0035
1.1212,0.97879,0.14851,0.10144,0.0047483,p0036
1.0041,0.94473,0.12423,0.04328,0.0085005,p0037
1.1546,1.0276,0.12621,0.10901,0.0085205,p0038
1.1925,0.82657,0.19181,0.096795,0.0088581,p0039
0.90941,1.199,0.12871,0.27252,0.0031267,p0040
1.1172,1.007,0.10431,0.11447,0.003911,p0041
1.1296,0.80625,0.13526,0.013055,0.0039984,p0042
0.92611,0.98709,0.18479,0.23631,0.004487,p0043
0.95927,0.80557,0.19737,0.20912,0.0081166,p0044
1.0045,1.1768,0.16355,0.22664,0.00066953,p0045
0.97142,0.84623,0.12122,0.10097,0.0070659,p0046
1.0374,0.83258,0.18,0.23182,0.0075036,p0047
1.0918,1.0143,0.14965,0.01151,0.005272,p0048
0.90651,1.1643,0.11949,0.18222,0.0078861,p0049
1.0566,1.1274,0.17896,0.19118,0.0062506,p0050
0.87401,1.0391,0.17423,0.21199,0.0044731,p0051
0.91874,0.9629,0.11471,0.11274,0.00036754,p0052
0.88363,0.89445,0.11709,0.13474,0.0059724,p0053
1.193,0.9117,0.15016,0.22837,0.0089344,p0054
1.0335,0.8368,0.16895,0.24796,0.0051202,p0055
1.0126,0.98992,0.1712,0.08643,0.0023934,p0056
0.97412,0.96147,0.12328,0.12465,0.0054139,p0057
1.0116,0.87806,0.18871,0.24784,0.0035739,p0058
0.95281,0.94769,0.15782,0.18975,0.0021636,p0059
0.96622,1.1413,0.17578,0.052815,0.0083587,p0060
0.84756,0.96795,0.13989,0.24697,0.0029778,p0061
1.1433,0.84334,0.18826,0.10011,0.0050783,p0062
0.96393,1.0221,0.18926,0.2454,0.0027034,p0063
1.1666,1.1153,0.1892,0.0031138,0.0041886,p0064
0.84398,1.0476,0.139,0.30088,0.0084245,p0065
1.0948,1.0004,0.10965,0.24822,0.00088926,p0066
1.0962,0.88901,0.19408,0.0051392,0.0037334,p0067
0.87464,0.96641,0.13892,0.28347,0.00014276,p0068
0.85335,1.1971,0.14824,0.057653,0.0056403,p0069
0.952,0.91744,0.18332,0.20725,0.00030367,p0070
0.915,1.0156,0.10723,0.1539,0.0053681,p0071
0.93485,0.997,0.10347,0.050267,0.0053833,p0072
0.99785,1.1819,0.12261,0.12537,0.0035553,p0073
0.82485,0.80013,0.16588,0.054875,0.0019079,p0074
0.84581,0.898,0.1574,0.19767,0.0029522,p0075
0.98919,0.87117,0.16942,0.064756,0.00064566,p0076
0.97447,0.91589,0.19355,0.10187,0.0049726,p0077
0.90071,0.99774,0.1164,0.21269,0.0058605,p0078
