wind_speed,a_seiche,par_id
0.83975,0.091869,p0001
1.128,0.24968,p0002
1.1931,0.12314,p0003
1.0125,0.16434,p0004
1.009,0.26447,p0005
1.0119,0.21575,p0006
1.0602,0.21759,p0007
0.83572,0.26842,p0008
1.0563,0.22779,p0009
1.142,0.22542,p0010
0.99886,0.020242,p0011
1.0059,0.2656,p0012
0.90264,0.011537,p0013
0.96327,0.043515,p0014
1.0155,0.20025,p0015
1.1145,0.23569,p0016
0.99587,0.032365,p0017
0.89135,0.2183,p0018
1.0907,0.053684,p0019
1.1367,0.2406,p0020
0.91551,0.11011,p0021
0.92134,0.17385,p0022
1.1703,0.25969,p0023
0.95834,0.13441,p0024
0.95718,0.18715,p0025
1.146,0.17808,p0026
1.1224,0.19677,p0027
1.1775,0.057268,p0028
0.81149,0.13819,p0029
1.1272,0.27822,p0030
1.1896,0.16509,p0031
0.80809,0.0076548,p0032
1.0856,0.11839,p0033
0.91691,0.021779,p0034
1.0377,0.07147,p0035
0.98392,0.26207,p0036
0.89007,0.21216,p0037
1.0189,0.19015,p0038
1.0617,0.27273,p0039
1.1525,0.11245,p0040
0.831,0.010962,p0041
0.97294,0.23125,p0042
1.1834,0.12716,p0043
1.1901,0.21673,p0044
1.1025,0.078445,p0045
0.90761,0.23204,p0046
1.1648,0.24458,p0047
1.1744,0.054274,p0048
0.81445,0.20767,p0049
1.0676,0.027601,p0050
1.1073,0.14853,p0051
1.0042,0.10498,p0052
1.0681,0.06536,p0053
0.86212,0.23648,p0054
1.0609,0.0032258,p0055
0.87057,0.017083,p0056
0.88164,0.28834,p0057
1.1412,0.27545,p0058
0.81075,0.019703,p0059
0.91926,0.19176,p0060
1.1501,0.14222,p0061
1.0701,0.23499,p0062
1.161,0.00082899,p0063
1.025,0.20335,p0064
0.93971,0.2561,p0065
1.1066,0.2744,p0066
0.97269,0.29002,p0067
0.8235,0.23867,p0068
1.0854,0.040585,p0069
1.034,0.033732,p0070
1.1645,0.036561,p0071
0.87567,0.2566,p0072
0.86484,0.038077,p0073
0.94158,0.055746,p0074
0.86919,0.01644,p0075
0.89995,0.21655,p0076
1.1666,0.29893,p0077
1.0578,0.13701,p0078
0.80575,0.1366,p0079
0.88803,0.28713,p0080
1.0142,0.086115,p0081
0.91154,0.09992,p0082
0.99742,0.25163,p0083
0.90549,0.074239,p0084
0.85377,0.28786,p0085
0.84795,0.15899,p0086
0.88251,0.12972,p0087
1.1276,0.16675,p0088
0.858,0.09062,p0089
1.0661,0.12601,p0090
0.97977,0.062574,p0091
0.91036,0.16135,p0092
1.1791,0.18908,p0093
0.85172,0.18414,p0094
0.80778,0.090528,p0095
0.98719,0.2543,p0096
1.0334,0.18597,p0097
0.94491,0.24001,p0098
1.1111,0.20622,p0099
1.0934,0.14028,p0100
1.1037,0.2652,p0101
0.8156,0.088896,p0102
1.0369,0.16883,p0103
0.84888,0.25279,p0104
1.0016,0.13619,p0105
0.96513,0.028263,p0106
0.93134,0.22635,p0107
0.87392,0.28351,p0108
1.1948,0.18821,p0109
1.1315,0.11193,p0110
0.84627,0.035684,p0111
0.95104,0.20659,p0112
1.1262,0.13959,p0113
1.0952,0.046263,p0114
0.94433,0.22847,p0115
1.0629,0.1794,p0116
1.1818,0.080773,p0117
1.0976,0.0061124,p0118
0.87878,0.045041,p0119
0.94817,0.27947,p0120
1.1911,0.29623,p0121
0.97398,0.072586,p0122
0.89866,0.091364,p0123
1.1567,0.25059,p0124
0.99233,0.27764,p0125
1.1477,0.10136,p0126
1.015,0.076644,p0127
1.1884,0.14393,p0128
1.0504,0.1446,p0129
1.067,0.25832,p0130
1.0987,0.12883,p0131
1.0725,0.28634,p0132
1.0574,0.19687,p0133
0.9749,0.24357,p0134
1.1204,0.094349,p0135
1.1664,0.02559,p0136
1.1687,0.049648,p0137
1.0748,0.17538,p0138
0.88932,0.079233,p0139
0.9146,0.012137,p0140
0.84336,0.16993,p0141
1.1505,0.065699,p0142
1.1441,0.050978,p0143
0.92184,0.16615,p0144
0.85505,0.048177,p0145
0.86689,0.21428,p0146
0.92555,0.13268,p0147
0.88378,0.2668,p0148
1.0018,0.13387,p0149
0.92717,0.053007,p0150
0.85925,0.0089371,p0151
1.0798,0.21486,p0152
1.05,0.032863,p0153
0.89296,0.15071,p0154
0.80897,0.29756,p0155
0.82698,0.18731,p0156
0.98721,0.27119,p0157
1.0215,0.12407,p0158
1.0837,0.031598,p0159
1.0633,0.14891,p0160
0.804,0.044686,p0161
0.82148,0.28106,p0162
0.93844,0.061059,p0163
1.0239,0.19919,p0164
0.92863,0.070009,p0165
0.96134,0.24533,p0166
1.1453,0.11788,p0167
1.0729,0.17996,p0168
0.87821,0.05947,p0169
0.91603,0.052454,p0170
1.0554,0.21375,p0171
1.0051,0.14559,p0172
1.1953,0.27995,p0173
1.1161,0.21315,p0174
1.1327,0.11359,p0175
1.1635,0.015625,p0176
0.83169,0.1449,p0177
0.99286,0.068697,p0178
0.82954,0.19386,p0179
1.1739,0.056871,p0180
1.0997,0.044227,p0181
1.088,0.049015,p0182
1.0297,0.050201,p0183
0.87345,0.077955,p0184
0.83213,0.21972,p0185
0.94713,0.18648,p0186
1.1404,0.01372,p0187
1.1023,0.1503,p0188
1.0223,0.16924,p0189
0.96689,0.15958,p0190
0.8339,0.0098466,p0191
1.0532,0.17602,p0192
0.86127,0.27491,p0193
1.0789,0.086855,p0194
0.86974,0.19471,p0195
1.1695,0.027127,p0196
0.93336,0.034647,p0197
1.0323,0.097942,p0198
1.1092,0.22146,p0199
1.0816,0.13192,p0200
1.1302,0.22351,p0201
1.1842,0.12041,p0202
1.1675,0.23797,p0203
1.181,0.21901,p0204
1.0167,0.19972,p0205
0.93016,0.075525,p0206
1.0944,0.0038616,p0207
0.95402,0.29044,p0208
0.81644,0.25216,p0209
1.11,0.1206,p0210
0.82595,0.16443,p0211
1.18,0.021284,p0212
1.1586,0.17434,p0213
1.0548,0.24854,p0214
0.81438,0.023611,p0215
1.199,0.17188,p0216
0.86356,0.25444,p0217
0.82545,0.23082,p0218
0.84643,0.041393,p0219
0.93486,0.083783,p0220
0.88677,0.26274,p0221
1.0202,0.11631,p0222
0.83842,0.1249,p0223
1.1255,0.19597,p0224
1.118,0.06784,p0225
1.0348,0.23926,p0226
0.93653,0.27342,p0227
1.1621,0.0068904,p0228
0.90322,0.1513,p0229
1.0831,0.098933,p0230
0.98077,0.24639,p0231
0.93377,0.062287,p0232
1.1798,0.27218,p0233
0.88026,0.12149,p0234
1.049,0.0050476,p0235
0.94232,0.067173,p0236
1.0366,0.24947,p0237
0.85899,0.020999,p0238
0.89789,0.14725,p0239
1.1491,0.11752,p0240
0.97875,0.19226,p0241
0.8126,0.0019647,p0242
0.92947,0.22568,p0243
1.1718,0.026852,p0244
0.81006,0.24767,p0245
1.1866,0.073741,p0246
1.0268,0.10047,p0247
0.85347,0.13335,p0248
1.1357,0.063843,p0249
1.192,0.16773,p0250
1.1043,0.096896,p0251
1.1348,0.2006,p0252
1.0262,0.26309,p0253
1.0648,0.12466,p0254
0.93218,0.076006,p0255
1.1723,0.18049,p0256
0.97716,0.1671,p0257
0.94345,0.27172,p0258
1.0842,0.17651,p0259
1.023,0.23395,p0260
1.0525,0.25527,p0261
0.85015,0.21266,p0262
0.91221,0.19328,p0263
0.99369,0.12568,p0264
1.0028,0.14769,p0265
1.1196,0.21891,p0266
1.0037,0.1908,p0267
1.143,0.041905,p0268
0.97149,0.046837,p0269
0.88113,0.1219,p0270
0.98517,0.014154,p0271
0.82311,0.12281,p0272
1.0308,0.10203,p0273
0.9618,0.24273,p0274
0.90071,0.26802,p0275
1.0395,0.23037,p0276
1.0472,0.19265,p0277
1.0109,0.26084,p0278
1.1062,0.0028905,p0279
0.868,0.20144,p0280
0.8744,0.088436,p0281
1.1853,0.00017399,p0282
1.0287,0.28953,p0283
1.1516,0.074822,p0284
0.80029,0.20411,p0285
1.0244,0.10736,p0286
0.89365,0.022406,p0287
0.87689,0.077066,p0288
1.1307,0.045951,p0289
1.1483,0.087119,p0290
0.9043,0.17277,p0291
1.1962,0.28449,p0292
1.041,0.13227,p0293
0.98181,0.25991,p0294
1.1142,0.21011,p0295
0.89714,0.096363,p0296
0.90111,0.20565,p0297
0.83788,0.0042724,p0298
1.0517,0.29133,p0299
1.0766,0.29451,p0300
0.94027,0.29511,p0301
0.98454,0.079863,p0302
0.80289,0.25881,p0303
0.98269,0.0991,p0304
0.97091,0.028929,p0305
1.0066,0.0079312,p0306
0.83312,0.25086,p0307
0.86637,0.22461,p0308
0.88443,0.1578,p0309
1.1329,0.033472,p0310
0.92245,0.16331,p0311
1.0274,0.039956,p0312
0.95335,0.029503,p0313
1.096,0.14699,p0314
0.95172,0.05138,p0315
1.0738,0.29664,p0316
0.92793,0.15355,p0317
0.91388,0.2828,p0318
1.1535,0.15464,p0319
0.84543,0.070331,p0320
1.1973,0.026323,p0321
1.0437,0.030383,p0322
0.80685,0.19816,p0323
0.94319,0.28154,p0324
0.92028,0.093798,p0325
0.84074,0.10624,p0326
1.123,0.14185,p0327
1.0352,0.27853,p0328
0.90233,0.038582,p0329
1.1382,0.072819,p0330
0.91918,0.24806,p0331
1.013,0.2536,p0332
1.0425,0.18136,p0333
0.89662,0.10593,p0334
1.008,0.14119,p0335
0.86261,0.05849,p0336
1.0912,0.23222,p0337
0.82179,0.13097,p0338
1.105,0.26142,p0339
1.0443,0.018661,p0340
0.82058,0.26911,p0341
1.0779,0.097632,p0342
0.81974,0.12941,p0343
1.1008,0.29537,p0344
1.1706,0.20519,p0345
0.9944,0.15807,p0346
1.1437,0.064592,p0347
1.06,0.26975,p0348
0.96614,0.11061,p0349
0.89059,0.066299,p0350
1.1113,0.08453,p0351
1.173,0.17856,p0352
1.1873,0.024346,p0353
1.0401,0.14329,p0354
1.0713,0.1597,p0355
0.87651,0.0094639,p0356
1.1976,0.26371,p0357
0.82796,0.16168,p0358
1.1763,0.018463,p0359
1.0872,0.16205,p0360
0.83633,0.20242,p0361
1.1081,0.047742,p0362
1.0984,0.16843,p0363
0.98826,0.22301,p0364
0.94603,0.089543,p0365
0.8428,0.28518,p0366
1.1538,0.15582,p0367
0.88592,0.16032,p0368
0.95886,0.24704,p0369
0.95957,0.085215,p0370
0.84846,0.20185,p0371
1.1827,0.1084,p0372
1.0182,0.11953,p0373
1.16,0.039313,p0374
1.0198,0.1714,p0375
1.1234,0.26586,p0376
1.0423,0.070812,p0377
0.81878,0.14963,p0378
1.1154,0.17484,p0379
0.9812,0.20836,p0380
0.91347,0.26748,p0381
1.1343,0.11294,p0382
1.0813,0.29347,p0383
