wind_speed,swr,a_seiche,par_id
1.1065,0.85109,0.04333,p0001
1.1046,0.80219,0.15274,p0002
0.94991,0.85548,0.0092098,p0003
0.89102,0.87678,0.07062,p0004
1.1834,0.92223,0.29809,p0005
1.0399,0.95949,0.15328,p0006
0.95922,0.8113,0.24371,p0007
0.90924,0.93185,0.28464,p0008
0.9984,1.1533,0.23646,p0009
1.0073,1.0866,0.13023,p0010
1.123,1.0367,0.010873,p0011
1.0694,1.1471,0.26421,p0012
1.1698,1.1869,0.052681,p0013
1.1083,0.88298,0.19547,p0014
1.1322,0.9872,0.27488,p0015
1.0589,0.88084,0.0070267,p0016
0.96015,0.96697,0.21793,p0017
1.1504,1.0573,0.28866,p0018
0.85882,0.86285,0.11078,p0019
0.97423,0.94918,0.17306,p0020
0.81617,0.91441,0.050608,p0021
0.8298,0.91992,0.057507,p0022
1.0186,1.1038,0.22579,p0023
1.1874,1.0848,0.087651,p0024
1.1174,1.1771,0.063454,p0025
1.058,0.96768,0.00096431,p0026
1.188,1.1595,0.039472,p0027
0.93571,1.1358,0.1628,p0028
0.91042,1.0213,0.067054,p0029
1.1414,1.1919,0.057002,p0030
1.0158,0.94819,0.27388,p0031
1.0248,0.82685,0.17634,p0032
0.83646,1.0493,0.013325,p0033
1.0921,0.85573,0.15637,p0034
0.98548,1.0036,0.024596,p0035
0.80145,1.0504,0.097601,p0036
0.86295,0.80735,0.10349,p0037
1.064,1.1443,0.22159,p0038
0.95248,1.1655,0.029013,p0039
0.84226,1.1962,0.27067,p0040
0.81042,1.0406,0.17589,p0041
0.81962,1.1704,0.18959,p0042
1.0586,1.0943,0.27006,p0043
0.81515,0.8521,0.18461,p0044
0.93839,0.90722,0.065013,p0045
0.88868,1.1826,0.12379,p0046
0.88217,1.1254,0.10725,p0047
1.0963,1.0209,0.0047115,p0048
1.1653,1.1608,0.24138,p0049
1.0822,1.0861,0.051693,p0050
1.1005,0.93659,0.24435,p0051
1.0665,0.95109,0.23409,p0052
0.98509,1.0756,0.047484,p0053
0.85055,0.93337,0.19405,p0054
1.0539,0.97751,0.22169,p0055
0.94738,0.81827,0.095749,p0056
1.077,1.0871,0.011661,p0057
0.9267,0.95141,0.2548,p0058
0.87999,0.83474,0.14222,p0059
0.83147,1.009,0.15719,p0060
1.1284,1.1413,0.14609,p0061
0.82488,0.9658,0.16854,p0062
1.0707,0.85779,0.022473,p0063
0.94962,1.0013,0.13966,p0064
0.8152,1.0134,0.18565,p0065
0.87508,1.0997,0.2469,p0066
0.98727,1.0587,0.14404,p0067
0.95862,0.8963,0.15737,p0068
0.92626,1.1758,0.12121,p0069
1.0684,1.0562,0.14819,p0070
1.1591,1.0119,0.1539,p0071
1.1968,0.8103,0.24652,p0072
0.98077,0.82592,0.29397,p0073
0.98782,1.0412,0.073644,p0074
0.89448,0.82938,0.20118,p0075
1.1795,1.0548,0.051289,p0076
1.0419,0.94621,0.26979,p0077
0.94907,1.0614,0.17844,p0078
1.0132,1.0127,0.028639,p0079
0.96531,1.0507,0.22463,p0080
1.125,0.97499,0.26463,p0081
1.0726,1.015,0.21976,p0082
1.1015,0.81228,0.26441,p0083
1.1498,0.82253,0.29785,p0084
0.96204,0.84483,0.087573,p0085
0.86655,1.1199,0.21942,p0086
1.1823,1.0673,0.11713,p0087
1.0159,1.0471,0.25343,p0088
0.81293,1.0246,0.036449,p0089
1.1422,1.056,0.22338,p0090
1.1938,0.89924,0.10665,p0091
0.92108,0.92282,0.24349,p0092
1.0749,1.1555,0.13571,p0093
0.80841,0.83072,0.22602,p0094
0.87337,1.1746,0.19027,p0095
1.0881,0.888,0.12563,p0096
0.88239,1.1324,0.079645,p0097
0.93416,1.0199,0.28116,p0098
0.92498,1.1142,0.20503,p0099
1.0728,1.0835,0.23349,p0100
1.1336,1.1348,0.038098,p0101
0.96578,1.1386,0.097033,p0102
0.88965,0.81584,0.15073,p0103
0.92399,0.82076,0.082601,p0104
0.95101,0.96908,0.026375,p0105
1.0297,1.0791,0.2705,p0106
