date,period,variable,model,mean,median,sd,q25,q75,q05,q95
1970,historical,HiceMax,Ensemble_Mean,0.219340137651924,0.22278413772583,0.0596718837412204,0.164895458519459,0.266495260596275,0.134838333725929,0.302028537988663
1970,historical,HiceMax,FLake,0.19861829529206,0.209335997700691,0.133760883136505,0.100302003324032,0.309067994356155,0,0.390525603294373
1970,historical,HiceMax,GLM,0.248987529765476,0.243212282657623,0.0338487432883646,0.223437711596489,0.275425672531128,0.199978196620941,0.309350204467773
1970,historical,HiceMax,GOTM,0.183563544443159,0.187490433454514,0.0533454128180003,0.150951042771339,0.219411239027977,0.0960198402404785,0.250406607985496
1970,historical,HiceMax,MyLake,0.304540028626269,0.316341400146484,0.049420371037206,0.270906209945679,0.334629416465759,0.215102657675743,0.381741404533386
1970,historical,HiceMax,Simstrat,0.350501517906333,0.350100010633469,0.237930559881088,0.247309997677803,0.515100002288818,0,0.689540004730224
1970,historical,IceOff,Ensemble_Mean,NA,NA,NA,115.5,127,107,138
1970,historical,IceOff,FLake,NA,NA,NA,71,86.75,64.05,93.9
1970,historical,IceOff,GLM,NA,NA,NA,89.25,105,82.25,116.5
1970,historical,IceOff,GOTM,NA,NA,NA,59.25,74.5,44.75,81.75
1970,historical,IceOff,MyLake,NA,NA,NA,114.25,126.25,107,136.75
1970,historical,IceOff,Simstrat,NA,NA,NA,108.5,123.5,96.4,129.5
1970,historical,IceOn,Ensemble_Mean,NA,NA,NA,2,5.75,2,8.75
1970,historical,IceOn,FLake,NA,NA,NA,28,44.75,21.1,53.95
1970,historical,IceOn,GLM,NA,NA,NA,2,9,2,11
1970,historical,IceOn,GOTM,NA,NA,NA,3,9.75,2,36.75
1970,historical,IceOn,MyLake,NA,NA,NA,8.25,15.75,4.25,22
1970,historical,IceOn,Simstrat,NA,NA,NA,30.25,44.75,23.7,47
1970,historical,MaxIceDur,Ensemble_Mean,92.5757575757576,115,49.7142021351987,102,122,0,132
1970,historical,MaxIceDur,FLake,27.6666666666667,31,24.6356787336308,0,43,0,65.4
1970,historical,MaxIceDur,GLM,72.7272727272727,86,39.2581780710025,80,101,0,105.8
1970,historical,MaxIceDur,GOTM,43.8787878787879,51,27.3515968178249,26,68,0,74.6
1970,historical,MaxIceDur,MyLake,85.2424242424242,103,46.3006683962488,92,114,0,125
1970,historical,MaxIceDur,Simstrat,42.8181818181818,55,41.606380629549,0,77,0,99.6
1971,historical,HiceMax,Ensemble_Mean,0.15139276406756,0.154440596699715,0.068234657774663,0.0935941904783249,0.181941233575344,0.0697655500471592,0.281460424661636
1971,historical,HiceMax,FLake,0.100972385399721,0,0.143525866365507,0,0.218592002987862,0,0.344648802280426
1971,historical,HiceMax,GLM,0.164083506347555,0.156763464212418,0.0496721064676527,0.124859042465687,0.213304489850998,0.0970392897725105,0.243927502632141
1971,historical,HiceMax,GOTM,0.10772677409378,0.103752948343754,0.0352671596167791,0.0819028690457344,0.118094116449356,0.0633753299713135,0.180971324443817
1971,historical,HiceMax,MyLake,0.292850261610566,0.277128934860229,0.0769426770562264,0.248545706272125,0.329805850982666,0.192763209342957,0.436038863658905
1971,historical,HiceMax,Simstrat,0.284070912184137,0.292250007390976,0.266826804417109,0,0.465880006551743,0,0.694128000736237
1971,historical,IceOff,Ensemble_Mean,117.757575757576,122,15.9902906146009,105,132,87.6,134.6
1971,historical,IceOff,FLake,NA,NA,NA,70.75,82.25,64.6,85.7
1971,historical,IceOff,GLM,78.0909090909091,78,13.4544686729996,69,84,58.6,101.2
1971,historical,IceOff,GOTM,44.0606060606061,48,12.3742156164022,33,52,24.2,57.4
1971,historical,IceOff,MyLake,114.757575757576,119,16.7369917828561,103,131,86.6,134.6
1971,historical,IceOff,Simstrat,NA,NA,NA,112,129.25,97.95,133.15
1971,historical,IceOn,Ensemble_Mean,4.18181818181818,2,12.6502335587494,-3,18,-14.2,23.4
1971,historical,IceOn,FLake,NA,NA,NA,18,49.5,12.2,61
1971,historical,IceOn,GLM,18.969696969697,19,13.2747053839361,13,26,-2.4,38.4
1971,historical,IceOn,GOTM,7.45454545454545,5,13.8046434875437,-3,19,-13,28.2
1971,historical,IceOn,MyLake,7.60606060606061,4,15.3214298327934,-2,19,-14.2,34.2
1971,historical,IceOn,Simstrat,NA,NA,NA,6,43.25,2.7,48.05
1971,historical,MaxIceDur,Ensemble_Mean,113.575757575758,117,20.626182243435,96,128,87,147.4
1971,historical,MaxIceDur,FLake,17.7272727272727,0,24.5958237401097,0,31,0,61.8
1971,historical,MaxIceDur,GLM,59.1212121212121,59,22.1115885563396,46,73,19,97.4
1971,historical,MaxIceDur,GOTM,36.6060606060606,34,12.2574961603589,27,46,19.2,57
1971,historical,MaxIceDur,MyLake,107.151515151515,105,21.9916478636226,89,123,76.2,145.6
1971,historical,MaxIceDur,Simstrat,55.2121212121212,69,49.5641992620162,0,92,0,128.4
1972,historical,HiceMax,Ensemble_Mean,0.139409868294994,0.14994964748621,0.0835036305667816,0.0690153434872627,0.195328917354345,0.0294222256541252,0.269397061914206
1972,historical,HiceMax,FLake,0.0524195210274422,0,0.100603508346919,0,0.0577909983694553,0,0.302632403373718
1972,historical,HiceMax,GLM,0.136374113911932,0.119746714830399,0.0498832984371898,0.100042596459389,0.167550146579742,0.0802058801054955,0.231815874576569
1972,historical,HiceMax,GOTM,0.105255858464675,0.120736792683601,0.0380952498373961,0.0691142305731773,0.130272731184959,0.0556997515261173,0.169035342335701
1972,historical,HiceMax,MyLake,0.26253742657145,0.294548392295837,0.11884708107186,0.204952910542488,0.337246000766754,0.00137862291303463,0.400115710496902
1972,historical,HiceMax,Simstrat,0.311301515860991,0.370970010757446,0.315595367781562,0,0.560570001602173,0,0.834347999095917
1972,historical,IceOff,Ensemble_Mean,114.181818181818,117,25.3012531130557,110,133,57,140.4
1972,historical,IceOff,FLake,NA,NA,NA,68,94,59.2,99.6
1972,historical,IceOff,GLM,73.8484848484848,70,17.1776039003575,61,85,53.8,108.8
1972,historical,IceOff,GOTM,47.969696969697,45,14.3319678701253,39,65,28.2,67
1972,historical,IceOff,MyLake,NA,NA,NA,108.5,133,44.55,138.25
1972,historical,IceOff,Simstrat,NA,NA,NA,110.75,130,106.85,139.15
1972,historical,IceOn,Ensemble_Mean,10.0909090909091,8,8.82596891410384,4,13,0.8,23.4
1972,historical,IceOn,FLake,NA,NA,NA,42,53,25.8,59.6
1972,historical,IceOn,GLM,25.4848484848485,26,7.82272815311741,19,30,14.6,38.8
1972,historical,IceOn,GOTM,10.030303030303,8,7.48116321371904,4,14,0.8,21
1972,historical,IceOn,MyLake,NA,NA,NA,9.5,21.25,2.1,41.9
1972,historical,IceOn,Simstrat,NA,NA,NA,29,40,14.85,44.65
1972,historical,MaxIceDur,Ensemble_Mean,104.090909090909,113,30.6995150983322,97,126,33.8,131.4
1972,historical,MaxIceDur,FLake,9.54545454545454,0,18.4019206013444,0,12,0,55.4
1972,historical,MaxIceDur,GLM,48.3636363636364,48,19.8900386214717,36,61,14,77.6
1972,historical,MaxIceDur,GOTM,37.9393939393939,38,15.2108912336264,24,49,12.8,59.6
1972,historical,MaxIceDur,MyLake,93,106,38.6902765562615,89,117,1,124.8
1972,historical,MaxIceDur,Simstrat,48.2727272727273,65,46.5324300402907,0,91,0,107.2
1973,historical,HiceMax,Ensemble_Mean,0.111447806029835,0.103374276310205,0.0475957321517434,0.0773986551910639,0.145972014218569,0.0441152823716402,0.205848343893886
1973,historical,HiceMax,FLake,0.080247832631523,0.0494913011789322,0.095818288571528,0,0.15361599624157,0,0.256736791133881
1973,historical,HiceMax,GLM,0.147454327480359,0.138760104775429,0.0519183849942255,0.108688600361347,0.194392919540405,0.0898976802825928,0.227669054269791
1973,historical,HiceMax,GOTM,0.0937604387149666,0.0939976945519447,0.023288662781432,0.0774243474006653,0.10904910415411,0.0565207548439503,0.130176919698715
1973,historical,HiceMax,MyLake,0.259347439715357,0.255802482366562,0.0661357061230997,0.233134344220161,0.291629403829575,0.133512309193611,0.360319876670837
1973,historical,HiceMax,Simstrat,0.102426666201967,0,0.191713173905401,0,0,0,0.479256004095077
1973,historical,IceOff,Ensemble_Mean,113.212121212121,113,12.1931271003319,103,122,98.4,132.8
1973,historical,IceOff,FLake,NA,NA,NA,69,83,60.4,90
1973,historical,IceOff,GLM,NA,NA,NA,64.75,91.25,55.55,100.15
1973,historical,IceOff,GOTM,41.1515151515151,43,12.0988667137702,35,49,21,59.6
1973,historical,IceOff,MyLake,112.545454545455,110,12.296063671687,102,122,98.4,132.8
1973,historical,IceOff,Simstrat,NA,NA,NA,104.25,116.5,97.05,128.15
1973,historical,IceOn,Ensemble_Mean,5.87878787878788,6,7.66794291090175,2,11,-5,16
1973,historical,IceOn,FLake,NA,NA,NA,40,60,30,66.8
1973,historical,IceOn,GLM,NA,NA,NA,19.5,29,13.55,43.25
1973,historical,IceOn,GOTM,8.51515151515152,9,9.86826103006886,3,13,-5,26
1973,historical,IceOn,MyLake,13.1212121212121,11,12.481880807188,7,19,-3,33
1973,historical,IceOn,Simstrat,NA,NA,NA,31.75,40.75,16.05,48.85
1973,historical,MaxIceDur,Ensemble_Mean,107.333333333333,106,12.960677708618,99,118,88.2,128
1973,historical,MaxIceDur,FLake,14.3030303030303,3,18.5800377564284,0,27,0,50.6
1973,historical,MaxIceDur,GLM,50.969696969697,53,21.4934362778571,33,66,19.2,85
1973,historical,MaxIceDur,GOTM,32.6363636363636,31,10.8334498828229,25,39,18,50
1973,historical,MaxIceDur,MyLake,99.4242424242424,98,15.4798867547342,93,108,75.6,124.4
1973,historical,MaxIceDur,Simstrat,18.4242424242424,0,34.5398594950731,0,0,0,86.6
1974,historical,HiceMax,Ensemble_Mean,0.123450796260978,0.0844701111316681,0.0781077787520407,0.0705933913588524,0.167424069344997,0.0444779327511787,0.268771300911903
1974,historical,HiceMax,FLake,0.0615068488387447,0,0.0962880118295804,0,0.163962006568909,0,0.241255196928978
1974,historical,HiceMax,GLM,0.135609356517142,0.121340170502663,0.0439589470272229,0.100701183080673,0.1694106310606,0.0855610549449921,0.215306505560875
1974,historical,HiceMax,GOTM,0.0999383532413931,0.0975702926516533,0.0248507672185943,0.0898768231272697,0.114935144782066,0.0551975339651108,0.137385928630829
1974,historical,HiceMax,MyLake,0.247817680758255,0.243697643280029,0.0866500376670734,0.211346313357353,0.262739360332489,0.146758130192757,0.385992622375488
1974,historical,HiceMax,Simstrat,0.194655154690598,0,0.270798038389958,0,0.447910010814667,0,0.684066021442413
1974,historical,IceOff,Ensemble_Mean,112.333333333333,114,14.1082127382127,108,121,92.6,129
1974,historical,IceOff,FLake,NA,NA,NA,74.5,79,64,88.5
1974,historical,IceOff,GLM,74.5757575757576,74,14.8493061770372,60,87,54.6,97.4
1974,historical,IceOff,GOTM,44.1212121212121,43,11.6799977947279,35,56,27.2,61
1974,historical,IceOff,MyLake,110.363636363636,110,17.6419567045052,108,120,92.6,129
1974,historical,IceOff,Simstrat,NA,NA,NA,110.25,121,101.85,127.9
1974,historical,IceOn,Ensemble_Mean,7.33333333333333,6,9.67169409496944,2,16,-8.6,21.4
1974,historical,IceOn,FLake,NA,NA,NA,44,47.5,36,61.5
1974,historical,IceOn,GLM,26,28,10.9772492000501,15,33,11.6,41
1974,historical,IceOn,GOTM,9,7,10.4283268073071,3,19,-7.4,23.8
1974,historical,IceOn,MyLake,12.7272727272727,13,11.372314867895,2,20,-2.8,29.4
1974,historical,IceOn,Simstrat,NA,NA,NA,13,33,11,42
1974,historical,MaxIceDur,Ensemble_Mean,105,110,18.6212244495361,99,116,76.2,124.4
1974,historical,MaxIceDur,FLake,9.90909090909091,0,16.2468528420961,0,25,0,43.8
1974,historical,MaxIceDur,GLM,48.5757575757576,48,16.9835035825767,39,60,24,73.4
1974,historical,MaxIceDur,GOTM,35.1212121212121,36,11.8183056520319,23,44,19.2,55.6
1974,historical,MaxIceDur,MyLake,97.6363636363636,107,22.2595740382343,88,110,73.6,117.2
1974,historical,MaxIceDur,Simstrat,33.7272727272727,0,45.9668853138272,0,83,0,105.6
1975,historical,HiceMax,Ensemble_Mean,0.122821135423852,0.0881305068731308,0.0707244146002558,0.0685680076479912,0.196712146699429,0.0501101370155811,0.239231494069099
1975,historical,HiceMax,FLake,0.0599554336883805,0,0.1054626376,0,0.111213997006416,0,0.288978606462479
1975,historical,HiceMax,GLM,0.137596862334194,0.130921691656113,0.0390959542883811,0.109077833592892,0.161798983812332,0.083206795156002,0.212302398681641
1975,historical,HiceMax,GOTM,0.0934788661472725,0.0923002287745476,0.0256005985559493,0.0767732709646225,0.102716587483883,0.0630865767598152,0.140722298622131
1975,historical,HiceMax,MyLake,0.275205302983522,0.279673278331757,0.0887332645663779,0.222194150090218,0.33882400393486,0.132171502709389,0.4006776034832
1975,historical,HiceMax,Simstrat,0.179552425037731,0,0.279720355406854,0,0.449449986219406,0,0.706130003929138
1975,historical,IceOff,Ensemble_Mean,117.878787878788,119,14.3412812706832,112,125,98,135.2
1975,historical,IceOff,FLake,NA,NA,NA,67,86.25,60.45,98.15
1975,historical,IceOff,GLM,76.9393939393939,74,15.6323770464127,66,84,59.4,105.8
1975,historical,IceOff,GOTM,46.2121212121212,45,16.3683337113113,33,52,26.8,78.2
1975,historical,IceOff,MyLake,116.484848484848,119,17.0955425698507,110,124,98,135.2
1975,historical,IceOff,Simstrat,NA,NA,NA,115.5,124.5,105,135.5
1975,historical,IceOn,Ensemble_Mean,8.42424242424242,8,9.80124450972395,3,16,-5.4,21.4
1975,historical,IceOn,FLake,NA,NA,NA,37.25,48.75,18.7,53.4
1975,historical,IceOn,GLM,26.3030303030303,25,9.33570045740024,19,36,13.8,39
1975,historical,IceOn,GOTM,14.6363636363636,10,19.0883115115936,3,20,-6,55
1975,historical,IceOn,MyLake,15.6060606060606,14,8.54012365959722,9,22,5,27.6
1975,historical,IceOn,Simstrat,NA,NA,NA,16.5,40,14.5,57
1975,historical,MaxIceDur,Ensemble_Mean,109.454545454545,114,19.4520097115486,107,120,81.4,130
1975,historical,MaxIceDur,FLake,11.4545454545455,0,20.8027806270744,0,15,0,62
1975,historical,MaxIceDur,GLM,50.6363636363636,51,17.5389177648918,39,59,25,80.4
1975,historical,MaxIceDur,GOTM,31.5757575757576,29,12.6318800635295,26,41,14,52.8
1975,historical,MaxIceDur,MyLake,100.878787878788,104,20.7782301576638,97,110,78.6,120.8
1975,historical,MaxIceDur,Simstrat,30.1818181818182,0,44.9898978559733,0,88,0,106.4
1976,historical,HiceMax,Ensemble_Mean,0.159506535665555,0.1525240752846,0.0809539683356187,0.0883893080055714,0.203983908891678,0.0738639713823795,0.299759662151337
1976,historical,HiceMax,FLake,0.120156914673068,0,0.15540617598151,0,0.22299200296402,0,0.357842993736267
1976,historical,HiceMax,GLM,0.167710278296109,0.164423763751984,0.0472483344092887,0.146931260824203,0.205697417259216,0.0903414562344551,0.245668941736221
1976,historical,HiceMax,GOTM,0.113648283436443,0.112173810601234,0.03026835499241,0.0908204168081284,0.141095399856567,0.0683669924736023,0.152813339233398
1976,historical,HiceMax,MyLake,0.316076653069379,0.323005169630051,0.0955784752114037,0.257195830345154,0.395698368549347,0.206435579061508,0.434388440847397
1976,historical,HiceMax,Simstrat,0.271252424427957,0,0.317552491062236,0,0.551649987697601,0,0.773569989204407
1976,historical,IceOff,Ensemble_Mean,120.636363636364,119,20.0090888439138,111,136,101.8,143.4
1976,historical,IceOff,FLake,NA,NA,NA,72,100.25,61.25,114.5
1976,historical,IceOff,GLM,83.5454545454545,82,20.2655664075343,71,100,53.4,115.6
1976,historical,IceOff,GOTM,49.3939393939394,47,12.6415470620178,41,54,36.4,75.8
1976,historical,IceOff,MyLake,118.727272727273,117,20.5232683911346,110,133,101.8,142.6
1976,historical,IceOff,Simstrat,NA,NA,NA,117.5,136.5,105.9,152
1976,historical,IceOn,Ensemble_Mean,7.75757575757576,8,7.32303857284624,2,14,-3,20.2
1976,historical,IceOn,FLake,NA,NA,NA,29.5,49,27.75,70.25
1976,historical,IceOn,GLM,22.7272727272727,21,8.51569406769322,16,29,10.6,35.2
1976,historical,IceOn,GOTM,14,11,12.051970793194,6,19,0.2,39.8
1976,historical,IceOn,MyLake,10.030303030303,8,8.59318352127447,6,14,-0.8,27.4
1976,historical,IceOn,Simstrat,NA,NA,NA,28.5,51.5,18,57.2
1976,historical,MaxIceDur,Ensemble_Mean,112.878787878788,112,23.611117052881,102,127,90.2,142.6
1976,historical,MaxIceDur,FLake,22.3636363636364,0,28.2575412299732,0,38,0,77.2
1976,historical,MaxIceDur,GLM,60.8181818181818,58,23.4513519672301,50,74,21.2,103.2
1976,historical,MaxIceDur,GOTM,35.3939393939394,36,8.06977150365561,31,41,23.6,46.4
1976,historical,MaxIceDur,MyLake,108.69696969697,105,25.8801140459292,97,127,89,137
1976,historical,MaxIceDur,Simstrat,40.8484848484849,0,47.2950322524214,0,87,0,110.2
1977,historical,HiceMax,Ensemble_Mean,0.12884808981396,0.115298414230347,0.057171519588867,0.0871238231658936,0.172216622158885,0.063723364174366,0.230416803061962
1977,historical,HiceMax,FLake,0.0669778976025003,0,0.0935361607864729,0,0.154992997646332,0,0.231763198971748
1977,historical,HiceMax,GLM,0.156998511065136,0.153449341654778,0.0466667412652266,0.123257264494896,0.18102203309536,0.088247449696064,0.239439424872398
1977,historical,HiceMax,GOTM,0.110284614630721,0.110309146344662,0.0311485036223506,0.09108667075634,0.127077117562294,0.0608179122209549,0.162189343571663
1977,historical,HiceMax,MyLake,0.284309302301457,0.301590979099274,0.0792496757934128,0.22722515463829,0.339678436517715,0.19777672290802,0.376891797780991
1977,historical,HiceMax,Simstrat,0.200323634978497,0,0.251756972412547,0,0.429960012435913,0,0.619021999835968
1977,historical,IceOff,Ensemble_Mean,112.333333333333,111,15.6558029709966,107,115,94.2,137.2
1977,historical,IceOff,FLake,NA,NA,NA,65,88,59.2,94.4
1977,historical,IceOff,GLM,75.8787878787879,74,15.8661541806718,63,87,52.2,99.8
1977,historical,IceOff,GOTM,44.1212121212121,47,11.101119244691,40,52,19.6,56.4
1977,historical,IceOff,MyLake,111.151515151515,111,17.0772531678129,107,115,94.2,136
1977,historical,IceOff,Simstrat,NA,NA,NA,106,114.5,97.55,133.4
1977,historical,IceOn,Ensemble_Mean,7.06060606060606,7,9.2632992028333,4,10,-10,24.4
1977,historical,IceOn,FLake,NA,NA,NA,29,48,27.2,53.6
1977,historical,IceOn,GLM,20.9090909090909,20,8.65795745385292,15,25,11,36.4
1977,historical,IceOn,GOTM,10.8181818181818,9,10.9756962918491,7,12,-8.2,31.8
1977,historical,IceOn,MyLake,11.7272727272727,10,12.9958472388123,4,15,-8.4,34.2
1977,historical,IceOn,Simstrat,NA,NA,NA,21.75,48.25,15.6,57.4
1977,historical,MaxIceDur,Ensemble_Mean,105.272727272727,107,20.43017487577,96,119,75.6,131.2
1977,historical,MaxIceDur,FLake,13.7272727272727,0,20.2257149553371,0,28,0,53.2
1977,historical,MaxIceDur,GLM,54.969696969697,56,20.2939104913347,43,74,18.4,82.4
1977,historical,MaxIceDur,GOTM,33.3030303030303,34,8.51647245227172,28,40,16.6,45
1977,historical,MaxIceDur,MyLake,99.4242424242424,105,26.2678871236229,90,117,61.8,131.2
1977,historical,MaxIceDur,Simstrat,31.8181818181818,0,39.6070184322288,0,64,0,96
1978,historical,HiceMax,Ensemble_Mean,0.10868868089535,0.0928164392709732,0.0582612894915389,0.0695376582443714,0.156092408299446,0.0243604527413845,0.202915065586567
1978,historical,HiceMax,FLake,0.0283249788212054,0,0.0594721443168961,0,0,0,0.160031196475029
1978,historical,HiceMax,GLM,0.134556359865449,0.133810505270958,0.0320747080352698,0.115860365331173,0.149884611368179,0.0817006513476372,0.196716523170471
1978,historical,HiceMax,GOTM,0.0988302211644072,0.0970416963100433,0.0322761716693094,0.0707152485847473,0.117381550371647,0.0541388310492039,0.152654859423637
1978,historical,HiceMax,MyLake,0.221437174939748,0.238107219338417,0.0969325440437441,0.188039317727089,0.261088162660599,0,0.362620896100998
1978,historical,HiceMax,Simstrat,0.184429697918169,0,0.249477869879419,0,0.371540009975433,0,0.666980004310608
1978,historical,IceOff,Ensemble_Mean,105.393939393939,110,19.2109008669873,99,117,63.4,127.4
1978,historical,IceOff,FLake,NA,NA,NA,69,78.5,60.9,79
1978,historical,IceOff,GLM,75.7878787878788,76,14.755841164937,69,88,48.4,97.2
1978,historical,IceOff,GOTM,48.5151515151515,51,9.89040321511594,41,56,32.8,61.4
1978,historical,IceOff,MyLake,NA,NA,NA,99.25,116.75,93.35,126.1
1978,historical,IceOff,Simstrat,NA,NA,NA,103,116,97.2,126
1978,historical,IceOn,Ensemble_Mean,16.3939393939394,16,9.86451783521182,8,22,1.8,32.8
1978,historical,IceOn,FLake,NA,NA,NA,43,60.5,40.6,68.1
1978,historical,IceOn,GLM,27.8484848484848,27,7.73838327802234,23,34,17.6,41.4
1978,historical,IceOn,GOTM,18.1212121212121,18,10.7580132220057,15,23,1.8,32.8
1978,historical,IceOn,MyLake,NA,NA,NA,14.25,22,6.9,38.75
1978,historical,IceOn,Simstrat,NA,NA,NA,26,39,14.6,52
1978,historical,MaxIceDur,Ensemble_Mean,89,93,25.2277129363722,78,106,29,121.4
1978,historical,MaxIceDur,FLake,4.51515151515152,0,10.1029736096644,0,0,0,26.8
1978,historical,MaxIceDur,GLM,47.9393939393939,50,16.554718726732,41,60,18,71.4
1978,historical,MaxIceDur,GOTM,30.3939393939394,30,14.0711126824147,17,39,13.6,52.6
1978,historical,MaxIceDur,MyLake,80.2727272727273,87,30.9851504023225,74,102,0,110.6
1978,historical,MaxIceDur,Simstrat,30.4848484848485,0,40.3408301322317,0,68,0,97.2
1979,historical,HiceMax,Ensemble_Mean,0.149570722268386,0.142034123837948,0.0907909254134589,0.0666643410921097,0.222414281964302,0.0264525599777699,0.294616779088974
1979,historical,HiceMax,FLake,0.126608096966238,0,0.155268384496667,0,0.265944004058838,0,0.395947009325027
1979,historical,HiceMax,GLM,0.138721718706868,0.136529669165611,0.045283143047177,0.100718207657337,0.163913354277611,0.0754867032170296,0.212442693114281
1979,historical,HiceMax,GOTM,0.0977996638552709,0.0937894210219383,0.0308476326569554,0.0767648220062256,0.116809785366058,0.0553576417267323,0.15351594388485
1979,historical,HiceMax,MyLake,0.248651752643513,0.276904374361038,0.110001001110469,0.218779817223549,0.308668851852417,0.00238574780523777,0.388204306364059
1979,historical,HiceMax,Simstrat,0.286897938134092,0.302060008049011,0.290298396560487,0,0.519930005073547,0,0.76625599861145
1979,historical,IceOff,Ensemble_Mean,107.787878787879,110,21.2834407106757,105,117,76.4,128.8
1979,historical,IceOff,FLake,NA,NA,NA,83.5,91.5,74.3,97.6
1979,historical,IceOff,GLM,76.2121212121212,73,12.7641039044991,68,84,58.2,95
1979,historical,IceOff,GOTM,47.969696969697,49,12.8973952033076,41,58,26.4,63
1979,historical,IceOff,MyLake,NA,NA,NA,103,114.5,73,127
1979,historical,IceOff,Simstrat,NA,NA,NA,105.5,116,98.9,130.4
1979,historical,IceOn,Ensemble_Mean,9.66666666666667,7,15.7513226957823,1,11,-6.4,40.2
1979,historical,IceOn,FLake,NA,NA,NA,26.5,51.5,17.4,66.2
1979,historical,IceOn,GLM,26.6666666666667,22,13.6167788653068,16,36,13.6,52
1979,historical,IceOn,GOTM,11.6666666666667,8,12.8857156055326,3,24,-5.4,32
1979,historical,IceOn,MyLake,NA,NA,NA,5.5,15.5,-3.5,47
1979,historical,IceOn,Simstrat,NA,NA,NA,16,46,9.7,73.1
1979,historical,MaxIceDur,Ensemble_Mean,98.1212121212121,107,30.6876986508413,97,116,28.8,126.2
1979,historical,MaxIceDur,FLake,20.8787878787879,0,26.4477758702854,0,44,0,68
1979,historical,MaxIceDur,GLM,49.5454545454545,52,20.7049071917307,32,64,13.6,77.4
1979,historical,MaxIceDur,GOTM,36.3030303030303,40,16.0399595707191,23,50,12.2,58.8
1979,historical,MaxIceDur,MyLake,86.6969696969697,101,34.9727437160756,83,108,0.6,116.4
1979,historical,MaxIceDur,Simstrat,45.2727272727273,49,44.8875488911407,0,91,0,107.6
1980,historical,HiceMax,Ensemble_Mean,0.122294435842019,0.0833072237670422,0.0721640598200369,0.0690464422106743,0.171947002410889,0.0542912915349007,0.265730274617672
1980,historical,HiceMax,FLake,0.0454808756934874,0,0.0871837735841239,0,0.0449448004364967,0,0.243206596374512
