Time [d]	u [m/s]	v [m/s]	Tair [deg C]	sol [W/m2]	vap [mbar]	lw [W/m2]	precip [m/h]
43098	2.36202025413513	0	-24.388708496094	11.551721572876	0.65999821046111	203.849029541016	0
43099	2.28398180007935	0	-16.107580566406	11.2961225509644	1.46369198192496	219.664215087891	0
43100	1.70405435562134	0	-18.532598876953	12.3869590759277	1.36904775251606	206.424865722656	0
43101	1.40745484828949	0	-23.921957397461	12.0295839309692	0.865814945499851	204.982086181641	0
43102	1.15872502326965	0	-20.381048583984	8.35144805908203	1.18459611690707	232.359680175781	0
43103	2.19293737411499	0	-10.343237304688	5.22349739074707	2.65698235376668	260.494445800781	3.51050554551572e-06
43104	4.81257772445679	0	-0.759741210937989	7.98547410964966	4.48311580067503	252.475463867188	2.44625703594971e-06
43105	3.25873327255249	0	-5.15393676757799	12.9988231658936	3.36389893570997	226.480743408203	0
43106	2.0614378452301	0	-10.304296875	12.8737983703613	2.57425275124151	217.212783813477	0
43107	1.29037749767303	0	-11.760076904297	8.0217113494873	2.34048906652834	248.500122070312	4.28653189980347e-06
43108	2.66890549659729	0	-9.09332885742197	4.18320560455322	3.01608346817078	257.969757080078	3.06875194332356e-05
43109	2.5775933265686	0	-8.86102905273395	5.4724326133728	2.90758407961486	255.160491943359	1.67502579036712e-05
43110	1.95587837696075	0	-11.084722900391	7.37439489364624	2.35764733711819	241.114959716797	4.83572168579686e-06
43111	1.74652969837189	0	-14.497839355469	14.528883934021	1.94450331176577	221.294647216797	0
43112	1.56550478935242	0	-17.470190429688	16.0848331451416	1.50977208035054	220.500091552734	0
43113	1.09809160232544	0	-12.648046875	6.87191438674927	2.22593623200859	252.698181152344	3.97937355955947e-06
43114	1.4515426158905	0	-9.92856445312498	13.8379592895508	2.83559620022867	239.938446044922	7.12386483630528e-07
43115	1.50926661491394	0	-9.74814453124998	14.6971235275269	2.8762583089425	242.905990600586	0
43116	1.26498997211456	0	-8.42343749999998	10.7321443557739	3.14291280400329	257.91796875	0
43117	1.1707456111908	0	-10.762060546875	16.8912200927734	2.59506928851144	236.782150268555	0
43118	0.922028124332428	0	-11.818914794922	11.225438117981	2.42142178837687	246.157943725586	0
43119	1.40149235725403	0	-14.259313964844	13.6672744750977	1.9667857023207	238.017028808594	0
43120	1.07068181037903	0	-13.616796875	12.5858163833618	2.06020526820209	235.662307739258	0
43121	1.52202677726746	0	-12.992224121094	10.5182075500488	2.17183416397873	250.834335327148	3.44230001145561e-06
43122	1.28887009620667	0	-15.860052490234	13.7118854522705	1.74676914060474	238.197494506836	5.21087662895703e-06
43123	1.3881528377533	0	-21.567007446289	22.2807559967041	1.05650853796825	210.427108764648	0
43124	1.69723749160767	0	-21.954473876953	26.7618465423584	0.971930402880207	204.540924072266	0
43125	1.42052268981934	0	-19.025213623047	14.6870288848877	1.23511644600286	239.211700439453	2.49465655441681e-06
43126	1.32155632972717	0	-16.691931152344	13.0670471191406	1.53709558590452	237.130447387695	0
43127	1.5777667760849	0	-16.875311279297	23.5604648590088	1.56052247728382	221.94450378418	0
43128	1.48351073265076	0	-18.270254516602	26.4054183959961	1.29736348741775	221.427780151367	0
43129	1.07002639770508	0	-13.806402587891	16.9648456573486	1.88840011852637	244.921447753906	7.4732376257695e-06
43130	1.96105241775513	0	-13.481176757812	29.3006210327148	2.01023169236285	224.002059936523	0
43131	2.53353714942932	0	-14.752722167969	12.3411874771118	1.69057442008913	231.481781005859	1.08780699924359e-05
43132	2.20496988296509	0	-12.292761230469	35.8231201171875	2.09705353040934	209.259918212891	0
43133	2.44119930267334	0	-12.708044433594	37.5632057189941	2.12156671655154	210.823059082031	0
43134	2.16892051696777	0	-11.528601074219	33.5374641418457	2.34329799111591	222.067932128906	0
43135	2.11368107795715	0	-8.98596801757799	19.1074028015137	2.88105995691328	251.98161315918	1.07927462522639e-05
43136	2.66361212730408	0	-7.80725708007799	44.3203086853027	2.6455204528182	218.350830078125	2.999753279356e-06
43137	3.60001850128174	0	-8.09396972656197	46.1050453186035	2.18316762060412	208.232971191406	0
43138	2.6179838180542	0	-8.763677978516	46.920654296875	2.50201279805927	209.716049194336	0
43139	1.62756705284119	0	-12.59677734375	46.8513259887695	2.05358117891031	211.933731079102	0
43140	1.81959307193756	0	-15.356115722656	48.7518196105957	1.62534255344085	214.058700561523	0
43141	1.91152215003967	0	-14.432470703125	34.74951171875	1.86034818720993	224.331588745117	7.88142023743097e-07
43142	2.5598828792572	0	-18.890341186523	52.0659713745117	1.10659454349057	199.737548828125	0
43143	1.92035460472107	0	-18.296331787109	54.3390502929688	1.18959633284209	202.951522827148	0
43144	1.51100814342499	0	-16.007391357422	54.5018844604492	1.55509070306276	210.273651123047	0
43145	1.81422162055969	0	-16.923010253906	55.0903167724609	1.40115004184104	212.600662231445	0
43146	2.15943217277527	0	-13.765661621094	33.4986534118652	1.76485854590997	238.637847900391	5.72756562178256e-06
43147	1.44677901268005	0	-9.42078247070299	17.3472766876221	2.78782062937343	262.323638916016	5.44155429654186e-06
43148	0.81096339225769	0	-8.39304199218799	43.457691192627	2.91890965180288	252.765563964844	0
43149	0.9900923371315	0	-7.66513671874998	53.6488456726074	3.09363368943014	243.71516418457	0
43150	1.05056381225586	0	-8.29233398437498	44.7014350891113	3.04092860866618	249.967086791992	0
43151	1.83848297595978	0	-7.795660400391	42.4375381469727	2.96747023793871	235.466278076172	0
