"",77.700
30.0000,0.0000E+000
31.0000,-7.8892E+001
32.0000,-7.0970E+001
33.0000,-6.4559E+001
34.0000,-5.1059E+001
35.0000,-6.4370E+001
36.0000,-8.0525E+001
37.0000,-7.8499E+001
38.0000,-5.2061E+001
39.0000,-3.8666E+001
40.0000,-4.4920E+001
41.0000,-4.5398E+001
42.0000,-5.1716E+001
43.0000,-5.0086E+001
44.0000,-4.9462E+001
45.0000,-5.5592E+001
46.0000,-7.6206E+001
47.0000,-5.1230E+001
48.0000,-2.6526E+001
49.0000,-3.8986E+001
50.0000,-8.6034E+001
51.0000,-7.4633E+001
52.0000,-5.9878E+001
53.0000,-5.7432E+001
54.0000,-4.1561E+001
55.0000,-2.3245E+001
56.0000,-1.6322E+001
57.0000,-1.7423E+001
58.0000,-3.0206E+001
59.0000,-2.3746E+001
60.0000,-1.9094E+001
61.0000,-1.5489E+001
62.0000,-1.1196E+001
63.0000,-2.9126E+001
64.0000,-2.3842E+001
65.0000,-1.3194E+001
66.0000,-7.9810E+000
67.0000,-1.5345E+001
68.0000,-3.9241E+000
69.0000,3.3326E+000
70.0000,-1.3999E+000
71.0000,-5.6397E+000
72.0000,-3.7487E+000
73.0000,-8.9621E+000
74.0000,-1.6212E+001
75.0000,-3.3079E+001
76.0000,-1.9271E+001
77.0000,-1.1594E+001
78.0000,-6.6493E+000
79.0000,-1.7039E+000
80.0000,3.4653E+000
81.0000,1.1542E+001
82.0000,7.8896E+000
83.0000,1.5421E+001
84.0000,1.7217E+001
85.0000,9.7793E+000
86.0000,2.7032E-001
87.0000,-4.7428E+000
88.0000,-3.3652E+000
89.0000,4.4382E-001
90.0000,1.1275E+000
91.0000,-2.7111E-002
92.0000,-1.1463E+001
93.0000,-1.1982E+001
94.0000,-9.5255E+000
95.0000,-9.7311E+000
96.0000,-5.2081E+000
97.0000,4.0907E-001
98.0000,-5.9687E-001
99.0000,-8.2534E+000
100.0000,-1.0280E+001
101.0000,-1.3041E+000
102.0000,-2.5400E+000
103.0000,2.9881E-001
104.0000,3.5866E+000
105.0000,6.8422E+000
106.0000,1.0246E+001
107.0000,2.1455E-001
108.0000,-7.8204E+000
109.0000,-7.1257E+000
110.0000,-7.5948E+000
