"",77.700
30.0000,0.0000E+000
31.0000,-4.7401E+001
32.0000,-4.3653E+001
33.0000,-4.2066E+001
34.0000,-3.8137E+001
35.0000,-4.2750E+001
36.0000,-4.9890E+001
37.0000,-5.0746E+001
38.0000,-3.4722E+001
39.0000,-2.6241E+001
40.0000,-3.0544E+001
41.0000,-3.1383E+001
42.0000,-3.2180E+001
43.0000,-3.0867E+001
44.0000,-3.2308E+001
45.0000,-3.5943E+001
46.0000,-4.8932E+001
47.0000,-3.8444E+001
48.0000,-2.5622E+001
49.0000,-2.9149E+001
50.0000,-5.4868E+001
51.0000,-4.9220E+001
52.0000,-4.0731E+001
53.0000,-4.0287E+001
54.0000,-3.4055E+001
55.0000,-1.8110E+001
56.0000,-1.3745E+001
57.0000,-1.6167E+001
58.0000,-2.9091E+001
59.0000,-2.5342E+001
60.0000,-1.9405E+001
61.0000,-2.0361E+001
62.0000,-1.4058E+001
63.0000,-2.8239E+001
64.0000,-2.8947E+001
65.0000,-2.1297E+001
66.0000,-1.4030E+001
67.0000,-2.3248E+001
68.0000,-1.6089E+001
69.0000,-8.6733E+000
70.0000,-8.9846E+000
71.0000,-8.7045E+000
72.0000,-6.3340E+000
73.0000,-9.1274E+000
74.0000,-1.4726E+001
75.0000,-3.3165E+001
76.0000,-2.4859E+001
77.0000,-2.3097E+001
78.0000,-1.7400E+001
79.0000,-1.4426E+001
80.0000,-1.4285E+001
81.0000,-1.4275E+001
82.0000,-8.1485E+000
83.0000,-1.0075E+001
84.0000,-1.4726E+001
85.0000,-1.7791E+001
86.0000,-2.3238E+000
87.0000,-5.6924E+000
88.0000,-8.4655E+000
89.0000,-2.6459E+000
90.0000,-2.6979E+000
91.0000,-4.7596E+000
92.0000,-1.7134E+001
93.0000,-2.0312E+001
94.0000,-1.6573E+001
95.0000,-1.2537E+001
96.0000,-1.3105E+001
97.0000,-4.9883E+000
98.0000,-2.7603E+000
99.0000,-9.7204E+000
100.0000,-2.0323E+001
101.0000,-1.4271E+001
102.0000,-7.2485E+000
103.0000,-5.2353E+000
