"",77.700
30.0000,0.0000E+000
31.0000,-3.2180E+002
32.0000,-3.2258E+002
33.0000,-3.2195E+002
34.0000,-3.2146E+002
35.0000,-3.2102E+002
36.0000,-3.2078E+002
37.0000,-3.2056E+002
38.0000,-3.2039E+002
39.0000,-3.2017E+002
40.0000,-3.1979E+002
41.0000,-3.1953E+002
42.0000,-3.1914E+002
43.0000,-3.1885E+002
44.0000,-3.1842E+002
45.0000,-3.1811E+002
46.0000,-3.1792E+002
47.0000,-3.1814E+002
48.0000,-3.1831E+002
49.0000,-3.1825E+002
50.0000,-3.1770E+002
51.0000,-3.1725E+002
52.0000,-3.1697E+002
53.0000,-3.1673E+002
54.0000,-3.1674E+002
55.0000,-3.1697E+002
56.0000,-3.1713E+002
57.0000,-3.1716E+002
58.0000,-3.1715E+002
59.0000,-3.1720E+002
60.0000,-3.1725E+002
61.0000,-3.1736E+002
62.0000,-3.1762E+002
63.0000,-3.1764E+002
64.0000,-3.1768E+002
65.0000,-3.1785E+002
66.0000,-3.1809E+002
67.0000,-3.1826E+002
68.0000,-3.1857E+002
69.0000,-3.1894E+002
70.0000,-3.1927E+002
71.0000,-3.1965E+002
72.0000,-3.2017E+002
73.0000,-3.2002E+002
74.0000,-3.1977E+002
75.0000,-3.1976E+002
76.0000,-3.2000E+002
77.0000,-3.2029E+002
78.0000,-3.2065E+002
79.0000,-3.2105E+002
80.0000,-3.2144E+002
81.0000,-3.2258E+002
82.0000,-3.2245E+002
83.0000,-3.2294E+002
84.0000,-3.2348E+002
85.0000,-3.2394E+002
86.0000,-3.2661E+002
87.0000,-3.2478E+002
88.0000,-3.2512E+002
89.0000,-3.2584E+002
90.0000,-3.2636E+002
91.0000,-3.2676E+002
92.0000,-3.2694E+002
93.0000,-3.2712E+002
94.0000,-3.2739E+002
95.0000,-3.2774E+002
96.0000,-3.2828E+002
97.0000,-3.2886E+002
98.0000,-3.2967E+002
99.0000,-3.3034E+002
100.0000,-3.3060E+002
101.0000,-3.3072E+002
102.0000,-3.3128E+002
103.0000,-3.3207E+002
104.0000,-3.3317E+002
105.0000,-3.3420E+002
106.0000,-3.3462E+002
107.0000,-3.3474E+002
108.0000,-3.3527E+002
109.0000,-3.3608E+002
110.0000,-3.3698E+002
111.0000,-3.3837E+002
112.0000,-3.3871E+002
113.0000,-3.3899E+002
114.0000,-3.3927E+002
115.0000,-3.3953E+002
116.0000,-3.4058E+002
117.0000,-3.4267E+002
118.0000,-3.4435E+002
119.0000,-3.4588E+002
120.0000,-3.4750E+002
121.0000,-3.4959E+002
122.0000,-3.5086E+002
123.0000,-3.5100E+002
124.0000,-3.5159E+002
125.0000,-3.5328E+002
126.0000,-3.5490E+002
127.0000,-3.5389E+002
128.0000,-3.5531E+002
129.0000,-3.5625E+002
130.0000,-3.5405E+002
131.0000,-3.5760E+002
132.0000,-3.5817E+002
133.0000,-3.5795E+002
134.0000,-3.5805E+002
135.0000,-3.6020E+002
136.0000,-3.6171E+002
137.0000,-3.6371E+002
138.0000,-3.6548E+002
139.0000,-3.6651E+002
140.0000,-3.6747E+002
141.0000,-3.6948E+002
142.0000,-3.7201E+002
143.0000,-3.7576E+002
144.0000,-3.8023E+002
145.0000,-3.8437E+002
146.0000,-3.8631E+002
147.0000,-3.8570E+002
148.0000,-3.8539E+002
149.0000,-3.8615E+002
150.0000,-3.8515E+002
151.0000,-3.8456E+002
152.0000,-3.8633E+002
153.0000,-3.8699E+002
154.0000,-3.9107E+002
155.0000,-3.8927E+002
156.0000,-3.8930E+002
157.0000,-3.9233E+002
158.0000,-3.9483E+002
159.0000,-3.9539E+002
160.0000,-3.9418E+002
161.0000,-3.9270E+002
162.0000,-3.9174E+002
163.0000,-3.9061E+002
164.0000,-3.8853E+002
165.0000,-3.9227E+002
166.0000,-3.9392E+002
167.0000,-3.9465E+002
168.0000,-3.9532E+002
169.0000,-3.9357E+002
170.0000,-3.9255E+002
171.0000,-3.9353E+002
172.0000,-3.9455E+002
173.0000,-3.9464E+002
174.0000,-3.9355E+002
175.0000,-3.9250E+002
176.0000,-3.9260E+002
177.0000,-3.9571E+002
178.0000,-3.9781E+002
179.0000,-4.0005E+002
180.0000,-4.0000E+002
181.0000,-3.9832E+002
182.0000,-3.9720E+002
183.0000,-3.9718E+002
184.0000,-3.9744E+002
185.0000,-3.9644E+002
186.0000,-3.9709E+002
187.0000,-3.9959E+002
188.0000,-3.9974E+002
189.0000,-3.9413E+002
190.0000,-3.9456E+002
191.0000,-3.9807E+002
192.0000,-4.0138E+002
193.0000,-4.0341E+002
194.0000,-4.0425E+002
195.0000,-4.0467E+002
196.0000,-4.0377E+002
197.0000,-4.0222E+002
198.0000,-4.0320E+002
199.0000,-4.0591E+002
200.0000,-4.0782E+002
201.0000,-4.0940E+002
202.0000,-4.1085E+002
203.0000,-4.1209E+002
204.0000,-4.1279E+002
205.0000,-4.1282E+002
206.0000,-4.1414E+002
207.0000,-4.1675E+002
208.0000,-4.1946E+002
209.0000,-4.2082E+002
210.0000,-4.1993E+002
211.0000,-4.1875E+002
