wind_speed,a_seiche,par_id
1.1626,0.091992,p00001
0.89611,0.26461,p00002
0.87454,0.063414,p00003
1.0405,0.091886,p00004
1.0762,0.052433,p00005
1.1558,0.28929,p00006
0.81967,0.18148,p00007
0.96026,0.26693,p00008
0.83567,0.27513,p00009
0.84947,0.14305,p00010
0.88919,0.12414,p00011
1.0909,0.078769,p00012
0.878,0.042186,p00013
1.178,0.11069,p00014
1.0977,0.28022,p00015
0.85171,0.089604,p00016
1.1245,0.15344,p00017
1.0735,0.047487,p00018
0.92366,0.078115,p00019
1.0888,0.030051,p00020
1.0326,0.033653,p00021
1.0404,0.020731,p00022
0.92382,0.16762,p00023
1.103,0.20936,p00024
1.1432,0.28221,p00025
1.0464,0.12101,p00026
1.0341,0.19357,p00027
1.1634,0.0090994,p00028
1.0397,0.27946,p00029
1.0168,0.25755,p00030
1.034,0.05019,p00031
1.1483,0.054027,p00032
0.92065,0.014676,p00033
1.0599,0.059278,p00034
1.1833,0.15842,p00035
1.028,0.11005,p00036
1.1069,0.07144,p00037
0.85317,0.097644,p00038
0.96922,0.28627,p00039
0.83224,0.027414,p00040
0.95755,0.14027,p00041
0.92675,0.041377,p00042
0.85074,0.25936,p00043
0.86256,0.091937,p00044
1.0432,0.016075,p00045
1.0027,0.089243,p00046
1.1069,0.15212,p00047
1.0197,0.12427,p00048
0.87506,0.20572,p00049
1.0889,0.27746,p00050
0.93283,0.10408,p00051
0.83814,0.21751,p00052
0.82849,0.034944,p00053
1.0261,0.095213,p00054
1.0518,0.18645,p00055
0.94693,0.038882,p00056
0.82244,0.17678,p00057
0.85332,0.11609,p00058
1.1786,0.0423,p00059
1.0792,0.18033,p00060
0.9822,0.21199,p00061
0.97529,0.26678,p00062
0.93341,0.049275,p00063
0.82126,0.19257,p00064
0.87922,0.25302,p00065
0.84117,0.073467,p00066
1.0725,0.24868,p00067
1.1092,0.046345,p00068
0.84438,0.14112,p00069
0.89684,0.25871,p00070
0.89841,0.031797,p00071
1.055,0.17123,p00072
0.82333,0.19717,p00073
1.0355,0.13456,p00074
1.0504,0.072499,p00075
1.1799,0.20344,p00076
0.96654,0.29752,p00077
0.8066,0.27184,p00078
1.1129,0.16308,p00079
1.0878,0.24252,p00080
0.89509,0.075355,p00081
0.94541,0.29145,p00082
0.87261,0.066006,p00083
1.146,0.081012,p00084
0.82467,0.29759,p00085
1.1328,0.25292,p00086
0.87091,0.26949,p00087
0.88986,0.16778,p00088
0.95676,0.25726,p00089
1.0773,0.19945,p00090
0.95303,0.19822,p00091
0.94654,0.24137,p00092
1.1821,0.29948,p00093
1.0727,0.12026,p00094
0.813,0.20675,p00095
0.92698,0.0032674,p00096
0.96309,0.058983,p00097
0.90245,0.066667,p00098
1.1028,0.1135,p00099
1.1527,0.03224,p00100
0.87306,0.11663,p00101
0.86782,0.0070906,p00102
1.0882,0.085557,p00103
0.85961,0.0041975,p00104
1.177,0.087094,p00105
0.98947,0.11994,p00106
0.88956,0.26869,p00107
0.90751,0.23998,p00108
1.066,0.26775,p00109
0.84533,0.1592,p00110
1.1631,0.026753,p00111
1.1727,0.2447,p00112
1.1049,0.15034,p00113
1.0665,0.22335,p00114
0.83952,0.054569,p00115
1.1379,0.17017,p00116
1.1056,0.092995,p00117
1.1481,0.24227,p00118
0.97446,0.052097,p00119
0.8884,0.28853,p00120
0.84431,0.12736,p00121
1.0923,0.28923,p00122
0.95567,0.14369,p00123
0.91251,0.13651,p00124
1.0776,0.17964,p00125
1.0812,0.21453,p00126
1.0844,0.18527,p00127
1.024,0.26258,p00128
0.89563,0.29456,p00129
1.0122,0.097841,p00130
1.1204,0.14146,p00131
0.94419,0.22435,p00132
1.0002,0.25036,p00133
1.1332,0.26235,p00134
1.1788,0.23937,p00135
0.81389,0.094477,p00136
1.1372,0.044996,p00137
0.92311,0.25825,p00138
0.87842,0.28227,p00139
1.042,0.081597,p00140
0.96469,0.10297,p00141
1.0253,0.0083946,p00142
0.89058,0.020162,p00143
0.87731,0.23024,p00144
0.99412,0.17492,p00145
1.0999,0.16243,p00146
0.97087,0.18013,p00147
1.1261,0.02941,p00148
0.80962,0.13694,p00149
1.1833,0.1839,p00150
1.0249,0.024391,p00151
0.84386,0.072629,p00152
0.86698,0.105,p00153
0.93616,0.12043,p00154
0.86862,0.23171,p00155
0.89389,0.20878,p00156
1.1904,0.24304,p00157
1.099,0.021606,p00158
1.1111,0.075094,p00159
0.95251,0.10858,p00160
1.0303,0.0458,p00161
1.0162,0.092146,p00162
1.0281,0.1354,p00163
1.0534,0.035385,p00164
1.0496,0.041127,p00165
0.88813,0.21505,p00166
0.97913,0.15813,p00167
0.85166,0.21345,p00168
1.197,0.043896,p00169
0.81474,0.079342,p00170
1.158,0.089471,p00171
0.84043,0.11915,p00172
1.1063,0.11883,p00173
1.1418,0.13553,p00174
0.9635,0.11806,p00175
0.87018,0.21447,p00176
0.93157,0.010936,p00177
1.0961,0.078687,p00178
0.86875,0.26087,p00179
0.9574,0.16084,p00180
1.1304,0.27309,p00181
1.0883,0.19105,p00182
1.1713,0.066294,p00183
0.82507,0.075286,p00184
1.196,0.041293,p00185
0.88683,0.26459,p00186
0.92704,0.12922,p00187
1.1166,0.12572,p00188
1.115,0.22721,p00189
0.89313,0.081375,p00190
1.0715,0.21033,p00191
1.1529,0.079433,p00192
0.83031,0.19317,p00193
1.1825,0.017332,p00194
0.83269,0.12865,p00195
1.0548,0.14333,p00196
1.1819,0.22657,p00197
0.93327,0.2281,p00198
1.0419,0.076637,p00199
0.84013,0.11451,p00200
1.0048,0.043933,p00201
0.82858,0.27407,p00202
1.1436,0.26469,p00203
0.99378,0.19208,p00204
0.91274,0.02863,p00205
0.94676,0.065894,p00206
1.0449,0.21553,p00207
1.1756,0.025774,p00208
1.1834,0.068446,p00209
1.0754,0.041939,p00210
1.1224,0.22844,p00211
1.1835,0.21726,p00212
1.0585,0.14842,p00213
1.0516,0.039983,p00214
0.89365,0.11983,p00215
0.92827,0.053207,p00216
1.053,0.052257,p00217
1.1456,0.14647,p00218
1.1495,0.26992,p00219
1.1238,0.26286,p00220
0.99695,0.26841,p00221
0.85696,0.078819,p00222
0.86369,0.19327,p00223
0.8617,0.17138,p00224
1.067,0.085727,p00225
1.012,0.098276,p00226
1.1993,0.10525,p00227
1.1739,0.23433,p00228
1.009,0.035705,p00229
1.0977,0.20134,p00230
1.0071,0.25694,p00231
0.83246,0.12365,p00232
0.84159,0.096194,p00233
0.96791,0.28124,p00234
1.0669,0.1566,p00235
1.0731,0.039281,p00236
1.0596,0.041829,p00237
0.91757,0.004871,p00238
1.1591,0.20534,p00239
1.1112,0.013434,p00240
0.89726,0.14207,p00241
1.1067,0.097122,p00242
1.1291,0.15675,p00243
1.0951,0.13162,p00244
0.9514,0.053448,p00245
1.02,0.29157,p00246
0.9499,0.064247,p00247
1.121,0.0064561,p00248
0.9542,0.0636,p00249
0.8582,0.14007,p00250
1.1904,0.036867,p00251
1.1566,0.166,p00252
1.0875,0.28557,p00253
0.8446,0.049917,p00254
1.1493,0.10431,p00255
0.87779,0.018436,p00256
0.88642,0.065717,p00257
0.88216,0.095696,p00258
1.044,0.075225,p00259
1.165,0.037284,p00260
0.99273,0.16585,p00261
0.986,0.22489,p00262
0.92682,0.26541,p00263
0.9848,0.031257,p00264
0.95079,0.018581,p00265
1.1688,0.13348,p00266
0.9981,0.16218,p00267
1.0273,0.29817,p00268
0.9029,0.013447,p00269
1.1984,0.077267,p00270
1.0111,0.12235,p00271
1.091,0.28647,p00272
1.1218,0.13482,p00273
1.1131,0.28736,p00274
1.0091,0.010776,p00275
0.97111,0.015936,p00276
0.80443,0.012616,p00277
1.1039,0.24496,p00278
0.96854,0.25748,p00279
0.84361,0.2857,p00280
1.152,0.094567,p00281
0.93537,0.05416,p00282
0.85465,0.2306,p00283
0.81331,0.074314,p00284
0.81712,0.072871,p00285
0.80258,0.14505,p00286
1.0342,0.21803,p00287
