datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
0	1.6563202	0	-2.8290276	94.054604	4.0069078	215.39246	0
1	1.8580204	0	-2.0572293	65.939316	4.5409669	243.10881	5.6771455e-05
2	2.2488931	0	-4.4100405	67.656013	3.7391827	218.17686	8.940383e-05
3	2.1446976	0	-5.4668024	86.451657	3.3285757	211.82088	0
4	2.9765044	0	-2.1961809	81.811756	4.4546477	231.43057	0
5	3.4526718	0	1.3833092	69.241968	6.0075598	282.33872	0
6	2.977076	0	0.43611674	30.277887	5.6654294	266.22126	0.00014209061
7	1.980387	0	-3.1913288	84.281524	4.2044557	244.73959	4.1628437e-05
8	1.6239802	0	0.80355502	64.321965	6.048369	300.39224	7.3188809e-05
9	-1.0700077	0	-2.0270744	57.345423	4.8844678	308.47363	0.00053763261
10	-1.0629779	0	-3.6973819	74.544904	4.3085935	283.72436	0.0001201027
11	0.96823667	0	-2.7608158	64.94898	4.7239797	298.12886	0.00039566462
12	1.0177378	0	-7.1757004	91.773741	3.1871274	202.84125	0
13	0.69411646	0	-8.9738373	98.058347	2.7759203	207.98639	0
14	1.504153	0	-2.6228894	66.626486	4.6319127	277.29663	4.9883869e-05
15	2.004741	0	-3.5734677	101.43057	3.9975492	221.86174	0.00012462141
16	2.2930088	0	-7.5458734	62.525325	2.7938369	207.38975	8.7809768e-05
17	-0.16675576	0	-9.8670117	96.912001	2.3951701	215.05411	0.00030018382
18	2.0220251	0	-10.621332	104.91029	2.2239858	179.58131	0
19	2.1208641	0	-5.2713369	110.77583	3.5859146	204.66725	0
20	1.4934649	0	-7.1231168	106.96043	3.0088606	194.28981	0
21	1.5211694	0	-6.7910242	105.7995	3.270378	216.43983	0
22	1.6239008	0	-3.5541945	75.88959	4.3068421	288.03145	0.00020022152
23	2.2302997	0	-5.150932	112.13793	3.5612292	201.34438	0
24	2.8565422	0	-2.7776895	103.67842	4.3035255	227.65612	0
