Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       4.00000       4.00000       4.00000      0.468599E-01  0.165881E-02  0.120960E-02  -172.815      -59.2299      -38.9327       115.728       0.00000      -331.190       28.6400      0.500000       5.00000       4.00000      -0.00000       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       3.95899       3.95899       3.95899      0.757044E-01  0.268010E-02   0.00000      -278.294      -79.3458      -47.8135       143.401       0.00000      -330.994       28.6400      0.500000       5.00000       4.00000     -0.895616E-02   0.00000       0.00000       0.00000       0.00000    
        2   2.00000       3.85633       3.86210       3.95899      0.402997E-01  0.142698E-02   0.00000      -281.051      -79.0028      -48.2969       139.815       0.00000      -330.504       25.4213      0.500000       5.00000       4.00000     -0.895616E-02   0.00000       0.00000       0.00000       0.00000    
        3   3.00000       3.72822       3.76066       3.95899      0.422671E-01  0.149701E-02   0.00000      -269.881      -71.5894      -46.3200       149.048       0.00000      -329.893       20.5882      0.500000       5.00000       4.00000     -0.895616E-02   0.00000       0.00000       0.00000       0.00000    
        4   4.00000       3.59632       3.67387       3.95899      0.360768E-01  0.127808E-02   0.00000      -235.247      -57.4715      -42.4910       148.072       0.00000      -329.265       16.3916      0.500000       5.00000       4.00000     -0.895616E-02   0.00000       0.00000       0.00000       0.00000    
        5   5.00000       3.47403       3.61126       3.95899      0.609370E-01  0.215930E-02   0.00000      -259.535      -66.7354      -43.9247       148.367       0.00000      -328.683       12.4320      0.500000       5.00000       4.00000     -0.895616E-02   0.00000       0.00000       0.00000       0.00000    
        6   6.00000       3.33580       3.53141       3.95899      0.909798E-01  0.322472E-02   0.00000      -272.156      -74.3117      -45.5542       151.501       0.00000      -328.027       10.6611      0.500000       5.00000       4.00000     -0.895616E-02   0.00000       0.00000       0.00000       0.00000    
        7   7.00000       3.20210       3.44475       3.95899      0.110420      0.391475E-02   0.00000      -273.658      -80.9895      -51.5229       156.950       0.00000      -327.393       10.2770      0.500000       5.00000       4.00000     -0.895616E-02   0.00000       0.00000       0.00000       0.00000    
        8   8.00000       3.10061       3.36092       3.91734      0.328545E-01  0.116503E-02   0.00000      -213.164      -57.5022      -37.7721       155.109       0.00000      -326.912       10.4685      0.502328       5.00000       4.00000     -0.180525E-01   0.00000       0.00000       0.00000       0.00000    
        9   9.00000       2.94352       3.31923       3.91734      0.136196E-01  0.483101E-03   0.00000      -159.391      -43.2829      -28.8199       120.609       0.00000      -326.169       6.63520      0.502143       5.00000       4.00000     -0.180525E-01   0.00000       0.00000       0.00000       0.00000    
       10   10.0000       2.70324       3.29138       3.91734      0.565949E-01  0.200840E-02   0.00000      -204.387      -44.0750      -29.2855       148.577       0.00000      -325.035       1.00958      0.502122       5.00000       4.00000     -0.180525E-01   0.00000       0.00000       0.00000       0.00000    
       11   11.0000       2.77604       3.25130       3.79184      0.464024E-01  0.164647E-02   0.00000      -204.665      -47.2825      -32.0757       159.958       0.00000      -325.379       1.96472      0.502325       5.00000       4.00000     -0.454614E-01   0.00000       0.00000       0.00000       0.00000    
