wind_speed,fetch_lk,c_relax_C,par_id
0.98219,69727,0.011187,p00001
0.85132,68862,0.08267,p00002
0.82855,54801,0.098692,p00003
0.85284,55721,0.049576,p00004
0.8009,68876,0.023245,p00005
1.1291,63667,0.043496,p00006
1.1652,64080,0.028127,p00007
1.0669,53896,0.063161,p00008
1.1173,58749,0.0094699,p00009
1.1957,60559,0.016324,p00010
0.85998,74380,0.059148,p00011
0.95175,62876,0.0011809,p00012
1.1516,69457,0.090325,p00013
1.0087,68011,0.029282,p00014
0.97027,52206,0.095229,p00015
1.1482,60500,0.022767,p00016
1.0994,54807,0.040928,p00017
0.99456,57008,0.0050257,p00018
1.156,74173,0.025177,p00019
1.0084,57486,0.0079405,p00020
0.86977,67358,0.076435,p00021
1.1342,74268,0.042706,p00022
1.1262,61000,0.017746,p00023
1.0549,55979,0.024135,p00024
0.97951,55065,0.078142,p00025
0.80044,64495,0.084491,p00026
0.98497,52600,0.027869,p00027
1.0486,66248,0.087936,p00028
1.0094,62484,0.074567,p00029
0.93075,64008,0.054856,p00030
0.94682,57351,0.0038077,p00031
1.0249,51443,0.010349,p00032
1.1874,53433,0.030683,p00033
0.92793,51624,0.0092693,p00034
0.93437,51831,0.070399,p00035
1.0498,58665,0.024586,p00036
1.0463,57858,0.049854,p00037
0.86159,57619,0.0035689,p00038
0.88364,60584,0.024043,p00039
0.97249,51609,0.042874,p00040
0.97482,72893,0.024927,p00041
0.99792,54036,0.093937,p00042
1.1949,68911,0.021884,p00043
0.84451,66273,0.052793,p00044
0.82702,53906,0.022646,p00045
1.0239,73239,0.080649,p00046
1.1329,58412,0.053551,p00047
1.155,51478,0.016919,p00048
0.88867,63485,0.06117,p00049
0.8188,72497,0.012045,p00050
1.013,63917,0.030309,p00051
0.87233,52514,0.098133,p00052
0.8552,62508,0.044524,p00053
1.1012,67096,0.01164,p00054
0.93178,58510,0.052999,p00055
1.0355,64348,0.018236,p00056
0.92501,53265,0.049753,p00057
1.0317,62134,0.056728,p00058
1.0609,74808,0.047102,p00059
1.1616,58534,0.02652,p00060
0.84574,62467,0.066678,p00061
1.1633,61695,0.080565,p00062
0.86675,55036,0.026565,p00063
1.0619,70687,0.050425,p00064
1.0136,72310,0.043589,p00065
0.9309,62055,0.013681,p00066
0.93111,51955,0.093078,p00067
1.1118,71154,0.058083,p00068
1.093,74788,0.063053,p00069
1.0695,73951,0.059598,p00070
1.1888,66624,0.038124,p00071
0.82133,73566,0.008943,p00072
1.157,67736,0.06122,p00073
0.80481,54947,0.082596,p00074
0.94065,56860,0.046753,p00075
1.1081,52237,0.09011,p00076
1.035,59724,0.024415,p00077
1.1295,56397,0.020398,p00078
0.97646,61671,0.0098498,p00079
0.81743,61947,0.020965,p00080
1.1378,68654,0.053159,p00081
0.98974,58352,0.0064744,p00082
0.87477,64871,0.030821,p00083
0.8846,64551,0.040467,p00084
0.87199,64467,0.087257,p00085
0.909,68081,0.00547,p00086
0.87261,60455,0.025829,p00087
0.88119,56219,0.082696,p00088
1.0731,62196,0.050713,p00089
1.1876,66542,0.021372,p00090
1.0089,64089,0.048582,p00091
1.0525,72633,0.047867,p00092
1.027,70583,0.041764,p00093
1.1771,62169,0.082179,p00094
1.1465,61364,0.027741,p00095
1.1346,53079,0.041981,p00096
1.0286,52155,0.061647,p00097
0.91296,57381,0.073424,p00098
1.1934,71400,0.097278,p00099
0.81264,63744,0.090812,p00100
1.0638,74876,0.087053,p00101
0.98299,61591,0.044246,p00102
0.84803,53883,0.040358,p00103
0.89911,71894,0.035009,p00104
1.1305,73999,0.080391,p00105
1.0467,68375,0.05074,p00106
0.9966,54734,0.095205,p00107
0.83442,69469,0.030195,p00108
0.97236,59421,0.030439,p00109
1.0619,71674,0.010842,p00110
0.93763,53398,0.090716,p00111
0.99061,69130,0.04877,p00112
0.98226,57470,0.091519,p00113
1.0781,67307,0.075518,p00114
0.93024,61227,0.024682,p00115
1.0195,72566,0.0094989,p00116
0.81826,50627,0.042804,p00117
1.0799,68767,0.02102,p00118
1.0599,58760,0.032206,p00119
0.84467,71586,0.065068,p00120
1.1893,73858,0.049051,p00121
1.056,67029,0.055213,p00122
0.9249,65330,0.017315,p00123
1.1452,63898,0.061629,p00124
0.86761,70569,0.033726,p00125
0.82884,58363,0.010507,p00126
0.90536,74327,0.0035148,p00127
0.87435,60854,0.04595,p00128
1.1146,65004,0.047215,p00129
1.0804,68106,0.072436,p00130
1.0734,62234,0.043814,p00131
1.1455,56546,0.053931,p00132
1.0502,51085,0.027605,p00133
1.0345,56013,0.095373,p00134
1.1245,60508,0.06277,p00135
0.88543,72851,0.04518,p00136
0.86608,54018,0.024725,p00137
0.92544,52454,0.055059,p00138
0.9796,61616,0.073045,p00139
1.1847,67673,0.0043302,p00140
0.88873,64575,0.070035,p00141
0.9729,62147,0.099179,p00142
1.1207,60159,0.033969,p00143
0.9153,73699,0.010596,p00144
1.1035,65814,0.075017,p00145
0.81223,68032,0.099548,p00146
1.0716,56255,0.01633,p00147
1.0484,73345,0.083897,p00148
0.97705,59092,0.005281,p00149
0.85149,56506,0.033523,p00150
0.94539,67952,0.033866,p00151
1.067,52704,0.029138,p00152
1.0204,74604,0.0071038,p00153
0.91735,71708,0.071873,p00154
1.1023,64071,0.060253,p00155
0.81495,73133,0.025541,p00156
0.82431,55557,0.066716,p00157
0.99833,56277,0.091247,p00158
0.81328,74508,0.099206,p00159
0.99073,67986,0.040038,p00160
1.0894,56296,0.05709,p00161
1.0278,60354,0.014505,p00162
0.97624,71003,0.0036324,p00163
1.0383,51745,0.04763,p00164
0.89919,58391,0.026188,p00165
1.1785,52538,0.062264,p00166
0.97878,56963,0.06424,p00167
0.89743,53336,0.074503,p00168
0.84113,56438,0.032115,p00169
0.99919,65401,0.011209,p00170
1.1261,71571,0.0053993,p00171
0.96589,63275,0.074439,p00172
1.1883,56621,0.0085918,p00173
1.0177,55866,0.015902,p00174
0.95846,51493,0.044449,p00175
0.80896,62218,0.010753,p00176
0.90274,60702,0.060332,p00177
0.90069,57297,0.081169,p00178
0.80033,50819,0.093272,p00179
1.0771,60538,0.092453,p00180
0.81204,65775,0.05763,p00181
1.1434,62864,0.04786,p00182
1.078,52394,0.00079068,p00183
1.1504,57835,0.044753,p00184
1.1438,57570,0.011841,p00185
0.9538,60375,0.003164,p00186
1.06,57504,0.039706,p00187
0.94628,53298,0.066174,p00188
0.96461,62712,0.09232,p00189
0.86975,64247,0.098244,p00190
0.99217,68265,0.0072939,p00191
0.85539,53643,0.088252,p00192
0.89382,68110,0.085832,p00193
1.1596,58864,0.036875,p00194
0.92438,72821,0.0081385,p00195
0.88968,69110,0.088523,p00196
1.0272,72730,0.054274,p00197
1.1127,52091,0.026792,p00198
1.0022,58812,0.050447,p00199
0.88102,71272,0.0015621,p00200
1.0893,73327,0.038141,p00201
1.0423,70715,0.033471,p00202
0.83089,67996,0.03598,p00203
0.81987,61823,0.0058704,p00204
0.80284,60466,0.068615,p00205
1.1268,56720,0.0082113,p00206
0.85784,72308,0.028771,p00207
0.95062,56214,0.049955,p00208
0.977,69588,0.064739,p00209
1.123,74441,0.089057,p00210
0.98269,57229,0.060935,p00211
0.95894,71479,0.028134,p00212
1.1681,74674,0.037085,p00213
1.084,50717,0.026417,p00214
0.91719,61450,0.081005,p00215
0.93556,64169,0.073182,p00216
0.95626,56634,0.090602,p00217
0.95712,57238,0.045785,p00218
0.94446,50898,0.054751,p00219
0.93467,51560,0.015015,p00220
0.90117,66948,0.092424,p00221
1.0034,70468,0.051631,p00222
1.1083,54882,0.0034837,p00223
0.82473,65737,0.035696,p00224
1.1803,74183,0.054805,p00225
0.9196,51970,0.018734,p00226
1.1956,61804,0.014394,p00227
0.8957,68489,0.07052,p00228
1.0865,55669,0.032849,p00229
1.0744,61424,0.035094,p00230
1.1716,67391,0.0029989,p00231
0.9088,55661,0.010223,p00232
1.0846,51261,0.017396,p00233
0.84007,72989,0.034395,p00234
0.9061,63658,0.031521,p00235
0.85961,53982,0.029094,p00236
1.1566,51152,0.083471,p00237
0.82202,72439,0.013848,p00238
0.97067,53341,0.080372,p00239
1.0073,51472,0.026504,p00240
1.1008,65949,0.025583,p00241
0.8211,71727,0.018284,p00242
1.0997,54084,0.094642,p00243
0.91868,67512,0.019013,p00244
1.0913,67434,0.0031281,p00245
0.98674,68465,0.0048113,p00246
1.193,51794,0.070939,p00247
0.89761,57669,0.022367,p00248
0.93416,53060,0.022719,p00249
1.0164,66730,0.0064157,p00250
0.98309,55322,0.04422,p00251
0.88339,50141,0.079121,p00252
1.1862,72032,0.046834,p00253
1.0859,59986,0.095004,p00254
0.94286,52826,0.0040973,p00255
0.87921,55309,0.00061897,p00256
0.85615,56479,0.090439,p00257
1.0004,65985,0.011508,p00258
0.98611,62326,0.089147,p00259
0.86944,59611,0.0067623,p00260
0.88681,54213,0.010925,p00261
1.1832,52126,0.099432,p00262
1.1638,69880,0.0448,p00263
0.86935,60191,0.021107,p00264
0.99447,69810,0.013995,p00265
1.0579,63974,0.073457,p00266
0.96175,60380,0.029675,p00267
1.1115,65059,0.0060827,p00268
1.0463,67247,0.047944,p00269
1.1703,61318,0.027025,p00270
1.0187,67120,0.091673,p00271
0.82114,66088,0.080988,p00272
0.8196,66281,0.067243,p00273
1.0478,59904,0.055748,p00274
0.96074,54757,0.035814,p00275
1.1085,73866,0.051471,p00276
0.9432,64850,0.082581,p00277
0.95767,50707,0.017058,p00278
1.0279,72512,0.055243,p00279
1.0912,62349,0.032671,p00280
0.82022,60655,0.018871,p00281
1.1205,73417,0.069475,p00282
0.96642,58826,0.025015,p00283
0.84969,71897,0.059795,p00284
1.0254,53416,0.017595,p00285
1.0663,59004,0.084636,p00286
0.96416,52007,0.038189,p00287
1.0346,50569,0.035873,p00288
1.0743,52842,0.074757,p00289
1.1028,59302,0.075256,p00290
1.1935,64267,0.065887,p00291
0.98765,72298,0.00051713,p00292
0.98074,50440,0.092762,p00293
0.9814,55229,0.072598,p00294
0.90683,68833,0.045088,p00295
1.1016,70550,0.075458,p00296
0.92904,70740,0.03164,p00297
0.828,68960,0.00048428,p00298
1.1408,52568,0.06351,p00299
0.91206,71818,0.02144,p00300
1.1306,52205,0.075657,p00301
0.89161,73943,0.062072,p00302
1.1988,54542,0.090367,p00303
0.87283,69691,0.044882,p00304
1.0014,65291,0.069937,p00305
0.94363,51684,0.033267,p00306
1.0699,56446,0.0053716,p00307
0.98514,71228,0.081518,p00308
1.0282,52878,0.043517,p00309
1.1245,71391,0.029601,p00310
1.1212,66397,0.041304,p00311
0.96699,55989,0.098371,p00312
0.83469,61549,0.018218,p00313
0.89452,71133,0.069898,p00314
0.96988,73507,0.0064304,p00315
1.0199,66997,0.068711,p00316
1.163,50532,0.093642,p00317
0.9803,54070,0.057379,p00318
1.0343,63378,0.018063,p00319
1.126,69434,0.057464,p00320
1.1891,52932,0.067822,p00321
0.99647,63869,0.015779,p00322
1.0959,55474,0.073957,p00323
1.1151,59780,0.021694,p00324
1.074,56360,0.068,p00325
0.80959,61724,0.012178,p00326
1.0042,72274,0.05184,p00327
1.1362,65531,0.027585,p00328
1.1716,58271,0.090159,p00329
1.0612,67071,0.027829,p00330
1.1237,68542,0.016614,p00331
1.0795,51461,0.044423,p00332
1.1775,61813,0.027448,p00333
0.95484,53716,0.094185,p00334
1.0037,58837,0.099742,p00335
1.0238,62126,0.050787,p00336
1.1514,53975,0.053853,p00337
0.91955,68601,0.042501,p00338
1.0894,68952,0.084324,p00339
1.0338,64442,0.057841,p00340
1.1153,68676,0.016731,p00341
0.88489,55107,0.0045935,p00342
0.82558,61798,0.058617,p00343
0.85416,54673,0.059643,p00344
1.0808,62006,0.030546,p00345
1.0673,61452,0.094495,p00346
0.90763,50335,0.089003,p00347
1.029,61457,0.012086,p00348
1.1605,70907,0.037666,p00349
1.0903,60078,0.036258,p00350
0.87515,69962,0.019268,p00351
0.90841,74425,0.0097733,p00352
0.96177,65245,0.072352,p00353
1.0857,60096,0.095929,p00354
0.93053,74655,0.055278,p00355
0.99526,52005,0.0028374,p00356
0.82768,66503,0.03169,p00357
0.94328,66151,0.00050508,p00358
1.1926,56967,0.073035,p00359
1.1581,65919,0.0021963,p00360
0.92029,71849,0.053915,p00361
1.0527,62519,0.036012,p00362
0.8775,50685,0.065225,p00363
0.97757,53038,0.063936,p00364
1.0839,52198,0.055097,p00365
1.0499,55410,0.039258,p00366
1.1315,56756,0.02213,p00367
1.1316,74029,0.098923,p00368
1.0766,71736,0.028383,p00369
1.1521,72848,0.066135,p00370
1.0947,59126,0.067879,p00371
1.0624,57187,0.066273,p00372
1.0501,61583,0.034545,p00373
0.82966,60973,0.074686,p00374
0.85738,70549,0.067139,p00375
0.8522,73172,0.091494,p00376
1.1577,73712,0.035276,p00377
0.87018,64677,0.085761,p00378
0.91679,51437,0.049714,p00379
0.92565,59190,0.047297,p00380
1.0325,56744,0.00058938,p00381
1.0026,66672,0.048672,p00382
0.9804,69152,0.05152,p00383
0.86186,70418,0.045129,p00384
0.98369,70298,0.084416,p00385
0.93992,61666,0.067658,p00386
1.1368,59615,0.08645,p00387
1.1034,57038,0.068241,p00388
1.1898,50523,0.056375,p00389
1.0804,59693,0.0064093,p00390
1.051,51299,0.08707,p00391
0.99039,52156,0.086736,p00392
0.98631,71789,0.063991,p00393
1.14,55481,0.090222,p00394
0.97211,67714,0.014038,p00395
0.9905,53377,0.027656,p00396
0.80855,60763,0.019418,p00397
0.91025,73574,0.011255,p00398
0.97192,63327,0.00021585,p00399
0.95816,72270,0.069878,p00400
1.0315,65536,0.080907,p00401
0.89434,67438,0.082151,p00402
0.93634,67980,0.04579,p00403
1.1826,56599,0.006948,p00404
1.1211,74606,0.023845,p00405
0.81866,57630,0.071132,p00406
0.92585,70471,0.078554,p00407
1.1447,66911,0.055619,p00408
0.82998,70947,0.073073,p00409
1.0552,55872,0.012712,p00410
0.92007,58936,0.0777,p00411
0.90021,58462,0.012206,p00412
1.1131,71379,0.057757,p00413
0.98922,50891,0.01202,p00414
1.0103,65102,0.089698,p00415
0.90701,54462,0.099459,p00416
1.0755,64024,0.062313,p00417
1.0768,62308,0.045686,p00418
1.1232,51199,0.072236,p00419
0.98232,70167,0.051553,p00420
1.1688,66828,0.0014578,p00421
0.91049,54981,0.020572,p00422
0.81616,72091,0.042833,p00423
1.0496,54603,0.019833,p00424
1.0829,55975,0.034888,p00425
1.0355,73767,0.067001,p00426
1.1578,72608,0.0051198,p00427
1.1601,74301,0.064458,p00428
1.1299,74999,0.055825,p00429
1.136,65733,0.0098144,p00430
1.0911,65095,0.015647,p00431
0.97433,67789,0.045836,p00432
1.1458,57260,0.00040946,p00433
0.96038,73661,0.040591,p00434
0.87077,54520,0.063553,p00435
1.1159,66606,0.054322,p00436
1.0411,70202,0.023511,p00437
0.86617,59764,0.012343,p00438
1.0206,51136,0.085669,p00439
1.0299,68682,0.013627,p00440
0.96132,59380,0.070182,p00441
0.98207,67521,0.027536,p00442
0.97737,52463,0.023226,p00443
1.0623,60486,0.074593,p00444
0.9186,60241,0.01106,p00445
1.0824,63370,0.0019698,p00446
0.85067,62173,0.031904,p00447
1.0984,70601,0.010781,p00448
1.1421,67661,0.092177,p00449
1.1102,65939,0.044395,p00450
1.1587,64654,0.082415,p00451
1.139,65389,0.012818,p00452
0.95489,51919,0.073737,p00453
1.1909,61107,0.030834,p00454
0.92764,52362,0.084464,p00455
1.0196,54345,0.086041,p00456
1.0955,53465,0.066208,p00457
0.99384,51747,0.016505,p00458
0.95677,54939,0.098094,p00459
1.1867,57922,0.044659,p00460
0.84518,66064,0.034177,p00461
1.12,65757,0.063613,p00462
0.97023,56204,0.087583,p00463
0.89955,70151,0.070361,p00464
0.98525,54642,0.075704,p00465
0.99422,73404,0.022256,p00466
0.97221,67363,0.015393,p00467
0.82085,62390,0.013239,p00468
1.1055,57080,0.035121,p00469
0.85247,62353,0.031369,p00470
0.98092,70658,0.08291,p00471
0.88514,67548,0.091222,p00472
0.93205,70769,0.095633,p00473
1.0419,64536,0.079995,p00474
1.1569,61041,0.060086,p00475
1.1646,63217,0.035346,p00476
0.923,60574,0.034726,p00477
1.0504,63613,0.044102,p00478
1.008,63290,0.086661,p00479
0.97123,74648,0.048276,p00480
0.95479,65134,0.022931,p00481
1.0147,56859,0.043907,p00482
0.93659,55441,0.096977,p00483
0.94563,68941,0.089924,p00484
1.0698,57721,0.075896,p00485
1.1993,63426,0.043429,p00486
1.0973,71691,0.082452,p00487
1.1959,68715,0.096138,p00488
0.95333,66130,0.080191,p00489
0.96551,67038,0.077395,p00490
1.1829,68579,0.03892,p00491
1.0738,61986,0.057884,p00492
0.931,55318,0.072577,p00493
1.1396,61738,0.063903,p00494
1.1392,66856,0.063799,p00495
1.0644,58970,0.065294,p00496
0.82419,62052,0.046022,p00497
1.0626,61491,0.037349,p00498
1.125,65529,0.0023999,p00499
1.0138,70691,0.042457,p00500
0.88446,56936,0.064083,p00501
1.1708,54874,0.06396,p00502
0.87207,67551,0.0055341,p00503
0.92775,55772,0.0097568,p00504
1.0722,72994,0.061502,p00505
1.1496,73167,0.021346,p00506
1.1373,51658,0.087811,p00507
1.1002,55032,0.094355,p00508
1.0301,69592,0.030255,p00509
1.0402,54702,0.010061,p00510
0.84386,71370,0.040558,p00511
1.0165,52412,0.072604,p00512
1.1176,59032,0.097212,p00513
1.0753,54472,0.063967,p00514
0.81183,62975,0.055887,p00515
0.89824,74463,0.042178,p00516
1.1961,73480,0.050857,p00517
1.1979,71244,0.0022585,p00518
1.1098,57620,0.010747,p00519
0.9473,69664,0.0042079,p00520
1.1345,58196,0.057319,p00521
1.0318,73215,0.077342,p00522
0.87871,73524,0.063189,p00523
1.0594,66650,0.0753,p00524
1.1696,54610,0.081839,p00525
1.0105,71861,0.022025,p00526
0.84036,72912,0.095288,p00527
0.84495,74458,0.081294,p00528
1.0518,51602,0.0051563,p00529
1.0636,71987,0.039379,p00530
1.1791,50383,0.010619,p00531
0.80269,64610,0.011143,p00532
0.92896,55166,0.078286,p00533
0.95253,67507,0.061557,p00534
1.176,53190,0.092508,p00535
1.102,63446,0.019968,p00536
0.8579,73645,0.039872,p00537
0.86807,73258,1.9241e-05,p00538
1.1492,51514,0.014825,p00539
0.86701,71150,0.0137,p00540
0.96096,70753,0.081895,p00541
1.1631,74961,0.039794,p00542
1.1702,58024,0.076418,p00543
