Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       4.00000       4.00000       4.00000      0.482149E-01  0.170678E-02  0.129630E-02  -172.815      -59.2299      -38.9327       92.6110       0.00000      -331.190       28.6400      0.500000       5.00000       4.00000      -0.00000       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       3.94239       3.94239       3.94239      0.780360E-01  0.276273E-02   0.00000      -278.030      -79.2463      -47.7278       114.757       0.00000      -330.915       28.6400      0.500000       5.00000       4.00000     -0.125823E-01   0.00000       0.00000       0.00000       0.00000    
        2   2.00000       3.81954       3.82512       3.94239      0.414357E-01  0.146731E-02   0.00000      -280.466      -78.7823      -48.1078       111.887       0.00000      -330.329       26.0379      0.500000       5.00000       4.00000     -0.125823E-01   0.00000       0.00000       0.00000       0.00000    
        3   3.00000       3.66782       3.70404       3.94239      0.434644E-01  0.153959E-02   0.00000      -268.934      -71.2346      -46.0157       119.276       0.00000      -329.605       21.0850      0.500000       5.00000       4.00000     -0.125823E-01   0.00000       0.00000       0.00000       0.00000    
        4   4.00000       3.50562       3.59655       3.94239      0.370833E-01  0.131397E-02   0.00000      -233.864      -56.9625      -42.0486       118.494       0.00000      -328.834       16.7155      0.500000       5.00000       4.00000     -0.125823E-01   0.00000       0.00000       0.00000       0.00000    
        5   5.00000       3.34452       3.51369       3.94239      0.627156E-01  0.222288E-02   0.00000      -257.535      -65.9853      -43.2899       118.730       0.00000      -328.068       12.4326      0.500000       5.00000       4.00000     -0.125823E-01   0.00000       0.00000       0.00000       0.00000    
        6   6.00000       3.17192       3.41399       3.94239      0.949242E-01  0.336558E-02   0.00000      -271.262      -74.4563      -45.2927       121.239       0.00000      -327.250       10.6435      0.500000       5.00000       4.00000     -0.125823E-01   0.00000       0.00000       0.00000       0.00000    
        7   7.00000       3.00814       3.30624       3.94239      0.115294      0.408908E-02   0.00000      -277.011      -83.7625      -53.0212       125.599       0.00000      -326.475       10.3633      0.500000       5.00000       4.00000     -0.125823E-01   0.00000       0.00000       0.00000       0.00000    
        8   8.00000       2.87655       3.19749       3.89244      0.337447E-01  0.119711E-02   0.00000      -209.807      -56.2442      -36.7326       124.126       0.00000      -325.853       10.6412      0.502691       5.00000       4.00000     -0.234921E-01   0.00000       0.00000       0.00000       0.00000    
        9   9.00000       2.64690       3.13596       3.89244      0.139307E-01  0.494415E-03   0.00000      -155.147      -41.7183      -27.5397       96.5172       0.00000      -324.770       6.26014      0.502482       5.00000       4.00000     -0.234921E-01   0.00000       0.00000       0.00000       0.00000    
       10   10.0000       2.32212       3.09386       3.89244      0.582049E-01  0.206704E-02   0.00000      -198.950      -42.0572      -27.6592       118.899       0.00000      -323.243      0.627383      0.502461       5.00000       4.00000     -0.234921E-01   0.00000       0.00000       0.00000       0.00000    
       11   11.0000       2.37521       3.03637       3.77498      0.476879E-01  0.169338E-02   0.00000      -198.874      -45.1278      -30.3258       128.006       0.00000      -323.492       1.72841      0.502674       5.00000       4.00000     -0.491444E-01   0.00000       0.00000       0.00000       0.00000    
       12   12.0000       2.37901       2.98550       3.67406      0.496128E-01  0.176172E-02   0.00000      -131.465      -52.0915      -31.4423       86.6190       0.00000      -323.510       1.96585      0.502831       5.00000       4.00000     -0.711863E-01   0.00000       0.00000       0.00000       0.00000    
       13   13.0000       2.38789       2.95334       3.61313      0.319188E-01  0.113340E-02   0.00000      -137.952      -53.4140      -32.0035       87.8743       0.00000      -323.552       2.36337      0.503006       5.00000       4.00000     -0.844923E-01   0.00000       0.00000       0.00000       0.00000    
       14   14.0000       2.29211       2.91743       3.61313      0.584410E-01  0.207554E-02   0.00000      -149.188      -48.3190      -30.7407       111.571       0.00000      -323.102       1.68411      0.502931       5.00000       4.00000     -0.844923E-01   0.00000       0.00000       0.00000       0.00000    
       15   15.0000       2.33818       2.89046       3.53836      0.577278E-01  0.205003E-02   0.00000      -207.928      -55.7171      -35.2250       89.1878       0.00000      -323.318       2.44694      0.503159       5.00000       4.00000     -0.100823       0.00000       0.00000       0.00000       0.00000    
       16   16.0000       2.26053       2.80525       3.45763      0.129704      0.460673E-02   0.00000      -275.211      -87.2682      -54.6185       139.130       0.00000      -322.954       2.75189      0.503402       5.00000       4.00000     -0.118455       0.00000       0.00000       0.00000       0.00000    
       17   17.0000       2.23951       2.70758       3.37332      0.122727      0.435912E-02   0.00000      -193.232      -58.2464      -42.6653       128.253       0.00000      -322.855       5.20876      0.504602       5.00000       4.00000     -0.136866       0.00000       0.00000       0.00000       0.00000    
       18   18.0000       2.23460       2.66100       3.33978      0.989124E-01  0.351328E-02   0.00000      -140.471      -27.2096      -25.9830       128.756       0.00000      -322.832       6.79579      0.505857       5.00000       4.00000     -0.144192       0.00000       0.00000       0.00000       0.00000    
       19   19.0000       2.24504       2.65269       3.32386      0.968732E-01  0.344078E-02   0.00000      -144.350      -38.6166      -28.1011       102.748       0.00000      -322.881       7.28490      0.506766       5.00000       4.00000     -0.147670       0.00000       0.00000       0.00000       0.00000    
       20   20.0000       2.21665       2.62291       3.30246      0.156607      0.556272E-02   0.00000      -289.964      -108.377      -67.3739       130.342       0.00000      -322.748       7.53244      0.507678       5.00000       4.00000     -0.152343       0.00000       0.00000       0.00000       0.00000    
       21   21.0000       2.11420       2.50836       3.25661      0.132997      0.472502E-02   0.00000      -284.015      -86.9922      -55.9687       146.411       0.00000      -322.268       9.26702      0.510071       5.00000       4.00000     -0.162356       0.00000       0.00000       0.00000       0.00000    
       22   22.0000       1.99591       2.40964       3.21382      0.879209E-01  0.312430E-02   0.00000      -226.389      -52.9483      -35.0913       149.067       0.00000      -321.714       9.63535      0.511930       5.00000       4.00000     -0.171703       0.00000       0.00000       0.00000       0.00000    
       23   23.0000       1.86511       2.35422       3.21382      0.104957      0.373061E-02   0.00000      -231.466      -58.0117      -39.6330       150.950       0.00000      -321.103       8.32028      0.511144       5.00000       4.00000     -0.171703       0.00000       0.00000       0.00000       0.00000    
       24   24.0000       1.76280       2.29650       3.21382      0.113382      0.403087E-02   0.00000      -184.054      -44.7297      -35.9168       149.654       0.00000      -320.625       7.99292      0.510203       5.00000       4.00000     -0.171703       0.00000       0.00000       0.00000       0.00000    
       25   25.0000       1.73999       2.27191       3.19288      0.382404E-01  0.135955E-02   0.00000      -71.5127      -22.0327      -16.7503       115.834       0.00000      -320.519       8.12933      0.511219       5.00000       4.00000     -0.176275       0.00000       0.00000       0.00000       0.00000    
       26   26.0000       1.70366       2.30387       3.19288      0.187398E-01  0.666299E-03   0.00000      -58.8090      -15.4372      -12.7783       90.0434       0.00000      -320.350       6.05556      0.511104       5.00000       4.00000     -0.176275       0.00000       0.00000       0.00000       0.00000    
       27   27.0000       1.58539       2.32643       3.19288      0.173732E-01  0.617849E-03   0.00000      -128.101      -16.1880      -15.0189       146.952       0.00000      -319.799       2.80695      0.511080       5.00000       4.00000     -0.176275       0.00000       0.00000       0.00000       0.00000    
       28   28.0000       1.47183       2.34009       3.19288      0.111987      0.398347E-02   0.00000      -170.118      -30.4656      -29.4599       158.179       0.00000      -319.270      0.368185      0.511064       5.00000       4.00000     -0.176275       0.00000       0.00000       0.00000       0.00000    
       29   29.0000       1.69969       2.33164       3.08034      0.991026E-01  0.352364E-02   0.00000      -119.455      -23.0723      -24.9327       146.717       0.00000      -320.331       3.01665      0.511605       5.00000       4.00000     -0.200854       0.00000       0.00000       0.00000       0.00000    
