wind_speed,mixing/coef_mix_hyp,mixing/coef_mix_KH,meteorology/ch,meteorology/ce,par_id
0.93537,0.0041878,0.51835,0.0026193,0.0014483,p00001
0.83923,0.0024869,0.40029,0.0028343,0.0016066,p00002
1.1508,0.00055086,0.77493,0.0017221,0.0017515,p00003
1.0193,0.0063824,0.36258,0.0029427,0.0029296,p00004
0.98049,0.0062573,0.20558,0.0018029,0.0027209,p00005
0.83889,0.0050538,0.86071,0.0019163,0.0012822,p00006
1.1475,0.0092193,0.76586,0.0026529,0.0013062,p00007
1.0859,0.00704,0.56303,0.0014328,0.00128,p00008
0.98998,0.0025185,0.11545,0.0017271,0.0016481,p00009
0.80754,0.00056406,0.39359,0.0023529,0.0021283,p00010
1.0529,0.006126,0.13646,0.0023848,0.0010311,p00011
0.86556,0.0061613,0.14433,0.0015901,0.0012103,p00012
0.87879,0.0070271,0.55257,0.0029572,0.0024417,p00013
0.86654,0.0054432,0.26141,0.0024609,0.0021005,p00014
0.99863,0.0090872,0.1934,0.0015218,0.0012885,p00015
1.0546,0.0088144,0.41841,0.0023018,0.0016621,p00016
0.80346,0.0035208,0.66281,0.0020832,0.0016723,p00017
0.99509,0.0085175,0.59918,0.0029386,0.002977,p00018
1.1843,0.0011467,0.87646,0.0015905,0.0029963,p00019
1.0801,0.0044163,0.56498,0.0015457,0.0026502,p00020
1.1129,0.0074128,0.42008,0.0018946,0.0020517,p00021
0.86534,0.0066868,0.23059,0.0022793,0.0013916,p00022
0.89941,0.0068003,0.10537,0.0019369,0.0022737,p00023
1.0133,0.0014467,0.78991,0.0027555,0.0020237,p00024
0.82722,0.008754,0.59044,0.0017853,0.0012331,p00025
0.86346,0.0062246,0.53898,0.0027128,0.0020726,p00026
1.1991,0.0017622,0.87537,0.0012743,0.0019912,p00027
0.86738,0.0075821,0.2974,0.0024435,0.0023672,p00028
0.91331,0.0072225,0.63035,0.0024824,0.0011163,p00029
1.1958,0.0020747,0.26236,0.0017719,0.001191,p00030
1.1586,0.002807,0.60048,0.0011988,0.0017382,p00031
0.86776,0.0052599,0.30288,0.0023029,0.0026689,p00032
1.1696,0.0046592,0.59453,0.0027579,0.0028502,p00033
1.0516,0.0026578,0.81202,0.0016671,0.0012577,p00034
1.0807,0.0095215,0.10964,0.0016148,0.0028176,p00035
1.0539,0.0066728,0.50184,0.0020324,0.0018209,p00036
0.88527,0.0010814,0.40935,0.0019443,0.0010165,p00037
1.0844,0.0027448,0.3126,0.0018283,0.0012403,p00038
0.81387,0.0097502,0.13088,0.0010706,0.0017718,p00039
1.0121,0.0046612,0.38649,0.0027401,0.0025671,p00040
1.1599,3.4287e-05,0.55287,0.0028835,0.0028327,p00041
1.0618,0.0091208,0.58151,0.0012485,0.0027631,p00042
1.1019,0.003506,0.49548,0.0026352,0.0013904,p00043
1.1176,0.0040875,0.83579,0.0020409,0.0019121,p00044
0.96956,0.00035542,0.23728,0.0019178,0.0011625,p00045
0.80692,0.00098876,0.16368,0.0014947,0.0015603,p00046
0.97082,0.0040887,0.36598,0.0015618,0.0014367,p00047
1.0951,0.0055632,0.13525,0.0027159,0.0023238,p00048
1.1315,0.0049865,0.84299,0.0023954,0.0015427,p00049
0.85109,0.0021729,0.79019,0.0023999,0.0021413,p00050
1.1733,0.0010592,0.74536,0.0015333,0.0010717,p00051
0.8885,0.004619,0.27646,0.0025771,0.0020106,p00052
1.055,7.2248e-05,0.17828,0.0027725,0.0029309,p00053
1.076,0.0073132,0.30425,0.0019476,0.0023769,p00054
0.9437,0.0094236,0.48056,0.0025388,0.0018309,p00055
0.96682,0.00093631,0.29536,0.0020739,0.0025932,p00056
0.94351,0.0038503,0.51393,0.0024243,0.0016361,p00057
0.94902,0.0033392,0.83596,0.0027205,0.0016338,p00058
1.0557,0.0048312,0.12404,0.0025442,0.0024117,p00059
0.95569,0.0053609,0.18973,0.0021184,0.0011735,p00060
1.0233,0.00098803,0.56464,0.0028047,0.0018643,p00061
0.82744,0.008813,0.10837,0.0011132,0.002089,p00062
0.87921,0.002762,0.63568,0.0022546,0.0026196,p00063
0.90545,0.0044572,0.75917,0.0023344,0.0024854,p00064
0.8815,0.0044879,0.66744,0.001311,0.0018895,p00065
1.1415,0.0042322,0.5531,0.0014619,0.0018695,p00066
1.1363,0.0057178,0.62201,0.0017735,0.0014796,p00067
1.1233,0.0017082,0.59498,0.0021978,0.002979,p00068
1.111,0.0089145,0.11655,0.0020178,0.0029093,p00069
0.94792,0.0037256,0.54345,0.0029158,0.0026991,p00070
1.0457,0.0058022,0.5035,0.0021544,0.0019656,p00071
0.96329,0.0056854,0.76981,0.0025894,0.0020456,p00072
1.0211,0.0089678,0.26666,0.0013204,0.0013458,p00073
1.0598,0.0030944,0.22711,0.0013707,0.0018059,p00074
0.87808,0.0091178,0.50236,0.0028929,0.0025939,p00075
0.96826,0.0026805,0.38096,0.0027223,0.0020719,p00076
0.92564,0.00047403,0.30351,0.001939,0.0012815,p00077
0.9944,0.0077226,0.30581,0.0019014,0.0027737,p00078
0.94587,0.004946,0.74666,0.0025679,0.0010576,p00079
1.0967,0.0029013,0.54457,0.0027061,0.002073,p00080
1.1081,0.0023928,0.89809,0.0018337,0.0025243,p00081
0.97561,0.0060407,0.3861,0.0019976,0.0010759,p00082
1.1502,0.0037218,0.6002,0.0021796,0.0018376,p00083
1.1777,0.0029761,0.67925,0.0028308,0.00189,p00084
0.96898,0.0073507,0.16015,0.0016695,0.0016898,p00085
0.90833,0.0033791,0.50415,0.0018077,0.0019367,p00086
1.1518,0.0034142,0.43884,0.0024692,0.0025133,p00087
0.82665,0.004416,0.48538,0.0010777,0.0027428,p00088
0.91116,0.0047089,0.18888,0.0023201,0.0011131,p00089
1.0581,0.0089859,0.32717,0.0019333,0.0010307,p00090
1.1223,0.0064374,0.51378,0.0029412,0.0011517,p00091
0.98909,0.0049529,0.40518,0.0010155,0.0019801,p00092
0.91492,0.0081418,0.43538,0.0028951,0.0011934,p00093
1.0385,0.002722,0.78599,0.0013969,0.0023171,p00094
0.83949,0.0073156,0.10041,0.0013023,0.0017263,p00095
0.84537,0.0074157,0.20764,0.0029944,0.00126,p00096
0.82097,0.00022572,0.62748,0.0014083,0.0024493,p00097
1.1236,0.0044939,0.25183,0.0027305,0.0015196,p00098
0.8176,0.0006918,0.69807,0.0010775,0.0014019,p00099
1.1645,0.0090621,0.55729,0.0022932,0.0029979,p00100
1.0946,0.0035692,0.75036,0.002152,0.0029007,p00101
0.89635,0.0052957,0.48411,0.0010559,0.0018619,p00102
0.92757,0.0019876,0.7753,0.0010232,0.0024524,p00103
1.1436,0.0044489,0.34707,0.0010117,0.0017441,p00104
1.0376,0.0049945,0.26814,0.0018876,0.0015741,p00105
1.1237,0.0064848,0.42282,0.0016127,0.0013528,p00106
1.1185,0.0030826,0.31918,0.0016889,0.0013404,p00107
0.86699,0.0046687,0.52199,0.0012236,0.002625,p00108
1.0798,0.0055978,0.88015,0.0025157,0.0014726,p00109
1.0908,0.0074175,0.40859,0.0015781,0.0020219,p00110
1.1803,0.0052476,0.53346,0.0016604,0.0012141,p00111
1.0846,0.00027079,0.31091,0.0027193,0.0013917,p00112
1.1252,0.0024641,0.25454,0.0015244,0.0026018,p00113
0.94957,0.0041157,0.87437,0.001953,0.0014758,p00114
1.0782,0.0035164,0.89175,0.0014291,0.0022133,p00115
1.1168,0.0076359,0.67353,0.0028887,0.0019581,p00116
1.1706,0.00016171,0.30955,0.0019437,0.0027118,p00117
1.1945,0.0097479,0.35596,0.0028571,0.0019696,p00118
1.1867,0.0067598,0.30653,0.0012715,0.002289,p00119
0.94874,0.0091818,0.73469,0.0020118,0.0019616,p00120
1.1468,0.0091418,0.67919,0.0025845,0.0017527,p00121
1.0029,0.0056476,0.25844,0.0020773,0.0010598,p00122
1.0329,0.0049821,0.13486,0.0018081,0.0020228,p00123
1.1547,0.0025942,0.17197,0.0022722,0.0011793,p00124
0.96978,0.0027541,0.33671,0.0017398,0.0020874,p00125
0.80477,0.0067463,0.48548,0.0014772,0.0014696,p00126
1.0342,0.0031253,0.69481,0.001139,0.0025793,p00127
0.82444,0.0042757,0.49462,0.0024713,0.0010894,p00128
1.102,0.0029716,0.77233,0.0024704,0.0028681,p00129
1.1513,0.0013214,0.79171,0.0012404,0.0018934,p00130
1.1312,0.0058829,0.39221,0.002291,0.001569,p00131
0.92822,0.0091785,0.75923,0.0027781,0.0028493,p00132
1.1171,0.0040366,0.71594,0.0010028,0.0014094,p00133
0.90475,0.0078352,0.52416,0.001879,0.0023117,p00134
1.1479,0.0074356,0.36358,0.0029834,0.0018355,p00135
1.1561,0.00082466,0.64073,0.0015522,0.001239,p00136
1.0583,0.0056489,0.56211,0.0019728,0.0028146,p00137
0.94357,0.0055361,0.77213,0.0014717,0.0013007,p00138
1.0198,0.0075398,0.72516,0.0015279,0.0011202,p00139
1.0286,0.0080064,0.75561,0.0018186,0.0021728,p00140
1.1135,0.0028274,0.35486,0.0026987,0.0020495,p00141
0.97298,0.003077,0.30815,0.0022741,0.0012954,p00142
1.0288,0.0076577,0.48417,0.0014574,0.0027684,p00143
1.0178,0.0071577,0.36035,0.002028,0.002681,p00144
0.98185,0.008607,0.16746,0.0026205,0.0025402,p00145
0.83334,0.0089716,0.7534,0.0018043,0.0029924,p00146
1.109,0.0027758,0.66201,0.0021594,0.0024124,p00147
1.1994,0.0041537,0.24112,0.0020906,0.0022977,p00148
1.1782,0.00987,0.41366,0.0019017,0.0013149,p00149
0.98452,0.0079371,0.56348,0.0010362,0.0017671,p00150
1.0116,0.0039766,0.55087,0.0026011,0.0026146,p00151
0.98959,0.0076068,0.10242,0.0024274,0.0015264,p00152
0.92356,0.0032423,0.31079,0.0026776,0.0027585,p00153
0.98462,0.0023446,0.38522,0.0023459,0.0028032,p00154
0.87514,0.00775,0.23515,0.0022024,0.002397,p00155
1.0033,0.0068202,0.37485,0.0018438,0.0026031,p00156
0.90158,0.0051551,0.74988,0.0014039,0.0023599,p00157
0.98786,0.0023377,0.41993,0.0020478,0.0016494,p00158
0.94066,0.00074587,0.76333,0.0020138,0.0013825,p00159
1.1524,0.0098481,0.49663,0.0018605,0.0020487,p00160
0.99993,0.0091979,0.76856,0.0023685,0.002997,p00161
0.93362,0.0011446,0.28114,0.0023264,0.0029327,p00162
1.1394,0.0068789,0.81841,0.0027872,0.0015191,p00163
0.91628,0.0071137,0.41798,0.0016765,0.0028743,p00164
1.1945,0.0020872,0.88294,0.0017329,0.0023343,p00165
0.95497,0.0093358,0.84733,0.0015827,0.0015633,p00166
0.88449,0.0010128,0.83838,0.0029254,0.0013663,p00167
0.824,0.0085224,0.2175,0.0021329,0.0015768,p00168
0.97163,0.0032795,0.59464,0.0016066,0.0023574,p00169
0.90618,0.00027408,0.75022,0.0027641,0.0026632,p00170
1.1652,0.0097029,0.27523,0.0011982,0.0024907,p00171
0.98448,0.0028578,0.39028,0.0010251,0.0026006,p00172
1.0704,0.0093529,0.39454,0.0014586,0.0020749,p00173
0.92313,0.0069606,0.59729,0.0015258,0.0014574,p00174
1.0528,0.0074802,0.84371,0.0029436,0.0012272,p00175
0.82248,0.0095023,0.29912,0.0022566,0.0017823,p00176
0.99333,0.0052514,0.28739,0.0022504,0.001665,p00177
0.96491,0.0025266,0.84517,0.0017273,0.0028861,p00178
0.82369,0.005749,0.43599,0.0019246,0.0012758,p00179
0.89133,0.0060562,0.2982,0.0018851,0.0025217,p00180
1.1122,0.0093034,0.61512,0.001775,0.0014327,p00181
1.0921,0.0098363,0.26275,0.0010292,0.0023772,p00182
0.98298,0.0099715,0.13147,0.001975,0.0024464,p00183
1.0353,0.00045918,0.46186,0.0010053,0.0026411,p00184
1.1634,0.0042819,0.81482,0.0026926,0.0020049,p00185
0.94219,0.0032824,0.60392,0.0018276,0.0022429,p00186
1.1527,0.0043371,0.57019,0.002146,0.0025209,p00187
1.1603,0.0078422,0.24325,0.0024647,0.0029231,p00188
1.1667,0.0015012,0.25327,0.0021774,0.0026372,p00189
1.1922,0.0048755,0.34112,0.0015043,0.0021234,p00190
0.89867,0.0020164,0.41438,0.002464,0.0020649,p00191
1.0923,0.0024075,0.29224,0.0027613,0.0021552,p00192
0.84863,0.0014336,0.27661,0.0012291,0.0010182,p00193
1.1538,0.00094204,0.41821,0.0020701,0.0015611,p00194
1.1566,0.0029361,0.82367,0.0012747,0.0013273,p00195
1.0943,0.0077147,0.77016,0.0017906,0.0013677,p00196
1.0916,0.0024172,0.40267,0.0016397,0.0023257,p00197
0.95529,0.0045753,0.33059,0.0021434,0.0014827,p00198
1.1812,0.0029238,0.5361,0.0027895,0.0021908,p00199
0.97682,0.009883,0.8073,0.0022766,0.0015834,p00200
1.1112,0.0023428,0.40557,0.0019207,0.0012485,p00201
0.83281,5.6026e-05,0.62932,0.0026448,0.0018002,p00202
0.89213,0.0052886,0.55605,0.0017151,0.0024945,p00203
0.87646,0.0011565,0.4882,0.0027279,0.0017344,p00204
0.96805,0.0055333,0.74833,0.0013212,0.0019339,p00205
0.99696,0.00080749,0.46785,0.0019739,0.0026792,p00206
1.0056,0.0014873,0.6753,0.001947,0.0028063,p00207
0.94494,0.0086511,0.75811,0.0023087,0.0013955,p00208
0.87691,0.0048299,0.59006,0.0012527,0.001602,p00209
1.0651,0.0071993,0.40596,0.0013185,0.0025036,p00210
0.99038,0.0015276,0.1278,0.0027931,0.0029412,p00211
1.1299,0.0088469,0.16333,0.0017389,0.0016237,p00212
1.0649,0.004705,0.73899,0.0017664,0.0015461,p00213
1.1983,0.0071735,0.88433,0.0014566,0.001017,p00214
1.104,0.0004529,0.68814,0.002439,0.0020262,p00215
0.87329,0.0077578,0.7165,0.0028071,0.0028068,p00216
0.83117,0.0017152,0.88815,0.002471,0.0012046,p00217
1.0069,0.0096878,0.28689,0.0020575,0.0018243,p00218
1.0952,0.0030575,0.51727,0.0016636,0.0016937,p00219
0.8375,0.0087458,0.72948,0.0013179,0.0029477,p00220
0.99465,0.0066831,0.41684,0.0024123,0.0025221,p00221
1.1934,0.0032487,0.57424,0.0010149,0.0012719,p00222
0.83664,0.004571,0.56889,0.0019125,0.0016047,p00223
1.058,0.0051893,0.84325,0.002602,0.0010212,p00224
0.87352,0.0028364,0.48192,0.0014762,0.002062,p00225
1.0761,0.007828,0.21568,0.0025519,0.0012857,p00226
1.0235,0.0087077,0.31335,0.0016448,0.0019169,p00227
1.0101,0.0077762,0.3297,0.0010843,0.00271,p00228
0.96343,0.00014163,0.32529,0.0022352,0.0015279,p00229
0.91124,0.00092025,0.41344,0.0023075,0.0022769,p00230
0.90216,0.0048454,0.81749,0.0011732,0.0027181,p00231
1.0836,0.0089434,0.41416,0.0014647,0.0012967,p00232
0.8464,0.0001227,0.88084,0.0016799,0.0025299,p00233
0.92373,0.0099033,0.66168,0.0020709,0.001903,p00234
0.91075,0.0079231,0.69186,0.0015694,0.001542,p00235
1.073,0.0021539,0.16489,0.0013994,0.0022814,p00236
0.97923,0.0018431,0.47826,0.0024406,0.0027047,p00237
0.98285,0.0088252,0.27889,0.0015134,0.0014208,p00238
0.91423,0.0023556,0.89127,0.0012174,0.0018266,p00239
0.9224,0.0083529,0.25487,0.0023155,0.0021855,p00240
1.0497,0.0023513,0.40629,0.0026754,0.0029667,p00241
0.83076,0.0029489,0.55002,0.0012445,0.0016847,p00242
1.1536,0.0067201,0.57501,0.0024083,0.002855,p00243
0.92939,0.003039,0.3076,0.0016706,0.001004,p00244
1.1308,0.0015663,0.83636,0.0019132,0.0014523,p00245
1.0864,0.0064561,0.70454,0.0015643,0.002575,p00246
0.88682,0.0038643,0.34801,0.0018627,0.0022865,p00247
0.93774,0.0056454,0.15979,0.0021129,0.0026256,p00248
0.92143,0.0076313,0.82887,0.0025332,0.0027912,p00249
0.95459,0.0035516,0.75749,0.0024255,0.002387,p00250
1.0123,0.0051762,0.81602,0.0017258,0.0015711,p00251
1.1726,0.0034984,0.67565,0.0015626,0.0026671,p00252
1.0115,0.0056529,0.5028,0.0013071,0.0014527,p00253
1.1831,0.0094884,0.61664,0.0014598,0.0025554,p00254
0.98857,0.0063446,0.83352,0.0010746,0.0027885,p00255
1.0542,0.0052657,0.73742,0.0022542,0.0020759,p00256
1.09,0.00091587,0.3417,0.0025046,0.0029139,p00257
0.91199,0.0088116,0.19374,0.0013323,0.001969,p00258
1.1255,0.0079822,0.31856,0.0024209,0.0012452,p00259
1.139,0.0063564,0.84798,0.0024183,0.0024916,p00260
0.96884,0.0083671,0.52687,0.0022846,0.002579,p00261
0.88949,0.00094297,0.70495,0.0019985,0.0022854,p00262
1.0779,0.0051724,0.40317,0.0021527,0.002668,p00263
1.0752,0.0012263,0.80122,0.0029476,0.0022972,p00264
0.92545,0.0027381,0.78735,0.0019048,0.0018697,p00265
0.95812,0.0063796,0.16184,0.0028874,0.0024674,p00266
0.98738,0.001841,0.56626,0.0023145,0.0015693,p00267
0.85394,0.0058208,0.80062,0.0026,0.0020831,p00268
0.83531,0.0023568,0.19457,0.001474,0.0017026,p00269
0.82597,0.0012874,0.65088,0.0029184,0.0018632,p00270
1.052,0.0038621,0.76476,0.0015265,0.0018786,p00271
0.85877,0.0097664,0.65062,0.0025476,0.0021402,p00272
0.87853,0.00068285,0.30818,0.0017816,0.0023084,p00273
1.0818,0.0096509,0.42719,0.001108,0.0020586,p00274
0.80897,0.0062674,0.6202,0.0012297,0.0024623,p00275
1.052,0.001107,0.64168,0.0025356,0.0020302,p00276
0.90081,0.0059861,0.36317,0.0014934,0.0021608,p00277
0.89011,0.0042305,0.4149,0.0011647,0.0020281,p00278
0.88838,0.0026325,0.2036,0.0026941,0.0016801,p00279
1.1483,0.0017999,0.84692,0.0025134,0.0014388,p00280
0.96362,0.0045224,0.26336,0.0016331,0.0022408,p00281
0.8009,0.0036091,0.81371,0.001271,0.001718,p00282
1.0197,0.0023717,0.67061,0.0011071,0.0026571,p00283
1.0107,0.00058061,0.4733,0.0010694,0.0020918,p00284
0.84071,0.0062879,0.11579,0.0021292,0.0027469,p00285
1.1672,0.0052163,0.53943,0.0021256,0.002544,p00286
1.1391,0.0060603,0.20093,0.0026419,0.0011548,p00287
1.0655,0.0098921,0.69917,0.0028387,0.0016844,p00288
1.1684,8.3012e-06,0.24074,0.0027601,0.0013848,p00289
1.189,0.0086171,0.8279,0.0023364,0.0022847,p00290
1.0639,0.0088205,0.5064,0.0029702,0.001147,p00291
0.86436,0.0045042,0.34638,0.001683,0.0020017,p00292
0.9981,0.0065252,0.61282,0.001355,0.0018964,p00293
1.1711,0.0041609,0.6473,0.0023861,0.0029077,p00294
0.89653,0.0030697,0.72323,0.0029296,0.001597,p00295
1.0386,0.002829,0.47298,0.0010074,0.0027031,p00296
1.0719,0.0090998,0.54175,0.001243,0.0021383,p00297
0.85948,0.0067941,0.33116,0.0029379,0.0019482,p00298
1.0367,0.00062715,0.25647,0.0016103,0.0018156,p00299
1.0865,0.0070017,0.61585,0.0024514,0.0021994,p00300
0.96729,0.0052799,0.24744,0.0019657,0.0025094,p00301
1.1693,0.00052791,0.37058,0.0015819,0.002218,p00302
0.82229,0.0051075,0.2073,0.0010403,0.0012525,p00303
0.8567,0.00016496,0.61026,0.0025163,0.0025805,p00304
0.97711,0.009563,0.47649,0.0021677,0.0011839,p00305
1.0549,0.0058069,0.80926,0.0015361,0.0025614,p00306
1.0813,0.0030972,0.1881,0.0011242,0.0028,p00307
1.1156,0.00044567,0.78041,0.0016003,0.0022839,p00308
0.96125,0.0061132,0.74096,0.0018525,0.0010361,p00309
1.1115,0.0081365,0.26248,0.0021844,0.0029709,p00310
