wind_speed,mixing/coef_mix_hyp,mixing/coef_mix_KH,par_id
0.89986,0.0097362,0.24405,p00001
0.9427,0.0094339,0.30701,p00002
1.0281,0.00089728,0.10824,p00003
0.99401,0.0059914,0.71061,p00004
1.0104,0.0096238,0.55269,p00005
1.142,0.0071236,0.3926,p00006
0.9749,0.0015717,0.18288,p00007
1.1059,0.0047632,0.62366,p00008
0.95444,0.0024466,0.21396,p00009
0.93876,0.0020568,0.67918,p00010
0.9084,0.0085476,0.79279,p00011
0.86103,0.0028833,0.66148,p00012
0.82949,0.0045467,0.64332,p00013
0.8758,0.00152,0.65618,p00014
0.91929,0.0083341,0.32167,p00015
0.96321,0.0080435,0.70942,p00016
0.84784,0.00024675,0.43705,p00017
0.91606,0.0013043,0.44073,p00018
0.81029,0.0095201,0.28471,p00019
0.93692,0.0036852,0.33711,p00020
0.85517,0.0055639,0.65475,p00021
1.0585,0.001063,0.12127,p00022
1.1915,0.0015906,0.64781,p00023
0.97337,0.0099575,0.24011,p00024
0.83666,0.008678,0.73471,p00025
1.1052,0.0082868,0.36667,p00026
1.0902,0.0078991,0.52641,p00027
1.093,0.0083935,0.85154,p00028
1.1038,0.0033254,0.67678,p00029
1.0346,0.0063808,0.62909,p00030
1.0793,0.0067299,0.18542,p00031
1.0965,0.0049508,0.1817,p00032
1.1027,0.0019429,0.20353,p00033
1.0644,0.0012408,0.20855,p00034
1.1395,0.0025775,0.66235,p00035
0.96945,0.0005908,0.18087,p00036
0.91325,0.0096217,0.38993,p00037
0.97659,0.0055314,0.49859,p00038
0.86239,0.0095226,0.33984,p00039
0.81709,0.0098503,0.20462,p00040
0.94848,0.0053903,0.40453,p00041
0.88979,0.00079176,0.15691,p00042
1.1033,0.0028275,0.68896,p00043
0.82401,0.00046834,0.2467,p00044
0.88144,0.0052555,0.3795,p00045
1.1054,0.0033908,0.15612,p00046
1.0992,0.0022237,0.86717,p00047
1.081,0.0052768,0.73068,p00048
0.88592,0.0026493,0.80199,p00049
0.90704,0.0020117,0.47197,p00050
1.0066,0.0020502,0.46683,p00051
1.0428,0.0049984,0.45925,p00052
1.1558,0.0031637,0.43088,p00053
0.99459,0.0022568,0.58134,p00054
0.91591,0.0038211,0.58855,p00055
0.83561,0.0036203,0.65507,p00056
1.0771,0.0068505,0.45254,p00057
0.93491,0.0032551,0.64131,p00058
1.1213,0.0066,0.35849,p00059
0.8735,0.0065258,0.80618,p00060
0.9307,0.00011513,0.77617,p00061
0.88124,0.0023765,0.78491,p00062
1.0463,0.0034481,0.49477,p00063
0.83852,0.0083912,0.14765,p00064
1.0854,0.003668,0.75249,p00065
0.9018,0.0051276,0.78883,p00066
0.85969,0.007551,0.85562,p00067
0.92852,0.0086335,0.16594,p00068
1.1985,0.0090521,0.5381,p00069
0.95103,0.0033109,0.35811,p00070
0.9516,0.0028424,0.72218,p00071
0.82889,0.0067369,0.63645,p00072
1.1085,0.009977,0.38756,p00073
0.94481,0.0087993,0.74894,p00074
0.91353,0.0093376,0.60218,p00075
1.037,0.005579,0.46158,p00076
1.1605,0.00032603,0.80805,p00077
0.88925,0.0059465,0.49174,p00078
1.0993,0.0045485,0.79391,p00079
1.1697,0.0037468,0.76754,p00080
1.1952,0.00036316,0.88726,p00081
0.92508,0.0086736,0.23704,p00082
0.93844,0.0061155,0.14978,p00083
0.98449,0.0015589,0.16202,p00084
0.87634,0.0001572,0.279,p00085
1.0443,0.0073051,0.45907,p00086
0.81713,0.0085008,0.68288,p00087
0.91898,0.0038546,0.7575,p00088
0.84055,0.0027631,0.26834,p00089
0.94143,0.0099653,0.34874,p00090
0.9676,0.0075118,0.17994,p00091
0.96432,0.0098521,0.26782,p00092
1.1162,6.0019e-05,0.88492,p00093
0.86895,0.0037345,0.33899,p00094
1.1359,0.0090383,0.81192,p00095
0.96046,0.00882,0.86582,p00096
0.9638,0.00044237,0.30353,p00097
1.0028,0.0063008,0.13496,p00098
1.1006,0.0038918,0.89126,p00099
1.0226,0.0085454,0.72723,p00100
1.0386,0.0074989,0.37756,p00101
1.0563,0.0087182,0.70553,p00102
0.88075,0.0094062,0.11867,p00103
1.0736,0.0030678,0.20826,p00104
1.0482,0.0016391,0.22387,p00105
1.0047,0.0020684,0.50651,p00106
1.0472,0.0048894,0.43031,p00107
1.1774,0.00052153,0.6559,p00108
1.1314,0.0071895,0.6742,p00109
0.98382,0.003505,0.35805,p00110
0.92895,0.0035523,0.43494,p00111
0.9843,0.0030052,0.74384,p00112
0.97295,0.0050822,0.86008,p00113
1.0921,0.0018382,0.24943,p00114
0.99725,0.0023176,0.7299,p00115
1.0308,0.003355,0.73923,p00116
1.1912,0.0081991,0.6513,p00117
0.84072,0.0085727,0.72044,p00118
0.8545,0.0065165,0.19089,p00119
1.0215,0.004268,0.79146,p00120
0.97277,0.0023237,0.82778,p00121
0.80524,0.00091691,0.40732,p00122
1.1055,0.0042062,0.38072,p00123
0.90282,0.0075323,0.58149,p00124
0.92072,0.0054405,0.54408,p00125
1.063,0.0020487,0.33366,p00126
0.95051,0.00045307,0.54838,p00127
0.84063,0.0064792,0.68657,p00128
1.1647,0.0040682,0.18058,p00129
1.022,0.0038415,0.82102,p00130
0.94935,0.0028513,0.61088,p00131
1.052,9.218e-05,0.3081,p00132
0.91364,0.0035019,0.37923,p00133
1.1685,0.0087228,0.10986,p00134
1.1426,0.0099713,0.41193,p00135
1.091,0.0076697,0.83109,p00136
1.0071,0.005386,0.81911,p00137
0.84306,0.0021713,0.37583,p00138
0.84616,1.4291e-05,0.81109,p00139
1.1699,0.0017341,0.86459,p00140
1.0386,0.0070216,0.82535,p00141
1.1579,0.0014196,0.17817,p00142
1.0155,0.0035714,0.42899,p00143
1.1604,0.0072257,0.317,p00144
0.97905,0.00075293,0.34566,p00145
1.1987,0.0048958,0.43599,p00146
1.1785,0.00061688,0.42799,p00147
0.93963,0.0026271,0.87893,p00148
0.97497,0.0088808,0.80931,p00149
1.0147,0.0083183,0.16435,p00150
1.193,0.0016079,0.81378,p00151
0.89666,0.0087366,0.65678,p00152
0.94663,0.0044893,0.63317,p00153
0.81975,0.007526,0.76535,p00154
1.0612,0.00062147,0.29369,p00155
1.1862,0.0097428,0.344,p00156
0.86433,0.004026,0.77764,p00157
0.88106,0.0043432,0.33058,p00158
0.82995,0.00014073,0.80231,p00159
1.0341,0.00039394,0.49659,p00160
0.83324,0.00093479,0.86293,p00161
1.1245,0.0044422,0.25878,p00162
1.1305,0.0091733,0.21706,p00163
1.1037,0.0021093,0.75607,p00164
0.86445,0.001675,0.78206,p00165
1.1557,0.0089368,0.43616,p00166
1.0103,0.0093206,0.76043,p00167
1.1286,0.0036974,0.28087,p00168
0.92303,0.0071911,0.51205,p00169
0.8755,0.0069406,0.53804,p00170
1.0419,0.0020155,0.43327,p00171
1.1219,0.0015505,0.39238,p00172
1.121,0.0016552,0.38586,p00173
1.0315,0.0085037,0.70056,p00174
0.80921,0.00059573,0.79055,p00175
0.85307,0.0031105,0.28107,p00176
1.0906,0.0018777,0.61492,p00177
1.0545,0.0083885,0.72585,p00178
0.97723,0.0022688,0.69082,p00179
0.84505,0.0069231,0.24453,p00180
1.1681,0.0080404,0.29577,p00181
0.828,0.008027,0.11591,p00182
1.0825,0.0082822,0.22438,p00183
0.88662,0.0057276,0.63667,p00184
0.80662,0.0078895,0.54984,p00185
1.079,0.0084259,0.48947,p00186
0.89752,0.0088342,0.53706,p00187
0.81291,0.006849,0.35751,p00188
0.80062,0.00095188,0.55149,p00189
1.0536,0.0045197,0.2855,p00190
0.98836,0.0024558,0.58522,p00191
0.8046,0.0042056,0.12212,p00192
1.1525,0.0034473,0.15007,p00193
1.0942,0.0036272,0.44899,p00194
0.95454,0.0074894,0.10752,p00195
1.1333,0.0094372,0.29163,p00196
0.84434,0.0056205,0.73782,p00197
0.84963,0.0053538,0.25931,p00198
0.84388,0.0042356,0.71669,p00199
1.1556,0.005221,0.21231,p00200
0.98945,7.6899e-05,0.23193,p00201
1.0114,0.0074027,0.37904,p00202
1.1452,0.0018252,0.14223,p00203
0.98807,0.0087532,0.31327,p00204
1.1142,0.0084504,0.41063,p00205
0.82953,0.005132,0.29609,p00206
1.1467,0.0041456,0.83853,p00207
0.93419,0.0040504,0.60175,p00208
0.86241,0.0010762,0.40423,p00209
0.94365,0.0037106,0.87324,p00210
1.0178,0.0028289,0.45435,p00211
0.8842,0.0072975,0.27395,p00212
1.1319,0.0054784,0.85756,p00213
0.85152,0.0088956,0.58777,p00214
1.0091,0.00063848,0.4299,p00215
1.0786,0.00061907,0.76672,p00216
0.84375,0.0015633,0.52309,p00217
1.1803,0.00013579,0.13174,p00218
0.81595,0.0097116,0.86266,p00219
0.83873,0.0079905,0.16715,p00220
1.1762,0.0055882,0.47839,p00221
1.1206,0.0092756,0.89618,p00222
1.1874,0.0046856,0.67717,p00223
1.0284,0.0007759,0.86837,p00224
1.1636,0.0013402,0.50285,p00225
1.0834,0.0096974,0.41817,p00226
1.0962,0.00023484,0.81178,p00227
0.90487,0.0012745,0.11133,p00228
1.085,0.00093844,0.67344,p00229
0.93651,0.0052067,0.10012,p00230
0.95002,0.00852,0.64921,p00231
0.82349,0.0078016,0.45536,p00232
0.8628,0.0087125,0.81744,p00233
1.0553,0.0012313,0.81865,p00234
1.1349,0.0013744,0.67577,p00235
1.0029,0.0010676,0.81239,p00236
0.92613,0.0061896,0.15257,p00237
0.86004,0.0070525,0.62869,p00238
1.1691,0.0033016,0.73088,p00239
0.90649,0.0054661,0.88055,p00240
0.83524,0.005512,0.66983,p00241
1.1484,0.004111,0.61738,p00242
1.1808,0.0070587,0.38341,p00243
1.1169,0.0080799,0.34351,p00244
0.83054,0.0069029,0.57701,p00245
0.85196,0.0055701,0.20886,p00246
0.93309,0.0015206,0.14897,p00247
1.1473,0.0098789,0.85276,p00248
0.8831,0.0074653,0.15185,p00249
0.86169,0.0083611,0.87,p00250
1.0331,0.00033828,0.77082,p00251
0.80079,0.0052927,0.59148,p00252
1.1074,0.0054303,0.33089,p00253
0.84147,0.0066658,0.45841,p00254
0.88231,0.0025246,0.15421,p00255
0.88577,0.0096283,0.82582,p00256
1.0133,0.0055732,0.32635,p00257
1.1547,0.0010928,0.33256,p00258
1.1733,0.006073,0.53041,p00259
1.1527,0.0062662,0.14656,p00260
1.1004,0.0033924,0.5318,p00261
0.84334,0.0011628,0.10423,p00262
1.0138,0.0021294,0.18377,p00263
1.1296,0.0083944,0.80421,p00264
1.0323,0.0079663,0.84081,p00265
0.9655,0.0014006,0.31812,p00266
1.135,0.00071876,0.51905,p00267
1.0128,0.0077697,0.34114,p00268
