wind_speed,mixing/coef_mix_hyp,mixing/coef_mix_KH,mixing/coef_wind_stir,mixing/coef_mix_shear,meteorology/cd,par_id
0.87028,0.0091108,0.2332,0.39412,0.29252,0.0014576,p0001
0.8377,0.00078241,0.40583,0.69548,0.2795,0.00019998,p0002
1.0517,0.0002416,0.40172,0.79956,0.44737,0.0015925,p0003
1.0248,0.0041679,0.8315,0.71286,0.83287,0.00057559,p0004
1.1402,0.00066641,0.28014,0.13227,0.78705,0.00042951,p0005
0.80257,0.0081927,0.21831,0.29817,0.17922,0.0005088,p0006
1.1319,0.0044497,0.17336,0.31967,0.51321,0.00018249,p0007
0.8103,0.00053225,0.20308,0.54875,0.28894,0.0016605,p0008
1.0406,0.0019004,0.55654,0.26668,0.28091,0.0013464,p0009
1.0094,0.0024776,0.57632,0.64096,0.13498,0.0014822,p0010
1.1678,0.0083491,0.78274,0.45883,0.27247,0.00095696,p0011
0.96945,0.0094552,0.35207,0.25635,0.57973,0.0014239,p0012
1.1885,0.0033802,0.77971,0.17043,0.49509,0.00012735,p0013
1.0432,0.0081513,0.7531,0.80247,0.84973,0.0017144,p0014
0.89713,0.0060153,0.22378,0.63178,0.45953,0.0015121,p0015
1.0687,0.0021927,0.69165,0.41086,0.65816,0.0011988,p0016
1.1463,0.0054648,0.4805,0.80018,0.70856,0.0018583,p0017
1.1451,0.0075206,0.16973,0.19606,0.76124,0.00094209,p0018
1.1378,0.0037121,0.24069,0.27614,0.52751,0.00011024,p0019
0.87743,0.0034588,0.42099,0.80525,0.73444,0.0011858,p0020
1.1991,0.0038369,0.45129,0.51939,0.7386,0.0012912,p0021
1.1133,0.009046,0.52112,0.2528,0.51547,0.00053349,p0022
0.85334,0.00259,0.49448,0.56671,0.52954,0.00041884,p0023
1.1483,0.0060419,0.24539,0.43181,0.39378,0.0010504,p0024
1.1531,0.00013684,0.20358,0.68381,0.40882,0.0018535,p0025
0.92909,0.0081067,0.83291,0.7303,0.63692,0.00065292,p0026
0.82441,0.0032644,0.84549,0.38477,0.14389,0.00088231,p0027
1.1166,0.0030411,0.22103,0.6943,0.80035,0.0019136,p0028
0.84267,0.0075154,0.87534,0.63519,0.30454,0.00083875,p0029
0.99884,0.0093281,0.52518,0.87037,0.71486,0.00046743,p0030
1.0005,0.00091469,0.13693,0.19468,0.48209,0.0010215,p0031
1.0166,0.00048507,0.57793,0.2174,0.80782,0.0017836,p0032
1.0636,0.0013587,0.78976,0.89879,0.67878,0.00053577,p0033
0.83662,0.006227,0.82183,0.41329,0.1716,0.0015335,p0034
1.0479,0.009253,0.86668,0.51877,0.46434,0.0018406,p0035
0.86756,0.0066315,0.62147,0.28833,0.33984,0.0012151,p0036
0.95603,0.0079328,0.33968,0.84788,0.302,0.0014983,p0037
0.88866,0.00080945,0.54751,0.10741,0.23968,0.0012733,p0038
1.1669,0.0027984,0.34091,0.65037,0.58672,0.0017096,p0039
1.0645,0.009871,0.6104,0.55172,0.42783,0.00072505,p0040
0.833,0.0011095,0.14642,0.83454,0.41697,0.0010494,p0041
0.97684,0.0092016,0.35052,0.33389,0.66905,0.001562,p0042
1.1584,0.0031549,0.77279,0.60848,0.11341,0.0010133,p0043
0.93898,0.0021516,0.58553,0.84695,0.74607,0.0012887,p0044
1.0262,0.0011225,0.85559,0.24524,0.25706,0.00048379,p0045
0.8041,0.00052758,0.88017,0.49807,0.76071,0.00036933,p0046
1.0115,0.0048954,0.69645,0.80402,0.43156,0.001124,p0047
1.019,0.007379,0.5755,0.22032,0.66538,0.0012867,p0048
0.8761,0.00072644,0.24899,0.75535,0.40338,0.00072541,p0049
0.82226,0.0027899,0.87136,0.44251,0.56294,0.0012691,p0050
1.0383,0.0082342,0.28773,0.33748,0.57266,0.0010859,p0051
0.95248,0.0052782,0.26271,0.6088,0.61982,0.0018396,p0052
0.95354,0.0066142,0.55759,0.56843,0.42267,0.0009652,p0053
1.1789,0.0036238,0.19053,0.11634,0.12564,0.0002074,p0054
1.1627,0.0085271,0.74381,0.42045,0.27746,0.00038992,p0055
0.88182,0.0042964,0.45803,0.36162,0.84568,0.00038835,p0056
0.85866,0.0089299,0.38545,0.49282,0.32438,0.0012841,p0057
0.88609,0.00077441,0.6463,0.59316,0.82023,0.0018959,p0058
1.1978,0.0011768,0.54908,0.54031,0.56013,0.00041707,p0059
0.87324,0.00075579,0.48631,0.20696,0.7416,0.0016261,p0060
1.127,0.0096481,0.26958,0.19741,0.70486,0.0002244,p0061
1.1795,0.0033771,0.72802,0.25695,0.23417,0.0015187,p0062
0.82484,0.0021136,0.58179,0.57534,0.19194,0.00030974,p0063
0.97965,0.0065313,0.53894,0.49578,0.33508,0.0012409,p0064
0.84568,0.0036682,0.77459,0.4672,0.86775,0.0011783,p0065
0.87484,0.0077279,0.52375,0.59033,0.14022,0.001974,p0066
0.87315,0.004843,0.71618,0.13112,0.62655,0.0015766,p0067
0.99988,0.0074223,0.78906,0.77302,0.69119,0.0019981,p0068
1.149,0.0072396,0.87211,0.33955,0.85576,0.00061832,p0069
1.0149,0.0088418,0.50543,0.51442,0.34808,0.001941,p0070
1.0761,0.0081756,0.29586,0.28684,0.23494,0.00010768,p0071
1.1808,0.00049802,0.73981,0.7479,0.545,0.00052585,p0072
0.9325,0.008312,0.44818,0.3869,0.62828,0.0017747,p0073
1.0185,0.0025429,0.25933,0.22945,0.15036,0.0015652,p0074
0.82629,0.0070951,0.55296,0.47073,0.8863,0.00023038,p0075
1.0726,0.004482,0.13368,0.67557,0.64991,0.0016316,p0076
0.95889,0.00022472,0.55023,0.7977,0.65987,0.0015292,p0077
0.88466,0.0046108,0.77179,0.8139,0.7945,0.00081092,p0078
1.0768,0.0093414,0.33381,0.32843,0.89316,0.00081823,p0079
1.0674,0.0023221,0.35029,0.63252,0.45881,0.00070102,p0080
1.0805,0.0065267,0.46995,0.12745,0.67639,0.0018075,p0081
0.92995,0.00023222,0.60635,0.83042,0.14729,0.0015314,p0082
0.87136,0.0052059,0.78161,0.83709,0.76169,0.0016063,p0083
0.88388,0.0072193,0.63541,0.84195,0.66743,0.0014738,p0084
1.0014,0.00065397,0.60145,0.40508,0.54103,0.0019456,p0085
1.1399,0.0071353,0.47088,0.78519,0.50122,0.0014543,p0086
1.1995,0.0047417,0.50738,0.5231,0.12724,0.00066043,p0087
0.94214,0.0030891,0.49976,0.81082,0.5462,0.00036672,p0088
0.91818,0.00046443,0.1141,0.26879,0.56512,0.0011716,p0089
1.0559,0.0019753,0.68039,0.32923,0.72952,0.001831,p0090
1.0522,0.00027007,0.47435,0.78688,0.73675,0.0018753,p0091
0.91866,0.0041258,0.5043,0.69798,0.73806,0.001203,p0092
0.82174,0.00056807,0.89789,0.66495,0.10816,0.0016911,p0093
1.0564,0.0073339,0.28545,0.83008,0.40306,0.0019471,p0094
1.0241,0.0050317,0.82273,0.79382,0.45316,0.00030658,p0095
0.98472,0.0053855,0.13875,0.15922,0.17503,0.0012073,p0096
1.1436,0.0069916,0.32393,0.40367,0.70393,0.0011798,p0097
1.0228,0.0042628,0.25272,0.13772,0.48784,0.00091696,p0098
1.1651,0.0069219,0.63353,0.22106,0.31101,0.0001956,p0099
1.0357,0.0040499,0.67549,0.89372,0.16402,0.00053065,p0100
1.0694,0.007796,0.40085,0.70679,0.32633,0.00035326,p0101
0.88987,0.0018185,0.82065,0.86509,0.87074,0.0014149,p0102
0.9881,0.0060866,0.74705,0.12057,0.60222,0.00077289,p0103
1.1617,0.00081828,0.7487,0.28532,0.66169,0.0014024,p0104
1.0587,0.0051598,0.55515,0.68681,0.74096,0.00058855,p0105
0.94122,0.0027531,0.88332,0.21976,0.39503,0.0016413,p0106
1.1375,0.0098453,0.31861,0.30509,0.15901,0.00044011,p0107
0.99581,0.0045679,0.17399,0.58427,0.10291,0.0018085,p0108
0.85838,0.0010758,0.75835,0.60532,0.75203,0.0014964,p0109
1.0049,0.0061644,0.80645,0.21292,0.84081,0.0019703,p0110
1.1621,0.006232,0.5602,0.34661,0.6068,0.00095221,p0111
0.9679,0.0076993,0.53351,0.50674,0.16047,0.00065026,p0112
1.1706,0.0013379,0.88154,0.49025,0.76408,0.00059449,p0113
1.1503,0.0024133,0.62976,0.52674,0.79143,0.00091884,p0114
1.176,0.0049983,0.8478,0.89221,0.55605,0.00051138,p0115
0.9303,0.00034632,0.40414,0.60294,0.20189,0.0016137,p0116
1.1409,0.0092631,0.65864,0.28892,0.72167,0.00074686,p0117
1.0802,0.0086478,0.39163,0.22282,0.59982,0.0016235,p0118
1.0666,0.0096253,0.14627,0.44884,0.77855,0.0010907,p0119
1.1687,0.0050709,0.66599,0.18473,0.30891,0.0014674,p0120
0.95573,0.0069016,0.89381,0.44399,0.53045,0.00084539,p0121
1.1218,0.0053984,0.4789,0.88484,0.24698,0.0019677,p0122
0.82701,0.0071673,0.25011,0.88953,0.35489,0.00031654,p0123
0.92149,0.0095833,0.87877,0.5208,0.5075,0.00089332,p0124
0.90848,0.0094019,0.87505,0.4966,0.36188,0.0014633,p0125
0.93218,0.0024402,0.66549,0.80224,0.76483,0.0006329,p0126
1.0143,0.0051167,0.80254,0.60143,0.50625,0.00073723,p0127
0.96998,0.0018707,0.46147,0.27145,0.352,0.0012658,p0128
0.86605,0.002349,0.38223,0.12536,0.22077,0.00024296,p0129
1.066,0.0073006,0.2288,0.74847,0.3103,0.0019857,p0130
1.0782,0.0080512,0.39406,0.39538,0.37894,0.00097494,p0131
0.9282,0.0017799,0.7508,0.1922,0.31416,0.0017957,p0132
1.1863,0.0082494,0.79198,0.18106,0.52193,0.0018014,p0133
0.80644,0.0094478,0.82712,0.65492,0.58805,0.0019652,p0134
1.0216,0.0082033,0.31839,0.12388,0.22703,0.0012375,p0135
0.94175,0.0064791,0.79411,0.70871,0.44823,0.00026327,p0136
1.0339,0.0073187,0.23943,0.6615,0.30068,0.00080173,p0137
0.82902,0.0064325,0.75579,0.43539,0.47574,0.00013355,p0138
0.9469,0.00089491,0.21191,0.36472,0.27288,0.00044827,p0139
0.91986,0.0065616,0.44279,0.63774,0.24997,0.00082293,p0140
1.1898,0.0067724,0.59667,0.43113,0.13829,0.001957,p0141
1.0818,0.0091262,0.25724,0.34535,0.34058,0.0018227,p0142
1.1062,0.0030024,0.2271,0.81894,0.47032,0.0019031,p0143
0.97306,0.0098528,0.48199,0.38254,0.21689,0.00049916,p0144
0.95517,0.0015082,0.46615,0.44513,0.80362,0.0012273,p0145
0.9378,0.007742,0.8008,0.19925,0.39565,0.0017173,p0146
0.92269,0.0040021,0.47665,0.46625,0.1933,0.00079679,p0147
1.1258,0.0068504,0.86139,0.29248,0.77677,0.0014343,p0148
0.98927,0.0058968,0.2276,0.10579,0.3222,0.0013632,p0149
1.1799,0.0039105,0.58028,0.16765,0.83829,0.0010276,p0150
1.0378,0.00088198,0.1182,0.59278,0.57048,0.0015255,p0151
0.96191,0.005656,0.34839,0.37017,0.63278,0.0017256,p0152
0.99324,0.0040887,0.75147,0.30926,0.36414,0.0010546,p0153
0.95674,0.0079914,0.50314,0.81202,0.52027,0.0016479,p0154
0.83062,0.0048379,0.68987,0.82822,0.10086,0.0011836,p0155
0.97736,3.9764e-05,0.33318,0.3248,0.53748,0.00015195,p0156
0.83257,0.0043702,0.81581,0.88232,0.16801,0.0013009,p0157
1.1514,0.0042173,0.43752,0.89972,0.35601,0.00041372,p0158
1.0333,0.0016768,0.74012,0.76579,0.63018,0.0013616,p0159
1.0883,0.0080391,0.4334,0.73487,0.29919,0.0014469,p0160
1.186,0.009398,0.44089,0.58563,0.46203,0.0010895,p0161
1.0786,0.007288,0.82829,0.24041,0.72022,0.0010166,p0162
1.1597,0.0025345,0.82798,0.31299,0.77965,0.0013565,p0163
0.8949,0.0052415,0.46934,0.50384,0.41141,0.00024483,p0164
0.86914,0.0036481,0.40553,0.13538,0.4884,0.0017582,p0165
1.1173,0.001453,0.68121,0.14927,0.12323,0.0013403,p0166
0.86349,0.0020481,0.59898,0.34281,0.72827,0.0010438,p0167
1.1071,0.0038631,0.16739,0.61187,0.73425,0.000421,p0168
0.89824,0.0094129,0.5905,0.66917,0.46659,0.0013124,p0169
1.0945,0.0013891,0.47751,0.8543,0.25457,0.00029987,p0170
1.071,0.0046224,0.55423,0.6935,0.439,0.00080424,p0171
1.1122,0.0044638,0.19956,0.47839,0.11838,0.00068422,p0172
0.84327,0.0018696,0.52017,0.33561,0.55254,0.0010003,p0173
0.93743,0.0087574,0.61033,0.40244,0.31912,0.00066902,p0174
1.0461,0.00045779,0.40739,0.62791,0.79669,0.0016254,p0175
1.168,0.0078176,0.35993,0.35234,0.16754,0.00062296,p0176
0.83828,0.0027742,0.66714,0.42502,0.55864,0.00069035,p0177
1.075,0.0042229,0.16031,0.67437,0.59884,0.0010053,p0178
0.91641,0.0031137,0.10902,0.54304,0.69758,0.0014792,p0179
1.0403,0.0056857,0.17688,0.84326,0.41918,0.0010464,p0180
0.97466,0.00079261,0.25462,0.71076,0.51756,0.001736,p0181
1.0938,0.0084411,0.16384,0.61991,0.75991,0.00073911,p0182
0.933,0.0053691,0.89104,0.58508,0.14083,0.00096073,p0183
0.85498,0.0084599,0.40038,0.6522,0.88243,0.0015488,p0184
1.1821,0.0062004,0.85372,0.36399,0.42542,0.00059188,p0185
0.81196,0.0090093,0.34606,0.233,0.24431,0.0015646,p0186
0.96256,0.0062642,0.74953,0.52911,0.87254,0.00069565,p0187
1.1572,0.00097069,0.15823,0.68415,0.89575,0.0016738,p0188
1.1615,0.0025703,0.6083,0.30427,0.57387,0.00106,p0189
1.0502,0.0064845,0.13544,0.8242,0.32706,0.0008243,p0190
0.94593,0.0095375,0.64,0.83634,0.84899,0.0016364,p0191
0.98598,0.0058491,0.69835,0.28778,0.7828,0.00023457,p0192
1.1554,0.002028,0.31993,0.24472,0.30251,0.0019161,p0193
1.0096,0.0061061,0.61828,0.42192,0.18777,0.0012386,p0194
0.80323,0.0048784,0.68634,0.3437,0.47955,0.0019329,p0195
0.90434,0.0035931,0.51579,0.22332,0.21541,0.0018822,p0196
1.0158,0.00016678,0.49822,0.59738,0.21474,0.00060658,p0197
1.093,0.00037645,0.80884,0.46062,0.15091,0.001735,p0198
1.073,0.0022015,0.59147,0.64652,0.55083,0.00087426,p0199
0.81128,0.0022188,0.26198,0.1363,0.56208,0.0009645,p0200
1.1854,0.0037897,0.11699,0.18225,0.15511,0.00021499,p0201
0.95471,0.0095117,0.22036,0.67937,0.75779,0.00086179,p0202
0.90555,0.0029136,0.46753,0.1712,0.76365,0.0016124,p0203
0.9611,2.6544e-05,0.42601,0.71169,0.37822,0.00099129,p0204
0.94741,0.0096194,0.74757,0.77877,0.81712,0.00021331,p0205
1.0745,0.0092919,0.62184,0.57217,0.4372,0.00058364,p0206
0.98106,0.00025257,0.15917,0.50753,0.11507,0.00041116,p0207
0.90302,0.0010283,0.59032,0.27381,0.40238,0.00094167,p0208
0.95835,0.0097952,0.50638,0.14297,0.2332,0.0001469,p0209
