wind_speed,mixing/coef_mix_hyp,mixing/coef_mix_KH,mixing/coef_wind_stir,mixing/coef_mix_shear,mixing/coef_mix_conv,mixing/coef_mix_turb,meteorology/cd,par_id
1.067,0.2169,0.24155,0.11821,0.79974,0.14146,0.38463,0.00074992,p0001
1.0203,0.77954,0.1057,0.12336,0.1895,0.52276,0.12447,0.0024254,p0002
0.89158,0.86053,0.67018,0.17699,0.75428,0.80312,0.31292,0.0015267,p0003
0.92397,0.55185,0.35925,0.16643,0.7728,0.43184,0.66921,0.00035551,p0004
1.1819,0.17608,0.40205,0.34223,0.34692,0.52567,0.12327,0.00020499,p0005
0.99706,0.14791,0.767,0.73959,0.86302,0.48721,0.86558,0.0020967,p0006
1.1202,0.44272,0.36619,0.45656,0.83997,0.3367,0.4032,0.0026853,p0007
1.1595,0.8811,0.54742,0.84769,0.51244,0.28681,0.31613,0.0021447,p0008
1.069,0.55777,0.13072,0.57986,0.74381,0.70092,0.49214,0.00082849,p0009
1.1056,0.90844,0.44363,0.71102,0.31883,0.76094,0.79712,0.0019661,p0010
0.81048,0.60394,0.81851,0.27121,0.52136,0.65069,0.74671,0.00085547,p0011
0.97173,0.91867,0.44128,0.34096,0.19484,0.19799,0.82307,0.00032808,p0012
1.0072,0.78258,0.88459,0.30455,0.62911,0.67274,0.7198,0.00081374,p0013
0.84289,0.77404,0.32221,0.65873,0.41021,0.73711,0.53327,0.0013738,p0014
1.1522,0.34727,0.41797,0.59481,0.57639,0.7503,0.113,0.00082204,p0015
0.93089,0.18789,0.89595,0.14524,0.70932,0.77269,0.58734,0.0012123,p0016
0.86755,0.40106,0.26695,0.38149,0.669,0.40929,0.61284,0.0026359,p0017
1.0976,0.11161,0.49633,0.57727,0.43986,0.14651,0.20086,0.0007293,p0018
1.023,0.038943,0.54957,0.8539,0.3214,0.65804,0.84535,0.0019372,p0019
0.91352,0.069522,0.73567,0.77085,0.75259,0.13392,0.38164,0.00037377,p0020
0.97943,0.14515,0.29943,0.80018,0.66675,0.84776,0.51275,0.00065298,p0021
0.87122,0.63331,0.82528,0.57629,0.19167,0.88337,0.66662,0.0029219,p0022
1.0961,0.65178,0.64031,0.28106,0.3752,0.26637,0.49949,0.0018958,p0023
1.0353,0.97187,0.50905,0.81966,0.55474,0.49086,0.82012,0.0013308,p0024
0.92452,0.96897,0.26268,0.34712,0.28353,0.11723,0.26489,0.00029871,p0025
1.0261,0.87293,0.3483,0.86759,0.50639,0.42446,0.67037,0.0021837,p0026
0.86617,0.48664,0.14706,0.69211,0.83329,0.434,0.35327,0.0022219,p0027
0.90961,0.070655,0.12612,0.31069,0.7331,0.37667,0.69505,0.0012415,p0028
0.89987,0.0088396,0.68106,0.49235,0.68018,0.21649,0.81104,0.0014737,p0029
0.9977,0.84987,0.20431,0.20197,0.67147,0.1034,0.43672,0.00044692,p0030
1.1637,0.69833,0.11686,0.10925,0.5171,0.68367,0.51058,0.0013697,p0031
0.84033,0.095673,0.70031,0.51075,0.61706,0.11843,0.56511,0.0015153,p0032
0.86286,0.078505,0.23241,0.8841,0.31641,0.32262,0.46394,0.00039205,p0033
0.80248,0.29606,0.25606,0.61926,0.65894,0.11141,0.36846,0.0021312,p0034
0.9127,0.5082,0.41886,0.10599,0.54153,0.30544,0.69007,0.0027631,p0035
1.073,0.3081,0.46242,0.76919,0.46097,0.31712,0.10871,0.0022095,p0036
1.0019,0.62648,0.59403,0.5544,0.2324,0.88784,0.65467,0.0017226,p0037
1.1098,0.012942,0.68467,0.48564,0.35594,0.18811,0.233,0.00018474,p0038
0.9588,0.72549,0.46799,0.53865,0.4856,0.6075,0.86703,0.0010732,p0039
0.96519,0.11892,0.76826,0.77285,0.74897,0.64302,0.77074,0.0023874,p0040
1.1551,0.097956,0.64254,0.80541,0.72505,0.22143,0.18855,0.0026548,p0041
0.82729,0.61501,0.23637,0.3083,0.42107,0.57817,0.65356,0.0027858,p0042
0.91603,0.47007,0.56803,0.3664,0.81306,0.6013,0.27631,0.00031828,p0043
1.0579,0.43783,0.51295,0.77952,0.11299,0.10619,0.7049,0.0025828,p0044
0.9495,0.19384,0.18326,0.46367,0.16985,0.38122,0.37479,0.00092292,p0045
0.8837,0.94716,0.67891,0.62325,0.76845,0.12469,0.83418,0.00061378,p0046
0.98672,0.21577,0.2392,0.2517,0.57885,0.38667,0.6996,0.0015834,p0047
0.92094,0.52432,0.69598,0.84153,0.21617,0.88422,0.32267,0.00028379,p0048
1.0484,0.92395,0.45485,0.12208,0.65583,0.35373,0.60047,0.0014038,p0049
1.0842,0.57395,0.87326,0.1842,0.39427,0.7886,0.43545,0.00077847,p0050
0.95767,0.64768,0.85019,0.12058,0.18471,0.782,0.83847,0.0017569,p0051
0.9963,0.61355,0.70392,0.10219,0.4958,0.2328,0.19086,0.0010344,p0052
1.0209,0.24489,0.61842,0.31373,0.88675,0.18298,0.48606,0.00061586,p0053
0.88611,0.168,0.37404,0.71779,0.89314,0.54491,0.88143,0.0026999,p0054
1.0289,0.2685,0.53358,0.15832,0.243,0.81216,0.79105,0.002748,p0055
