wind_speed,Phys.par/C_shelter,Phys.par/Kz_ak,Phys.par/Kz_ak_ice,par_id
1.1421,0.11908,0.22466,0.0061156,p00001
1.1158,0.19043,0.132,0.0066379,p00002
1.0383,0.12069,0.09583,0.0013726,p00003
1.146,0.10635,0.01146,0.005133,p00004
1.1473,0.12176,0.053711,0.0053285,p00005
1.1111,0.13559,0.1874,0.00055958,p00006
1.1339,0.17118,0.17733,0.0063579,p00007
0.96816,0.17779,0.15734,0.0043109,p00008
1.1544,0.11642,0.19994,0.0067627,p00009
0.84905,0.14461,0.26093,0.0020949,p00010
1.1748,0.14035,0.18398,0.0059221,p00011
0.89125,0.17244,0.18846,0.00082475,p00012
1.0613,0.16313,0.077683,0.0033193,p00013
1.0323,0.14635,0.16171,0.0079421,p00014
0.97419,0.15276,0.22051,0.00025725,p00015
0.82687,0.10987,0.036875,9.3435e-05,p00016
1.1008,0.13852,0.055225,0.0083792,p00017
1.1495,0.173,0.11092,0.0032066,p00018
0.9408,0.18607,0.25076,0.0079465,p00019
0.93966,0.18065,0.10255,0.004108,p00020
1.084,0.19219,0.056816,0.00041165,p00021
1.0494,0.16921,0.0086878,0.0057924,p00022
1.0954,0.14713,0.24203,0.0017176,p00023
0.89502,0.14944,0.2932,0.00097078,p00024
1.1281,0.12633,0.2499,0.0041112,p00025
1.0119,0.15623,0.093505,0.0089579,p00026
1.1447,0.16188,0.052953,0.0055016,p00027
1.1785,0.151,0.29303,0.0044212,p00028
1.1428,0.14224,0.0047104,0.00031263,p00029
0.98058,0.17698,0.071259,0.0022857,p00030
1.1148,0.13486,0.18231,0.0083894,p00031
0.83735,0.11942,0.038588,0.004034,p00032
0.83367,0.16328,0.053038,0.004072,p00033
1.1285,0.18763,0.016712,0.0056934,p00034
0.91747,0.1947,0.063068,0.0074949,p00035
1.1061,0.14562,0.1569,0.0031301,p00036
0.96163,0.16776,0.29067,0.0073889,p00037
1.0611,0.16613,0.14716,0.00057202,p00038
1.0021,0.10752,0.0051776,0.0038048,p00039
1.0847,0.15619,0.18882,0.0084034,p00040
1.0866,0.1544,0.28956,0.005581,p00041
1.0302,0.10434,0.2239,0.000325,p00042
0.97424,0.12681,0.049329,0.0089636,p00043
0.91864,0.15008,0.14849,0.0083782,p00044
1.0101,0.14714,0.12112,0.0045288,p00045
1.0703,0.11729,0.20921,0.0062515,p00046
1.0279,0.1005,0.11234,0.0043474,p00047
0.94829,0.1226,0.21643,0.0056415,p00048
1.0175,0.17007,0.29881,0.0043523,p00049
1.0838,0.16973,0.25516,0.0047679,p00050
0.84694,0.16184,0.22,0.0060546,p00051
0.93339,0.18898,0.18191,0.0072695,p00052
0.99984,0.13005,0.10703,0.0059649,p00053
0.97269,0.11595,0.26348,0.0018707,p00054
0.85392,0.14721,0.21848,0.0023031,p00055
0.92606,0.12632,0.30686,0.0050675,p00056
1.0069,0.17899,0.14925,0.002393,p00057
0.85502,0.19655,0.11057,0.001161,p00058
0.89871,0.13292,0.27482,0.0073142,p00059
1.0536,0.11114,0.29819,0.007543,p00060
0.97394,0.17575,0.21126,0.0073132,p00061
1.153,0.18288,0.27986,0.0017131,p00062
0.96264,0.15242,0.10218,0.0012381,p00063
0.96951,0.14708,0.092461,0.0016978,p00064
1.132,0.16442,0.1946,0.0033828,p00065
0.87838,0.1905,0.21469,0.008955,p00066
1.04,0.17825,0.23442,0.001494,p00067
0.96736,0.1626,0.17284,0.0052924,p00068
1.1846,0.18798,0.063006,0.0086695,p00069
1.1825,0.11974,0.032365,0.0013218,p00070
0.92686,0.16234,0.01708,0.0070972,p00071
1.1809,0.159,0.18085,0.0088614,p00072
0.96645,0.18867,0.28611,0.0063168,p00073
0.98597,0.15406,0.13581,0.0079196,p00074
1.1293,0.15344,0.17249,0.0005547,p00075
0.87416,0.17904,0.032253,0.00059895,p00076
1.0417,0.18423,0.16026,0.0063391,p00077
0.95354,0.17222,0.092832,0.0046894,p00078
