"",77.700
30.0000,0.0000E+000
31.0000,8.3327E+001
32.0000,8.1489E+001
33.0000,8.7132E+001
34.0000,8.6821E+001
35.0000,8.7254E+001
36.0000,8.9364E+001
37.0000,9.2853E+001
38.0000,9.2037E+001
39.0000,7.1777E+001
40.0000,8.8683E+001
41.0000,9.5757E+001
42.0000,6.4987E+001
43.0000,6.6121E+001
44.0000,8.4197E+001
45.0000,6.7501E+001
46.0000,1.0560E+002
47.0000,9.7630E+001
48.0000,9.8263E+001
49.0000,7.8627E+001
50.0000,1.0001E+002
51.0000,1.1265E+002
52.0000,1.1500E+002
53.0000,1.1676E+002
54.0000,1.1607E+002
55.0000,9.0079E+001
56.0000,7.0209E+001
57.0000,1.1489E+002
58.0000,1.2399E+002
59.0000,1.1531E+002
60.0000,1.0811E+002
61.0000,1.2521E+002
62.0000,1.1313E+002
63.0000,1.3194E+002
64.0000,1.3503E+002
65.0000,1.2165E+002
66.0000,1.3202E+002
67.0000,1.4052E+002
68.0000,1.3387E+002
69.0000,1.0626E+002
70.0000,1.3558E+002
71.0000,1.1814E+002
72.0000,1.2294E+002
73.0000,5.9052E+001
74.0000,5.1440E+001
75.0000,1.3532E+002
76.0000,1.5098E+002
77.0000,1.5833E+002
78.0000,1.5173E+002
79.0000,1.5316E+002
80.0000,1.3829E+002
81.0000,1.2942E+002
82.0000,1.5510E+002
83.0000,1.5896E+002
84.0000,1.5880E+002
85.0000,1.6129E+002
86.0000,1.5226E+002
87.0000,1.2030E+002
88.0000,1.5002E+002
89.0000,1.6639E+002
90.0000,1.3172E+002
91.0000,1.4232E+002
92.0000,1.5105E+002
93.0000,1.6517E+002
94.0000,1.4241E+002
95.0000,1.4534E+002
96.0000,1.7081E+002
97.0000,1.4096E+002
98.0000,1.5854E+002
99.0000,1.1196E+002
100.0000,1.6231E+002
101.0000,1.8231E+002
102.0000,1.5783E+002
103.0000,1.6857E+002
104.0000,1.7299E+002
105.0000,1.8034E+002
106.0000,1.6576E+002
107.0000,1.4420E+002
108.0000,1.8564E+002
109.0000,1.3034E+002
110.0000,1.2910E+002
111.0000,1.8558E+002
112.0000,1.7952E+002
113.0000,1.7950E+002
114.0000,1.9182E+002
115.0000,1.7221E+002
116.0000,1.8590E+002
117.0000,1.9772E+002
118.0000,1.9123E+002
119.0000,1.6930E+002
120.0000,1.4629E+002
121.0000,1.7017E+002
122.0000,1.1104E+002
123.0000,1.0445E+002
124.0000,1.3163E+002
125.0000,1.6711E+002
126.0000,1.4937E+002
127.0000,1.7260E+002
128.0000,1.7096E+002
129.0000,1.0008E+002
130.0000,1.5780E+002
131.0000,1.8169E+002
132.0000,1.4837E+002
133.0000,1.4988E+002
134.0000,2.1663E+002
135.0000,2.0702E+002
136.0000,1.6499E+002
137.0000,1.6955E+002
138.0000,1.2075E+002
139.0000,1.4217E+002
140.0000,1.4431E+002
141.0000,1.8314E+002
142.0000,2.1261E+002
143.0000,2.0660E+002
144.0000,1.8830E+002
145.0000,1.7993E+002
146.0000,1.4422E+002
147.0000,1.6627E+002
148.0000,1.5591E+002
149.0000,2.0760E+002
150.0000,2.0180E+002
151.0000,2.0038E+002
152.0000,2.1591E+002
153.0000,1.9710E+002
154.0000,1.8622E+002
155.0000,1.2942E+002
156.0000,2.0709E+002
157.0000,2.1199E+002
158.0000,1.4712E+002
159.0000,1.5187E+002
160.0000,1.3758E+002
161.0000,1.4524E+002
162.0000,1.5976E+002
163.0000,1.4079E+002
164.0000,1.8186E+002
165.0000,2.0753E+002
166.0000,1.3720E+002
167.0000,1.6092E+002
168.0000,1.4231E+002
169.0000,1.1838E+002
170.0000,1.9128E+002
171.0000,1.7723E+002
172.0000,1.5781E+002
173.0000,1.2487E+002
174.0000,1.5144E+002
175.0000,1.7496E+002
176.0000,1.9606E+002
177.0000,1.7881E+002
178.0000,1.6660E+002
179.0000,1.6418E+002
180.0000,1.0664E+002
181.0000,1.3559E+002
182.0000,2.0695E+002
183.0000,1.9158E+002
184.0000,1.2313E+002
185.0000,1.4908E+002
186.0000,2.0672E+002
187.0000,1.7808E+002
188.0000,1.1062E+002
189.0000,7.4695E+001
190.0000,1.6548E+002
191.0000,1.8222E+002
192.0000,1.7942E+002
193.0000,1.4820E+002
194.0000,1.4828E+002
195.0000,1.5772E+002
196.0000,1.1141E+002
197.0000,1.2893E+002
198.0000,1.8807E+002
199.0000,1.6658E+002
200.0000,1.6089E+002
201.0000,1.7653E+002
202.0000,1.7471E+002
203.0000,1.6410E+002
204.0000,1.5219E+002
205.0000,1.4582E+002
206.0000,1.8772E+002
207.0000,1.8359E+002
208.0000,1.8172E+002
209.0000,1.5304E+002
210.0000,1.5381E+002
211.0000,1.6418E+002
212.0000,1.9749E+002
213.0000,1.9161E+002
214.0000,1.8336E+002
215.0000,1.6327E+002
216.0000,1.9023E+002
217.0000,1.7601E+002
218.0000,1.2352E+002
219.0000,8.5412E+001
220.0000,9.3550E+001
221.0000,1.1231E+002
222.0000,1.1629E+002
223.0000,1.7447E+002
224.0000,1.4343E+002
225.0000,1.4968E+002
226.0000,1.7714E+002
227.0000,1.8709E+002
228.0000,1.7237E+002
229.0000,1.5957E+002
230.0000,1.4947E+002
231.0000,1.7156E+002
232.0000,1.5604E+002
233.0000,1.6381E+002
234.0000,1.6098E+002
235.0000,1.5573E+002
236.0000,1.3313E+002
237.0000,1.6981E+002
238.0000,1.6909E+002
239.0000,1.3846E+002
240.0000,1.1851E+002
241.0000,1.6034E+002
242.0000,1.6661E+002
243.0000,1.6662E+002
244.0000,1.2053E+002
245.0000,1.1758E+002
246.0000,1.4709E+002
247.0000,1.3629E+002
248.0000,1.4893E+002
249.0000,1.0740E+002
250.0000,8.8637E+001
251.0000,1.2737E+002
252.0000,1.4170E+002
253.0000,1.1900E+002
254.0000,1.2642E+002
255.0000,1.4925E+002
256.0000,1.5202E+002
257.0000,1.3357E+002
258.0000,1.3397E+002
259.0000,1.2777E+002
260.0000,1.1633E+002
261.0000,1.2458E+002
262.0000,1.2686E+002
263.0000,1.1731E+002
264.0000,1.2829E+002
265.0000,1.2652E+002
266.0000,1.2915E+002
267.0000,1.1173E+002
268.0000,7.9815E+001
269.0000,9.0155E+001
270.0000,6.3531E+001
271.0000,2.3220E+001
272.0000,1.0270E+002
273.0000,7.3421E+001
274.0000,7.4451E+001
275.0000,1.1198E+002
276.0000,1.0642E+002
277.0000,1.1377E+002
278.0000,1.0564E+002
279.0000,1.0940E+002
280.0000,1.0869E+002
281.0000,1.1611E+002
282.0000,9.8007E+001
283.0000,1.1103E+002
284.0000,8.6839E+001
285.0000,8.2281E+001
286.0000,1.0860E+002
287.0000,1.0462E+002
288.0000,1.0505E+002
289.0000,9.4202E+001
290.0000,8.3141E+001
291.0000,7.9643E+001
292.0000,7.9838E+001
293.0000,8.5692E+001
294.0000,8.6252E+001
295.0000,4.4992E+001
296.0000,4.5505E+001
297.0000,5.4424E+001
298.0000,6.4927E+001
299.0000,4.1497E+001
300.0000,4.5383E+001
301.0000,4.5301E+001
302.0000,5.7059E+001
303.0000,6.2099E+001
304.0000,7.4370E+001
305.0000,7.6677E+001
306.0000,7.4928E+001
307.0000,6.9572E+001
308.0000,6.5768E+001
309.0000,6.6502E+001
310.0000,6.1979E+001
311.0000,6.5475E+001
312.0000,5.1744E+001
313.0000,5.4319E+001
314.0000,5.5295E+001
315.0000,6.1414E+001
316.0000,6.2029E+001
317.0000,5.7881E+001
318.0000,5.2760E+001
319.0000,5.6811E+001
320.0000,5.9256E+001
321.0000,5.8204E+001
322.0000,6.6048E+001
323.0000,6.3200E+001
324.0000,3.5377E+001
325.0000,4.9845E+001
326.0000,5.4674E+001
327.0000,5.3230E+001
328.0000,6.0957E+001
329.0000,5.5123E+001
330.0000,5.3498E+001
331.0000,5.6881E+001
332.0000,5.2575E+001
333.0000,3.4882E+001
334.0000,5.4684E+001
335.0000,4.9187E+001
336.0000,5.7172E+001
337.0000,5.7460E+001
338.0000,5.7028E+001
339.0000,5.7125E+001
340.0000,5.3863E+001
341.0000,5.5586E+001
342.0000,5.0306E+001
343.0000,5.2196E+001
344.0000,3.2033E+001
345.0000,4.6512E+001
346.0000,4.6457E+001
347.0000,5.3479E+001
348.0000,5.4735E+001
349.0000,3.3859E+001
350.0000,4.9840E+001
351.0000,3.3295E+001
352.0000,5.0159E+001
353.0000,5.0820E+001
354.0000,4.3614E+001
355.0000,4.7474E+001
356.0000,3.7350E+001
357.0000,4.6989E+001
358.0000,4.7406E+001
359.0000,4.8000E+001
360.0000,5.1741E+001
361.0000,5.0638E+001
362.0000,5.0171E+001
363.0000,3.3242E+001
364.0000,3.3784E+001
365.0000,2.3673E+001
366.0000,2.5025E+001
367.0000,5.7757E+001
368.0000,5.7041E+001
369.0000,5.4808E+001
370.0000,5.4219E+001
371.0000,5.3521E+001
372.0000,4.2771E+001
373.0000,4.2745E+001
374.0000,5.3029E+001
375.0000,6.1822E+001
376.0000,5.7847E+001
377.0000,6.1054E+001
378.0000,5.7891E+001
379.0000,6.0096E+001
380.0000,6.5063E+001
381.0000,6.5234E+001
382.0000,5.2410E+001
383.0000,5.9273E+001
384.0000,6.3527E+001
385.0000,6.7935E+001
386.0000,5.8327E+001
387.0000,6.9462E+001
388.0000,6.3055E+001
389.0000,7.0850E+001
390.0000,6.7326E+001
391.0000,5.2343E+001
392.0000,4.7165E+001
393.0000,7.0937E+001
394.0000,7.4783E+001
395.0000,5.9032E+001
396.0000,7.3834E+001
397.0000,7.4945E+001
398.0000,5.5442E+001
399.0000,7.9636E+001
400.0000,8.3624E+001
401.0000,7.9921E+001
402.0000,8.6218E+001
403.0000,8.6262E+001
404.0000,8.6611E+001
405.0000,6.4469E+001
406.0000,8.4682E+001
407.0000,5.3192E+001
408.0000,9.8748E+001
409.0000,9.8454E+001
410.0000,9.8360E+001
411.0000,9.9901E+001
412.0000,9.7038E+001
413.0000,9.0071E+001
414.0000,1.0711E+002
415.0000,1.1163E+002
416.0000,9.5132E+001
417.0000,6.3975E+001
418.0000,4.4212E+001
419.0000,1.0963E+002
420.0000,1.1241E+002
421.0000,1.0692E+002
422.0000,8.6912E+001
423.0000,7.2907E+001
424.0000,5.5355E+001
425.0000,1.0558E+002
426.0000,1.1452E+002
427.0000,7.8873E+001
428.0000,1.3255E+002
429.0000,1.3655E+002
430.0000,1.1223E+002
431.0000,1.2221E+002
432.0000,9.2849E+001
433.0000,1.0845E+002
434.0000,1.0660E+002
435.0000,1.3376E+002
436.0000,1.3530E+002
437.0000,1.4092E+002
438.0000,6.8798E+001
439.0000,1.2120E+002
440.0000,9.0004E+001
441.0000,1.3884E+002
442.0000,1.5562E+002
443.0000,1.5042E+002
444.0000,1.4751E+002
445.0000,1.5915E+002
446.0000,1.6248E+002
447.0000,1.6047E+002
448.0000,9.4719E+001
449.0000,1.7058E+002
450.0000,1.6544E+002
451.0000,1.6451E+002
452.0000,9.9830E+001
453.0000,1.3541E+002
454.0000,9.9555E+001
455.0000,1.7310E+002
456.0000,1.4501E+002
457.0000,1.6694E+002
458.0000,1.0534E+002
459.0000,1.2392E+002
460.0000,1.6182E+002
461.0000,1.7736E+002
462.0000,1.5278E+002
463.0000,1.5786E+002
464.0000,1.2174E+002
465.0000,1.8666E+002
466.0000,1.4841E+002
467.0000,1.4328E+002
468.0000,1.1529E+002
469.0000,2.0068E+002
470.0000,1.1417E+002
471.0000,1.1287E+002
472.0000,1.1500E+002
473.0000,9.7119E+001
474.0000,1.4251E+002
475.0000,1.8628E+002
476.0000,1.9106E+002
477.0000,1.6980E+002
478.0000,6.8817E+001
479.0000,1.5132E+002
480.0000,9.5767E+001
481.0000,1.1692E+002
482.0000,1.8361E+002
483.0000,1.7848E+002
484.0000,1.7951E+002
485.0000,1.9119E+002
486.0000,1.8808E+002
487.0000,1.9298E+002
488.0000,1.7447E+002
489.0000,1.9472E+002
490.0000,1.3678E+002
491.0000,1.7770E+002
492.0000,1.7863E+002
493.0000,1.7809E+002
494.0000,1.7484E+002
495.0000,1.2346E+002
496.0000,1.4429E+002
497.0000,1.6492E+002
498.0000,2.0614E+002
499.0000,2.0956E+002
500.0000,2.0964E+002
501.0000,1.7081E+002
502.0000,1.9205E+002
503.0000,1.9117E+002
504.0000,2.0718E+002
505.0000,1.8029E+002
506.0000,1.7984E+002
507.0000,2.0036E+002
508.0000,1.9715E+002
509.0000,1.8734E+002
510.0000,1.0712E+002
511.0000,9.0229E+001
512.0000,1.5480E+002
513.0000,1.5190E+002
514.0000,1.3571E+002
515.0000,2.3144E+002
516.0000,2.1209E+002
517.0000,1.8160E+002
518.0000,1.5285E+002
519.0000,2.0504E+002
520.0000,2.1553E+002
521.0000,1.8654E+002
522.0000,1.3946E+002
523.0000,1.1747E+002
524.0000,1.1220E+002
525.0000,1.5406E+002
526.0000,1.3625E+002
527.0000,1.3395E+002
528.0000,2.0159E+002
529.0000,1.9464E+002
530.0000,1.7268E+002
531.0000,1.5501E+002
532.0000,1.6411E+002
533.0000,1.5677E+002
534.0000,1.1449E+002
535.0000,9.9415E+001
536.0000,1.1458E+002
537.0000,1.5874E+002
538.0000,1.3752E+002
539.0000,1.6195E+002
540.0000,1.6942E+002
541.0000,1.8220E+002
542.0000,1.7177E+002
543.0000,2.1587E+002
544.0000,1.4112E+002
545.0000,1.7595E+002
546.0000,2.1803E+002
547.0000,1.7852E+002
548.0000,1.4873E+002
549.0000,1.4877E+002
550.0000,1.4336E+002
551.0000,1.6580E+002
552.0000,1.7336E+002
553.0000,1.5435E+002
554.0000,1.3360E+002
555.0000,1.4347E+002
556.0000,1.7639E+002
557.0000,1.7595E+002
558.0000,1.9034E+002
559.0000,2.0219E+002
560.0000,1.9005E+002
561.0000,2.0133E+002
562.0000,1.6586E+002
563.0000,1.8911E+002
564.0000,1.9328E+002
565.0000,1.9908E+002
566.0000,1.8465E+002
567.0000,1.7736E+002
568.0000,1.9382E+002
569.0000,1.6358E+002
570.0000,1.4365E+002
571.0000,1.1912E+002
572.0000,1.2650E+002
573.0000,1.4467E+002
574.0000,1.3358E+002
575.0000,1.8426E+002
576.0000,2.1464E+002
577.0000,1.8107E+002
578.0000,1.2793E+002
579.0000,1.2254E+002
580.0000,1.2182E+002
