"",8.000
54421.0000,8.0000E+00
54422.0000,8.0000E+00
54423.0000,8.0000E+00
54424.0000,8.0000E+00
54425.0000,8.0000E+00
54426.0000,8.0000E+00
54427.0000,8.0000E+00
54428.0000,8.0000E+00
54429.0000,8.0000E+00
54430.0000,8.0000E+00
54431.0000,8.0000E+00
54432.0000,8.0000E+00
54433.0000,8.0000E+00
54434.0000,8.0000E+00
54435.0000,8.0000E+00
54436.0000,8.0000E+00
54437.0000,8.0000E+00
54438.0000,8.0000E+00
54439.0000,8.0000E+00
54440.0000,8.0000E+00
54441.0000,8.0000E+00
54442.0000,8.0000E+00
54443.0000,8.0000E+00
54444.0000,8.0000E+00
54445.0000,8.0000E+00
54446.0000,8.0000E+00
54447.0000,8.0000E+00
54448.0000,8.0000E+00
54449.0000,8.0000E+00
54450.0000,8.0000E+00
54451.0000,8.0000E+00
54452.0000,8.0000E+00
54453.0000,8.0000E+00
54454.0000,8.0000E+00
54455.0000,8.0000E+00
54456.0000,8.0000E+00
54457.0000,8.0000E+00
54458.0000,8.0000E+00
54459.0000,8.0000E+00
54460.0000,8.0000E+00
54461.0000,8.0000E+00
54462.0000,8.0000E+00
54463.0000,8.0000E+00
54464.0000,8.0000E+00
54465.0000,8.0000E+00
54466.0000,8.0000E+00
54467.0000,8.0000E+00
54468.0000,8.0000E+00
54469.0000,8.0000E+00
54470.0000,8.0000E+00
54471.0000,8.0000E+00
54472.0000,8.0000E+00
54473.0000,8.0000E+00
54474.0000,8.0000E+00
54475.0000,8.0000E+00
54476.0000,8.0000E+00
54477.0000,8.0000E+00
54478.0000,8.0000E+00
54479.0000,8.0000E+00
54480.0000,8.0000E+00
54481.0000,8.0000E+00
54482.0000,8.0000E+00
54483.0000,8.0000E+00
54484.0000,8.0000E+00
54485.0000,8.0000E+00
54486.0000,8.0000E+00
54487.0000,8.0000E+00
54488.0000,8.0000E+00
54489.0000,8.0000E+00
54490.0000,8.0000E+00
54491.0000,8.0000E+00
54492.0000,8.0000E+00
54493.0000,8.0000E+00
54494.0000,8.0000E+00
54495.0000,8.0000E+00
54496.0000,8.0000E+00
54497.0000,8.0000E+00
54498.0000,8.0000E+00
54499.0000,8.0000E+00
54500.0000,8.0000E+00
54501.0000,8.0000E+00
54502.0000,8.0000E+00
54503.0000,8.0000E+00
54504.0000,8.0000E+00
54505.0000,8.0000E+00
54506.0000,8.0000E+00
54507.0000,8.0000E+00
54508.0000,8.0000E+00
54509.0000,8.0000E+00
54510.0000,8.0000E+00
54511.0000,8.0000E+00
54512.0000,8.0000E+00
54513.0000,8.0000E+00
54514.0000,8.0000E+00
54515.0000,8.0000E+00
54516.0000,8.0000E+00
54517.0000,8.0000E+00
54518.0000,8.0000E+00
54519.0000,8.0000E+00
54520.0000,8.0000E+00
54521.0000,8.0000E+00
54522.0000,8.0000E+00
54523.0000,8.0000E+00
54524.0000,8.0000E+00
54525.0000,8.0000E+00
54526.0000,8.0000E+00
54527.0000,8.0000E+00
54528.0000,8.0000E+00
54529.0000,8.0000E+00
54530.0000,8.0000E+00
54531.0000,8.0000E+00
54532.0000,8.0000E+00
54533.0000,8.0000E+00
54534.0000,8.0000E+00
54535.0000,8.0000E+00
54536.0000,8.0000E+00
54537.0000,8.0000E+00
54538.0000,8.0000E+00
54539.0000,8.0000E+00
54540.0000,8.0000E+00
54541.0000,8.0000E+00
54542.0000,8.0000E+00
54543.0000,8.0000E+00
54544.0000,8.0000E+00
54545.0000,8.0000E+00
54546.0000,8.0000E+00
54547.0000,8.0000E+00
54548.0000,8.0000E+00
54549.0000,8.0000E+00
54550.0000,8.0000E+00
54551.0000,8.0000E+00
54552.0000,8.0000E+00
54553.0000,8.0000E+00
54554.0000,8.0000E+00
54555.0000,8.0000E+00
54556.0000,8.0000E+00
54557.0000,8.0000E+00
54558.0000,8.0000E+00
54559.0000,8.0000E+00
54560.0000,8.0000E+00
54561.0000,8.0000E+00
54562.0000,8.0000E+00
54563.0000,8.0000E+00
54564.0000,8.0000E+00
54565.0000,8.0000E+00
54566.0000,8.0000E+00
54567.0000,8.0000E+00
54568.0000,8.0000E+00
54569.0000,8.0000E+00
54570.0000,8.0000E+00
54571.0000,8.0000E+00
54572.0000,8.0000E+00
54573.0000,8.0000E+00
54574.0000,8.0000E+00
54575.0000,8.0000E+00
54576.0000,8.0000E+00
54577.0000,8.0000E+00
54578.0000,8.0000E+00
54579.0000,8.0000E+00
54580.0000,8.0000E+00
54581.0000,8.0000E+00
54582.0000,8.0000E+00
54583.0000,8.0000E+00
54584.0000,8.0000E+00
54585.0000,8.0000E+00
54586.0000,8.0000E+00
54587.0000,8.0000E+00
54588.0000,8.0000E+00
54589.0000,8.0000E+00
54590.0000,8.0000E+00
54591.0000,8.0000E+00
54592.0000,8.0000E+00
54593.0000,8.0000E+00
54594.0000,8.0000E+00
54595.0000,8.0000E+00
54596.0000,8.0000E+00
54597.0000,8.0000E+00
54598.0000,8.0000E+00
54599.0000,8.0000E+00
54600.0000,8.0000E+00
54601.0000,8.0000E+00
54602.0000,8.0000E+00
54603.0000,8.0000E+00
54604.0000,8.0000E+00
54605.0000,8.0000E+00
54606.0000,8.0000E+00
54607.0000,8.0000E+00
54608.0000,8.0000E+00
54609.0000,8.0000E+00
54610.0000,8.0000E+00
54611.0000,8.0000E+00
54612.0000,8.0000E+00
54613.0000,8.0000E+00
54614.0000,8.0000E+00
54615.0000,8.0000E+00
54616.0000,8.0000E+00
54617.0000,8.0000E+00
54618.0000,8.0000E+00
54619.0000,8.0000E+00
54620.0000,8.0000E+00
54621.0000,8.0000E+00
54622.0000,8.0000E+00
54623.0000,8.0000E+00
54624.0000,8.0000E+00
54625.0000,8.0000E+00
54626.0000,8.0000E+00
54627.0000,8.0000E+00
54628.0000,8.0000E+00
54629.0000,8.0000E+00
54630.0000,8.0000E+00
54631.0000,8.0000E+00
54632.0000,8.0000E+00
54633.0000,8.0000E+00
54634.0000,8.0000E+00
54635.0000,8.0000E+00
54636.0000,8.0000E+00
54637.0000,8.0000E+00
54638.0000,8.0000E+00
54639.0000,8.0000E+00
54640.0000,8.0000E+00
54641.0000,8.0000E+00
54642.0000,8.0000E+00
54643.0000,8.0000E+00
54644.0000,8.0000E+00
54645.0000,8.0000E+00
54646.0000,8.0000E+00
54647.0000,8.0000E+00
54648.0000,8.0000E+00
54649.0000,8.0000E+00
54650.0000,8.0000E+00
54651.0000,8.0000E+00
54652.0000,8.0000E+00
54653.0000,8.0000E+00
54654.0000,8.0000E+00
54655.0000,8.0000E+00
54656.0000,8.0000E+00
54657.0000,8.0000E+00
54658.0000,8.0000E+00
54659.0000,8.0000E+00
54660.0000,8.0000E+00
54661.0000,8.0000E+00
54662.0000,8.0000E+00
54663.0000,8.0000E+00
54664.0000,8.0000E+00
54665.0000,8.0000E+00
54666.0000,8.0000E+00
54667.0000,8.0000E+00
54668.0000,8.0000E+00
54669.0000,8.0000E+00
54670.0000,8.0000E+00
54671.0000,8.0000E+00
54672.0000,8.0000E+00
54673.0000,8.0000E+00
54674.0000,8.0000E+00
54675.0000,8.0000E+00
54676.0000,8.0000E+00
54677.0000,8.0000E+00
54678.0000,8.0000E+00
54679.0000,8.0000E+00
54680.0000,8.0000E+00
54681.0000,8.0000E+00
54682.0000,8.0000E+00
54683.0000,8.0000E+00
54684.0000,8.0000E+00
54685.0000,8.0000E+00
54686.0000,8.0000E+00
54687.0000,8.0000E+00
54688.0000,8.0000E+00
54689.0000,8.0000E+00
54690.0000,8.0000E+00
54691.0000,8.0000E+00
54692.0000,8.0000E+00
54693.0000,8.0000E+00
54694.0000,8.0000E+00
54695.0000,8.0000E+00
54696.0000,8.0000E+00
54697.0000,8.0000E+00
54698.0000,8.0000E+00
54699.0000,8.0000E+00
54700.0000,8.0000E+00
54701.0000,8.0000E+00
54702.0000,8.0000E+00
54703.0000,8.0000E+00
54704.0000,8.0000E+00
54705.0000,8.0000E+00
54706.0000,8.0000E+00
54707.0000,8.0000E+00
54708.0000,8.0000E+00
54709.0000,8.0000E+00
54710.0000,8.0000E+00
54711.0000,8.0000E+00
54712.0000,8.0000E+00
54713.0000,8.0000E+00
54714.0000,8.0000E+00
54715.0000,8.0000E+00
54716.0000,8.0000E+00
54717.0000,8.0000E+00
54718.0000,8.0000E+00
54719.0000,8.0000E+00
54720.0000,8.0000E+00
54721.0000,8.0000E+00
54722.0000,8.0000E+00
54723.0000,8.0000E+00
54724.0000,8.0000E+00
54725.0000,8.0000E+00
54726.0000,8.0000E+00
54727.0000,8.0000E+00
54728.0000,8.0000E+00
54729.0000,8.0000E+00
54730.0000,8.0000E+00
54731.0000,8.0000E+00
54732.0000,8.0000E+00
54733.0000,8.0000E+00
54734.0000,8.0000E+00
54735.0000,8.0000E+00
54736.0000,8.0000E+00
54737.0000,8.0000E+00
54738.0000,8.0000E+00
54739.0000,8.0000E+00
54740.0000,8.0000E+00
54741.0000,8.0000E+00
54742.0000,8.0000E+00
54743.0000,8.0000E+00
54744.0000,8.0000E+00
54745.0000,8.0000E+00
54746.0000,8.0000E+00
54747.0000,8.0000E+00
54748.0000,8.0000E+00
54749.0000,8.0000E+00
54750.0000,8.0000E+00
54751.0000,8.0000E+00
54752.0000,8.0000E+00
54753.0000,8.0000E+00
54754.0000,8.0000E+00
54755.0000,8.0000E+00
54756.0000,8.0000E+00
54757.0000,8.0000E+00
54758.0000,8.0000E+00
54759.0000,8.0000E+00
54760.0000,8.0000E+00
54761.0000,8.0000E+00
54762.0000,8.0000E+00
54763.0000,8.0000E+00
54764.0000,8.0000E+00
54765.0000,8.0000E+00
54766.0000,8.0000E+00
54767.0000,8.0000E+00
54768.0000,8.0000E+00
54769.0000,8.0000E+00
54770.0000,8.0000E+00
54771.0000,8.0000E+00
54772.0000,8.0000E+00
54773.0000,8.0000E+00
54774.0000,8.0000E+00
54775.0000,8.0000E+00
54776.0000,8.0000E+00
54777.0000,8.0000E+00
54778.0000,8.0000E+00
