wind_speed,a_seiche,par_id
0.88188,0.13772,p00001
1.1795,0.031727,p00002
1.0228,0.16652,p00003
0.82055,0.14849,p00004
0.86473,0.28643,p00005
1.0904,0.048843,p00006
1.1258,0.29447,p00007
0.93035,0.18817,p00008
0.91078,0.26758,p00009
1.0731,0.18287,p00010
1.0446,0.084178,p00011
1.1063,0.20884,p00012
1.1979,0.23784,p00013
0.92489,0.10573,p00014
0.86491,0.24375,p00015
0.86964,0.086168,p00016
0.85646,0.18945,p00017
0.83612,0.098986,p00018
0.99561,0.088962,p00019
0.8492,0.086755,p00020
1.1857,0.13563,p00021
0.84179,0.14589,p00022
1.0121,0.080046,p00023
0.91869,0.15395,p00024
1.1287,0.008931,p00025
0.90143,0.13146,p00026
0.91103,0.26732,p00027
0.90841,0.039056,p00028
1.0572,0.23504,p00029
0.89543,0.0018316,p00030
0.86199,0.022819,p00031
0.86503,0.25587,p00032
1.1095,0.28899,p00033
1.1454,0.074927,p00034
0.82121,0.071138,p00035
0.88095,0.20171,p00036
0.97559,0.2312,p00037
1.1279,0.096376,p00038
1.1895,0.06875,p00039
0.92753,0.21994,p00040
0.83893,0.081531,p00041
0.82549,0.22371,p00042
0.92127,0.27683,p00043
0.85064,0.26979,p00044
1.0063,0.11412,p00045
1.1122,0.10519,p00046
1.0632,0.17756,p00047
1.1039,0.19626,p00048
1.0898,0.17895,p00049
0.81175,0.24702,p00050
0.86694,0.11864,p00051
1.1633,0.032736,p00052
1.1623,0.14419,p00053
1.149,0.098318,p00054
0.90986,0.1164,p00055
0.88035,0.21364,p00056
0.9393,0.18567,p00057
1.1991,0.10298,p00058
0.87228,0.035594,p00059
0.99327,0.19716,p00060
0.91621,0.10736,p00061
1.1394,0.063874,p00062
0.82321,0.20795,p00063
1.0425,0.26286,p00064
1.1935,0.19988,p00065
0.97634,0.033286,p00066
0.92052,0.28564,p00067
0.85072,0.0023585,p00068
0.87678,0.014736,p00069
1.0174,0.28329,p00070
1.1662,0.222,p00071
1.1144,0.092711,p00072
0.96537,0.0099559,p00073
0.84906,0.17374,p00074
1.186,0.074122,p00075
0.9775,0.086086,p00076
0.96985,0.1195,p00077
1.0657,0.1467,p00078
1.081,0.19404,p00079
1.199,0.13153,p00080
0.88856,0.29759,p00081
1.0961,0.051816,p00082
0.83416,0.044467,p00083
0.91521,0.065234,p00084
1.126,0.085432,p00085
1.047,0.29422,p00086
0.97036,0.27756,p00087
0.81953,0.086342,p00088
1.0044,0.14896,p00089
1.0937,0.18616,p00090
0.87694,0.074202,p00091
0.96681,0.095955,p00092
1.0484,0.14289,p00093
1.1617,0.22089,p00094
1.0448,0.081388,p00095
1.0462,0.065725,p00096
0.84882,0.23194,p00097
0.94058,0.23057,p00098
1.0411,0.2198,p00099
0.86616,0.089416,p00100
0.83915,0.16311,p00101
0.851,0.25999,p00102
1.1404,0.26228,p00103
1.1348,0.14141,p00104
1.0783,0.11106,p00105
1.1846,0.1562,p00106
1.1278,0.20129,p00107
0.9018,0.12221,p00108
0.89202,0.29918,p00109
1.0324,0.26802,p00110
0.85534,0.18588,p00111
0.91406,0.28637,p00112
0.9471,0.14956,p00113
0.99654,0.26719,p00114
0.81665,0.21121,p00115
0.91833,0.096668,p00116
1.1667,0.088064,p00117
1.0198,0.09538,p00118
1.1565,0.16194,p00119
0.85278,0.036609,p00120
0.84527,0.20563,p00121
1.0851,0.07517,p00122
0.87065,0.24354,p00123
0.81448,0.28158,p00124
1.0488,0.2193,p00125
0.96368,0.21918,p00126
1.1722,0.1356,p00127
0.88983,0.25967,p00128
0.83076,0.054678,p00129
0.83244,0.16498,p00130
0.83221,0.297,p00131
0.84342,0.090807,p00132
1.153,0.049034,p00133
0.81222,0.0071312,p00134
1.0493,0.29042,p00135
1.1645,0.094048,p00136
1.0859,0.14027,p00137
1.1214,0.27685,p00138
0.85055,0.089034,p00139
0.99744,0.20632,p00140
0.83103,0.29562,p00141
0.95743,0.19087,p00142
0.88898,0.23124,p00143
0.98715,0.010295,p00144
1.1431,0.25334,p00145
0.89838,0.032544,p00146
1.0318,0.046709,p00147
1.0867,0.062009,p00148
0.90501,0.26046,p00149
1.1491,0.2367,p00150
0.98848,0.28048,p00151
1.11,0.22001,p00152
1.0309,0.22847,p00153
1.1561,0.16223,p00154
0.85394,0.18547,p00155
1.0791,0.013596,p00156
0.89885,0.16506,p00157
1.0046,0.014781,p00158
0.96756,0.033963,p00159
1.0376,0.1009,p00160
0.92267,0.053784,p00161
1.1599,0.24409,p00162
0.83035,0.18443,p00163
0.86726,0.28387,p00164
0.95947,0.23155,p00165
1.0289,0.13853,p00166
1.1658,0.032331,p00167
0.81835,0.11848,p00168
0.86912,0.058884,p00169
1,0.17173,p00170
1.1191,0.12209,p00171
0.91699,0.16525,p00172
1.1855,0.26217,p00173
0.8893,0.21891,p00174
0.92714,0.12948,p00175
1.0343,0.1172,p00176
0.96433,0.060169,p00177
1.1521,0.076613,p00178
1.1502,0.14713,p00179
0.84059,0.08664,p00180
1.0894,0.14051,p00181
0.87996,0.1611,p00182
1.1468,0.057093,p00183
1.1393,0.12152,p00184
0.85364,0.26945,p00185
0.88346,0.21986,p00186
1.0418,0.29285,p00187
1.0017,0.073543,p00188
0.96691,0.29293,p00189
1.0256,0.0052932,p00190
0.92159,0.16241,p00191
1.1341,0.031814,p00192
0.96914,0.21316,p00193
0.83973,0.21273,p00194
1.0521,0.15711,p00195
1.0873,0.28773,p00196
0.83381,0.25553,p00197
0.86877,0.22282,p00198
0.91315,0.17144,p00199
0.84741,0.11668,p00200
1.0466,0.2478,p00201
1.19,0.010605,p00202
1.0357,0.15441,p00203
1.1171,0.04512,p00204
0.94083,0.068233,p00205
1.1326,0.006168,p00206
1.1013,0.11212,p00207
0.95154,0.18748,p00208
1.1694,0.12308,p00209
0.9155,0.28276,p00210
0.81412,0.099447,p00211
0.98186,0.16486,p00212
1.1821,0.1564,p00213
0.96356,0.0044545,p00214
0.88252,0.072472,p00215
1.0484,0.047797,p00216
1.1917,0.25719,p00217
0.88352,0.021475,p00218
1.0569,0.14533,p00219
1.1225,0.15496,p00220
0.87835,0.04627,p00221
0.98092,0.27035,p00222
1.1727,0.059685,p00223
0.97457,0.17304,p00224
1.0366,0.2101,p00225
1.016,0.0046762,p00226
0.83162,0.20232,p00227
0.87149,0.20573,p00228
1.1453,0.26399,p00229
0.97114,0.27596,p00230
0.88568,0.0025242,p00231
0.85438,0.25188,p00232
1.0957,0.12883,p00233
1.1765,0.13039,p00234
1.086,0.066459,p00235
0.84531,0.093164,p00236
1.0334,0.097852,p00237
0.94499,0.076142,p00238
0.91441,0.093039,p00239
0.90275,0.034626,p00240
0.89457,0.02973,p00241
0.82886,0.013748,p00242
1.1906,0.059923,p00243
0.83258,0.11797,p00244
1.1815,0.087059,p00245
0.98649,0.052485,p00246
0.87828,0.28067,p00247
1.042,0.28202,p00248
0.89779,0.13862,p00249
0.88314,0.12022,p00250
1.0659,0.29837,p00251
0.96958,0.28534,p00252
1.1627,0.14306,p00253
1.1697,0.068291,p00254
1.0712,0.2422,p00255
0.81369,0.22505,p00256
1.0633,0.0489,p00257
1.0392,0.15506,p00258
0.81923,0.16346,p00259
0.89424,0.21391,p00260
1.0612,0.22009,p00261
0.91974,0.10969,p00262
1.1746,0.24041,p00263
1.0276,0.023369,p00264
1.0584,0.24093,p00265
1.1475,0.072865,p00266
1.0323,0.26295,p00267
1.089,0.065171,p00268
0.89804,0.022032,p00269
1.1431,0.10668,p00270
1.1093,0.043457,p00271
1.1803,0.19046,p00272
1.1168,0.11933,p00273
0.84725,0.20405,p00274
0.83137,0.25126,p00275
1.0027,0.26558,p00276
0.8572,0.23592,p00277
0.94171,0.14505,p00278
0.84033,0.12828,p00279
1.044,0.052424,p00280
1.0148,0.08775,p00281
0.90321,0.0077487,p00282
1.0528,0.26058,p00283
0.95722,0.11332,p00284
0.80586,0.29483,p00285
0.96351,0.02014,p00286
0.87463,0.0092459,p00287
1.0016,0.11141,p00288
1.0444,0.0068983,p00289
1.0109,0.25048,p00290
1.184,0.20642,p00291
0.84221,0.10406,p00292
1.0884,0.14991,p00293
1.1726,0.2891,p00294
0.86181,0.2881,p00295
1.0514,0.1532,p00296
1.0718,0.2776,p00297
0.9576,0.0016664,p00298
1.1181,0.10265,p00299
1.1778,0.11969,p00300
0.82308,0.071647,p00301
1.0284,0.12562,p00302
0.95898,0.046365,p00303
0.87468,0.29356,p00304
1.1096,0.18072,p00305
0.9323,0.11305,p00306
1.069,0.23995,p00307
1.1727,0.060316,p00308
0.84945,0.13297,p00309
1.0201,0.026065,p00310
