"",77.800
30.0000,0.0000E+000
31.0000,1.7191E+002
32.0000,1.7193E+002
33.0000,1.6894E+002
34.0000,1.7862E+002
35.0000,1.7545E+002
36.0000,1.7657E+002
37.0000,0.0000E+000
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,0.0000E+000
41.0000,0.0000E+000
42.0000,0.0000E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,0.0000E+000
65.0000,0.0000E+000
66.0000,0.0000E+000
67.0000,0.0000E+000
68.0000,2.3904E+002
69.0000,2.5934E+002
70.0000,2.4013E+002
71.0000,2.4801E+002
72.0000,2.6157E+002
73.0000,0.0000E+000
74.0000,0.0000E+000
75.0000,0.0000E+000
76.0000,0.0000E+000
77.0000,2.0916E+002
78.0000,2.2410E+002
79.0000,2.3007E+002
80.0000,2.5207E+002
81.0000,2.6380E+002
82.0000,2.4715E+002
83.0000,2.5076E+002
84.0000,2.4674E+002
85.0000,2.3777E+002
86.0000,2.6495E+002
87.0000,2.8101E+002
88.0000,2.4326E+002
89.0000,2.5121E+002
90.0000,2.6287E+002
91.0000,2.5848E+002
92.0000,2.4080E+002
93.0000,2.3981E+002
94.0000,2.4634E+002
95.0000,2.4871E+002
96.0000,2.4299E+002
97.0000,2.7056E+002
98.0000,2.6813E+002
99.0000,2.8328E+002
100.0000,2.4468E+002
101.0000,2.3765E+002
102.0000,2.6504E+002
103.0000,2.5257E+002
104.0000,2.6749E+002
105.0000,2.7052E+002
106.0000,2.7996E+002
107.0000,2.6736E+002
108.0000,2.2716E+002
109.0000,2.7243E+002
110.0000,2.8218E+002
111.0000,2.4899E+002
112.0000,2.5388E+002
113.0000,2.7486E+002
114.0000,2.7165E+002
115.0000,2.7864E+002
116.0000,2.8240E+002
117.0000,2.7781E+002
118.0000,2.7408E+002
119.0000,2.8175E+002
