"",77.800
30.0000,0.0000E+000
31.0000,-8.5217E+001
32.0000,-6.9935E+001
33.0000,-6.0465E+001
34.0000,-4.2859E+001
35.0000,-5.3797E+001
36.0000,-6.8515E+001
37.0000,0.0000E+000
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,0.0000E+000
41.0000,0.0000E+000
42.0000,0.0000E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,0.0000E+000
65.0000,0.0000E+000
66.0000,0.0000E+000
67.0000,0.0000E+000
68.0000,1.3073E+001
69.0000,2.4066E+001
70.0000,1.3321E+001
71.0000,2.2193E+000
72.0000,6.8837E-001
73.0000,0.0000E+000
74.0000,0.0000E+000
75.0000,0.0000E+000
76.0000,0.0000E+000
77.0000,3.7376E+000
78.0000,1.1643E+001
79.0000,1.9881E+001
80.0000,3.9510E+001
81.0000,6.2931E+001
82.0000,3.9500E+001
83.0000,5.7780E+001
84.0000,6.4234E+001
85.0000,4.9610E+001
86.0000,8.7035E+000
87.0000,3.4316E+000
88.0000,7.5882E+000
89.0000,9.5025E+000
90.0000,1.3884E+001
91.0000,1.3070E+001
92.0000,8.1170E+000
93.0000,7.7094E+000
94.0000,3.8168E+000
95.0000,-1.5000E+001
96.0000,-9.4383E+000
97.0000,-1.7875E+000
98.0000,-2.4791E+000
99.0000,-1.1844E+001
100.0000,-1.6620E+001
101.0000,-4.8439E+000
102.0000,-5.4768E+000
103.0000,-1.5669E+000
104.0000,2.3001E+000
105.0000,4.6242E+000
106.0000,6.9256E+000
107.0000,-3.8550E+000
108.0000,-1.3737E+001
109.0000,-1.2483E+001
110.0000,-1.3465E+001
111.0000,-6.4045E+000
112.0000,-9.9039E-001
113.0000,1.0279E+001
114.0000,1.4735E+001
115.0000,1.3320E+001
116.0000,2.9266E+000
117.0000,4.6821E+000
118.0000,3.2310E+000
119.0000,-7.3980E-001
120.0000,-1.1524E+001
121.0000,-1.3335E+001
122.0000,-2.3855E+001
123.0000,-2.4992E+001
124.0000,-1.9543E+001
125.0000,-1.5082E+001
126.0000,-2.2437E+001
127.0000,-3.4168E+001
128.0000,-2.2527E+001
129.0000,-2.8492E+001
130.0000,-2.8759E+001
131.0000,-3.0204E+001
132.0000,-2.3662E+001
133.0000,-2.6533E+001
134.0000,-2.1860E+001
135.0000,-1.3707E+001
136.0000,-1.5378E+001
137.0000,-1.2272E+001
138.0000,-1.9762E+001
139.0000,-1.6268E+001
140.0000,-1.4672E+001
141.0000,-6.8518E+000
142.0000,-7.2133E+000
143.0000,-3.5446E+000
144.0000,-5.4548E+000
145.0000,-5.1458E+000
146.0000,-1.6527E+001
147.0000,-1.9387E+001
148.0000,-1.8946E+001
149.0000,-1.4726E+001
150.0000,-3.4543E+001
151.0000,-3.2288E+001
152.0000,-9.9364E+000
153.0000,-1.2085E+001
154.0000,-2.4834E+001
155.0000,-2.9925E+001
156.0000,-8.4815E+000
157.0000,-1.0975E+001
158.0000,-2.3001E+001
159.0000,-2.6078E+001
160.0000,-3.4611E+001
161.0000,-3.6947E+001
162.0000,-3.2960E+001
163.0000,-1.5442E+001
164.0000,-2.4710E+001
165.0000,-1.5754E+001
166.0000,-1.8616E+001
167.0000,-2.1508E+001
168.0000,-2.8622E+001
169.0000,-3.5801E+001
170.0000,-1.2244E+001
171.0000,-1.4918E+001
172.0000,-2.4999E+001
173.0000,-3.4087E+001
174.0000,-2.5817E+001
175.0000,-2.7807E+001
176.0000,-2.1459E+001
177.0000,-1.6073E+001
178.0000,-1.4534E+001
179.0000,-2.0756E+001
180.0000,-2.6638E+001
181.0000,-2.9663E+001
182.0000,-3.1212E+001
183.0000,-2.5465E+001
184.0000,-2.7871E+001
185.0000,-2.9762E+001
186.0000,-1.1445E+001
187.0000,-1.4753E+001
188.0000,-2.1171E+001
189.0000,-2.3842E+001
190.0000,-1.6218E+001
191.0000,-8.4447E+000
192.0000,-1.6649E+001
193.0000,-2.0822E+001
194.0000,-2.0598E+001
195.0000,-2.2047E+001
196.0000,-3.5495E+001
197.0000,-1.8929E+001
198.0000,-1.4392E+001
199.0000,-1.1437E+001
200.0000,-1.8382E+001
201.0000,-1.6675E+001
202.0000,-1.9575E+001
203.0000,-1.8566E+001
204.0000,-2.2096E+001
205.0000,-1.7553E+001
206.0000,-5.9104E+000
207.0000,-1.0413E+001
208.0000,-1.2803E+001
209.0000,-1.5476E+001
210.0000,-1.5525E+001
211.0000,-1.5222E+001
212.0000,-2.5927E+001
213.0000,-1.5234E+001
214.0000,-2.4469E+001
215.0000,-3.2017E+001
216.0000,-1.8331E+001
217.0000,-2.6921E+001
218.0000,-2.9545E+001
219.0000,-1.6692E+001
220.0000,-2.5087E+001
221.0000,-2.7625E+001
222.0000,-3.1078E+001
223.0000,-2.5354E+001
224.0000,-2.1763E+001
225.0000,-2.9097E+001
226.0000,-1.4791E+001
227.0000,-1.8739E+001
228.0000,-1.7972E+001
229.0000,-1.4217E+001
230.0000,-3.6195E+000
231.0000,-1.5685E+001
232.0000,-1.3239E+001
233.0000,-1.2842E+001
234.0000,-1.9641E+001
235.0000,-1.9715E+001
236.0000,-2.1496E+001
237.0000,-1.5291E+001
238.0000,-7.3959E+000
239.0000,-1.5211E+001
240.0000,-2.6043E+001
241.0000,-1.4507E+001
242.0000,-6.0272E+000
243.0000,-1.5592E+001
244.0000,-2.3331E+001
245.0000,-3.4927E+001
246.0000,-2.3965E+001
247.0000,-3.0993E+001
248.0000,-3.2011E+001
249.0000,-2.9991E+001
250.0000,-3.9453E+001
251.0000,-1.0916E+001
252.0000,-2.5669E+001
253.0000,-3.4844E+001
254.0000,-4.4099E+001
255.0000,-2.3896E+001
256.0000,-2.0921E+001
257.0000,-3.6186E+000
258.0000,-1.6416E+001
259.0000,-2.8066E+001
260.0000,-1.9792E+001
261.0000,-1.3630E+001
262.0000,-2.0200E+001
263.0000,-1.0799E+001
264.0000,-8.5412E+000
265.0000,-1.8292E+001
