"",77.800
30.0000,0.0000E+000
31.0000,-5.1406E+001
32.0000,-4.2493E+001
33.0000,-3.8437E+001
34.0000,-3.1305E+001
35.0000,-3.3917E+001
36.0000,-3.9337E+001
37.0000,0.0000E+000
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,0.0000E+000
41.0000,0.0000E+000
42.0000,0.0000E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,0.0000E+000
65.0000,0.0000E+000
66.0000,0.0000E+000
67.0000,0.0000E+000
68.0000,-2.0234E+000
69.0000,-4.3850E-001
70.0000,-5.1104E-001
71.0000,-4.3956E-001
72.0000,-5.4212E-002
73.0000,0.0000E+000
74.0000,0.0000E+000
75.0000,0.0000E+000
76.0000,0.0000E+000
77.0000,-3.1858E+000
78.0000,-1.8062E+000
79.0000,-1.2398E+000
80.0000,-1.6217E-001
81.0000,8.8578E-001
82.0000,6.4024E-001
83.0000,5.2375E-001
84.0000,-5.2338E-001
85.0000,-1.4831E+000
86.0000,3.8432E-001
87.0000,2.5184E-001
88.0000,-5.8159E-002
89.0000,3.4023E-001
90.0000,7.4102E-001
91.0000,3.5367E-001
92.0000,-6.6580E-001
93.0000,-1.3645E+000
94.0000,-4.1939E+000
95.0000,-1.8307E+001
96.0000,-1.8979E+001
97.0000,-9.4308E+000
98.0000,-5.6158E+000
99.0000,-1.3612E+001
100.0000,-2.8884E+001
101.0000,-2.1550E+001
102.0000,-1.1382E+001
103.0000,-1.1089E+001
104.0000,-8.0434E+000
105.0000,-1.2279E+001
106.0000,-1.5332E+001
107.0000,-1.3460E+001
108.0000,-2.5960E+001
109.0000,-2.0329E+001
110.0000,-1.8331E+001
111.0000,-2.5242E+001
112.0000,-2.1754E+001
113.0000,-2.7641E+001
114.0000,-3.1976E+001
115.0000,-3.1686E+001
116.0000,-5.4301E+000
117.0000,-1.3503E+001
118.0000,-2.9478E+001
119.0000,-1.2065E+001
120.0000,-2.2332E+001
121.0000,-2.5710E+001
122.0000,-3.3037E+001
123.0000,-3.2056E+001
124.0000,-2.7798E+001
125.0000,-2.7930E+001
126.0000,-3.4281E+001
127.0000,-4.6291E+001
128.0000,-3.4880E+001
