"",77.800
30.0000,0.0000E+000
31.0000,-3.2226E+002
32.0000,-3.2052E+002
33.0000,-3.1723E+002
34.0000,-3.1326E+002
35.0000,-3.0979E+002
36.0000,-3.0710E+002
37.0000,0.0000E+000
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,0.0000E+000
41.0000,0.0000E+000
42.0000,0.0000E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,0.0000E+000
65.0000,0.0000E+000
66.0000,0.0000E+000
67.0000,0.0000E+000
68.0000,-2.5253E+002
69.0000,-2.5253E+002
70.0000,-2.5253E+002
71.0000,-3.0932E+002
72.0000,-3.0932E+002
73.0000,0.0000E+000
74.0000,0.0000E+000
75.0000,0.0000E+000
76.0000,0.0000E+000
77.0000,-2.5253E+002
78.0000,-2.5253E+002
79.0000,-2.5253E+002
80.0000,-3.0932E+002
81.0000,-3.0932E+002
82.0000,-3.0932E+002
83.0000,-3.0932E+002
84.0000,-3.0932E+002
85.0000,-3.0932E+002
86.0000,-3.0932E+002
87.0000,-3.0932E+002
88.0000,-3.0932E+002
89.0000,-3.0932E+002
90.0000,-3.0932E+002
91.0000,-3.0932E+002
92.0000,-3.0932E+002
93.0000,-3.0932E+002
94.0000,-3.0840E+002
95.0000,-3.3318E+002
96.0000,-3.3260E+002
97.0000,-3.3264E+002
98.0000,-3.3383E+002
99.0000,-3.3510E+002
100.0000,-3.3496E+002
101.0000,-3.3473E+002
102.0000,-3.3542E+002
103.0000,-3.3664E+002
104.0000,-3.3837E+002
105.0000,-3.4025E+002
106.0000,-3.4173E+002
107.0000,-3.4260E+002
108.0000,-3.4327E+002
109.0000,-3.4327E+002
110.0000,-3.4464E+002
111.0000,-3.4583E+002
112.0000,-3.4688E+002
113.0000,-3.4833E+002
114.0000,-3.5018E+002
115.0000,-3.5175E+002
116.0000,-3.5414E+002
117.0000,-3.5745E+002
118.0000,-3.5965E+002
119.0000,-3.6176E+002
120.0000,-3.6312E+002
121.0000,-3.6393E+002
122.0000,-3.6433E+002
123.0000,-3.6151E+002
124.0000,-3.6079E+002
125.0000,-3.6308E+002
126.0000,-3.6503E+002
127.0000,-3.6400E+002
128.0000,-3.5973E+002
129.0000,-3.6245E+002
130.0000,-3.5884E+002
131.0000,-3.6439E+002
132.0000,-3.5649E+002
133.0000,-3.5687E+002
134.0000,-3.6358E+002
135.0000,-3.6757E+002
136.0000,-3.6810E+002
137.0000,-3.6759E+002
138.0000,-3.7188E+002
139.0000,-3.7253E+002
140.0000,-3.7284E+002
141.0000,-3.7034E+002
142.0000,-3.7543E+002
143.0000,-3.7755E+002
144.0000,-3.8266E+002
145.0000,-3.8563E+002
146.0000,-3.8729E+002
147.0000,-3.8210E+002
148.0000,-3.8011E+002
149.0000,-3.7580E+002
150.0000,-3.8620E+002
151.0000,-3.9007E+002
152.0000,-3.7931E+002
153.0000,-3.8818E+002
154.0000,-3.9260E+002
155.0000,-3.8690E+002
156.0000,-3.8030E+002
157.0000,-3.9535E+002
158.0000,-3.9622E+002
159.0000,-3.9623E+002
160.0000,-3.9503E+002
161.0000,-3.9753E+002
162.0000,-3.9450E+002
163.0000,-3.8042E+002
164.0000,-3.9461E+002
165.0000,-3.9768E+002
166.0000,-3.9310E+002
167.0000,-3.9528E+002
168.0000,-3.9681E+002
169.0000,-3.9887E+002
170.0000,-3.8277E+002
171.0000,-3.8943E+002
172.0000,-4.0123E+002
173.0000,-4.0039E+002
174.0000,-3.8924E+002
175.0000,-3.9887E+002
176.0000,-3.9985E+002
177.0000,-3.9987E+002
178.0000,-4.0346E+002
179.0000,-4.0512E+002
180.0000,-4.0543E+002
181.0000,-4.0036E+002
182.0000,-4.0187E+002
183.0000,-4.0296E+002
184.0000,-4.0209E+002
185.0000,-3.9971E+002
186.0000,-3.9152E+002
187.0000,-4.0329E+002
188.0000,-3.8999E+002
189.0000,-3.8261E+002
190.0000,-3.9396E+002
191.0000,-3.9932E+002
192.0000,-4.0913E+002
193.0000,-4.1042E+002
194.0000,-4.1110E+002
195.0000,-4.1128E+002
196.0000,-4.0988E+002
197.0000,-4.0011E+002
198.0000,-4.1011E+002
199.0000,-4.0760E+002
200.0000,-4.1414E+002
201.0000,-4.1527E+002
202.0000,-4.1638E+002
203.0000,-4.1729E+002
204.0000,-4.1785E+002
205.0000,-4.1762E+002
206.0000,-4.1184E+002
207.0000,-4.1943E+002
208.0000,-4.2333E+002
209.0000,-4.1910E+002
210.0000,-4.1444E+002
211.0000,-4.1086E+002
212.0000,-4.2432E+002
213.0000,-4.1622E+002
214.0000,-4.2460E+002
215.0000,-4.1785E+002
216.0000,-4.1384E+002
217.0000,-4.2499E+002
218.0000,-4.2548E+002
219.0000,-4.0296E+002
220.0000,-4.0471E+002
221.0000,-4.0546E+002
222.0000,-4.0447E+002
223.0000,-4.1602E+002
224.0000,-4.1133E+002
225.0000,-4.1603E+002
226.0000,-3.9498E+002
227.0000,-4.0605E+002
228.0000,-4.1072E+002
229.0000,-4.1157E+002
230.0000,-3.9776E+002
231.0000,-4.1955E+002
232.0000,-4.1315E+002
233.0000,-4.1276E+002
234.0000,-4.2011E+002
235.0000,-4.1752E+002
236.0000,-4.2076E+002
237.0000,-4.2201E+002
238.0000,-4.1222E+002
239.0000,-4.1297E+002
240.0000,-4.2114E+002
241.0000,-4.1795E+002
242.0000,-4.1724E+002
243.0000,-4.2087E+002
244.0000,-4.1021E+002
245.0000,-4.1688E+002
246.0000,-4.1948E+002
247.0000,-4.1905E+002
248.0000,-4.2227E+002
249.0000,-4.0814E+002
250.0000,-4.1768E+002
251.0000,-3.8742E+002
252.0000,-4.1268E+002
253.0000,-4.1633E+002
254.0000,-4.1743E+002
255.0000,-4.0174E+002
256.0000,-4.1281E+002
257.0000,-3.8491E+002
258.0000,-3.9908E+002
259.0000,-4.1521E+002
260.0000,-4.0415E+002
261.0000,-4.0090E+002
262.0000,-4.0921E+002
263.0000,-3.9214E+002
264.0000,-3.9487E+002
265.0000,-4.0895E+002
266.0000,-4.1250E+002
267.0000,-4.1323E+002
268.0000,-3.7747E+002
269.0000,-3.8401E+002
270.0000,-4.0736E+002
271.0000,-3.9455E+002
272.0000,-3.9759E+002
273.0000,-3.7212E+002
274.0000,-3.7690E+002
275.0000,-3.8918E+002
276.0000,-3.6100E+002
277.0000,-3.8200E+002
278.0000,-3.9256E+002
279.0000,-3.8579E+002
280.0000,-3.8871E+002
281.0000,-3.8990E+002
282.0000,-3.8196E+002
283.0000,-3.9370E+002
284.0000,-3.7214E+002
285.0000,-3.6555E+002
286.0000,-3.8906E+002
287.0000,-3.8540E+002
288.0000,-3.7378E+002
289.0000,-3.7879E+002
290.0000,-3.5441E+002
291.0000,-3.6667E+002
292.0000,-3.6807E+002
293.0000,-3.8478E+002
294.0000,-3.5558E+002
295.0000,-3.7564E+002
296.0000,-3.7632E+002
297.0000,-3.6560E+002
298.0000,-3.7316E+002
299.0000,-3.7416E+002
300.0000,-3.6090E+002
301.0000,-3.8117E+002
302.0000,-3.7634E+002
303.0000,-3.7856E+002
304.0000,-3.7150E+002
305.0000,-3.5838E+002
306.0000,-3.5186E+002
307.0000,-3.6421E+002
308.0000,-3.4663E+002
309.0000,-3.6810E+002
310.0000,-3.4230E+002
311.0000,-3.5007E+002
312.0000,-3.5097E+002
313.0000,-3.3929E+002
314.0000,-3.4903E+002
315.0000,-3.5903E+002
316.0000,-3.3044E+002
317.0000,-3.3323E+002
318.0000,-3.5590E+002
319.0000,-3.4326E+002
320.0000,-3.4889E+002
321.0000,-3.2454E+002
322.0000,-3.3764E+002
323.0000,-3.4459E+002
324.0000,-3.3982E+002
325.0000,-3.4859E+002
326.0000,-3.4444E+002
327.0000,-3.5362E+002
328.0000,-3.4830E+002
329.0000,-3.4999E+002
330.0000,-3.2585E+002
331.0000,-3.4612E+002
332.0000,-3.4251E+002
333.0000,-3.3690E+002
334.0000,-3.3290E+002
335.0000,-3.4227E+002
336.0000,-3.3413E+002
337.0000,-3.2105E+002
338.0000,-3.2328E+002
339.0000,-3.3186E+002
340.0000,-3.4144E+002
341.0000,-3.4267E+002
342.0000,-3.4220E+002
343.0000,-3.3435E+002
344.0000,-3.3879E+002
345.0000,-3.3233E+002
346.0000,-3.2498E+002
347.0000,-3.0904E+002
348.0000,-3.0938E+002
349.0000,0.0000E+000
350.0000,0.0000E+000
351.0000,0.0000E+000
352.0000,0.0000E+000
353.0000,0.0000E+000
354.0000,0.0000E+000
355.0000,0.0000E+000
356.0000,0.0000E+000
357.0000,0.0000E+000
358.0000,0.0000E+000
359.0000,0.0000E+000
360.0000,0.0000E+000
361.0000,0.0000E+000
362.0000,0.0000E+000
363.0000,0.0000E+000
364.0000,0.0000E+000
365.0000,0.0000E+000
366.0000,0.0000E+000
367.0000,0.0000E+000
368.0000,0.0000E+000
369.0000,0.0000E+000
370.0000,0.0000E+000
371.0000,0.0000E+000
372.0000,0.0000E+000
373.0000,0.0000E+000
374.0000,0.0000E+000
375.0000,0.0000E+000
376.0000,0.0000E+000
377.0000,0.0000E+000
378.0000,0.0000E+000
379.0000,0.0000E+000
380.0000,0.0000E+000
381.0000,0.0000E+000
382.0000,0.0000E+000
383.0000,0.0000E+000
384.0000,0.0000E+000
385.0000,0.0000E+000
386.0000,0.0000E+000
387.0000,0.0000E+000
388.0000,0.0000E+000
389.0000,0.0000E+000
390.0000,0.0000E+000
391.0000,0.0000E+000
392.0000,0.0000E+000
393.0000,0.0000E+000
394.0000,0.0000E+000
395.0000,0.0000E+000
396.0000,0.0000E+000
397.0000,0.0000E+000
398.0000,0.0000E+000
399.0000,0.0000E+000
400.0000,0.0000E+000
401.0000,0.0000E+000
402.0000,0.0000E+000
403.0000,0.0000E+000
404.0000,0.0000E+000
405.0000,0.0000E+000
406.0000,-2.5254E+002
407.0000,0.0000E+000
408.0000,0.0000E+000
409.0000,0.0000E+000
410.0000,0.0000E+000
411.0000,0.0000E+000
412.0000,0.0000E+000
413.0000,0.0000E+000
414.0000,0.0000E+000
415.0000,0.0000E+000
416.0000,0.0000E+000
417.0000,0.0000E+000
418.0000,0.0000E+000
419.0000,0.0000E+000
420.0000,0.0000E+000
421.0000,0.0000E+000
422.0000,0.0000E+000
423.0000,0.0000E+000
424.0000,0.0000E+000
425.0000,0.0000E+000
426.0000,0.0000E+000
427.0000,0.0000E+000
428.0000,0.0000E+000
429.0000,0.0000E+000
430.0000,0.0000E+000
431.0000,-2.5257E+002
432.0000,-2.5257E+002
433.0000,-2.5257E+002
434.0000,-2.5257E+002
435.0000,0.0000E+000
436.0000,-2.5256E+002
437.0000,-2.5256E+002
438.0000,-3.0932E+002
439.0000,0.0000E+000
440.0000,0.0000E+000
441.0000,0.0000E+000
442.0000,0.0000E+000
443.0000,0.0000E+000
444.0000,0.0000E+000
445.0000,0.0000E+000
446.0000,0.0000E+000
447.0000,-2.5253E+002
448.0000,-2.5253E+002
449.0000,0.0000E+000
450.0000,0.0000E+000
451.0000,-2.5253E+002
452.0000,-2.5254E+002
453.0000,0.0000E+000
454.0000,-2.5254E+002
455.0000,-2.5254E+002
456.0000,-2.5254E+002
457.0000,-2.5254E+002
458.0000,-2.5254E+002
459.0000,0.0000E+000
460.0000,-3.0932E+002
461.0000,-3.0932E+002
462.0000,-3.0932E+002
463.0000,-3.0932E+002
464.0000,0.0000E+000
465.0000,0.0000E+000
466.0000,0.0000E+000
467.0000,0.0000E+000
468.0000,0.0000E+000
469.0000,0.0000E+000
470.0000,-2.5252E+002
471.0000,-2.5252E+002
472.0000,-3.0932E+002
473.0000,-2.5251E+002
474.0000,-3.0932E+002
475.0000,-3.0932E+002
476.0000,-3.0932E+002
477.0000,-3.0932E+002
478.0000,0.0000E+000
479.0000,0.0000E+000
480.0000,0.0000E+000
481.0000,0.0000E+000
482.0000,-2.5254E+002
483.0000,-2.5254E+002
484.0000,-2.5254E+002
485.0000,-3.0932E+002
486.0000,-3.0932E+002
487.0000,-3.0932E+002
488.0000,-3.0932E+002
489.0000,-3.0932E+002
490.0000,-3.0932E+002
491.0000,-3.0932E+002
492.0000,-3.0932E+002
493.0000,-3.0932E+002
494.0000,-3.0932E+002
495.0000,-3.3577E+002
496.0000,-3.3795E+002
497.0000,-3.4029E+002
