"",77.800
30.0000,0.0000E+000
31.0000,8.1389E+001
32.0000,7.9501E+001
33.0000,8.4908E+001
34.0000,8.4508E+001
35.0000,8.4832E+001
36.0000,8.6783E+001
37.0000,7.7071E+001
38.0000,2.8384E+001
39.0000,1.9916E+001
40.0000,2.2834E+001
41.0000,2.3994E+001
42.0000,1.4685E+001
43.0000,1.2398E+001
44.0000,1.3360E+001
45.0000,8.9695E+000
46.0000,1.2445E+001
47.0000,1.1298E+001
48.0000,1.0471E+001
49.0000,4.8913E+000
50.0000,3.7154E+000
51.0000,4.0915E+000
52.0000,4.1396E+000
53.0000,4.1701E+000
54.0000,3.9844E+000
55.0000,2.6892E+000
56.0000,1.6504E+000
57.0000,2.3481E+000
58.0000,2.5202E+000
59.0000,2.3166E+000
60.0000,2.0712E+000
61.0000,2.3321E+000
62.0000,1.7310E+000
63.0000,1.6408E+000
64.0000,1.6317E+000
65.0000,1.4652E+000
66.0000,1.5857E+000
67.0000,1.6831E+000
68.0000,2.2823E+000
69.0000,7.8951E+000
70.0000,2.5878E+001
71.0000,5.3363E+001
72.0000,5.6769E+001
73.0000,6.4704E+000
74.0000,1.6075E+000
75.0000,2.3719E+000
76.0000,2.5870E+000
77.0000,2.7230E+000
78.0000,5.8742E+000
79.0000,1.8562E+001
80.0000,6.3720E+001
81.0000,6.1530E+001
82.0000,7.6100E+001
83.0000,8.0291E+001
84.0000,8.2519E+001
85.0000,8.6102E+001
86.0000,8.3360E+001
87.0000,6.7270E+001
88.0000,8.5603E+001
89.0000,9.7124E+001
90.0000,7.8507E+001
91.0000,8.6514E+001
92.0000,9.3592E+001
93.0000,1.0438E+002
94.0000,1.3019E+002
95.0000,1.3279E+002
96.0000,1.5597E+002
97.0000,1.2863E+002
98.0000,1.4459E+002
99.0000,1.0204E+002
100.0000,1.4784E+002
101.0000,1.6596E+002
102.0000,1.4359E+002
103.0000,1.5327E+002
104.0000,1.5719E+002
105.0000,1.6377E+002
106.0000,1.5044E+002
107.0000,1.3084E+002
108.0000,1.6840E+002
109.0000,1.1820E+002
110.0000,1.1705E+002
111.0000,1.6821E+002
112.0000,1.6267E+002
113.0000,1.6261E+002
114.0000,1.7373E+002
115.0000,1.5592E+002
116.0000,1.6828E+002
117.0000,1.7894E+002
118.0000,1.7301E+002
119.0000,1.5313E+002
120.0000,1.3229E+002
121.0000,1.5384E+002
122.0000,1.0036E+002
