"",77.800
30.0000,0.0000E+000
31.0000,0.0000E+000
32.0000,0.0000E+000
33.0000,0.0000E+000
34.0000,0.0000E+000
35.0000,0.0000E+000
36.0000,0.0000E+000
37.0000,0.0000E+000
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,0.0000E+000
41.0000,0.0000E+000
42.0000,0.0000E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,9.1754E-003
57.0000,1.7868E-002
58.0000,1.7868E-002
59.0000,1.7868E-002
60.0000,1.8738E-002
61.0000,2.0026E-002
62.0000,3.2165E-002
63.0000,4.5758E-002
64.0000,4.6734E-002
65.0000,4.6734E-002
66.0000,4.6734E-002
67.0000,4.6734E-002
68.0000,4.6734E-002
69.0000,4.6734E-002
70.0000,4.6734E-002
71.0000,4.3532E-002
72.0000,4.0350E-002
73.0000,3.9729E-002
74.0000,3.9729E-002
75.0000,4.3225E-002
76.0000,4.4118E-002
77.0000,4.4118E-002
78.0000,4.4118E-002
79.0000,4.4118E-002
80.0000,4.2396E-002
81.0000,3.6755E-002
82.0000,3.1777E-002
83.0000,2.8028E-002
84.0000,2.4554E-002
85.0000,2.1584E-002
86.0000,1.9021E-002
87.0000,1.7045E-002
88.0000,1.5270E-002
89.0000,1.3426E-002
90.0000,1.1902E-002
91.0000,1.0645E-002
92.0000,9.4449E-003
93.0000,8.3011E-003
94.0000,0.0000E+000
95.0000,0.0000E+000
96.0000,0.0000E+000
97.0000,0.0000E+000
98.0000,0.0000E+000
99.0000,0.0000E+000
100.0000,0.0000E+000
101.0000,0.0000E+000
102.0000,0.0000E+000
103.0000,0.0000E+000
104.0000,0.0000E+000
105.0000,0.0000E+000
106.0000,0.0000E+000
107.0000,0.0000E+000
108.0000,0.0000E+000
109.0000,0.0000E+000
110.0000,0.0000E+000
111.0000,0.0000E+000
112.0000,0.0000E+000
113.0000,0.0000E+000
114.0000,0.0000E+000
115.0000,0.0000E+000
116.0000,0.0000E+000
117.0000,0.0000E+000
118.0000,0.0000E+000
119.0000,0.0000E+000
120.0000,0.0000E+000
121.0000,0.0000E+000
122.0000,0.0000E+000
123.0000,0.0000E+000
124.0000,0.0000E+000
125.0000,0.0000E+000
126.0000,0.0000E+000
127.0000,0.0000E+000
128.0000,0.0000E+000
129.0000,0.0000E+000
130.0000,0.0000E+000
131.0000,0.0000E+000
132.0000,0.0000E+000
133.0000,0.0000E+000
134.0000,0.0000E+000
135.0000,0.0000E+000
136.0000,0.0000E+000
137.0000,0.0000E+000
138.0000,0.0000E+000
139.0000,0.0000E+000
140.0000,0.0000E+000
141.0000,0.0000E+000
142.0000,0.0000E+000
143.0000,0.0000E+000
144.0000,0.0000E+000
145.0000,0.0000E+000
146.0000,0.0000E+000
147.0000,0.0000E+000
148.0000,0.0000E+000
149.0000,0.0000E+000
150.0000,0.0000E+000
151.0000,0.0000E+000
152.0000,0.0000E+000
153.0000,0.0000E+000
154.0000,0.0000E+000
155.0000,0.0000E+000
156.0000,0.0000E+000
157.0000,0.0000E+000
158.0000,0.0000E+000
159.0000,0.0000E+000
160.0000,0.0000E+000
161.0000,0.0000E+000
162.0000,0.0000E+000
163.0000,0.0000E+000
164.0000,0.0000E+000
165.0000,0.0000E+000
166.0000,0.0000E+000
167.0000,0.0000E+000
168.0000,0.0000E+000
169.0000,0.0000E+000
170.0000,0.0000E+000
171.0000,0.0000E+000
172.0000,0.0000E+000
173.0000,0.0000E+000
174.0000,0.0000E+000
175.0000,0.0000E+000
176.0000,0.0000E+000
177.0000,0.0000E+000
178.0000,0.0000E+000
179.0000,0.0000E+000
180.0000,0.0000E+000
181.0000,0.0000E+000
182.0000,0.0000E+000
183.0000,0.0000E+000
184.0000,0.0000E+000
185.0000,0.0000E+000
186.0000,0.0000E+000
187.0000,0.0000E+000
188.0000,0.0000E+000
189.0000,0.0000E+000
190.0000,0.0000E+000
191.0000,0.0000E+000
192.0000,0.0000E+000
193.0000,0.0000E+000
194.0000,0.0000E+000
195.0000,0.0000E+000
196.0000,0.0000E+000
197.0000,0.0000E+000
198.0000,0.0000E+000
199.0000,0.0000E+000
200.0000,0.0000E+000
201.0000,0.0000E+000
202.0000,0.0000E+000
203.0000,0.0000E+000
204.0000,0.0000E+000
205.0000,0.0000E+000
206.0000,0.0000E+000
207.0000,0.0000E+000
208.0000,0.0000E+000
209.0000,0.0000E+000
210.0000,0.0000E+000
211.0000,0.0000E+000
212.0000,0.0000E+000
213.0000,0.0000E+000
214.0000,0.0000E+000
215.0000,0.0000E+000
216.0000,0.0000E+000
217.0000,0.0000E+000
218.0000,0.0000E+000
219.0000,0.0000E+000
220.0000,0.0000E+000
221.0000,0.0000E+000
222.0000,0.0000E+000
223.0000,0.0000E+000
224.0000,0.0000E+000
225.0000,0.0000E+000
226.0000,0.0000E+000
227.0000,0.0000E+000
228.0000,0.0000E+000
229.0000,0.0000E+000
230.0000,0.0000E+000
231.0000,0.0000E+000
232.0000,0.0000E+000
233.0000,0.0000E+000
234.0000,0.0000E+000
235.0000,0.0000E+000
236.0000,0.0000E+000
237.0000,0.0000E+000
238.0000,0.0000E+000
239.0000,0.0000E+000
240.0000,0.0000E+000
241.0000,0.0000E+000
242.0000,0.0000E+000
243.0000,0.0000E+000
244.0000,0.0000E+000
245.0000,0.0000E+000
246.0000,0.0000E+000
247.0000,0.0000E+000
248.0000,0.0000E+000
249.0000,0.0000E+000
250.0000,0.0000E+000
251.0000,0.0000E+000
252.0000,0.0000E+000
253.0000,0.0000E+000
254.0000,0.0000E+000
255.0000,0.0000E+000
256.0000,0.0000E+000
257.0000,0.0000E+000
258.0000,0.0000E+000
259.0000,0.0000E+000
260.0000,0.0000E+000
261.0000,0.0000E+000
262.0000,0.0000E+000
263.0000,0.0000E+000
264.0000,0.0000E+000
265.0000,0.0000E+000
266.0000,0.0000E+000
267.0000,0.0000E+000
268.0000,0.0000E+000
269.0000,0.0000E+000
270.0000,0.0000E+000
271.0000,0.0000E+000
272.0000,0.0000E+000
273.0000,0.0000E+000
274.0000,0.0000E+000
275.0000,0.0000E+000
276.0000,0.0000E+000
277.0000,0.0000E+000
278.0000,0.0000E+000
279.0000,0.0000E+000
280.0000,0.0000E+000
281.0000,0.0000E+000
282.0000,0.0000E+000
283.0000,0.0000E+000
284.0000,0.0000E+000
285.0000,0.0000E+000
286.0000,0.0000E+000
287.0000,0.0000E+000
288.0000,0.0000E+000
289.0000,0.0000E+000
290.0000,0.0000E+000
291.0000,0.0000E+000
292.0000,0.0000E+000
293.0000,0.0000E+000
294.0000,0.0000E+000
295.0000,0.0000E+000
296.0000,0.0000E+000
297.0000,0.0000E+000
298.0000,0.0000E+000
299.0000,0.0000E+000
300.0000,0.0000E+000
301.0000,0.0000E+000
302.0000,0.0000E+000
303.0000,0.0000E+000
304.0000,0.0000E+000
305.0000,0.0000E+000
306.0000,0.0000E+000
307.0000,0.0000E+000
308.0000,0.0000E+000
309.0000,0.0000E+000
310.0000,0.0000E+000
311.0000,0.0000E+000
312.0000,0.0000E+000
313.0000,0.0000E+000
314.0000,0.0000E+000
315.0000,0.0000E+000
316.0000,0.0000E+000
317.0000,0.0000E+000
318.0000,0.0000E+000
319.0000,0.0000E+000
320.0000,0.0000E+000
321.0000,0.0000E+000
322.0000,0.0000E+000
323.0000,0.0000E+000
324.0000,0.0000E+000
325.0000,0.0000E+000
326.0000,0.0000E+000
327.0000,0.0000E+000
328.0000,0.0000E+000
329.0000,0.0000E+000
330.0000,0.0000E+000
331.0000,0.0000E+000
332.0000,0.0000E+000
333.0000,0.0000E+000
334.0000,0.0000E+000
335.0000,0.0000E+000
336.0000,0.0000E+000
337.0000,0.0000E+000
338.0000,0.0000E+000
339.0000,0.0000E+000
340.0000,0.0000E+000
341.0000,0.0000E+000
342.0000,0.0000E+000
343.0000,0.0000E+000
344.0000,0.0000E+000
345.0000,0.0000E+000
346.0000,0.0000E+000
347.0000,0.0000E+000
348.0000,0.0000E+000
349.0000,0.0000E+000
350.0000,0.0000E+000
351.0000,0.0000E+000
352.0000,0.0000E+000
353.0000,0.0000E+000
354.0000,0.0000E+000
355.0000,0.0000E+000
356.0000,0.0000E+000
357.0000,0.0000E+000
358.0000,0.0000E+000
359.0000,1.0961E-002
360.0000,1.9848E-002
361.0000,1.9987E-002
362.0000,2.0521E-002
363.0000,3.1258E-002
364.0000,4.9269E-002
365.0000,7.1976E-002
366.0000,9.7303E-002
367.0000,1.0701E-001
368.0000,1.0701E-001
369.0000,1.0701E-001
370.0000,1.0701E-001
371.0000,1.0701E-001
372.0000,1.0739E-001
373.0000,1.1691E-001
374.0000,1.2472E-001
375.0000,1.2489E-001
376.0000,1.2489E-001
377.0000,1.2489E-001
378.0000,1.2489E-001
379.0000,1.2489E-001
380.0000,1.2489E-001
381.0000,1.2489E-001
382.0000,1.2489E-001
383.0000,1.2489E-001
384.0000,1.2489E-001
385.0000,1.2489E-001
386.0000,1.2489E-001
387.0000,1.2583E-001
388.0000,1.2583E-001
389.0000,1.2583E-001
390.0000,1.2583E-001
391.0000,1.2583E-001
392.0000,1.2796E-001
393.0000,1.2961E-001
394.0000,1.2975E-001
395.0000,1.3186E-001
396.0000,1.3417E-001
397.0000,1.3508E-001
398.0000,1.4268E-001
399.0000,1.5111E-001
400.0000,1.5217E-001
401.0000,1.5217E-001
402.0000,1.5217E-001
403.0000,1.5244E-001
404.0000,1.5266E-001
405.0000,1.5510E-001
406.0000,1.6408E-001
407.0000,1.8480E-001
408.0000,1.9303E-001
409.0000,1.9303E-001
410.0000,1.9303E-001
411.0000,1.9353E-001
412.0000,1.9704E-001
413.0000,2.0853E-001
414.0000,2.1763E-001
415.0000,2.1763E-001
416.0000,2.1886E-001
417.0000,2.2926E-001
418.0000,2.4840E-001
419.0000,2.5886E-001
420.0000,2.5886E-001
421.0000,2.5967E-001
422.0000,2.6339E-001
423.0000,2.7607E-001
424.0000,3.0519E-001
425.0000,3.2940E-001
426.0000,3.3644E-001
427.0000,3.4331E-001
428.0000,3.4814E-001
429.0000,3.4814E-001
430.0000,3.4814E-001
431.0000,3.4814E-001
432.0000,3.4814E-001
433.0000,3.4814E-001
434.0000,3.4814E-001
435.0000,3.4814E-001
436.0000,3.4814E-001
437.0000,3.4814E-001
438.0000,3.4096E-001
439.0000,3.4042E-001
440.0000,3.4042E-001
441.0000,3.4042E-001
442.0000,3.4042E-001
443.0000,3.4042E-001
444.0000,3.4042E-001
445.0000,3.4042E-001
446.0000,3.4042E-001
447.0000,3.4042E-001
448.0000,3.4042E-001
449.0000,3.4042E-001
450.0000,3.4042E-001
451.0000,3.4042E-001
452.0000,3.4042E-001
453.0000,3.4042E-001
454.0000,3.4042E-001
455.0000,3.4042E-001
456.0000,3.4042E-001
457.0000,3.4042E-001
458.0000,3.4042E-001
459.0000,3.4042E-001
460.0000,3.3120E-001
461.0000,3.0266E-001
462.0000,2.7655E-001
463.0000,2.5328E-001
464.0000,2.3908E-001
465.0000,2.3908E-001
466.0000,2.3908E-001
467.0000,2.3908E-001
468.0000,2.3908E-001
469.0000,2.3908E-001
470.0000,2.3908E-001
471.0000,2.3908E-001
472.0000,2.2426E-001
473.0000,2.1976E-001
474.0000,2.1572E-001
475.0000,1.9521E-001
476.0000,1.7358E-001
477.0000,1.5472E-001
478.0000,1.4639E-001
479.0000,1.4639E-001
480.0000,1.4639E-001
481.0000,1.7756E-001
482.0000,1.8912E-001
483.0000,1.8912E-001
484.0000,1.8848E-001
485.0000,1.6785E-001
486.0000,1.4862E-001
487.0000,1.3110E-001
488.0000,1.1588E-001
489.0000,1.0206E-001
490.0000,9.0933E-002
491.0000,8.1269E-002
492.0000,7.1503E-002
493.0000,6.2798E-002
494.0000,3.3062E-002
495.0000,0.0000E+000
496.0000,0.0000E+000
497.0000,0.0000E+000
498.0000,0.0000E+000
499.0000,0.0000E+000
500.0000,0.0000E+000
501.0000,0.0000E+000
502.0000,0.0000E+000
503.0000,0.0000E+000
504.0000,0.0000E+000
505.0000,0.0000E+000
506.0000,0.0000E+000
507.0000,0.0000E+000
508.0000,0.0000E+000
509.0000,0.0000E+000
510.0000,0.0000E+000
511.0000,0.0000E+000
512.0000,0.0000E+000
513.0000,0.0000E+000
514.0000,0.0000E+000
515.0000,0.0000E+000
516.0000,0.0000E+000
517.0000,0.0000E+000
518.0000,0.0000E+000
519.0000,0.0000E+000
520.0000,0.0000E+000
521.0000,0.0000E+000
522.0000,0.0000E+000
523.0000,0.0000E+000
524.0000,0.0000E+000
525.0000,0.0000E+000
526.0000,0.0000E+000
527.0000,0.0000E+000
528.0000,0.0000E+000
529.0000,0.0000E+000
530.0000,0.0000E+000
531.0000,0.0000E+000
532.0000,0.0000E+000
533.0000,0.0000E+000
534.0000,0.0000E+000
535.0000,0.0000E+000
536.0000,0.0000E+000
537.0000,0.0000E+000
538.0000,0.0000E+000
539.0000,0.0000E+000
540.0000,0.0000E+000
541.0000,0.0000E+000
542.0000,0.0000E+000
543.0000,0.0000E+000
544.0000,0.0000E+000
545.0000,0.0000E+000
546.0000,0.0000E+000
547.0000,0.0000E+000
548.0000,0.0000E+000
549.0000,0.0000E+000
550.0000,0.0000E+000
551.0000,0.0000E+000
552.0000,0.0000E+000
553.0000,0.0000E+000
554.0000,0.0000E+000
555.0000,0.0000E+000
556.0000,0.0000E+000
557.0000,0.0000E+000
558.0000,0.0000E+000
559.0000,0.0000E+000
560.0000,0.0000E+000
561.0000,0.0000E+000
562.0000,0.0000E+000
563.0000,0.0000E+000
564.0000,0.0000E+000
565.0000,0.0000E+000
566.0000,0.0000E+000
567.0000,0.0000E+000
568.0000,0.0000E+000
569.0000,0.0000E+000
570.0000,0.0000E+000
571.0000,0.0000E+000
572.0000,0.0000E+000
573.0000,0.0000E+000
574.0000,0.0000E+000
575.0000,0.0000E+000
576.0000,0.0000E+000
577.0000,0.0000E+000
578.0000,0.0000E+000
579.0000,0.0000E+000
580.0000,0.0000E+000
581.0000,0.0000E+000
582.0000,0.0000E+000
583.0000,0.0000E+000
584.0000,0.0000E+000
585.0000,0.0000E+000
586.0000,0.0000E+000
587.0000,0.0000E+000
588.0000,0.0000E+000
589.0000,0.0000E+000
590.0000,0.0000E+000
591.0000,0.0000E+000
592.0000,0.0000E+000
593.0000,0.0000E+000
594.0000,0.0000E+000
595.0000,0.0000E+000
596.0000,0.0000E+000
597.0000,0.0000E+000
598.0000,0.0000E+000
599.0000,0.0000E+000
600.0000,0.0000E+000
601.0000,0.0000E+000
602.0000,0.0000E+000
603.0000,0.0000E+000
604.0000,0.0000E+000
605.0000,0.0000E+000
606.0000,0.0000E+000
607.0000,0.0000E+000
608.0000,0.0000E+000
609.0000,0.0000E+000
610.0000,0.0000E+000
611.0000,0.0000E+000
612.0000,0.0000E+000
613.0000,0.0000E+000
614.0000,0.0000E+000
615.0000,0.0000E+000
616.0000,0.0000E+000
617.0000,0.0000E+000
618.0000,0.0000E+000
619.0000,0.0000E+000
620.0000,0.0000E+000
621.0000,0.0000E+000
622.0000,0.0000E+000
623.0000,0.0000E+000
624.0000,0.0000E+000
625.0000,0.0000E+000
626.0000,0.0000E+000
627.0000,0.0000E+000
628.0000,0.0000E+000
629.0000,0.0000E+000
630.0000,0.0000E+000
631.0000,0.0000E+000
632.0000,0.0000E+000
633.0000,0.0000E+000
634.0000,0.0000E+000
635.0000,0.0000E+000
636.0000,0.0000E+000
637.0000,0.0000E+000
638.0000,0.0000E+000
639.0000,0.0000E+000
640.0000,0.0000E+000
641.0000,0.0000E+000
642.0000,0.0000E+000
643.0000,0.0000E+000
644.0000,0.0000E+000
645.0000,0.0000E+000
646.0000,0.0000E+000
647.0000,0.0000E+000
648.0000,0.0000E+000
649.0000,0.0000E+000
650.0000,0.0000E+000
651.0000,0.0000E+000
652.0000,0.0000E+000
653.0000,0.0000E+000
654.0000,0.0000E+000
655.0000,0.0000E+000
656.0000,0.0000E+000
657.0000,0.0000E+000
658.0000,0.0000E+000
659.0000,0.0000E+000
660.0000,0.0000E+000
661.0000,0.0000E+000
662.0000,0.0000E+000
663.0000,0.0000E+000
664.0000,0.0000E+000
665.0000,0.0000E+000
666.0000,0.0000E+000
667.0000,0.0000E+000
668.0000,0.0000E+000
669.0000,0.0000E+000
670.0000,0.0000E+000
671.0000,0.0000E+000
672.0000,0.0000E+000
673.0000,0.0000E+000
674.0000,0.0000E+000
675.0000,0.0000E+000
676.0000,0.0000E+000
677.0000,0.0000E+000
678.0000,0.0000E+000
679.0000,0.0000E+000
680.0000,0.0000E+000
681.0000,0.0000E+000
682.0000,0.0000E+000
683.0000,0.0000E+000
684.0000,0.0000E+000
685.0000,0.0000E+000
686.0000,0.0000E+000
687.0000,0.0000E+000
688.0000,0.0000E+000
689.0000,0.0000E+000
690.0000,0.0000E+000
691.0000,0.0000E+000
692.0000,0.0000E+000
693.0000,0.0000E+000
694.0000,0.0000E+000
695.0000,0.0000E+000
696.0000,0.0000E+000
697.0000,0.0000E+000
698.0000,0.0000E+000
699.0000,0.0000E+000
700.0000,0.0000E+000
701.0000,0.0000E+000
702.0000,0.0000E+000
703.0000,0.0000E+000
704.0000,0.0000E+000
705.0000,0.0000E+000
706.0000,0.0000E+000
707.0000,0.0000E+000
708.0000,0.0000E+000
709.0000,0.0000E+000
710.0000,0.0000E+000
711.0000,0.0000E+000
712.0000,0.0000E+000
713.0000,0.0000E+000
714.0000,0.0000E+000
715.0000,0.0000E+000
716.0000,0.0000E+000
717.0000,0.0000E+000
718.0000,0.0000E+000
719.0000,0.0000E+000
720.0000,0.0000E+000
721.0000,0.0000E+000
722.0000,0.0000E+000
723.0000,0.0000E+000
724.0000,0.0000E+000
725.0000,0.0000E+000
726.0000,0.0000E+000
727.0000,0.0000E+000
728.0000,0.0000E+000
729.0000,0.0000E+000
730.0000,0.0000E+000
731.0000,0.0000E+000
732.0000,0.0000E+000
733.0000,0.0000E+000
734.0000,0.0000E+000
735.0000,0.0000E+000
736.0000,0.0000E+000
737.0000,0.0000E+000
738.0000,0.0000E+000
739.0000,0.0000E+000
740.0000,0.0000E+000
741.0000,0.0000E+000
742.0000,0.0000E+000
743.0000,0.0000E+000
744.0000,0.0000E+000
745.0000,0.0000E+000
746.0000,0.0000E+000
747.0000,0.0000E+000
748.0000,0.0000E+000
749.0000,0.0000E+000
750.0000,0.0000E+000
751.0000,0.0000E+000
752.0000,0.0000E+000
753.0000,0.0000E+000
754.0000,0.0000E+000
755.0000,0.0000E+000
756.0000,0.0000E+000
757.0000,0.0000E+000
758.0000,0.0000E+000
759.0000,0.0000E+000
760.0000,0.0000E+000
761.0000,0.0000E+000
762.0000,0.0000E+000
763.0000,0.0000E+000
764.0000,0.0000E+000
765.0000,0.0000E+000
766.0000,0.0000E+000
767.0000,0.0000E+000
768.0000,0.0000E+000
769.0000,0.0000E+000
770.0000,0.0000E+000
771.0000,0.0000E+000
772.0000,0.0000E+000
773.0000,0.0000E+000
774.0000,0.0000E+000
