wind_speed,swr,fetch_lk,c_relax_C,par_id
1.0568,0.88308,51713,0.053984,p001
1.0014,0.82508,53440,0.025207,p002
1.0871,1.0861,39302,0.02447,p003
1.015,0.80199,27302,0.042946,p004
1.0783,1.0807,11998,0.031623,p005
1.0653,0.84904,64000,0.059665,p006
1.1498,1.167,6904.6,0.084136,p007
0.84527,0.93917,40193,0.014066,p008
1.153,0.96681,45136,0.098845,p009
0.89542,0.97875,6047.5,0.043734,p010
1.1562,1.1199,62078,0.097597,p011
0.87839,1.1943,66842,0.035447,p012
1.1837,0.97364,52365,0.018314,p013
0.99752,0.96245,28874,0.0084949,p014
1.102,0.94893,3904.2,0.027961,p015
1.0523,1.0682,18582,0.071518,p016
0.94718,1.1967,11651,0.0027613,p017
0.822,0.87678,69477,0.060415,p018
0.98713,1.0753,23262,0.095841,p019
1.1366,0.90804,5144.8,0.065388,p020
0.93055,0.85803,55333,0.051567,p021
1.0738,0.84509,37957,0.048441,p022
1.1841,0.85495,62891,0.050278,p023
0.91193,0.94418,27725,0.040274,p024
1.0265,1.0414,34517,0.058973,p025
0.97403,0.94066,7509.5,0.026632,p026
1.1632,1.1071,46465,0.0065341,p027
0.85122,1.0193,70176,0.069219,p028
0.91627,1.1204,49035,0.092162,p029
0.95146,1.1327,58684,0.019062,p030
1.071,0.86203,30600,0.01529,p031
1.1915,0.87061,33830,0.07676,p032
0.95238,0.8137,20860,0.093628,p033
1.1074,0.87508,31618,0.061156,p034
1.1727,0.99994,73277,0.028423,p035
0.87492,0.83235,4758.2,0.0037372,p036
1.1955,0.97083,37067,0.066053,p037
1.0306,1.1898,45589,0.022993,p038
1.0425,1.0938,48283,0.030285,p039
0.80248,1.0989,60518,0.082736,p040
0.95813,0.95575,9491.9,0.021193,p041
1.0349,0.89323,36718,0.068899,p042
1.0963,0.90791,65406,0.083768,p043
1.1323,1.0262,14033,0.055954,p044
1.0901,1.0616,28773,0.033416,p045
0.90725,1.1261,38719,0.081811,p046
1.0951,1.0774,32411,0.073176,p047
1.1097,1.0467,66438,0.045796,p048
1.0073,1.1824,59492,0.063756,p049
0.85735,1.1001,1333.5,0.010022,p050
1.0091,1.1564,63576,0.056555,p051
1.0224,1.1854,23822,0.064995,p052
0.86454,1.0349,8440.9,0.0094103,p053
0.93789,1.1708,57899,0.029494,p054
1.0462,1.1546,42100,0.072543,p055
1.1218,0.83646,72036,0.062917,p056
0.92736,0.91604,73978,0.01225,p057
1.0518,1.1092,16049,0.096526,p058
0.83755,0.90316,3448.5,0.017607,p059
0.86159,0.80592,44406,0.070983,p060
0.81539,1.1407,41291,0.049629,p061
1.1409,1.0644,56256,0.039085,p062
1.1469,0.93199,16532,0.046392,p063
0.98866,1.0112,53104,0.057267,p064
0.96977,0.99373,47894,0.087419,p065
1.1706,0.9563,29774,0.085638,p066
0.92063,0.92511,22795,0.020972,p067
0.80694,0.88987,2606.8,0.077825,p068
0.84236,0.88672,67677,0.0051468,p069
0.90172,1.1129,8968.9,0.080282,p070
0.96583,0.98517,25238,0.023439,p071
1.1273,0.84318,47055,0.067068,p072
0.91283,1.1725,35852,0.054274,p073
1.1785,1.1462,20117,0.041164,p074
0.88051,0.93576,57197,0.07464,p075
0.83161,0.80962,1221.5,0.090033,p076
1.198,1.1287,17297,0.09158,p077
1.1152,1.1768,25031,0.079622,p078
0.98326,1.1493,15268,0.038026,p079
0.87089,0.81751,50159,0.00095736,p080
0.96173,1.0901,54212,0.00774,p081
0.85366,1.0013,13586,0.0011313,p082
0.89661,1.0236,42681,0.047903,p083
0.81795,1.1631,74891,0.052409,p084
0.93475,1.1367,64759,0.07545,p085
0.97962,0.92315,35075,0.036356,p086
1.1192,0.98986,25943,0.011037,p087
0.8873,1.0503,21468,0.013578,p088
1.1288,1.0042,10498,0.099299,p089
1.0192,1.0598,32793,0.044537,p090
0.83398,0.86449,61203,0.016471,p091
0.94396,0.9815,19547,0.037171,p092
1.0607,1.0307,68421,0.078386,p093
1.1672,1.0123,51065,0.0048175,p094
0.99386,0.89608,56841,0.094282,p095
0.80905,1.0387,71895,0.032638,p096
1.0368,0.82943,13108,0.086793,p097
0.89184,0.82146,18162,0.034619,p098
0.82596,1.0536,70975,0.088624,p099
1.0813,0.91267,43264,0.089005,p100
