wind_speed,swr,mixing/coef_mix_hyp,light/Kw,par_id
1.049,1.1867,8.4504e-05,0.37486,p0001
1.0844,0.80325,5.3597e-05,0.27719,p0002
0.91095,0.8199,5.8587e-05,0.56648,p0003
1.142,0.984,8.3942e-05,0.2429,p0004
1.0553,1.0713,5.9629e-05,0.53234,p0005
0.90857,0.82318,5.6245e-05,0.64383,p0006
0.91025,1.0239,3.686e-05,0.33666,p0007
0.99843,1.0303,3.0297e-05,0.32494,p0008
0.98215,1.0534,4.4026e-05,0.62213,p0009
1.1904,0.85567,9.22e-06,0.24621,p0010
1.199,0.95758,2.5394e-05,0.25097,p0011
1.1425,0.89046,2.7089e-05,0.21163,p0012
1.0073,1.0044,3.3901e-05,0.67256,p0013
0.81845,1.0813,1.6123e-05,0.61192,p0014
1.0544,1.0964,8.0739e-05,0.56925,p0015
0.99037,0.97175,8.257e-05,0.53153,p0016
0.98377,1.1177,5.1725e-05,0.78074,p0017
1.1433,0.82731,2.7341e-06,0.66304,p0018
1.1549,1.1364,7.3574e-05,0.24206,p0019
0.81477,1.0927,9.0545e-05,0.6286,p0020
1.1309,0.85149,9.4562e-05,0.27217,p0021
0.99163,1.1813,6.9476e-05,0.35527,p0022
1.0675,1.1646,5.5236e-05,0.62373,p0023
0.97784,1.1307,4.5228e-05,0.60408,p0024
0.86138,1.044,7.6067e-05,0.23403,p0025
0.88146,1.0276,8.6984e-05,0.23128,p0026
1.0316,0.91015,2.7292e-05,0.62801,p0027
0.84938,0.84242,3.0224e-05,0.50721,p0028
1.0681,1.0215,7.7124e-05,0.53727,p0029
1.1031,0.81891,7.1344e-05,0.73673,p0030
1.0712,1.0038,9.6974e-05,0.54991,p0031
0.80168,0.82922,6.2681e-05,0.44324,p0032
1.0897,1.0492,5.2155e-05,0.42048,p0033
1.1961,0.81764,4.7929e-05,0.6562,p0034
1.0045,0.90422,6.0493e-05,0.74375,p0035
1.1759,0.80497,1.4788e-05,0.71565,p0036
0.97976,1.0105,4.4735e-05,0.2412,p0037
1.1289,1.0297,3.7869e-05,0.70274,p0038
0.92174,1.0952,2.5931e-05,0.20904,p0039
0.81275,0.89675,8.0091e-05,0.51116,p0040
0.80057,0.85016,8.1862e-05,0.75608,p0041
0.96804,1.0669,4.9897e-05,0.68118,p0042
1.1889,1.1512,4.4534e-05,0.30535,p0043
1.0873,0.94636,9.6464e-05,0.7409,p0044
0.99889,1.0087,1.7031e-05,0.52199,p0045
0.98538,0.89333,3.2886e-05,0.48004,p0046
1.185,0.94979,1.2026e-05,0.2735,p0047
0.96757,1.0916,8.312e-05,0.6891,p0048
1.1188,0.87103,4.8552e-05,0.53043,p0049
0.90255,1.1471,1.4683e-05,0.46736,p0050
1.0317,0.9149,7.0919e-05,0.33288,p0051
0.80213,1.1957,7.3046e-05,0.45308,p0052
1.0131,1.0912,6.5068e-05,0.55846,p0053
0.85331,0.83234,2.6857e-05,0.38701,p0054
1.1334,1.0026,5.1444e-06,0.79074,p0055
0.89368,1.1015,4.8025e-05,0.48247,p0056
0.902,0.86961,7.6243e-05,0.76715,p0057
0.96196,1.0034,8.562e-05,0.32385,p0058
1.0152,1.0822,2.4848e-05,0.56823,p0059
1.1246,0.97425,1.8869e-05,0.46191,p0060
0.96372,1.0179,7.0185e-05,0.49573,p0061
1.1604,1.0691,7.5024e-05,0.2294,p0062
1.0891,1.1231,8.4697e-05,0.26536,p0063
1.0913,0.94517,4.7771e-05,0.42334,p0064
1.1297,0.88752,8.2032e-05,0.29417,p0065
1.0373,0.84758,2.3788e-07,0.22934,p0066
0.89917,1.1746,9.8278e-06,0.43434,p0067
1.0946,1.177,4.5859e-05,0.57591,p0068
0.85651,0.93391,8.9225e-05,0.2543,p0069
1.1821,1.0013,4.3883e-06,0.42182,p0070
0.91974,0.86219,7.7043e-06,0.6755,p0071
1.1356,1.1963,6.1928e-07,0.57015,p0072
0.87445,1.0182,1.5211e-05,0.39288,p0073
0.91448,0.81207,8.0965e-05,0.60921,p0074
0.88959,1.1662,2.0077e-06,0.28505,p0075
0.9229,1.1767,3.9022e-05,0.68246,p0076
1.0252,0.91766,2.6634e-06,0.7205,p0077
1.1787,1.1634,3.9549e-05,0.58124,p0078
0.8072,0.88527,1.08e-05,0.65917,p0079
1.102,0.81803,6.1189e-05,0.35648,p0080
1.17,0.94236,6.3853e-05,0.7302,p0081
0.83229,0.80273,1.9298e-05,0.52558,p0082
1.0594,0.85553,4.753e-05,0.69528,p0083
0.9397,0.9025,2.3612e-05,0.45117,p0084
0.91127,0.84353,7.9123e-05,0.27645,p0085
0.93699,0.99912,4.2264e-05,0.37124,p0086
0.82903,0.87419,5.2522e-05,0.35598,p0087
0.82718,1.0966,4.8121e-06,0.37312,p0088
0.80253,1.1294,8.8148e-05,0.5267,p0089
1.1054,1.1335,1.2634e-05,0.34546,p0090
1.191,1.1222,4.377e-05,0.28432,p0091
1.0952,0.88948,4.4384e-05,0.78187,p0092
0.94076,1.1089,8.6554e-05,0.6988,p0093
1.1185,0.83563,7.6386e-05,0.33056,p0094
0.8627,0.85249,2.5097e-05,0.67283,p0095
0.90991,0.91594,6.8654e-05,0.78386,p0096
0.93361,0.93689,2.6054e-05,0.77494,p0097
1.193,0.93506,4.1993e-05,0.26396,p0098
1.0691,1.1837,1.5982e-05,0.56232,p0099
0.99647,1.0876,5.7743e-05,0.59872,p0100
1.1266,1.1688,7.3195e-05,0.4897,p0101
0.80412,1.1905,5.2848e-05,0.76105,p0102
1.1736,0.87279,1.0557e-05,0.70127,p0103
0.8221,0.98835,2.9571e-06,0.44411,p0104
0.83444,0.90193,5.6139e-05,0.61955,p0105
