wind_speed,swr,turb_param/k_min,g2/constant_value,g1/constant_value,A/constant_value,par_id
0.99904,0.96325,1.0342e-10,3.3912,0.50485,0.75484,p0001
1.0991,0.81761,1.4888e-12,1.5408,0.62566,0.70946,p0002
0.89872,1.0105,2.4679e-06,3.4653,0.56855,0.91469,p0003
0.96699,0.90181,3.4158e-09,0.64078,0.77909,0.89474,p0004
1.005,0.8395,1.2213e-06,3.4417,0.5168,0.95398,p0005
0.84699,1.068,0.00037793,2.7415,0.48325,1.0634,p0006
1.1728,0.81122,1.0957e-08,3.116,0.56634,1.0238,p0007
0.87783,0.85222,2.7746e-14,1.4658,0.6726,1.0552,p0008
1.1159,0.85094,7.2466e-11,0.79384,0.56055,0.8183,p0009
1.1719,1.0341,1.4975e-07,3.1303,0.71052,0.8049,p0010
1.0601,0.885,1.3423e-11,0.6048,0.63823,0.84881,p0011
0.88953,0.87027,1.3267e-06,2.8438,0.6185,0.89723,p0012
1.1947,0.92732,5.2112e-09,3.023,0.44201,0.77413,p0013
0.96477,0.96954,4.7233e-09,1.7002,0.6533,0.83386,p0014
1.0024,0.98553,9.5299e-06,2.6457,0.73246,0.76613,p0015
0.97046,0.86082,6.9659e-09,3.0834,0.68019,0.99002,p0016
0.88091,0.97416,1.6415e-09,1.6984,0.42375,0.84997,p0017
0.86579,1.0496,1.6108e-10,0.93821,0.63537,0.86783,p0018
0.91959,1.0634,1.2393e-13,2.2162,0.7545,0.71372,p0019
1.1875,1.1851,4.0322e-09,0.71605,0.51203,0.71861,p0020
0.85303,0.80578,4.6883e-07,2.1594,0.63882,1.0679,p0021
1.1512,0.92157,5.4533e-13,1.5748,0.76806,0.86844,p0022
1.1677,1.1181,6.8332e-13,2.8695,0.51149,0.70568,p0023
0.89552,1.0261,6.2372e-11,2.0863,0.6088,1.0879,p0024
1.0595,1.0508,3.9716e-13,0.50005,0.62041,1.0686,p0025
1.1096,0.85804,7.6732e-15,2.1143,0.67755,0.72418,p0026
0.83754,1.0776,1.4813e-11,3.3412,0.63634,0.90878,p0027
0.91243,1.1165,2.7438e-11,2.9973,0.63069,1.0416,p0028
0.9907,1.1226,2.5716e-05,1.2417,0.51371,1.0824,p0029
1.0557,1.1315,2.2506e-07,2.0301,0.54481,0.8789,p0030
0.97508,0.92302,3.7162e-11,1.3378,0.42752,0.82521,p0031
0.81965,0.88549,6.6722e-14,1.5338,0.66063,1.0315,p0032
0.85399,0.86165,5.5917e-14,0.55388,0.65253,0.87961,p0033
0.97657,0.87817,9.9297e-15,3.146,0.63233,1.0947,p0034
1.0144,1.0997,8.1136e-14,1.2732,0.45229,1.0257,p0035
1.1998,0.80603,2.3002e-11,2.8355,0.57874,0.97739,p0036
1.1767,0.9861,4.6788e-14,2.1299,0.71922,0.76053,p0037
1.0087,1.0357,2.3201e-14,2.6084,0.45695,0.90714,p0038
1.0643,1.0921,2.4066e-12,3.4932,0.68731,0.92415,p0039
1.0758,1.0609,1.0438e-13,1.915,0.60579,0.81073,p0040
1.0162,1.1952,1.0824e-14,1.0491,0.53668,0.88345,p0041
1.1284,0.96678,7.3029e-05,2.627,0.45604,1.0141,p0042
1.1762,1.1522,1.4629e-07,3.2549,0.4702,0.96686,p0043
1.1255,1.1403,0.00012889,2.0464,0.43695,1.0689,p0044
