wind_speed,swr,Phys.par/C_shelter,Phys.par/Kz_ak,Phys.par/Kz_ak_ice,par_id
1.1656,1.1827,0.10218,0.071544,0.0047362,p001
0.82958,1.1063,0.12007,0.027168,0.0025142,p002
0.90891,0.81527,0.18736,0.12298,0.0075294,p003
0.96702,1.1429,0.11924,0.056527,0.0058289,p004
0.81273,1.0776,0.17441,0.021657,0.0034275,p005
1.0802,0.92833,0.13523,0.12142,0.0063528,p006
1.0722,1.1123,0.15457,0.17321,0.0027286,p007
0.99397,0.95099,0.18898,0.27154,0.0089118,p008
1.1128,1.1573,0.12364,0.10916,0.0018271,p009
0.9972,1.1774,0.15366,0.11292,0.0033734,p010
0.97069,0.87373,0.12571,0.21542,0.0025946,p011
1.0322,0.92426,0.14983,0.16734,0.0014933,p012
1.1018,1.1187,0.18452,0.0479,0.0064442,p013
1.0034,0.91854,0.10041,0.058999,0.0010972,p014
0.90628,0.9555,0.15635,0.1569,0.0019094,p015
1.1059,0.88996,0.17678,0.037984,0.0078885,p016
0.98596,1.0489,0.11472,0.054253,0.0078038,p017
0.98053,0.94417,0.1506,0.26404,0.0036721,p018
0.8448,1.0958,0.13928,0.20162,0.0077184,p019
0.9441,1.1106,0.19367,0.0095837,0.0056355,p020
0.84208,0.8702,0.16311,0.031932,0.0073483,p021
0.83812,0.86012,0.19442,0.063504,0.0049363,p022
1.0069,1.14,0.14797,0.09533,0.0082067,p023
0.89973,1.1004,0.19818,0.2971,0.0010613,p024
1.0249,1.1213,0.18141,0.22744,0.0024115,p025
0.91338,1.0031,0.11646,0.2599,0.0057736,p026
1.1329,0.99474,0.14896,0.23574,0.008171,p027
1.0703,0.85434,0.18588,0.22166,0.0069965,p028
0.95427,1.097,0.13438,0.12787,0.0058859,p029
0.97295,0.81602,0.14656,0.008852,0.0001502,p030
1.0906,1.197,0.12795,0.080636,0.0055881,p031
1.0676,0.8364,0.17107,0.01755,0.0071291,p032
1.1118,0.97338,0.13072,0.23077,0.0088344,p033
