wind_speed,swr,a_seiche,par_id
1.0195,0.99459,0.097547,p001
0.85681,0.89829,0.29408,p002
1.0129,1.149,0.10891,p003
0.99866,1.0433,0.13399,p004
0.84816,0.84972,0.27478,p005
0.95539,1.136,0.1693,p006
0.84074,0.84644,0.28729,p007
0.94358,0.87582,0.17453,p008
1.0768,1.0938,0.23228,p009
0.88428,0.89478,0.15046,p010
0.85017,1.0475,0.078841,p011
1.073,0.86516,0.030339,p012
1.0329,1.0239,0.14891,p013
0.97465,1.0758,0.23256,p014
0.88846,0.9599,0.095023,p015
0.91875,1.1739,0.057165,p016
1.1303,0.98975,0.0099174,p017
1.0222,1.1015,0.20486,p018
1.1765,1.052,0.23462,p019
1.0538,0.80677,0.23874,p020
1.1277,0.92105,0.28304,p021
0.90745,0.82767,0.22338,p022
0.94962,1.0646,0.29106,p023
1.165,0.9275,0.1619,p024
1.0153,1.001,0.20762,p025
0.98032,1.1253,0.14386,p026
1.0786,1.0334,0.069087,p027
1.1396,0.8879,0.067278,p028
1.1018,1.1504,0.24136,p029
0.99332,0.94376,0.031623,p030
0.95047,0.9703,0.14747,p031
0.8804,0.88818,0.22665,p032
0.83649,0.89392,0.26755,p033
1.0716,1.1073,0.27763,p034
0.9733,1.1624,0.14562,p035
1.005,1.1907,0.11441,p036
1.0982,0.91246,0.12631,p037
1.0879,0.81176,0.089305,p038
1.1363,0.85922,0.15199,p039
0.98756,0.80431,0.12802,p040
1.1751,0.99377,0.24438,p041
0.92729,1.1098,0.073943,p042
0.8207,0.91681,0.18435,p043
1.1583,0.9141,0.1933,p044
0.85828,0.8561,0.24822,p045
1.1283,1.1773,0.056816,p046
0.82218,1.049,0.18111,p047
1.0905,1.0894,0.13751,p048
0.88391,1.0871,0.099141,p049
1.0679,0.91001,0.16298,p050
0.93314,1.194,0.08099,p051
1.0022,1.1145,0.20365,p052
1.1113,0.95758,0.19,p053
0.82839,1.0719,0.072959,p054
1.1235,1.0218,0.19489,p055
1.051,0.81331,0.081607,p056
1.0973,0.97764,0.11809,p057
1.0111,1.0994,0.15672,p058
0.93861,1.0624,0.035714,p059
0.9785,1.1318,0.048673,p060
1.1474,1.0955,0.21378,p061
1.1544,1.1851,0.0056036,p062
1.1033,0.80172,0.11011,p063
0.94628,1.0671,0.23735,p064
1.0352,0.81911,0.015227,p065
1.0006,0.82939,0.22543,p066
1.1252,1.0543,0.0509,p067
0.92253,1.0244,0.044504,p068
0.8445,0.93013,0.02661,p069
1.1921,1.0917,0.006617,p070
1.2,0.83056,0.18744,p071
0.89028,1.1892,0.27362,p072
0.81907,1.1663,0.19666,p073
0.98301,1.1753,0.12924,p074
0.86471,1.0347,0.028314,p075
0.89683,0.9032,0.25749,p076
0.99655,0.83471,0.0019299,p077
0.96019,0.83333,0.17052,p078
1.1092,1.0969,0.086083,p079
0.89464,1.193,0.26853,p080
1.1444,0.82012,0.096837,p081
1.1602,0.99772,0.201,p082
0.87138,1.1117,0.062659,p083
1.0373,0.80302,0.033535,p084
0.90589,0.97597,0.25115,p085
0.83535,0.9042,0.083256,p086
0.97799,1.1292,0.28065,p087
0.83179,1.1607,0.1674,p088
1.1187,1.0079,0.018,p089
0.87977,0.89637,0.10395,p090
0.82603,0.93207,0.24187,p091
1.0438,1.1026,0.17585,p092
0.96686,1.0404,0.24976,p093
0.92504,0.95033,0.17861,p094
1.142,1.1684,0.19625,p095
0.80036,1.0442,0.15974,p096
1.1578,0.97858,0.1658,p097
0.96518,1.0581,0.21755,p098
1.0489,1.0361,0.27925,p099
1.107,1.0182,0.11556,p100
1.1626,0.81678,0.042363,p101
0.99128,0.89007,0.075548,p102
0.96238,0.98126,0.28463,p103
0.91383,0.86629,0.060968,p104
1.1537,1.1179,0.22913,p105
1.1323,0.96293,0.041824,p106
0.80631,1.0567,0.2666,p107
1.0758,0.94637,0.29707,p108
0.95346,0.8604,0.020899,p109
1.1412,0.83614,0.25485,p110
1.1056,1.141,0.021112,p111
1.0269,1.0504,0.063343,p112
0.93499,1.012,0.10328,p113
1.0928,1.0388,0.00041792,p114
0.8663,1.1995,0.15805,p115
1.0249,0.8381,0.21256,p116
1.1173,0.98686,0.19837,p117
1.0585,0.90083,0.22167,p118
0.82445,0.99036,0.21598,p119
0.86177,0.93559,0.036563,p120
1.0546,1.16,0.053168,p121
1.016,1.1705,0.23008,p122
0.83237,0.86265,0.038184,p123
1.1821,0.82343,0.29904,p124
0.81186,0.96838,0.26072,p125
0.98558,0.96534,0.085325,p126
0.9297,0.95258,0.16476,p127
0.81372,1.1392,0.2761,p128
0.94192,1.1432,0.064678,p129
0.9163,0.90759,0.12537,p130
0.91057,1.1541,0.2582,p131
1.1345,0.85149,0.13583,p132
0.97117,1.1344,0.13253,p133
1.0952,0.99978,0.22377,p134
0.99402,0.94523,0.1535,p135
1.0469,1.0734,0.059391,p136
0.80918,0.81556,0.023392,p137
1.0659,0.84158,0.21978,p138
1.0209,1.1138,0.092109,p139
1.0565,0.82539,0.014135,p140
1.0806,0.9664,0.26431,p141
1.0822,0.88036,0.14511,p142
1.0409,0.92388,0.1228,p143
1.1787,0.80983,0.17849,p144
1.0388,0.96172,0.039968,p145
0.93708,1.1819,0.24661,p146
1.1812,0.85573,0.054699,p147
1.0061,0.94032,0.19102,p148
1.0847,0.88434,0.18477,p149
0.83907,1.1869,0.25322,p150
1.1696,1.0158,0.12364,p151
0.89874,1.1206,0.04772,p152
0.87601,1.1823,0.1736,p153
0.86956,1.1966,0.088355,p154
1.1905,0.94852,0.1199,p155
1.1847,1.154,0.10139,p156
1.1725,0.90894,0.23584,p157
0.90289,0.93979,0.02421,p158
0.81732,0.97201,0.15584,p159
1.1894,1.164,0.012468,p160
1.0293,1.0048,0.25527,p161
0.95741,1.1236,0.18209,p162
1.0451,1.0831,0.091019,p163
0.8878,0.87202,0.1381,p164
0.92144,1.0164,0.26315,p165
0.85241,0.98235,0.20875,p166
1.1132,0.8534,0.29566,p167
0.90056,0.84289,0.28985,p168
1.1701,1.146,0.010872,p169
0.87244,0.93738,0.28635,p170
0.85537,0.91875,0.20097,p171
1.0315,1.1264,0.10517,p172
0.84612,1.1786,0.17102,p173
0.89277,1.0766,0.0030996,p174
1.0886,1.0608,0.28803,p175
0.87575,1.0034,0.046217,p176
0.91454,1.0118,0.051296,p177
1.1143,1.0849,0.09394,p178
0.80428,1.0686,0.2723,p179
1.1866,1.0293,0.18751,p180
0.80345,1.133,0.13064,p181
0.94522,0.872,0.20694,p182
1.0632,0.8786,0.12072,p183
0.81445,0.86801,0.11157,p184
0.90836,1.0789,0.11392,p185
1.0093,0.88329,0.14202,p186
0.96895,1.1186,0.14058,p187
1.149,0.95531,0.24535,p188
1.1969,1.0812,0.017643,p189
0.95814,1.0304,0.1065,p190
0.93176,0.98422,0.071316,p191
1.1216,1.1449,0.2617,p192
0.98978,0.8768,0.077068,p193
1.0682,1.1563,0.029149,p194
1.0612,0.92524,0.21691,p195
0.86358,1.0091,0.2926,p196
0.84209,1.0263,0.21069,p197
1.1944,1.1054,0.068886,p198
1.1664,0.92811,0.0084902,p199
1.1504,0.84496,0.27135,p200
