wind_speed,swr,a_seiche,q_nn,k_min,par_id
1.1767,0.84973,0.21028,0.34377,1.8957e-07,p0001
0.89466,1.1505,0.23962,0.34543,1.5222e-10,p0002
0.85314,1.0851,0.20556,0.96126,2.6563e-12,p0003
1.0675,1.0718,0.27905,0.96524,1.6376e-08,p0004
1.1543,0.90018,0.29713,0.73535,4.8123e-08,p0005
0.82557,1.1852,0.068005,0.67756,0.00014987,p0006
1.0298,1.0137,0.0065091,0.32822,1.556e-14,p0007
0.92147,1.1306,0.10101,0.72618,1.0957e-07,p0008
1.1307,1.0913,0.163,0.7165,2.2758e-05,p0009
1.0443,0.88175,0.23242,0.42849,2.3616e-07,p0010
1.0886,1.0027,0.088299,0.76446,5.5225e-07,p0011
0.98343,1.029,0.037444,0.74338,7.9371e-05,p0012
0.92469,0.95167,0.24531,0.2552,2.0701e-06,p0013
1.1918,1.0002,0.19264,0.25796,8.3434e-07,p0014
0.89542,0.86334,0.24177,0.70718,5.7369e-12,p0015
0.96537,0.80655,0.17112,0.67002,1.959e-10,p0016
1.1432,1.1018,0.27423,0.71157,2.7115e-12,p0017
1.1688,1.0603,0.14649,0.88663,5.4979e-13,p0018
0.94705,1.1764,0.29642,0.21911,7.32e-08,p0019
1.1442,0.86999,0.20241,0.67832,8.8755e-09,p0020
0.93708,1.1919,0.25862,0.61248,4.3545e-05,p0021
0.93119,0.91732,0.267,0.51641,3.3023e-06,p0022
0.96718,1.1292,0.13398,0.65671,7.2804e-06,p0023
1.1593,1.1427,0.12794,0.51841,5.392e-06,p0024
0.99598,0.97248,0.17926,0.70914,5.0758e-13,p0025
1.0564,0.80328,0.08667,0.45071,1.8131e-10,p0026
1.1678,1.1163,0.2875,0.58196,5.7026e-15,p0027
1.1694,0.9912,0.058868,0.65557,5.0397e-10,p0028
0.82059,0.83844,0.19308,0.26966,3.4894e-07,p0029
1.1353,1.1619,0.21535,0.50986,2.9222e-14,p0030
1.0207,1.0324,0.29826,0.21327,7.2408e-11,p0031
